time,side,ticker_id,mv_dn_composite_labels,price_drift_1_df005,dist_upper_bb_50_2.5_df055,price_drift_5_df005,joint_fall_flag_5_5_df042
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,0.009459459,-0.01275095,0.011509817,0.0
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,0.0030981067,0.009966945,0.04650745,0.0
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.0016161617,0.008124047,0.043789472,0.0
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,-0.012303348,-0.008361864,0.04191711,0.0
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,0.009861049,-0.0109784845,0.030885382,0.0
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0011342155,-0.0049779466,0.027950311,0.0
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,0.008574638,-0.0033948757,0.03564479,0.0
2005-05-05 00:00:00+00,SHORT,405,0.507199996588221,-0.0084332,-0.02389727,0.024770642,0.0
2005-05-05 00:00:00+00,SHORT,558,0.41570325230149757,-0.013595167,-0.020378483,0.016342413,0.0
2005-05-05 00:00:00+00,SHORT,2961,0.055726848223251205,-0.0154639175,-0.0155720655,0.013441811,0.0
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,0.0034065656,-0.012728494,0.023638908,0.0
2005-05-05 00:00:00+00,SHORT,1361,0.19008917476280035,-0.008501738,-0.014391271,0.010524143,0.0
2005-05-06 00:00:00+00,SHORT,1167,0.09554073349765636,-0.0030560847,-0.017473867,0.005824682,0.0
2005-05-09 00:00:00+00,SHORT,3052,0.0,0.011764706,-0.02030809,0.019440493,0.0
2005-05-09 00:00:00+00,SHORT,3882,0.0,0.0067491564,-0.021973306,0.009019165,0.0
2005-05-10 00:00:00+00,SHORT,835,0.0,-0.004435602,-0.015927117,0.028297119,0.0
2005-05-10 00:00:00+00,SHORT,3116,0.0,-0.0033860046,-0.023084318,0.06771463,0.0
2005-05-11 00:00:00+00,SHORT,835,0.0,-0.011793612,-0.024508176,0.0056676115,0.0
2005-05-11 00:00:00+00,SHORT,3116,0.12522969413183252,0.009437524,-0.017753055,0.047395222,0.0
2005-05-16 00:00:00+00,SHORT,424,0.29712706812868356,-0.00904881,-0.0046435418,0.033562634,0.0
2005-05-17 00:00:00+00,SHORT,424,0.08111334032280766,-0.015220692,-0.022914577,0.009885025,0.0
2005-05-18 00:00:00+00,SHORT,610,0.8481145317105129,-0.0064935065,-0.024402298,0.00591716,0.0
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,0.0026984126,-0.005981186,0.024655312,0.0
2005-05-23 00:00:00+00,SHORT,3130,0.43409558684342764,0.0032502708,-0.012091615,0.060710195,0.0
2005-05-27 00:00:00+00,SHORT,3702,0.7906111808740817,0.0029472443,-0.018087475,0.029029332,0.0
2005-06-01 00:00:00+00,SHORT,195,0.0,0.0095877275,-0.020831522,0.01039501,0.0
2005-06-01 00:00:00+00,SHORT,429,0.581885221419161,0.012074378,-0.02340871,0.028781835,0.0
2005-06-02 00:00:00+00,SHORT,19,1.0,0.010806973,0.019921606,0.06658898,0.0
2005-06-02 00:00:00+00,SHORT,220,1.0,-0.0062772925,-0.014382703,0.032907803,0.0
2005-06-02 00:00:00+00,SHORT,1888,0.0,-0.014771049,-0.020891279,0.019877676,0.0
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.0028094272,0.00745632,0.06359248,0.0
2005-06-03 00:00:00+00,SHORT,1888,0.0,0.0029985008,-0.023794942,0.05023548,0.0
2005-06-03 00:00:00+00,SHORT,4032,1.0,0.008264462,-0.005814549,0.057803467,0.0
2005-06-07 00:00:00+00,SHORT,19,0.625,3.1966754E-4,-0.024314927,0.031819306,0.0
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,0.005551476,-0.0037366082,0.028387755,0.0
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.0034239131,0.0012202489,0.04792927,0.0
2005-06-15 00:00:00+00,SHORT,1908,0.012287731981045094,-0.013888889,-0.018714141,0.028985508,0.0
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,-0.010032076,-0.008456022,0.03199498,0.0
2005-06-16 00:00:00+00,SHORT,1306,0.3243481161875476,-8.9472113E-4,-0.010128683,0.046547953,0.0
2005-06-17 00:00:00+00,SHORT,4128,0.149300770539291,-0.008510638,-0.016947178,0.019802041,0.0
2005-06-17 00:00:00+00,SHORT,4223,0.2313351026997672,0.0066044796,-0.022432156,0.019692061,0.0
2005-06-17 00:00:00+00,SHORT,356,0.31727903949759373,8.362142E-4,-0.021496749,0.034053583,0.0
2005-06-17 00:00:00+00,SHORT,903,0.054484583148280204,0.009236621,-0.017379323,0.06906475,0.0
2005-06-17 00:00:00+00,SHORT,918,0.16339291464769126,0.0012605799,-0.015831912,0.021120293,0.0
2005-06-17 00:00:00+00,SHORT,1306,0.26661748005896696,-2.9850745E-4,-0.015173691,0.03014457,0.0
2005-06-17 00:00:00+00,SHORT,1383,0.0,-0.010512902,-0.017526297,0.05109983,0.0
2005-06-17 00:00:00+00,SHORT,3456,0.3643693885308772,0.004140406,-0.017708417,0.039009877,0.0
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.0010492987,-4.6113597E-5,0.047251828,0.0
2005-06-20 00:00:00+00,SHORT,4128,0.09545859557953242,-0.0014285714,-0.018776668,0.012017423,0.0
2005-06-20 00:00:00+00,SHORT,498,0.0,-0.008064346,-0.01402863,0.07034408,0.0
2005-06-20 00:00:00+00,SHORT,918,0.09139647115301158,0.0,-0.020423397,0.010909091,0.0
2005-06-20 00:00:00+00,SHORT,1377,0.3428708072175483,-0.015070922,-0.014068239,0.05608365,0.0
2005-06-20 00:00:00+00,SHORT,1383,0.07571356505231681,0.008370895,-0.017314024,0.040704437,0.0
2005-06-20 00:00:00+00,SHORT,1819,0.0,-0.007607979,-0.008392965,0.047919042,0.0
2005-06-21 00:00:00+00,SHORT,2351,0.0,0.008259074,-0.0027927298,0.06766398,0.0
2005-06-21 00:00:00+00,SHORT,498,0.0,-0.0031799802,-0.018935742,0.06734675,0.0
2005-06-21 00:00:00+00,SHORT,2993,0.0,0.006593934,-0.013743434,0.05809704,0.0
2005-06-21 00:00:00+00,SHORT,1330,0.0,0.008695652,-0.020937856,0.016870659,0.0
2005-06-21 00:00:00+00,SHORT,1377,0.29228780537181864,0.00540054,-0.015180978,0.032347504,0.0
2005-06-21 00:00:00+00,SHORT,1819,0.0,-0.0031713508,-0.012387279,0.023616975,0.0
2005-06-21 00:00:00+00,SHORT,3882,0.875,-0.006312467,-0.016956696,0.0570789,0.0
2005-06-21 00:00:00+00,SHORT,4062,0.0,0.010468821,0.0083228275,0.053630754,0.0
2005-06-21 00:00:00+00,SHORT,4086,0.13480049155154594,0.0,5.012343E-5,0.070423774,0.0
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,-2.1240441E-4,-0.013717192,0.010085837,0.0
2005-06-22 00:00:00+00,SHORT,730,0.0,-6.963788E-4,-0.011812816,0.03163192,0.0
2005-06-22 00:00:00+00,SHORT,2993,0.0,-0.001071939,-0.022224857,0.03339083,0.0
2005-06-22 00:00:00+00,SHORT,1330,0.0,-0.0069941445,-0.022589585,0.0074257427,0.0
2005-06-22 00:00:00+00,SHORT,1819,0.0,0.0,-0.013062751,0.010991637,0.0
2005-06-22 00:00:00+00,SHORT,3882,0.8,0.0047644256,-0.01508717,0.048618786,0.0
2005-06-22 00:00:00+00,SHORT,4062,0.0,-0.0045045046,-0.0017207401,0.057416268,0.0
2005-06-22 00:00:00+00,SHORT,4086,0.19600794409200042,-0.013158976,-0.023167726,0.06634996,0.0
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,0.0064014634,-0.010588145,0.016628176,0.0
2005-06-23 00:00:00+00,SHORT,2659,0.49953553852255733,0.007942723,-0.02314829,0.022121385,0.0
2005-06-23 00:00:00+00,SHORT,2971,0.8795418168727182,0.0038197283,-0.019331357,0.010488237,0.0
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.0063978285,-0.011003364,0.035353534,0.0
2005-06-24 00:00:00+00,SHORT,773,0.593942479368369,-0.01143009,-0.014091037,0.04436956,0.0
2005-06-24 00:00:00+00,SHORT,1816,0.11413893461169916,-0.007609756,-0.02130716,0.024783397,0.0
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.007852848,-0.0098750135,0.01040268,0.0
2005-07-01 00:00:00+00,SHORT,1673,0.0,0.009988015,-0.022803336,0.014446228,0.0
2005-07-06 00:00:00+00,SHORT,3420,0.42821436515258887,-0.005667412,-0.008534788,0.010610884,0.0
2005-07-07 00:00:00+00,SHORT,3420,0.4473676527291926,-0.008249587,-0.022712877,0.015980331,0.0
2005-07-11 00:00:00+00,SHORT,1762,0.0,6.026517E-4,-0.0107860565,0.040091876,0.0
2005-07-12 00:00:00+00,SHORT,28,1.0,0.006848748,-0.002187043,0.02124774,0.0
2005-07-12 00:00:00+00,SHORT,559,0.19109716393852472,-0.008258053,-0.016326489,0.023942474,0.0
2005-07-12 00:00:00+00,SHORT,773,0.0,0.009209101,-0.01883752,0.024189115,0.0
2005-07-13 00:00:00+00,SHORT,3352,1.0,-0.004429658,-0.024111345,0.06871428,0.0
2005-07-14 00:00:00+00,SHORT,234,0.0,0.008733625,-0.023915173,0.056603774,0.0
2005-07-14 00:00:00+00,SHORT,2041,0.0,0.002924954,-0.015100494,0.049106546,0.0
2005-07-18 00:00:00+00,SHORT,2041,0.0,0.011290032,-0.021613114,0.017731262,0.0
2005-07-19 00:00:00+00,SHORT,2686,0.9256075021455707,0.012352611,-8.900031E-4,0.022108844,0.0
2005-07-19 00:00:00+00,SHORT,1667,1.0,0.012487512,-0.013846088,0.017570281,0.0
2005-07-20 00:00:00+00,SHORT,2070,0.7810838409359055,0.0025906735,-0.016568428,0.03544804,0.0
2005-07-20 00:00:00+00,SHORT,2686,0.574239527591335,-0.00942873,-0.012817161,0.0050647156,0.0
2005-07-20 00:00:00+00,SHORT,959,1.0,-0.002478929,-0.016023366,0.007511267,0.0
2005-07-20 00:00:00+00,SHORT,3716,0.8842259872678365,0.0070517124,-0.022324435,0.036461033,0.0
2005-07-21 00:00:00+00,SHORT,937,0.3677515522596851,-0.0018971732,0.0049305577,0.03705894,0.0
2005-07-21 00:00:00+00,SHORT,3310,0.5214655850611303,-6.1115605E-4,-0.020012753,0.00843423,0.0
2005-07-21 00:00:00+00,SHORT,1454,0.6755778798696086,-6.979331E-4,-0.014729483,0.028901432,0.0
2005-07-21 00:00:00+00,SHORT,1615,0.0,0.012250471,-0.015139062,0.04168645,0.0
2005-07-21 00:00:00+00,SHORT,1761,0.9333333333333333,-0.013651877,-0.0043885303,0.05628655,0.0
2005-07-21 00:00:00+00,SHORT,3973,0.3527971835415313,-0.005525599,-0.0059597967,0.019667802,0.0
2005-07-22 00:00:00+00,SHORT,937,0.341928545424992,-0.011974909,-0.011914865,0.023631351,0.0
2005-07-22 00:00:00+00,SHORT,3794,0.8,-9.211284E-4,-0.0015622373,0.06023949,0.0
2005-07-22 00:00:00+00,SHORT,1761,0.49941595133716393,0.0027681661,-0.0053956136,0.044700794,0.0
2005-07-22 00:00:00+00,SHORT,3973,0.5089795294831431,4.889152E-4,-0.009513091,0.020166332,0.0
2005-07-25 00:00:00+00,SHORT,13,0.3551102640963113,-0.0018618122,-0.012027475,0.02116402,0.0
2005-07-25 00:00:00+00,SHORT,836,0.3272302843793211,-0.013481364,-0.0051893103,0.054773614,0.0
2005-07-25 00:00:00+00,SHORT,1761,0.3285606186739385,-0.009431792,-0.015844284,0.014369847,0.0
2005-07-25 00:00:00+00,SHORT,3973,0.24082261146146247,-0.008166941,-0.020034902,0.0073000453,0.0
2005-07-26 00:00:00+00,SHORT,13,0.3185004256560223,-0.0010362695,-0.014365958,0.007946466,0.0
2005-07-26 00:00:00+00,SHORT,836,0.2528776517752023,0.0073954985,-0.0034410192,0.043116365,0.0
2005-07-26 00:00:00+00,SHORT,3794,0.3999999999999999,-0.0032007317,-0.007744478,0.020121666,0.0
2005-07-27 00:00:00+00,SHORT,4107,0.0,-0.0073492774,-0.0067955297,0.034666322,0.0
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,0.0038566242,-0.024047077,0.007972665,0.0
2005-07-28 00:00:00+00,SHORT,4107,0.0,0.0031371564,-0.010672563,0.02618742,0.0
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,0.011617495,-0.021677032,0.041198973,0.0
2005-07-28 00:00:00+00,SHORT,786,0.30023162707351003,0.008063216,0.0042628124,0.04235451,0.0
2005-07-28 00:00:00+00,SHORT,1700,0.0,-0.0051011113,-0.0077812755,0.049284272,0.0
2005-07-28 00:00:00+00,SHORT,1761,0.6,0.011995386,-0.008637557,0.011995386,0.0
2005-07-29 00:00:00+00,SHORT,4107,0.0,5.003753E-4,-0.017548077,0.03627883,0.0
2005-07-29 00:00:00+00,SHORT,2462,1.0,-8.618213E-4,-0.02027539,0.0095791,0.0
2005-07-29 00:00:00+00,SHORT,2638,0.0,0.007623467,-0.022174988,0.019450033,0.0
2005-07-29 00:00:00+00,SHORT,786,0.2694643678978534,9.598464E-4,-8.807441E-4,0.037817217,0.0
