time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,price_drift_5_df005,skew_weighted_10_df037
2006-06-02 00:00:00+00,SHORT,1262,0.29225046673934435,0.26500776,0.06350806,0.6275497
2006-06-02 00:00:00+00,SHORT,1532,0.34904164220127176,0.36628804,0.06270807,0.6821968
2006-06-02 00:00:00+00,SHORT,4034,0.0,-0.02719834,0.043334335,0.5770531
2006-06-06 00:00:00+00,SHORT,2816,0.0,0.13429873,0.07697538,0.5552206
2006-06-07 00:00:00+00,SHORT,2345,0.46998587373182354,0.41480514,0.07807018,0.6509933
2006-06-29 00:00:00+00,SHORT,3684,0.0,0.004829969,0.050751116,0.6030927
2006-06-30 00:00:00+00,SHORT,2365,0.35510083790478486,0.18932804,0.050714854,0.61231434
2006-06-30 00:00:00+00,SHORT,1949,0.0,-0.08585487,0.0940965,0.6406078
2006-07-03 00:00:00+00,SHORT,4171,0.12242155511523868,0.21330926,0.049409084,0.57913315
2006-07-03 00:00:00+00,SHORT,2365,0.43493709320874746,0.2598928,0.04876181,0.58708245
2006-07-03 00:00:00+00,SHORT,602,0.48113520077989974,0.0714611,0.09317534,0.61106855
2006-07-03 00:00:00+00,SHORT,974,1.0,0.18708207,0.06877835,0.6032532
2006-07-03 00:00:00+00,SHORT,1051,0.17289473366567729,0.052836645,0.06171169,0.5856549
2006-07-03 00:00:00+00,SHORT,3130,1.0,0.14688551,0.07954545,0.6031137
2006-07-03 00:00:00+00,SHORT,3255,0.5547934906781821,0.3925515,0.08593224,0.686333
2006-07-03 00:00:00+00,SHORT,3556,0.16722567541789338,0.12502104,0.055700265,0.6811026
2006-07-03 00:00:00+00,SHORT,1762,0.00725594943371448,0.107954726,0.07058824,0.60363716
2006-07-03 00:00:00+00,SHORT,3868,0.1484035909582845,-0.041949864,0.05129901,0.650927
2006-07-05 00:00:00+00,SHORT,335,0.49308985275668926,0.17905128,0.054565016,0.5881328
2006-07-05 00:00:00+00,SHORT,429,0.0,0.25319076,0.07103491,0.60462695
2006-07-05 00:00:00+00,SHORT,838,0.29558722749300703,0.0597064,0.071676806,0.58418745
