time,side,ticker_id,mv_up_composite_labels,accel_price_5_df021,dist_lower_bb_50_2.0_df055
2009-10-30 00:00:00+00,LONG,2119,1.0,-0.0219052,0.04870908
2009-11-02 00:00:00+00,LONG,394,1.0,-0.024563137,0.043334626
2009-11-11 00:00:00+00,LONG,1011,0.8181818181818181,-0.012913079,0.04591875
2009-12-14 00:00:00+00,LONG,3837,0.8181818181818181,-0.0064877155,0.049996763
2009-12-28 00:00:00+00,LONG,3885,0.0,-0.017655302,0.055577032
2010-01-26 00:00:00+00,LONG,838,0.0,-0.033395175,0.048690807
2010-02-05 00:00:00+00,LONG,1184,0.0,-0.020438308,0.041767616
2010-02-08 00:00:00+00,LONG,2067,0.9821428571428571,-0.025380261,0.04094536
2010-02-08 00:00:00+00,LONG,1076,0.9836065573770492,-0.010888958,0.038177162
2010-03-04 00:00:00+00,LONG,1838,0.0,-0.0063164104,0.038458697
2010-05-06 00:00:00+00,LONG,937,0.2353549540113233,-0.037186746,0.060540367
2010-05-20 00:00:00+00,LONG,1195,0.2114207438230285,-0.029347254,0.03941901
2010-06-09 00:00:00+00,LONG,610,0.0,-0.034279417,0.03705502
2010-07-01 00:00:00+00,LONG,791,0.7892199519756963,-0.01925394,0.03764748
2010-07-01 00:00:00+00,LONG,3837,0.0,-0.009839502,0.037035607
2010-07-01 00:00:00+00,LONG,1960,1.0,-0.026157804,0.0528552
2010-07-02 00:00:00+00,LONG,2226,0.2793118374591316,-0.019911194,0.03727996
2010-07-06 00:00:00+00,LONG,2226,0.41201544223975384,-0.005862243,0.033816777
2010-07-06 00:00:00+00,LONG,304,1.0,-0.017537873,0.03396587
2010-07-29 00:00:00+00,LONG,3702,0.26777217872969733,-0.023684667,0.044576544
2010-08-30 00:00:00+00,LONG,934,0.8823529411764706,-0.022678593,0.059988834
2010-11-30 00:00:00+00,LONG,2990,1.0,-0.026746795,0.056530174
2010-11-30 00:00:00+00,LONG,3521,1.0,-0.0051661795,0.0442304
2011-03-15 00:00:00+00,LONG,2330,0.7569070635522901,-0.018879957,0.058265295
2011-03-16 00:00:00+00,LONG,2330,0.7669440419318133,-0.014958178,0.06043094
2011-03-16 00:00:00+00,LONG,2425,0.0,-0.023988707,0.036647428
2011-03-16 00:00:00+00,LONG,3695,0.574233426360941,-0.014959432,0.044960987
2011-03-16 00:00:00+00,LONG,1780,0.06175294035530514,-0.022465246,0.054783642
2011-03-18 00:00:00+00,LONG,2330,0.9302325581395349,-0.027180087,0.050594103
2011-03-22 00:00:00+00,LONG,2659,0.7685516401109781,-0.0070976857,0.044117797
2011-06-10 00:00:00+00,LONG,2778,0.0,-0.028967094,0.03756519
2011-06-10 00:00:00+00,LONG,3021,0.0,-0.015084601,0.03812363
2011-06-16 00:00:00+00,LONG,988,0.0,-0.037578795,0.043676388
2011-06-17 00:00:00+00,LONG,2508,0.0,-0.01956317,0.03574257
2011-07-29 00:00:00+00,LONG,2665,0.0,-0.0341562,0.033175763
2011-08-08 00:00:00+00,LONG,3825,1.0,-0.032303195,0.049827773
2011-08-10 00:00:00+00,LONG,28,0.8074721312297924,-0.034937948,0.041044887
2011-08-10 00:00:00+00,LONG,4163,0.9166666666666666,-0.032259386,0.05617067
2011-08-10 00:00:00+00,LONG,91,0.9743589743589743,-0.021282328,0.036068797
2011-08-10 00:00:00+00,LONG,2226,0.9736842105263158,-0.032652773,0.04213558
2011-08-10 00:00:00+00,LONG,2462,0.4597877813743689,-0.028026197,0.04380912
2011-08-10 00:00:00+00,LONG,487,0.0,-0.029017217,0.045268334
2011-08-10 00:00:00+00,LONG,602,0.0,-0.010743849,0.041324325
2011-08-10 00:00:00+00,LONG,2703,0.0,-0.01829242,0.034536134
2011-08-10 00:00:00+00,LONG,664,0.400013639187139,-0.032168757,0.041616216
2011-08-10 00:00:00+00,LONG,708,0.0,-0.028717792,0.04443055
2011-08-10 00:00:00+00,LONG,817,0.0,-0.03153333,0.033398446
2011-08-10 00:00:00+00,LONG,2961,0.9743589743589743,-0.011325012,0.034962863
2011-08-10 00:00:00+00,LONG,914,0.9666666666666667,-0.03018868,0.05454043
2011-08-10 00:00:00+00,LONG,2971,0.967741935483871,-0.024578897,0.035628233
2011-08-10 00:00:00+00,LONG,959,0.967741935483871,-0.022742001,0.039568055
2011-08-10 00:00:00+00,LONG,1011,0.96875,-0.028777037,0.058443904
2011-08-10 00:00:00+00,LONG,3287,0.9666666666666667,-0.023570178,0.052075356
2011-08-10 00:00:00+00,LONG,3612,0.6015127697884881,-0.02345082,0.044802338
2011-08-10 00:00:00+00,LONG,4013,0.0,-0.016704623,0.052568793
2011-08-10 00:00:00+00,LONG,2004,0.0,-0.017952729,0.046399727
2011-08-10 00:00:00+00,LONG,4089,0.9375,-0.036178764,0.05350272
2011-08-19 00:00:00+00,LONG,843,0.2691542466177172,-0.006643139,0.036728248
2011-08-22 00:00:00+00,LONG,845,0.3343222597639498,-0.014623099,0.037843924
2011-08-22 00:00:00+00,LONG,4083,0.0,-0.017868333,0.046533506
2011-09-23 00:00:00+00,LONG,2999,0.0,-0.022967903,0.046168767
2011-10-04 00:00:00+00,LONG,604,1.0,-0.029421492,0.040029988
2011-10-07 00:00:00+00,LONG,2665,0.5526296022238377,-0.030828781,0.03311005
2011-10-13 00:00:00+00,LONG,1258,0.0,-0.015792536,0.04074449
2011-11-03 00:00:00+00,LONG,4215,0.0,-0.025565336,0.049675144
2011-12-19 00:00:00+00,LONG,2107,0.0,-0.027775584,0.033174608
2011-12-19 00:00:00+00,LONG,2305,0.657413811615862,-0.014570605,0.04651767
2011-12-19 00:00:00+00,LONG,443,0.0,-0.021268295,0.04260498
2012-01-17 00:00:00+00,LONG,4150,0.2796166125479491,-0.036735695,0.044029966
2012-04-24 00:00:00+00,LONG,1667,0.0,-0.016690996,0.049260326
2012-05-16 00:00:00+00,LONG,4137,1.0,-0.0073278043,0.0482305
2012-05-17 00:00:00+00,LONG,1303,0.43149202712596313,-0.008434623,0.038671453
2012-05-18 00:00:00+00,LONG,2067,1.0,-0.02265071,0.045051817
2012-05-18 00:00:00+00,LONG,2248,1.0,-0.010098459,0.036422502
2012-05-18 00:00:00+00,LONG,3822,0.13039590689707312,-0.012225844,0.03854222
2012-06-04 00:00:00+00,LONG,2119,1.0,-0.028282935,0.039167188
2012-06-04 00:00:00+00,LONG,444,0.5611246363886335,-0.025100276,0.039357085
2012-06-04 00:00:00+00,LONG,517,1.0,-0.011297863,0.036690574
2012-06-04 00:00:00+00,LONG,836,0.6707201034497325,-0.028331693,0.034069013
2012-06-04 00:00:00+00,LONG,3704,1.0,-0.028566206,0.05032028
2012-06-04 00:00:00+00,LONG,1745,1.0,-0.037423614,0.039698698
2012-06-04 00:00:00+00,LONG,3824,0.0,-0.004199614,0.043034256
2012-06-13 00:00:00+00,LONG,858,0.9310344827586207,-0.035142362,0.05515952
2012-07-30 00:00:00+00,LONG,643,0.0,-0.009009009,0.047516428
2012-08-03 00:00:00+00,LONG,2285,0.0,-0.026099687,0.037085734
2012-08-03 00:00:00+00,LONG,2298,0.0,-0.0098106135,0.05035579
2012-08-03 00:00:00+00,LONG,1668,0.972972972972973,-0.01166065,0.03788306
2012-08-03 00:00:00+00,LONG,1867,0.381950399958469,-0.03288466,0.04869047
2012-08-10 00:00:00+00,LONG,522,0.5360901862140621,-0.018186564,0.049161
2012-09-20 00:00:00+00,LONG,2801,0.0,-0.024473842,0.035911933
2012-11-15 00:00:00+00,LONG,558,1.0,-0.005836673,0.033141777
2012-11-16 00:00:00+00,LONG,3098,0.4825253609250092,-0.030965995,0.048144076
2012-12-04 00:00:00+00,LONG,309,0.45932222768027725,-0.025370898,0.034782343
2012-12-10 00:00:00+00,LONG,2720,1.0,-0.03953732,0.051833954
2013-04-17 00:00:00+00,LONG,712,0.30256658461933655,-0.027525919,0.055426262
2013-04-17 00:00:00+00,LONG,3573,0.7280574301401719,-0.031247169,0.037141535
2013-04-19 00:00:00+00,LONG,2835,0.06920064985700063,-0.005112045,0.041493177
2013-06-03 00:00:00+00,LONG,2431,0.5641664374073512,-0.02378195,0.059463922
2013-06-20 00:00:00+00,LONG,588,0.6115157897794473,-0.007511194,0.036942426
2013-06-24 00:00:00+00,LONG,405,1.0,-0.021407336,0.041415993
2013-06-24 00:00:00+00,LONG,3013,0.7709163418424454,-0.009053873,0.051735476
2013-06-24 00:00:00+00,LONG,3882,1.0,-0.005826124,0.038073406
2013-06-26 00:00:00+00,LONG,1610,0.0,-0.029183947,0.056239303
2013-07-02 00:00:00+00,LONG,52,0.604488573095198,-0.0054658144,0.039275184
2013-07-31 00:00:00+00,LONG,1368,0.23848492990586861,-0.0056444025,0.051153455
2013-08-01 00:00:00+00,LONG,1368,0.22857142857142865,-0.012792532,0.034296166
2013-08-19 00:00:00+00,LONG,4049,0.18034340491157916,-0.00782445,0.036895014
2013-09-18 00:00:00+00,LONG,1171,0.0,-0.005987711,0.05175935
2013-10-23 00:00:00+00,LONG,3782,0.2733196849321825,-0.03427131,0.0470112
2013-10-31 00:00:00+00,LONG,1306,0.4184789875752563,-0.0049635232,0.049149193
2013-12-23 00:00:00+00,LONG,2066,0.24930886541113445,-0.008924651,0.03573561
2014-01-27 00:00:00+00,LONG,906,1.0,-0.012076619,0.045431327
2014-01-29 00:00:00+00,LONG,643,1.0,-0.02690623,0.03384776
2014-02-03 00:00:00+00,LONG,2105,0.40934331856708156,-0.028555103,0.036119755
2014-02-03 00:00:00+00,LONG,3040,0.8773173146557578,-0.025497442,0.04927185
2014-02-03 00:00:00+00,LONG,1383,0.6106383950911647,-0.016015148,0.03339249
2014-02-03 00:00:00+00,LONG,1742,0.46345814035380317,-0.01716495,0.035745397
2014-02-03 00:00:00+00,LONG,3793,1.0,-0.011893805,0.035563797
2014-02-03 00:00:00+00,LONG,1816,0.4228347439107332,-0.010163828,0.035293646
2014-04-11 00:00:00+00,LONG,1651,0.42032849151388735,-0.0223511,0.03450696
2014-04-15 00:00:00+00,LONG,1960,0.42137023698569087,-0.005053545,0.049784854
2014-04-28 00:00:00+00,LONG,3862,0.0,-0.009550833,0.03765271
2014-05-08 00:00:00+00,LONG,3078,1.0,-0.032361384,0.044765923
2014-05-08 00:00:00+00,LONG,3794,0.0,-0.0116447825,0.038385905
2014-05-15 00:00:00+00,LONG,3556,0.09295202815556403,-0.03693268,0.050697446
2014-07-31 00:00:00+00,LONG,4218,0.3557279526573146,-0.037240732,0.036096312
2014-08-01 00:00:00+00,LONG,3049,0.0,-0.011863402,0.057003558
2014-08-01 00:00:00+00,LONG,3137,0.2749545050702498,-0.01445884,0.037751656
2014-08-01 00:00:00+00,LONG,1258,0.0,-0.011077602,0.04626798
2014-08-08 00:00:00+00,LONG,405,0.3104757519531586,-0.01828955,0.034442347
2014-09-04 00:00:00+00,LONG,1288,0.0,-0.013524137,0.033712797
2014-10-13 00:00:00+00,LONG,2106,0.0,-0.023660026,0.037607905
2014-10-13 00:00:00+00,LONG,675,0.6626911700177515,-0.018083122,0.058465447
2014-10-13 00:00:00+00,LONG,3271,0.7758044682315334,-0.0052492884,0.058687422
2014-10-13 00:00:00+00,LONG,3855,0.9701077576036418,-0.012905724,0.04520794
2014-10-14 00:00:00+00,LONG,4092,0.0,-0.010533809,0.04470887
2014-10-15 00:00:00+00,LONG,93,0.0,-0.013138625,0.04179451
2014-10-15 00:00:00+00,LONG,200,1.0,-0.032377403,0.038195927
2014-10-15 00:00:00+00,LONG,2425,0.0,-0.031842686,0.036363415
2014-10-15 00:00:00+00,LONG,869,0.11595662391366438,-0.03723559,0.048733532
2014-10-15 00:00:00+00,LONG,897,0.0,-0.006780143,0.05882427
2014-10-15 00:00:00+00,LONG,1022,0.0,-0.018139506,0.05153965
2014-10-15 00:00:00+00,LONG,3098,0.34242001461118804,-0.03902606,0.049794935
2014-10-15 00:00:00+00,LONG,3130,0.0,-0.01187093,0.0451301
2014-10-15 00:00:00+00,LONG,3203,0.9845535736227721,-0.034480106,0.033102352
2014-10-15 00:00:00+00,LONG,1383,0.2693826938356511,-0.02283671,0.0350371
2014-10-15 00:00:00+00,LONG,3556,0.6397083711512661,-0.028735928,0.040945556
2014-10-15 00:00:00+00,LONG,3763,1.0,-0.026630187,0.051082235
2014-10-15 00:00:00+00,LONG,1919,0.4232781254726956,-0.037321154,0.05074011
2014-10-15 00:00:00+00,LONG,4083,0.6551470831581991,-0.03065675,0.052166026
2014-10-16 00:00:00+00,LONG,135,1.0,-0.008440092,0.0353045
2014-10-16 00:00:00+00,LONG,1191,0.8646754237316766,-0.01587677,0.037150547
2014-10-16 00:00:00+00,LONG,3694,0.6067881992338998,-0.008852758,0.04369291
2014-10-17 00:00:00+00,LONG,836,0.4940459510857557,-0.012111966,0.05494371
2014-10-22 00:00:00+00,LONG,2990,0.6937128358678877,-0.029337447,0.0496173
2014-12-12 00:00:00+00,LONG,2107,0.0,-0.026234055,0.04504801
2014-12-15 00:00:00+00,LONG,3236,0.5107858555749942,-0.016444238,0.05632569
2014-12-16 00:00:00+00,LONG,433,0.0,-0.034736495,0.03529479
2014-12-16 00:00:00+00,LONG,3994,1.0,-0.010803274,0.045964137
2015-01-14 00:00:00+00,LONG,2550,0.6622798654388415,-0.038009033,0.038057517
2015-01-14 00:00:00+00,LONG,3113,0.4923783109107348,-0.035441794,0.04934902
2015-01-15 00:00:00+00,LONG,2513,0.5426520528398326,-0.028608441,0.03882251
2015-01-15 00:00:00+00,LONG,3113,0.972972972972973,-0.038349874,0.040968105
2015-01-20 00:00:00+00,LONG,3216,0.5297153829412263,-0.016025994,0.050615825
2015-01-26 00:00:00+00,LONG,1423,0.4099537457851545,-0.01950953,0.04546263
2015-01-27 00:00:00+00,LONG,1423,0.423646559725813,-0.008505328,0.04484435
2015-03-19 00:00:00+00,LONG,817,0.9743589743589743,-0.03892275,0.053180896
2015-03-31 00:00:00+00,LONG,2305,0.27026247485751476,-0.028615348,0.034513917
2015-06-08 00:00:00+00,LONG,1897,0.0,-0.017992424,0.03946569
2015-08-24 00:00:00+00,LONG,11,0.19597131526146522,-0.031874757,0.058785874
2015-08-24 00:00:00+00,LONG,273,0.0,-0.019114716,0.040516682
2015-08-24 00:00:00+00,LONG,443,0.27283821682115594,-0.020679295,0.03315399
2015-08-24 00:00:00+00,LONG,562,0.0,-0.028128618,0.039812375
2015-08-24 00:00:00+00,LONG,602,0.1158714065137599,-0.024310559,0.051180925
2015-08-24 00:00:00+00,LONG,2692,1.0,-0.032046985,0.049570158
2015-08-24 00:00:00+00,LONG,2910,0.37620719725749957,-0.034266587,0.042964876
