time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_high52_vol_norm_20_df015,skew_weighted_20_df037
2006-09-06 00:00:00+00,LONG,843,0.8289511235897407,0.19679452,-0.04482187,-0.5219938
2006-09-07 00:00:00+00,LONG,843,0.8378378378378378,-0.11125809,-0.0541567,-0.51631236
2006-10-04 00:00:00+00,LONG,88,1.0,-0.17665492,-0.13382351,-0.48150635
2006-10-04 00:00:00+00,LONG,1532,0.853348058235829,0.0265306,-0.112917826,-0.5423392
2006-10-23 00:00:00+00,LONG,1087,0.0,-0.097376145,-0.041281987,-0.486074
2006-10-24 00:00:00+00,LONG,1087,0.20699893560726818,-0.075661406,-0.04674196,-0.54011756
2006-10-27 00:00:00+00,LONG,1087,0.25530033016737963,0.1496808,-0.092185654,-0.5024942
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,-0.45024002,-0.17963454,-0.52034336
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,-0.023293339,-0.089084975,-0.48808756
2006-11-10 00:00:00+00,LONG,2004,0.5117604797621054,-0.027840713,-0.17663863,-0.52148587
2006-11-16 00:00:00+00,LONG,450,0.9230769230769231,0.11083523,-0.10649009,-0.499898
2006-11-17 00:00:00+00,LONG,450,0.8846153846153846,0.29147288,-0.10899731,-0.5282654
2006-11-24 00:00:00+00,LONG,450,0.5662163762408277,0.069288485,-0.12777549,-0.54107386
2006-11-29 00:00:00+00,LONG,3595,0.0,0.30623153,-0.082968205,-0.5223409
2006-11-30 00:00:00+00,LONG,3595,0.13947561491061328,0.08221063,-0.0802018,-0.52094716
2006-12-01 00:00:00+00,LONG,192,0.164098878592997,-0.23837373,-0.058556527,-0.5435313
2006-12-04 00:00:00+00,LONG,192,0.1361752955237947,-0.2374822,-0.052708294,-0.53551894
2006-12-08 00:00:00+00,LONG,578,0.0,0.15462364,-0.1878753,-0.52993834
2007-01-05 00:00:00+00,LONG,2731,0.650605315981262,0.21703902,-0.14154829,-0.4765736
2007-01-08 00:00:00+00,LONG,4013,0.04038601838367817,0.2667384,-0.046404377,-0.51086456
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,0.3160558,-0.20725036,-0.5103319
2007-01-11 00:00:00+00,LONG,984,0.9705882352941176,-0.0646368,-0.09373609,-0.5036967
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,0.033980545,-0.15911292,-0.4891538
2007-01-11 00:00:00+00,LONG,3469,0.833579097427495,-0.3863782,-0.09123326,-0.51235735
2007-01-11 00:00:00+00,LONG,4000,0.96875,0.07633398,-0.13399562,-0.5313307
2007-01-12 00:00:00+00,LONG,3179,0.0,0.32268482,-0.03757641,-0.5210396
2007-01-16 00:00:00+00,LONG,2619,0.0,0.011850774,-0.18980615,-0.5223181
2007-01-16 00:00:00+00,LONG,3179,0.0,0.06312685,-0.036498137,-0.5319981
