time,side,ticker_id,mv_dn_composite_labels,weighted_pos_sum_20_df035,joint_fall_flag_5_5_df042,ma_cloud_diff_8_100_df007,dist_upper_bb_50_2.0_df055
2005-06-22 00:00:00+00,SHORT,2006,0.9375,0.1340506,0.0,-0.014321422,-0.013139489
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,0.11898958,0.0,0.015998011,0.0035586809
2005-06-23 00:00:00+00,SHORT,413,0.3394426264884169,0.040023446,0.0,0.020583453,-0.016180038
2005-06-23 00:00:00+00,SHORT,730,0.0,0.06640168,0.0,0.0036056414,-0.02173464
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,0.1182161,0.0,0.013384843,0.009429211
2005-06-23 00:00:00+00,SHORT,2971,0.8795418168727182,0.07530242,0.0,0.06232128,-0.009044057
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,0.077984475,0.0,-0.077178575,0.0020107243
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.14091557,0.0,-0.0072659682,-0.0062267277
2005-06-24 00:00:00+00,SHORT,413,0.33213536241523417,0.039589558,0.0,0.02270141,-0.013686086
2005-06-24 00:00:00+00,SHORT,773,0.593942479368369,0.11212191,0.0,0.019274574,-0.003612299
2005-06-24 00:00:00+00,SHORT,1816,0.11413893461169916,0.07535821,0.0,-0.07188676,-0.0081798835
2005-06-24 00:00:00+00,SHORT,2006,0.31391657121741906,0.14091557,0.0,8.606596E-4,-0.016599806
2005-06-27 00:00:00+00,SHORT,2176,0.5321567131331597,0.09265056,0.0,0.0215867,-0.011396161
2005-06-28 00:00:00+00,SHORT,4128,0.0,0.10446678,0.0,-0.02500925,-0.020044837
2005-06-28 00:00:00+00,SHORT,2176,0.5514530470193434,0.094026715,0.0,0.02266598,-0.012472146
2005-06-28 00:00:00+00,SHORT,413,0.2808509251576811,0.04540852,0.0,0.022824256,-0.015499019
2005-06-28 00:00:00+00,SHORT,2482,0.4369911022671174,0.06756213,0.0,-0.050813965,-0.014860329
2005-06-28 00:00:00+00,SHORT,444,0.23069882644528594,0.13297574,0.0,-0.022126753,-0.010470024
2005-06-28 00:00:00+00,SHORT,2643,0.0,0.079565205,0.0,4.886506E-4,-0.018360956
2005-06-28 00:00:00+00,SHORT,907,0.3749440040323032,0.04900181,0.0,0.061052088,-0.020175805
2005-06-28 00:00:00+00,SHORT,1330,0.0,0.091358945,0.0,-0.050296087,-0.018758614
2005-06-29 00:00:00+00,SHORT,2055,0.0,0.109391235,0.0,0.025527578,-0.010240461
2005-06-29 00:00:00+00,SHORT,4128,0.0,0.09213078,0.0,-0.025025025,-0.018342216
2005-06-29 00:00:00+00,SHORT,234,0.0,0.16513786,0.0,0.032948878,-0.020103749
2005-06-29 00:00:00+00,SHORT,1330,0.0,0.087348916,0.0,-0.05099362,-0.020079575
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.09532776,0.0,0.06018063,0.0030149925
2005-07-01 00:00:00+00,SHORT,444,0.0,0.11645149,0.0,-0.019424448,-0.016992511
