time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,ma_cloud_diff_13_100_df007
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,-0.003585682,0.033831228
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,-0.0026151228,0.0367694
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,0.008931247,0.05375841
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.0055803997,0.056051288
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,-0.011824314,0.05780775
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.0070383386,0.10666088
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.005477686,0.078722365
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0015989892,0.03924884
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.0044464017,0.057959527
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,-0.008750381,0.06212976
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,0.0078054313,6.721313E-4
2005-05-04 00:00:00+00,SHORT,3994,0.0,-0.010930992,-0.010575645
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.0048631523,0.070590205
2005-05-06 00:00:00+00,SHORT,1167,0.09554073349765636,-0.010500201,0.07156309
2005-05-06 00:00:00+00,SHORT,1298,0.0,-0.008134824,0.06002684
2005-05-06 00:00:00+00,SHORT,3586,1.0,-0.009980223,0.0037100834
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.014853379,0.12796015
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,9.6246816E-4,0.072309844
2005-05-09 00:00:00+00,SHORT,576,0.09574327242038387,-0.012287803,7.8371144E-4
2005-05-09 00:00:00+00,SHORT,874,0.0,-3.2986788E-4,0.039194778
2005-05-09 00:00:00+00,SHORT,2932,0.0,0.004451595,0.01907519
2005-05-09 00:00:00+00,SHORT,3586,0.9090909090909091,-0.012272769,0.0051557226
2005-05-09 00:00:00+00,SHORT,3613,0.0,-0.0059543625,0.040886976
2005-05-09 00:00:00+00,SHORT,3815,0.0,0.008781504,0.100233786
2005-05-09 00:00:00+00,SHORT,3994,0.3221684459665731,-0.002280657,-6.06943E-4
2005-05-10 00:00:00+00,SHORT,835,0.0,-5.310354E-4,0.02624025
2005-05-10 00:00:00+00,SHORT,870,0.0,-0.0075554177,0.05353793
2005-05-10 00:00:00+00,SHORT,1826,0.0,-0.0037514379,0.06280552
2005-05-10 00:00:00+00,SHORT,3994,0.32102641957605993,-0.0061123744,0.0038148682
2005-05-11 00:00:00+00,SHORT,3573,0.0,-0.002952052,0.052220035
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,0.015813768,0.026651895
2005-05-20 00:00:00+00,SHORT,2067,0.6459612209834655,-0.003872059,0.07366489
2005-05-20 00:00:00+00,SHORT,167,0.546897658975487,-0.011601787,0.03368412
2005-05-20 00:00:00+00,SHORT,2226,0.2532789165234089,-0.010479333,-0.017713698
2005-05-23 00:00:00+00,SHORT,2226,0.3402742766618829,-0.010502634,-0.016833354
2005-05-27 00:00:00+00,SHORT,3702,0.7906111808740817,-0.012344409,0.0891866
2005-05-27 00:00:00+00,SHORT,3794,0.345718839790073,-0.009888352,0.09911231
2005-05-27 00:00:00+00,SHORT,1817,0.0,-0.0107355695,0.09227959
2005-05-31 00:00:00+00,SHORT,862,0.48831110171343206,-0.0015705102,-0.0104988385
2005-05-31 00:00:00+00,SHORT,1244,1.0,-0.00430129,0.07723453
2005-05-31 00:00:00+00,SHORT,3561,0.0,-0.009849426,-0.010806932
2005-06-02 00:00:00+00,SHORT,19,1.0,0.011948514,0.06356015
2005-06-02 00:00:00+00,SHORT,220,1.0,-0.007705698,-0.010920791
2005-06-02 00:00:00+00,SHORT,862,0.3499144246908795,-0.011548388,-0.0044872384
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,-0.0010066835,-0.012495019
