time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,sessions_since_bearish_13_100_df059,velocity_price_vs_etf_diff_5_df050
2007-08-21 00:00:00+00,LONG,1173,0.6054177568829925,0.14503217,3.0,-0.03973793
2007-08-21 00:00:00+00,LONG,3283,0.9375,-0.25315198,3.0,-0.05601923
2007-08-21 00:00:00+00,LONG,3815,0.0,-0.2653314,3.0,-0.061265465
2007-08-22 00:00:00+00,LONG,1173,0.6073159651901644,-0.09695915,4.0,-0.049267475
2007-08-22 00:00:00+00,LONG,3283,0.9166666666666666,0.23421234,4.0,-0.053153876
2007-08-22 00:00:00+00,LONG,1740,0.497253197247856,-0.2718509,4.0,-0.03762409
2007-08-22 00:00:00+00,LONG,3815,0.1711408849595914,-0.29948947,4.0,-0.028422238
2007-08-23 00:00:00+00,LONG,243,0.9180327868852459,-0.5457202,3.0,-0.029782454
2007-08-24 00:00:00+00,LONG,243,0.9016393442622951,0.18694064,4.0,-0.03009963
2007-08-30 00:00:00+00,LONG,4137,0.782608695652174,0.3133221,4.0,-0.028921288
2007-09-18 00:00:00+00,LONG,1297,0.0,-0.3184843,3.0,-0.043462824
2007-10-24 00:00:00+00,LONG,3743,0.0,0.6343263,3.0,-0.050338205
2007-10-31 00:00:00+00,LONG,1330,0.0,-0.084181175,3.0,-0.032774437
2007-11-01 00:00:00+00,LONG,417,0.0,-0.49468014,4.0,-0.03632388
2007-11-02 00:00:00+00,LONG,157,0.0,-0.22113377,3.0,-0.032552257
2007-11-06 00:00:00+00,LONG,610,0.0,-0.43737832,4.0,-0.05167983
2007-11-13 00:00:00+00,LONG,1790,0.7997376675834,0.3815536,3.0,-0.044410113
2007-11-21 00:00:00+00,LONG,3286,0.0,0.49207523,3.0,-0.049051967
2007-11-26 00:00:00+00,LONG,3241,0.9310344827586207,0.54619735,4.0,-0.044996098
2007-11-28 00:00:00+00,LONG,2816,0.0,-0.06621597,4.0,-0.047212094
2007-11-29 00:00:00+00,LONG,984,0.9705882352941176,0.3437111,3.0,-0.037349287
2007-12-04 00:00:00+00,LONG,870,0.0,-0.45569202,3.0,-0.059403878
2007-12-04 00:00:00+00,LONG,2990,0.0,-0.5868486,3.0,-0.047361296
2007-12-05 00:00:00+00,LONG,870,0.0,0.8244331,4.0,-0.036971267
2007-12-12 00:00:00+00,LONG,2261,0.4814814814814815,-0.32748932,3.0,-0.032832954
2007-12-24 00:00:00+00,LONG,2211,0.0,-0.71053135,3.0,-0.03519466
2008-01-22 00:00:00+00,LONG,3855,0.47318911084358517,0.71156377,4.0,-0.046737764
2008-01-23 00:00:00+00,LONG,739,1.0,-0.26594353,3.0,-0.05038479
2008-01-23 00:00:00+00,LONG,1585,0.9642857142857143,0.14840978,3.0,-0.042294588
2008-01-24 00:00:00+00,LONG,93,0.0,-0.6561582,3.0,-0.052310377
2008-01-24 00:00:00+00,LONG,3330,0.0,-0.22372839,3.0,-0.037433248
2008-01-25 00:00:00+00,LONG,2979,0.26983481497208656,0.05400957,4.0,-0.037623614
2008-01-25 00:00:00+00,LONG,3330,0.0,-0.3340058,4.0,-0.040126394
2008-01-25 00:00:00+00,LONG,3641,0.0,-0.34275734,3.0,-0.029137744
2008-01-28 00:00:00+00,LONG,588,1.0,-0.037081666,3.0,-0.04428673
2008-01-28 00:00:00+00,LONG,1184,0.0,-0.5070133,3.0,-0.067948654
2008-01-28 00:00:00+00,LONG,3613,0.9189189189189189,0.10775449,3.0,-0.029163398
2008-01-31 00:00:00+00,LONG,167,0.0,0.5834375,3.0,-0.063071035
2008-01-31 00:00:00+00,LONG,708,0.0,0.5498135,3.0,-0.043000914
2008-01-31 00:00:00+00,LONG,1463,0.7878787878787878,0.41365403,3.0,-0.034748506
2008-02-01 00:00:00+00,LONG,708,0.0,-0.53410447,4.0,-0.042802215
2008-02-22 00:00:00+00,LONG,2018,0.0,0.6116143,3.0,-0.062924236
2008-02-26 00:00:00+00,LONG,1043,0.0,-0.5583237,3.0,-0.07223837
2008-03-14 00:00:00+00,LONG,3754,0.0,0.7597946,3.0,-0.029121669
2008-03-19 00:00:00+00,LONG,1523,0.4804874315583495,0.2180243,4.0,-0.035360463
2008-03-19 00:00:00+00,LONG,1719,0.0,-0.008945189,3.0,-0.032474983
2008-03-24 00:00:00+00,LONG,3677,0.0,0.42961127,3.0,-0.03980562
2008-03-25 00:00:00+00,LONG,4123,0.14925953333078046,-0.5181793,3.0,-0.038966693
2008-03-25 00:00:00+00,LONG,2041,0.0,-0.15465325,4.0,-0.043786947
2008-04-03 00:00:00+00,LONG,870,0.6896551724137931,0.034631636,3.0,-0.031655442
2008-04-03 00:00:00+00,LONG,903,0.0,0.7964603,3.0,-0.028617201
2008-04-04 00:00:00+00,LONG,903,0.0,-0.54461473,4.0,-0.028417055
2008-04-04 00:00:00+00,LONG,3573,0.8235294117647058,0.44228444,3.0,-0.031811006
2008-04-04 00:00:00+00,LONG,1949,0.0,0.6868431,3.0,-0.042040445
2008-04-14 00:00:00+00,LONG,3519,1.0,0.7270403,3.0,-0.04791348
2008-04-15 00:00:00+00,LONG,2536,0.0,0.08930987,3.0,-0.05993251
2008-04-24 00:00:00+00,LONG,1853,0.0,0.7464633,4.0,-0.0356046
2008-05-21 00:00:00+00,LONG,1960,0.0,-0.5623199,3.0,-0.032940388
2008-05-23 00:00:00+00,LONG,4171,0.0,0.49960837,3.0,-0.0541102
2008-05-27 00:00:00+00,LONG,4171,0.0,0.14828251,4.0,-0.04697238
2008-06-04 00:00:00+00,LONG,817,0.0,-0.34339234,3.0,-0.03754017
2008-06-05 00:00:00+00,LONG,3142,0.0,-0.36335447,3.0,-0.04817921
2008-07-08 00:00:00+00,LONG,3013,0.0,-0.08334515,3.0,-0.07042373
2008-07-11 00:00:00+00,LONG,3882,0.0,0.38032576,3.0,-0.052225757
2008-07-16 00:00:00+00,LONG,429,0.0,0.21313374,3.0,-0.04898946
2008-07-16 00:00:00+00,LONG,1236,0.9811320754716981,-0.08224671,4.0,-0.061520774
2008-07-17 00:00:00+00,LONG,429,0.0,-0.25575298,4.0,-0.053415183
2008-07-23 00:00:00+00,LONG,502,0.0,0.6115647,3.0,-0.068216935
2008-08-01 00:00:00+00,LONG,11,0.0,0.10027336,3.0,-0.039097946
2008-08-19 00:00:00+00,LONG,555,0.0,0.39157927,3.0,-0.053497884
