id,strategy,ticker,ticker_id,signal_date,side,close_reason,entry_date,exit_date,entry_price,entry_price_adjusted,exit_price,exit_price_adjusted,tp,sl,atr,atr_entry_adjusted,size,size_adjusted,allocation_usd,gross_pnl_usd,net_pnl_usd,gross_pnl_pct,net_pnl_pct,commission_usd,commission_pct
373997,wf1-p16-short-17225,MGA,2437,2021-04-28,Short,Time,2021-04-29,2021-05-17,99,86.84790981045614,96.21,84.40032384133183,76.31957086881917,90.35735612433514,2.6670009355611106,2.3396308759193283,20,22.79847614434603,1980,55.801230328316834,55.20123032831683,0.027900615164158416,0.027600615164158415,0.6,0.0003
373998,wf1-p16-short-17225,MGA,2437,2021-08-13,Short,Time,2021-08-16,2021-09-01,85.11,74.99939016968987,78.69,69.70621667724329,66.8866052486449,77.7036518100382,2.0458807081790766,1.8028410935655508,23,26.100612225925975,1957.53,138.1550687708986,137.4650687708986,0.0690775343854493,0.0687325343854493,0.69,0.000345
373999,wf1-p16-short-17225,MGA,2437,2021-11-17,Short,TP,2021-11-18,2021-11-30,87.85,78.20330191256829,78.29751806305744,69.69977624704228,69.69977624704228,81.03781046774363,2.1227712085656734,1.889672370116891,22,24.71379024584881,1932.6999999999998,210.15434964800178,209.4943496480018,0.10507717482400089,0.1047471748240009,0.6599999999999999,0.00032999999999999994
374000,wf1-p16-short-17225,MGM,2440,2020-01-17,Short,TP,2020-01-21,2020-01-22,33.85,33.57357749305342,31.943173767952427,31.682329510172806,31.682329510172806,34.203993487346956,0.4237376135295991,0.4202773295290256,59,59.485766758494016,1997.15,112.50233639210849,110.7323363921085,0.056251168196054246,0.05536616819605425,1.77,0.000885
374001,wf1-p16-short-17225,MKC,2462,2020-01-24,Short,TP,2020-01-27,2020-02-04,172.33,78.1291196919692,161.14600884837313,73.05860659029628,73.05860659029628,79.81929072586016,2.4853488295510195,1.1267806892606462,11,24.262784573455903,1895.63,123.02476706277565,122.69476706277565,0.061512383531387826,0.06134738353138783,0.32999999999999996,0.00016499999999999997
374002,wf1-p16-short-17225,MKC,2462,2020-09-03,Short,TP,2020-09-04,2020-09-18,204.4,93.3781425811246,188.92175227153078,86.30708650545706,86.30708650545706,95.73516127301379,3.4395959432982894,1.571345794592786,9,19.700541787943592,1839.6000000000001,139.30363570358085,139.03363570358084,0.06965181785179042,0.06951681785179042,0.27,0.000135
374003,wf1-p16-short-17225,MKC,2462,2020-10-23,Short,TP,2020-10-26,2020-10-30,194.83,89.2926993404102,180.4025074365603,82.68043498683953,82.68043498683953,91.49678745826708,3.2061037552090137,1.4693920785712595,10,21.819253022831173,1948.3000000000002,144.27466898440557,143.97466898440555,0.07213733449220278,0.07198733449220278,0.3,0.00015
374004,wf1-p16-short-17225,MKC,2462,2021-03-30,Short,Time,2021-03-31,2021-04-19,89.72,82.53525540601167,88.6,81.81534406302757,74.49573721170809,85.21509480411287,1.9420807073282653,1.7865595987341305,22,23.915113490473672,1973.84,17.216761470544185,16.556761470544185,0.008608380735272092,0.008278380735272092,0.6599999999999999,0.00032999999999999994
374005,wf1-p16-short-17225,MKC,2462,2021-04-20,Short,Time,2021-04-21,2021-05-07,91.17,84.18853227806788,90.13,83.22813860964962,78.94945348926119,85.93489187433678,1.260786159219875,1.1642397308459327,21,22.741458345850845,1914.57,21.84075260595281,21.210752605952813,0.010920376302976405,0.010605376302976406,0.63,0.000315
374006,wf1-p16-short-17225,MKC,2462,2022-04-27,Short,Time,2022-04-28,2022-05-16,102.37,96.0194677238986,100.31,94.08718259361999,87.52126166868194,98.85220307563749,2.0133911371067654,1.888490234492591,19,20.256621350921062,1945.0300000000002,39.141568226069076,38.571568226069076,0.019570784113034537,0.019285784113034537,0.57,0.000285
374007,wf1-p16-short-17225,MKC,2462,2023-01-09,Short,TP,2023-01-10,2023-01-18,84.78,80.66620549958516,77.65831125673107,73.89001642283246,73.89001642283246,82.92493519183606,1.5826132072950605,1.5058197948339338,23,24.172948112825612,1949.94,163.80046695503873,163.11046695503873,0.08190023347751936,0.08155523347751936,0.69,0.000345
374008,wf1-p16-short-17225,MKC,2462,2023-02-23,Short,Time,2023-02-24,2023-03-14,74.8,71.17043424913311,72.5,68.98207474944321,65.49957966032896,73.06071911206783,1.3244573559161512,1.2601899086231434,26,27.325953825042014,1944.8,59.79901064111811,59.01901064111811,0.029899505320559055,0.029509505320559053,0.78,0.00039
374009,wf1-p16-short-17225,MKC,2462,2023-05-15,Short,TP,2023-05-16,2023-05-30,90.65,86.64745384615385,85.4619274955351,81.68847624591953,81.68847624591953,88.30044637956529,1.1528999911126523,1.1019950222742938,22,23.016256236922583,1994.3000000000002,114.13709912015256,113.47709912015256,0.05706854956007628,0.056738549560076276,0.6599999999999999,0.00032999999999999994
374010,wf1-p16-short-17225,MKC,2462,2023-06-23,Short,TP,2023-06-26,2023-06-29,93.75,89.61058929145673,88.12125969074549,84.23033746492122,84.23033746492122,91.40400656696858,1.2508407835029849,1.1956115170078927,21,21.97005973921986,1968.75,118.204454041032,117.574454041032,0.059102227020516,0.058787227020515996,0.63,0.000315
374011,wf1-p16-short-17225,MLM,2473,2020-01-02,Short,Time,2020-01-03,2020-01-22,274.65,264.6064879799847,268.04,258.23824318516006,247.05769968355193,270.45608407879564,4.0477505063039025,3.8997307325406183,7,7.265694861364944,1922.5499999999997,46.26972348167149,46.05972348167149,0.023134861740835747,0.023029861740835746,0.21,0.00010499999999999999
374012,wf1-p16-short-17225,MLM,2473,2022-01-05,Short,TP,2022-01-06,2022-01-14,437.74,428.6722352787756,403.49321142182754,395.13482995531047,395.13482995531047,439.8513703865973,7.610405961119276,7.4527567385478095,4,4.084612568531083,1750.96,136.98730730014688,136.86730730014688,0.06849365365007344,0.06843365365007344,0.12,0.000059999999999999995
