time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,skew_weighted_60_df037
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,0.0039832927,0.2860147
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.0022559701,-0.071652696
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,-0.005993986,0.16101825
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.005548426,0.046828322
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,4.7820073E-4,0.09141103
2005-03-09 00:00:00+00,SHORT,2070,0.8171119053706654,-0.00551752,0.08211231
2005-03-09 00:00:00+00,SHORT,2116,0.6668150181773671,0.017590784,0.15796226
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.0012670251,0.16167441
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,-0.0033349008,0.10121102
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,-0.0040949667,-0.0152759785
2005-03-11 00:00:00+00,SHORT,2116,0.414528882865282,9.080374E-4,0.12917413
2005-03-11 00:00:00+00,SHORT,2343,0.541956378092684,-0.006928597,0.26810363
2005-03-14 00:00:00+00,SHORT,3244,0.5706484650577092,-0.0057082963,0.071072534
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,-0.0037526384,0.059062947
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.005923711,0.06823913
2005-03-16 00:00:00+00,SHORT,2747,1.0,0.0018544566,0.1511975
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.0016665481,0.14072946
2005-03-18 00:00:00+00,SHORT,429,0.8225193187954439,0.024296172,-0.0017876716
2005-03-18 00:00:00+00,SHORT,712,1.0,0.008717177,0.29101905
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.0022236304,-0.016228952
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.0012354619,0.19534451
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.016768496,0.019120475
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.008176483,0.23966074
2005-03-28 00:00:00+00,SHORT,1471,0.41979277603375054,-0.004582571,0.13557696
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,-0.0045424863,0.21567948
2005-03-30 00:00:00+00,SHORT,4194,1.0,0.0049861157,-0.11101688
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.0023373838,0.22483782
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,-8.349577E-4,-0.12033142
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.004923913,0.21760963
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,0.002739053,0.2643403
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,-0.005079767,0.33412513
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,0.0038237611,-0.047633607
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.0033822407,0.15513313
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.0018128408,0.28391665
2005-04-06 00:00:00+00,SHORT,2297,0.0,0.01843196,0.30819958
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,-5.0202396E-4,0.29259685
2005-04-06 00:00:00+00,SHORT,1770,0.5591253411490623,-0.0069386996,0.3335355
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.0018252461,0.25048316
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.0012920075,0.15902478
2005-04-07 00:00:00+00,SHORT,2297,0.0,0.0020835702,0.29643762
2005-04-07 00:00:00+00,SHORT,444,1.0,0.009904617,0.04942078
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,-0.006264409,0.040910915
2005-04-07 00:00:00+00,SHORT,2818,0.3171132865082264,-0.0069653504,0.2806043
2005-04-07 00:00:00+00,SHORT,1826,0.40539782864250584,-0.0015003406,0.31224495
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.0013422265,0.2343145
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,-0.0056361672,0.10464487
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,-0.00623316,0.062243097
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0031739385,0.019251987
2005-04-08 00:00:00+00,SHORT,1650,0.0,0.0019217972,0.031908255
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.0013873163,0.1768908
2005-04-11 00:00:00+00,SHORT,2253,1.0,3.6429532E-4,0.2624277
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.0054605,0.24331272
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,-0.0015195654,0.2526105
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.0034011824,0.07410339
2005-04-11 00:00:00+00,SHORT,1939,1.0,-0.0055895587,0.044956964
2005-04-12 00:00:00+00,SHORT,4122,1.0,6.9783867E-4,0.054201704
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.0030956252,0.1415665
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.0020292338,0.057029992
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.004762747,0.29174677
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.005717211,0.10026239
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.0052305106,0.02460895
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.021830844,0.12920591
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.005210495,0.1270027
2005-04-12 00:00:00+00,SHORT,3310,0.34639637549767277,-0.005503104,0.0877134
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.004371628,0.1737752
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.02768142,0.2895685
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.0030592477,0.2655545
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,6.3293945E-4,0.07233737
2005-04-13 00:00:00+00,SHORT,424,0.0,0.008418363,0.22869995
2005-04-13 00:00:00+00,SHORT,780,1.0,0.00957224,0.026461277
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.0022610065,0.0824834
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-3.1545834E-4,0.25247547
2005-04-13 00:00:00+00,SHORT,1244,0.0,-0.0048492556,0.18243706
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.0047648503,0.014850457
2005-04-13 00:00:00+00,SHORT,3994,0.5722110442553464,-0.006372446,0.14152116
2005-04-14 00:00:00+00,SHORT,424,0.0,-0.0059108036,0.2242073
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,0.0033066913,0.059790418
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,-9.878785E-4,0.18282215
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,-0.0067642527,0.013956652
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.0032469828,0.044876393
2005-04-22 00:00:00+00,SHORT,2720,1.0,-1.9738277E-4,0.21824914
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,-0.0041142562,0.08911424
2005-04-25 00:00:00+00,SHORT,1631,0.0,-0.0030983596,0.21467137
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.003736896,0.14043678
2005-04-26 00:00:00+00,SHORT,4215,0.5190072984871945,-0.0058561307,0.13756907
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,-0.006375746,-0.1186211
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,-0.003585682,0.0761239
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,-0.0026151228,0.09167992
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,0.008931247,0.13064568
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.0055803997,0.14943467
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0015989892,0.20234312
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.0044464017,0.11069167
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,0.0078054313,0.05223358
2005-05-05 00:00:00+00,SHORT,1022,0.0,-0.0041477266,-0.0031171488
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.0048631523,0.14465733
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.014853379,0.2238616
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,9.6246816E-4,0.22340429
2005-05-09 00:00:00+00,SHORT,874,0.0,-3.2986788E-4,0.09875135
