time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.5_df055,co_fall_count_1_10_df044,dist_upper_bb_20_2.5_df055
2006-11-22 00:00:00+00,SHORT,3286,0.0,-0.010125525,4.0,9.3120453E-4
2006-12-01 00:00:00+00,SHORT,1748,0.20167202157741035,-0.017717294,4.0,-0.039440777
2006-12-04 00:00:00+00,SHORT,2345,0.21316198855737942,0.013482956,4.0,0.0035504047
2006-12-05 00:00:00+00,SHORT,2345,0.19406676734184003,0.0011918364,4.0,-0.015270238
2006-12-06 00:00:00+00,SHORT,559,0.2337488548348961,-0.011338863,4.0,-0.0110618975
2006-12-11 00:00:00+00,SHORT,1904,0.0,-0.0050673434,4.0,-0.009182961
2006-12-13 00:00:00+00,SHORT,898,0.0,-0.011502885,5.0,-0.012819497
2006-12-20 00:00:00+00,SHORT,1745,0.14940899925086024,-0.015134597,4.0,-0.01599147
2007-01-04 00:00:00+00,SHORT,2557,0.0,-0.013987317,4.0,-0.023136163
2007-01-04 00:00:00+00,SHORT,2686,0.0,-0.010951991,4.0,0.0041700746
2007-01-17 00:00:00+00,SHORT,309,0.7916732538440839,-0.002855756,4.0,0.015939893
2007-02-06 00:00:00+00,SHORT,2088,1.0,0.008891131,4.0,0.004494785
2007-02-14 00:00:00+00,SHORT,4197,0.5513004435503323,-0.009289257,4.0,-0.023004115
2007-02-14 00:00:00+00,SHORT,602,0.36209994703710063,0.0083969245,5.0,0.010834891
2007-02-14 00:00:00+00,SHORT,629,0.3543594433907791,-0.0120713655,5.0,-0.008127219
2007-02-15 00:00:00+00,SHORT,602,0.2876181415814229,8.8123884E-4,4.0,2.6526237E-5
2007-02-23 00:00:00+00,SHORT,2393,0.4111330602198897,-0.0057013733,5.0,-0.0016374763
2007-02-23 00:00:00+00,SHORT,3681,0.22949905244433408,0.0044257217,4.0,-0.0019157738
2007-02-23 00:00:00+00,SHORT,3853,0.6314184314774135,-0.014868697,5.0,-0.0017762751
2007-02-26 00:00:00+00,SHORT,4123,0.0,-0.01994017,5.0,-0.013296607
2007-02-26 00:00:00+00,SHORT,2393,0.1976275397958454,-0.018321428,4.0,-0.016213909
2007-02-26 00:00:00+00,SHORT,3681,0.31404188793987314,0.0030413475,4.0,-0.0051959325
2007-04-03 00:00:00+00,SHORT,4150,0.36257401260904504,-0.0139612425,4.0,-0.009205057
2007-04-13 00:00:00+00,SHORT,2105,0.5994683740869456,-0.019426508,4.0,-0.018469341
2007-04-19 00:00:00+00,SHORT,4164,0.22599719950683003,-0.0162612,4.0,-0.018993916
2007-04-20 00:00:00+00,SHORT,4164,0.21165082408180652,-0.014665552,4.0,-0.014151758
2007-04-20 00:00:00+00,SHORT,3519,0.20910524673524475,-0.010306788,5.0,-0.0050131977
2007-04-26 00:00:00+00,SHORT,3645,0.3749061332490271,-0.020263145,5.0,0.004628177
2007-05-02 00:00:00+00,SHORT,3791,0.34762690599449964,-0.015514997,4.0,-0.025313523
2007-05-04 00:00:00+00,SHORT,934,0.0,0.015003606,4.0,0.007313977
2007-05-04 00:00:00+00,SHORT,3905,0.5049282665504579,0.008742884,5.0,0.008761958
2007-05-07 00:00:00+00,SHORT,3905,0.3966753031501317,-0.0099806115,4.0,-0.01501865
2007-05-16 00:00:00+00,SHORT,2270,0.3966997438844391,-0.015146878,4.0,-0.02319399
2007-05-21 00:00:00+00,SHORT,1988,0.596360598746671,0.009458438,5.0,-0.0036816492
2007-05-22 00:00:00+00,SHORT,3137,0.7215711400373503,0.003594199,4.0,-0.0024104246
2007-05-22 00:00:00+00,SHORT,1988,0.49327920119387797,-0.005041068,4.0,-0.023276052
2007-05-31 00:00:00+00,SHORT,2351,1.0,-0.009065735,4.0,-0.002808334
2007-06-01 00:00:00+00,SHORT,2731,0.28554841214311116,0.0052851955,4.0,0.0036543272
2007-06-01 00:00:00+00,SHORT,1454,1.0,-0.010992545,4.0,-0.013152106
2007-06-04 00:00:00+00,SHORT,2731,0.47682733179839815,-0.009742527,4.0,-0.014509273
2007-06-04 00:00:00+00,SHORT,934,0.3785097579699601,-0.009460577,4.0,-0.008575851
2007-06-04 00:00:00+00,SHORT,2004,0.20475843771926588,-0.013102813,4.0,0.001343191
2007-06-05 00:00:00+00,SHORT,440,0.18827382114014277,-0.020434774,4.0,-0.022630543
2007-06-14 00:00:00+00,SHORT,2176,0.6883571239622739,-0.016754445,4.0,-0.011733893
2007-06-18 00:00:00+00,SHORT,19,0.7837384749336693,-0.019413793,4.0,-0.014479241
2007-06-18 00:00:00+00,SHORT,694,0.491686495858086,-0.017921358,5.0,-0.004757551
2007-06-22 00:00:00+00,SHORT,2408,1.0,0.0011885909,4.0,-0.013549133
2007-06-25 00:00:00+00,SHORT,2408,0.0,-0.019866139,4.0,-0.032176323
2007-07-02 00:00:00+00,SHORT,401,0.0,-0.020273937,4.0,-0.014076588
2007-07-03 00:00:00+00,SHORT,401,0.1428571428571429,-0.019166918,4.0,-0.013799584
2007-07-03 00:00:00+00,SHORT,687,1.0,-0.0010733394,5.0,-0.0010548816
2007-07-05 00:00:00+00,SHORT,687,0.9444444444444444,-0.017043842,5.0,-0.019204352
2007-07-06 00:00:00+00,SHORT,401,0.0,-0.019926056,4.0,-0.014262662
2007-07-17 00:00:00+00,SHORT,2176,1.0,-0.009407744,4.0,-0.0138021605
2007-07-17 00:00:00+00,SHORT,2801,0.670961081620263,-0.019814562,4.0,-0.025988704
2007-07-17 00:00:00+00,SHORT,3853,1.0,-0.017963683,4.0,-0.012768618
2007-07-18 00:00:00+00,SHORT,3607,0.6656986373611248,-0.0024375652,4.0,-0.011128657
2007-07-19 00:00:00+00,SHORT,2119,0.4967532555983112,-0.020300955,4.0,-0.008111869
2007-07-19 00:00:00+00,SHORT,3855,1.0,0.016922519,4.0,0.011504783
2007-07-20 00:00:00+00,SHORT,212,0.6357892597226451,-0.00956087,4.0,-0.024906863
2007-07-20 00:00:00+00,SHORT,3613,0.4954414224680437,-0.019964408,4.0,-0.027628312
