time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,price_drift_5_df005
2005-09-21 00:00:00+00,LONG,1063,0.2945040984041216,-0.13128288,-0.081602626
2005-10-04 00:00:00+00,LONG,870,0.0,-0.13886237,-0.05248331
2005-10-07 00:00:00+00,LONG,4171,0.6440674135033148,-0.15098079,-0.050941307
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,-0.11057692,-0.08093563
2005-10-11 00:00:00+00,LONG,1650,0.0,-0.16084905,-0.075844154
2005-10-12 00:00:00+00,LONG,68,1.0,-0.14054759,-0.07181076
2005-10-12 00:00:00+00,LONG,505,1.0,-0.12978208,-0.075141534
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,-0.115767635,-0.064940766
2005-10-13 00:00:00+00,LONG,2546,0.37462099253351794,-0.16589862,-0.067883894
2005-10-13 00:00:00+00,LONG,3614,1.0,-0.11722702,-0.05569701
2005-10-14 00:00:00+00,LONG,2546,0.3197534291354142,-0.14828898,-0.06666667
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,-0.11670481,-0.050819673
2005-10-20 00:00:00+00,LONG,2815,0.318316998901627,-0.15247059,-0.063442536
2005-10-20 00:00:00+00,LONG,1615,1.0,-0.1502979,-0.057085328
2005-10-20 00:00:00+00,LONG,3882,0.0,-0.12930548,-0.06827795
2005-10-20 00:00:00+00,LONG,3947,0.5225266614808628,-0.12052506,-0.057544757
2005-10-20 00:00:00+00,LONG,2041,1.0,-0.14495605,-0.051741023
2005-10-21 00:00:00+00,LONG,88,1.0,-0.10924933,-0.06276446
2005-10-21 00:00:00+00,LONG,2815,0.30640652026633947,-0.17391305,-0.05546834
2005-10-21 00:00:00+00,LONG,3794,1.0,-0.13251908,-0.082956746
2005-10-21 00:00:00+00,LONG,3882,0.0,-0.121107265,-0.07859734
2005-10-24 00:00:00+00,LONG,684,0.0,-0.14613035,-0.0857714
2005-10-25 00:00:00+00,LONG,684,0.0,-0.13798423,-0.06801334
2005-10-26 00:00:00+00,LONG,684,0.0,-0.13913488,-0.088038966
2005-10-26 00:00:00+00,LONG,869,0.6266884407312735,-0.115226336,-0.05147059
2005-10-26 00:00:00+00,LONG,3794,0.9482758620689655,-0.11947973,-0.060967743
2005-10-27 00:00:00+00,LONG,643,0.414026145685383,-0.11400046,-0.064935066
2005-10-27 00:00:00+00,LONG,684,0.9,-0.1329279,-0.076439016
2005-10-27 00:00:00+00,LONG,3127,0.8571428571428572,-0.109792285,-0.07565902
2005-10-27 00:00:00+00,LONG,3794,0.9310344827586207,-0.15476887,-0.07905643
2005-10-27 00:00:00+00,LONG,3853,1.0,-0.1635201,-0.07725899
2005-10-27 00:00:00+00,LONG,1897,1.0,-0.16861561,-0.05245463
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,-0.1148811,-0.079637
2005-10-28 00:00:00+00,LONG,3853,1.0,-0.15611814,-0.08256881
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,-0.16911115,-0.08654687
2005-10-28 00:00:00+00,LONG,4005,1.0,-0.1387385,-0.055233855
2005-10-31 00:00:00+00,LONG,3853,0.9642857142857143,-0.15781711,-0.07664942
2005-10-31 00:00:00+00,LONG,3897,0.0,-0.18887673,-0.061066717
2005-10-31 00:00:00+00,LONG,4005,0.6508095854285162,-0.124107264,-0.057971016
2005-11-01 00:00:00+00,LONG,167,0.9393939393939394,-0.16493955,-0.056585364
2005-11-01 00:00:00+00,LONG,3699,0.5126236941631488,-0.18538648,-0.065142065
2005-11-02 00:00:00+00,LONG,3837,0.0,-0.14218676,-0.08964144
2005-11-15 00:00:00+00,LONG,984,1.0,-0.14091681,-0.05860465
2005-11-16 00:00:00+00,LONG,3148,0.6976744186046512,-0.10873441,-0.07063197
2005-11-16 00:00:00+00,LONG,3677,1.0,-0.111794874,-0.0893796
2005-11-22 00:00:00+00,LONG,153,0.855635784696622,-0.171278,-0.0653789
2005-11-30 00:00:00+00,LONG,1360,0.9523809523809523,-0.17977528,-0.0875
2005-12-01 00:00:00+00,LONG,1360,0.9047619047619048,-0.18644068,-0.07692308
