time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,price_drift_abs_1_df006
2006-05-24 00:00:00+00,LONG,397,1.0,0.042951245,0.022923714
2006-06-13 00:00:00+00,LONG,356,0.0,0.045566645,0.023482075
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,0.030134333,0.019491218
2006-06-13 00:00:00+00,LONG,2731,0.5288586984257846,0.105136886,0.020970134
2006-06-13 00:00:00+00,LONG,934,1.0,0.0534203,0.024161074
2006-06-13 00:00:00+00,LONG,984,1.0,0.025303397,0.017391304
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.035416447,0.023206813
2006-06-13 00:00:00+00,LONG,3330,1.0,0.026576482,0.022289414
2006-06-13 00:00:00+00,LONG,1762,1.0,0.06794798,0.013289036
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,0.037139814,0.022393364
2006-06-14 00:00:00+00,LONG,2125,1.0,0.02769251,0.01323043
2006-06-14 00:00:00+00,LONG,219,1.0,0.0352102,0.01313454
2006-06-14 00:00:00+00,LONG,934,0.7757553516126262,0.023405457,0.019601101
2006-06-14 00:00:00+00,LONG,2990,1.0,0.03131072,0.008356122
2006-06-14 00:00:00+00,LONG,3352,0.9565217391304348,0.04144576,0.019509494
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,0.02822776,0.01757176
2006-06-14 00:00:00+00,LONG,1888,0.22546008665660874,0.029420082,0.011235955
2006-06-15 00:00:00+00,LONG,3684,0.4720612973661733,0.03355586,0.009896536
2006-07-10 00:00:00+00,LONG,817,0.0,0.114427514,0.011247711
2006-07-11 00:00:00+00,LONG,817,0.0,0.079895906,0.02037037
2006-07-14 00:00:00+00,LONG,858,1.0,0.05258233,0.020534862
2006-07-18 00:00:00+00,LONG,3782,1.0,0.03493091,0.024036627
2006-07-21 00:00:00+00,LONG,167,1.0,0.045204382,0.02190396
2006-07-21 00:00:00+00,LONG,2504,0.40309440387988704,0.044641666,0.016335683
2006-07-24 00:00:00+00,LONG,858,0.7346155763706231,0.10618002,0.020618556
2006-07-24 00:00:00+00,LONG,3631,1.0,0.07894081,0.007317073
2006-07-26 00:00:00+00,LONG,4197,0.3122560085077381,0.12058354,0.008861175
2006-07-26 00:00:00+00,LONG,2305,0.9516129032258065,0.02300069,0.018153924
2006-07-27 00:00:00+00,LONG,3378,1.0,0.050321013,0.010583153
2006-07-27 00:00:00+00,LONG,4062,0.96875,0.10969779,0.009501188
2006-07-28 00:00:00+00,LONG,1063,0.6546591590214399,0.034287974,0.014609422
2006-07-31 00:00:00+00,LONG,4062,0.0,0.035653412,0.01490256
2006-08-01 00:00:00+00,LONG,4062,0.875,0.039071593,0.022966867
2006-08-02 00:00:00+00,LONG,1022,0.05513432577587969,0.070994146,0.021064902
2006-08-02 00:00:00+00,LONG,1650,1.0,0.028531855,0.010989011
2006-08-11 00:00:00+00,LONG,694,1.0,0.030233663,0.015296367
2006-08-14 00:00:00+00,LONG,558,1.0,0.05557832,0.00839921
2006-08-14 00:00:00+00,LONG,694,0.95,0.03679235,0.012621359
2006-08-15 00:00:00+00,LONG,68,0.7483263725629401,0.04210359,0.009061254
2006-08-15 00:00:00+00,LONG,558,0.9807692307692307,0.02583505,0.018618325
2006-08-18 00:00:00+00,LONG,2936,0.12132254824214743,0.058181584,0.017149687
2006-08-21 00:00:00+00,LONG,2936,0.09519181770522943,0.04524118,0.008028253
2006-08-25 00:00:00+00,LONG,974,1.0,0.09821236,0.017143033
2006-08-28 00:00:00+00,LONG,4150,0.27015457166552287,0.041412693,0.010850542
2006-08-28 00:00:00+00,LONG,974,0.5931220137366541,0.03237436,0.012125254
2006-09-22 00:00:00+00,LONG,2661,0.012954808036752346,0.073147334,0.020194465
2006-09-25 00:00:00+00,LONG,2661,0.14427682121962843,0.04220341,0.017557252
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,0.02595372,0.014785442
2006-10-11 00:00:00+00,LONG,2272,0.48472207790205196,0.025244977,0.01778656
2006-10-12 00:00:00+00,LONG,1087,0.638775244169629,0.048302107,0.023656776
2006-11-03 00:00:00+00,LONG,2327,0.24624213844722256,0.023643699,0.008813559
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,0.029535726,0.017844314
2006-11-30 00:00:00+00,LONG,3595,0.13947561491061328,0.052235775,0.007934086
2006-12-01 00:00:00+00,LONG,192,0.164098878592997,0.12781511,0.016559338
2006-12-01 00:00:00+00,LONG,3595,0.12727272727272732,0.031121438,0.01568748
2006-12-04 00:00:00+00,LONG,192,0.1361752955237947,0.09163501,0.015594013
2006-12-07 00:00:00+00,LONG,192,0.08612228299379239,0.040689144,0.010229181
2007-01-04 00:00:00+00,LONG,1404,0.8205051362522381,0.04540069,0.009308774
2007-01-05 00:00:00+00,LONG,3236,1.0,0.028378906,0.018554192
2007-01-05 00:00:00+00,LONG,1404,0.7421189594844843,0.026013454,0.010204081
2007-01-09 00:00:00+00,LONG,1790,0.5798524774352435,0.05858827,0.0077279755
2007-01-10 00:00:00+00,LONG,2896,0.42747883681958226,0.035752837,0.012139243
2007-01-10 00:00:00+00,LONG,1298,1.0,0.031437617,0.018618122
2007-01-10 00:00:00+00,LONG,3466,1.0,0.028670955,0.019934697
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,0.03412032,0.012190875
2007-01-11 00:00:00+00,LONG,93,0.0,0.02290521,0.016393442
2007-01-11 00:00:00+00,LONG,2261,1.0,0.040094066,0.022826616
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,0.033587035,0.013884697
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,0.028586706,0.008942662
2007-01-12 00:00:00+00,LONG,2546,0.20536126778672154,0.028655693,0.010439561
2007-01-17 00:00:00+00,LONG,3179,0.0,0.10606458,0.012048192
2007-01-18 00:00:00+00,LONG,3179,0.0,0.075999804,0.01438399
2007-03-01 00:00:00+00,LONG,2437,1.0,0.042161863,0.013456572
2007-03-02 00:00:00+00,LONG,3436,0.17819554048114108,0.027454207,0.02021978
2007-03-02 00:00:00+00,LONG,3515,0.4545668765977397,0.031804744,0.011254019
2007-03-05 00:00:00+00,LONG,356,0.0,0.029309213,0.018116064
2007-03-05 00:00:00+00,LONG,2437,0.9333333333333333,0.040076107,0.016368639
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,0.042165805,0.022551173
2007-03-05 00:00:00+00,LONG,3255,0.0,0.024087153,0.021018418
2007-03-05 00:00:00+00,LONG,3436,0.0,0.032466024,0.011664423
2007-03-05 00:00:00+00,LONG,3515,0.582567639895145,0.034927256,0.0109756095
2007-03-06 00:00:00+00,LONG,135,0.0,0.024604294,0.008102881
2007-03-07 00:00:00+00,LONG,2351,0.0,0.024988795,0.0184003
2007-03-15 00:00:00+00,LONG,3815,0.38085659041801617,0.025747912,0.012514758
2007-03-16 00:00:00+00,LONG,2983,1.0,0.027329555,0.008099095
2007-03-16 00:00:00+00,LONG,3815,0.4242023959246679,0.025388705,0.008130081
2007-04-05 00:00:00+00,LONG,2142,0.0,0.103102095,0.007165605
2007-04-11 00:00:00+00,LONG,73,0.49237436766312875,0.025700683,0.01676727
2007-04-11 00:00:00+00,LONG,248,0.5,0.13214567,0.0074132155
