time,side,ticker_id,mv_up_composite_labels,price_drift_1_df005,price_drift_21_df005,joint_fall_flag_5_10_df042
2006-11-15 00:00:00+00,LONG,153,0.5109141234228272,0.008560311,-0.11956522,1.0
2006-11-15 00:00:00+00,LONG,450,0.9615384615384616,0.0037974683,-0.15398294,1.0
2006-11-16 00:00:00+00,LONG,450,0.9230769230769231,0.006725515,-0.13693693,1.0
2006-12-13 00:00:00+00,LONG,2297,0.9565217391304348,0.0071123755,-0.11720698,1.0
2007-01-08 00:00:00+00,LONG,4062,1.0,0.011169285,-0.13831054,1.0
2007-01-09 00:00:00+00,LONG,3283,0.925,0.012158055,-0.14147599,1.0
2007-01-10 00:00:00+00,LONG,838,0.972972972972973,0.011595362,-0.14498141,1.0
2007-01-10 00:00:00+00,LONG,4062,0.9411764705882353,0.007939247,-0.13301663,1.0
2007-01-30 00:00:00+00,LONG,3703,0.6129032258064516,0.01536831,-0.1329009,1.0
2007-02-02 00:00:00+00,LONG,1790,0.17628045260865413,0.011613692,-0.15818922,1.0
2007-03-08 00:00:00+00,LONG,2497,0.9318181818181819,0.023849964,-0.11806016,1.0
2007-03-08 00:00:00+00,LONG,3677,0.95,0.012800554,-0.1610546,1.0
2007-03-14 00:00:00+00,LONG,4137,1.0,0.022123894,-0.11916111,1.0
2007-03-14 00:00:00+00,LONG,557,0.3628755244131627,0.009334163,-0.15256009,1.0
2007-03-14 00:00:00+00,LONG,1838,0.4830205150697143,0.004488778,-0.15378152,1.0
2007-03-14 00:00:00+00,LONG,1939,1.0,0.023558477,-0.15430862,1.0
2007-03-15 00:00:00+00,LONG,4137,0.975,0.0054112556,-0.12687969,1.0
2007-03-15 00:00:00+00,LONG,2469,0.0,0.013752456,-0.12244898,1.0
2007-03-15 00:00:00+00,LONG,557,0.28194226310840925,0.01972873,-0.1530978,1.0
2007-03-15 00:00:00+00,LONG,3199,0.8461538461538461,0.003241491,-0.14265928,1.0
2007-03-15 00:00:00+00,LONG,3573,0.9696969696969697,0.0037671232,-0.14573011,1.0
2007-03-16 00:00:00+00,LONG,2613,0.9534883720930233,0.0061505064,-0.11993671,1.0
2007-03-19 00:00:00+00,LONG,2095,0.0,0.0076530613,-0.1255109,1.0
2007-03-19 00:00:00+00,LONG,4194,0.1491141451056975,0.023508137,-0.12671167,1.0
2007-03-19 00:00:00+00,LONG,3199,0.8076923076923077,0.013064779,-0.15639167,1.0
2007-03-20 00:00:00+00,LONG,4194,0.1191967497800139,0.007508834,-0.1429645,1.0
2007-03-28 00:00:00+00,LONG,1939,0.5833333333333334,0.006150977,-0.12425944,1.0
2007-04-02 00:00:00+00,LONG,4169,0.0,0.002809141,-0.13030817,1.0
2007-06-19 00:00:00+00,LONG,191,0.0,0.0044411547,-0.12957023,1.0
2007-06-26 00:00:00+00,LONG,3521,0.0,0.00925,-0.14867145,1.0
2007-06-26 00:00:00+00,LONG,4034,0.9696969696969697,0.013051824,-0.13898858,1.0
2007-06-27 00:00:00+00,LONG,3521,0.0,0.0076789698,-0.14050286,1.0
2007-08-06 00:00:00+00,LONG,523,0.4191023183601767,0.0073839664,-0.12815246,1.0
2007-08-13 00:00:00+00,LONG,160,0.0,0.004031484,-0.14332515,1.0
2007-08-13 00:00:00+00,LONG,2866,0.0,0.023163842,-0.14535157,1.0
2007-08-15 00:00:00+00,LONG,160,0.0,0.0059194197,-0.12810327,1.0
2007-08-15 00:00:00+00,LONG,2866,0.0,0.002787068,-0.13091788,1.0
2007-08-16 00:00:00+00,LONG,200,1.0,0.010204081,-0.15307058,1.0
2007-08-16 00:00:00+00,LONG,786,0.7878611333453424,0.00943194,-0.12341772,1.0
