time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,accel_eps_qoq_df017
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,-0.007197425,-0.03
2005-03-08 00:00:00+00,SHORT,39,0.395425460013165,-0.014590989,0.32
2005-03-08 00:00:00+00,SHORT,194,0.39933968732343317,-0.011790328,0.0
2005-03-08 00:00:00+00,SHORT,2553,0.39549922347210165,-0.009268634,-0.14
2005-03-08 00:00:00+00,SHORT,516,0.6811871210337171,-0.013454327,-0.01
2005-03-08 00:00:00+00,SHORT,641,0.18464301652050702,-0.010445149,-0.0638
2005-03-08 00:00:00+00,SHORT,2720,1.0,-0.012933295,0.0
2005-03-08 00:00:00+00,SHORT,869,1.0,-0.0018279838,-0.09
2005-03-08 00:00:00+00,SHORT,898,1.0,-0.0066210334,-0.1072
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,0.0022914973,-0.04
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-5.6967576E-4,0.41
2005-03-08 00:00:00+00,SHORT,1022,0.9568225337664427,8.812754E-4,0.09
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-0.008510188,0.0255
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.0022559701,0.05
2005-03-08 00:00:00+00,SHORT,3355,0.9333333333333333,-0.008559086,0.03
2005-03-08 00:00:00+00,SHORT,1423,1.0,-0.011465001,0.01
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.004351845,0.1
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.005548426,-0.02
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,4.7820073E-4,0.51
2005-03-09 00:00:00+00,SHORT,3046,0.5587288684459337,-0.00812021,0.41
2005-03-10 00:00:00+00,SHORT,4107,0.21864409106015684,-0.014245839,-0.03
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.0012670251,0.16
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,-0.012012639,0.06
2005-03-10 00:00:00+00,SHORT,629,0.6522168064459993,-0.008293055,0.05
2005-03-10 00:00:00+00,SHORT,3046,0.5080034990103095,-0.0134383375,0.41
2005-03-11 00:00:00+00,SHORT,2430,0.3095352062878694,-0.012699894,0.16
2005-03-11 00:00:00+00,SHORT,1423,0.6666666666666667,-0.01505916,0.01
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,-0.014549835,0.11
2005-03-14 00:00:00+00,SHORT,2430,0.3373814820889174,-0.011487292,0.16
2005-03-14 00:00:00+00,SHORT,799,1.0,-0.007739772,0.55
2005-03-14 00:00:00+00,SHORT,3760,1.0,-0.008327107,0.03
2005-03-15 00:00:00+00,SHORT,2072,0.3850216660802293,-0.007908891,-0.033
2005-03-15 00:00:00+00,SHORT,93,0.0,-0.011745396,-0.11
2005-03-15 00:00:00+00,SHORT,2430,0.28687997304796575,-0.0074815787,0.16
2005-03-15 00:00:00+00,SHORT,853,0.3347216231677513,-0.01422083,0.08
2005-03-15 00:00:00+00,SHORT,3760,0.501332942954797,-0.012998591,0.03
2005-03-15 00:00:00+00,SHORT,2004,0.770362833876611,-0.01405666,-0.03
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.005923711,0.09
2005-03-16 00:00:00+00,SHORT,2430,0.2577630359261774,-0.010971203,0.16
2005-03-16 00:00:00+00,SHORT,2747,1.0,0.0018544566,0.0138
2005-03-16 00:00:00+00,SHORT,2042,0.9411764705882353,-0.014532197,0.09
2005-03-17 00:00:00+00,SHORT,2430,0.2268285944353561,-0.011086075,0.16
2005-03-17 00:00:00+00,SHORT,2569,0.0,-0.012550673,0.63
2005-03-17 00:00:00+00,SHORT,643,0.4729324333948617,-4.406736E-4,0.01
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.0016665481,0.0138
2005-03-18 00:00:00+00,SHORT,2430,0.19138595481952242,-0.009441562,0.16
2005-03-18 00:00:00+00,SHORT,429,0.8225193187954439,0.024296172,0.04
2005-03-18 00:00:00+00,SHORT,2747,0.8571428571428572,-0.009138321,0.0138
2005-03-18 00:00:00+00,SHORT,712,1.0,0.008717177,0.04
2005-03-18 00:00:00+00,SHORT,3283,0.4127117135659284,-0.01278369,-0.05
2005-03-18 00:00:00+00,SHORT,1298,0.40552540149185734,-0.012816927,0.07
2005-03-18 00:00:00+00,SHORT,3831,0.49019007047087815,-0.013005284,0.04
2005-03-18 00:00:00+00,SHORT,1949,0.0,-0.009733159,-0.05
2005-03-21 00:00:00+00,SHORT,4107,0.0,-0.01176316,-0.03
