time,side,ticker_id,mv_dn_composite_labels,price_vola_corr_50_df045,earnings_price_gap_df010,co_fall_count_1_10_df044,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2005-02-17 00:00:00+00,SHORT,2367,0.3535026189363766,0.74209684,0.0,2.0,1.0,-0.03368621
2005-02-17 00:00:00+00,SHORT,401,0.3299626771058801,0.79661405,0.0,3.0,1.0,-0.016478578
2005-02-17 00:00:00+00,SHORT,858,0.625,0.42746586,0.0,3.0,1.0,-0.03699504
2005-02-17 00:00:00+00,SHORT,1423,0.0,0.89785594,0.0,2.0,1.0,-0.04854968
2005-02-18 00:00:00+00,SHORT,4153,0.7777777777777778,-0.015467164,0.0,2.0,1.0,-0.022156296
2005-02-18 00:00:00+00,SHORT,2352,0.2608858525159377,0.43933287,0.0,3.0,1.0,-0.038432594
2005-02-18 00:00:00+00,SHORT,2367,0.2983918380296036,0.73651177,0.0,3.0,1.0,-0.03484087
2005-02-18 00:00:00+00,SHORT,3021,0.3080797753026201,0.5280821,0.0,2.0,1.0,-0.0132736415
2005-02-18 00:00:00+00,SHORT,1867,0.0,0.811635,0.0,3.0,1.0,-0.04553876
2005-02-18 00:00:00+00,SHORT,4089,0.6409763616181077,-0.60993886,0.0,2.0,1.0,-0.02624988
2005-02-22 00:00:00+00,SHORT,3021,0.0,0.5518358,0.0,3.0,1.0,-0.04124095
2005-02-24 00:00:00+00,SHORT,4089,0.36313218618930776,-0.67526996,0.0,2.0,1.0,-0.04512783
2005-02-28 00:00:00+00,SHORT,3283,0.24286136957310542,0.3460015,0.0,2.0,1.0,-0.0116041675
2005-02-28 00:00:00+00,SHORT,4089,0.21469623400290352,-0.68453574,0.0,2.0,1.0,-0.03596473
2005-03-01 00:00:00+00,SHORT,2285,0.4389891986820177,0.7575137,0.0,2.0,1.0,-0.011258725
2005-03-01 00:00:00+00,SHORT,602,0.3521511333257591,0.45020902,0.0,3.0,1.0,-0.011335634
2005-03-01 00:00:00+00,SHORT,3114,0.5914241687047843,-0.48018628,0.0,3.0,1.0,-0.035644468
2005-03-01 00:00:00+00,SHORT,1740,0.0,0.3744326,0.0,3.0,1.0,-0.03227578
2005-03-01 00:00:00+00,SHORT,1832,0.0,0.74743843,0.0,2.0,1.0,-0.04576414
2005-03-02 00:00:00+00,SHORT,131,0.32896278869290235,0.65149015,0.0,3.0,1.0,-0.00505437
2005-03-02 00:00:00+00,SHORT,424,0.7292338991623224,0.7935146,0.0,3.0,1.0,-0.011476941
2005-03-02 00:00:00+00,SHORT,602,0.3343941152963832,0.480314,0.0,2.0,1.0,-0.03037563
2005-03-02 00:00:00+00,SHORT,1832,0.0,0.7602503,0.0,3.0,1.0,-0.045396164
2005-03-02 00:00:00+00,SHORT,4089,0.1725516469181991,-0.6816491,0.0,3.0,1.0,-0.04428682
2005-03-03 00:00:00+00,SHORT,131,0.28770622548001445,0.6443816,0.0,2.0,1.0,-0.014834665
2005-03-03 00:00:00+00,SHORT,424,0.3849965278335992,0.79090804,0.0,3.0,1.0,-0.02085853
2005-03-03 00:00:00+00,SHORT,675,0.05943276873320256,0.19511689,0.0,3.0,1.0,-0.032546356
2005-03-03 00:00:00+00,SHORT,975,0.0596578027848341,0.5822364,0.0,3.0,1.0,-0.037907533
2005-03-03 00:00:00+00,SHORT,3179,0.0,0.5298541,0.0,3.0,1.0,-0.043613907
2005-03-03 00:00:00+00,SHORT,3743,0.5122812869921856,0.3435821,0.0,2.0,1.0,-0.043995097
2005-03-03 00:00:00+00,SHORT,3841,1.0,0.8294917,0.0,3.0,1.0,-0.006440618
2005-03-07 00:00:00+00,SHORT,2050,0.5957488269803153,0.7443776,0.0,3.0,1.0,-0.024634749
2005-03-07 00:00:00+00,SHORT,675,0.0,0.27646887,0.0,3.0,1.0,-0.024009505
2005-03-07 00:00:00+00,SHORT,2815,0.33192867126923326,0.9063285,0.0,2.0,1.0,-0.010033811
2005-03-07 00:00:00+00,SHORT,858,0.8181818181818181,0.5720775,0.0,3.0,1.0,-0.03832451
2005-03-07 00:00:00+00,SHORT,3283,0.0,0.46142375,0.0,2.0,1.0,-0.039318867
2005-03-07 00:00:00+00,SHORT,3466,0.7026109758665757,0.86396915,0.0,3.0,1.0,-0.02056894
2005-03-07 00:00:00+00,SHORT,3773,1.0,0.43673614,0.0,2.0,1.0,-0.018080825
2005-03-07 00:00:00+00,SHORT,3841,0.8888888888888888,0.83993447,0.0,2.0,1.0,-0.010248288
2005-03-07 00:00:00+00,SHORT,1867,0.19448552196365182,0.8620597,0.0,2.0,1.0,-0.012960088
2005-03-07 00:00:00+00,SHORT,2041,0.5581656950695252,0.21236943,0.0,3.0,1.0,-0.0066512623
2005-03-08 00:00:00+00,SHORT,2050,0.5824207606392425,0.7493561,0.0,2.0,1.0,-0.040352587
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,0.8256815,0.0,2.0,1.0,-0.007197425
2005-03-08 00:00:00+00,SHORT,39,0.395425460013165,0.74084824,0.0,3.0,1.0,-0.014590989
2005-03-08 00:00:00+00,SHORT,52,0.6666666666666667,0.70125985,0.0,2.0,1.0,-0.0234468
2005-03-08 00:00:00+00,SHORT,131,0.24848607493233535,0.70876265,0.0,2.0,1.0,-0.017224114
2005-03-08 00:00:00+00,SHORT,157,0.3837120155050359,0.8390239,0.0,2.0,1.0,-0.033545423
2005-03-08 00:00:00+00,SHORT,433,0.5767454125797841,0.6140054,0.0,2.0,1.0,-0.04171688
2005-03-08 00:00:00+00,SHORT,2613,0.0,0.6260565,0.0,3.0,1.0,-0.04211431
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.8945816,0.0,3.0,1.0,-0.003362898
2005-03-08 00:00:00+00,SHORT,641,0.18464301652050702,0.6948798,0.0,2.0,1.0,-0.010445149
2005-03-08 00:00:00+00,SHORT,858,0.7272727272727273,0.5535267,0.0,3.0,1.0,-0.0482186
2005-03-08 00:00:00+00,SHORT,1288,0.28944911757402236,0.28648958,0.0,3.0,1.0,-0.015620141
2005-03-08 00:00:00+00,SHORT,1297,0.46556364369529657,0.5402312,0.0,3.0,1.0,-0.046415642
2005-03-08 00:00:00+00,SHORT,3466,0.6605117278132269,0.8443801,0.0,2.0,1.0,-0.03012501
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.28599387,0.0,3.0,1.0,0.004351845
2005-03-08 00:00:00+00,SHORT,4089,0.15908499831364828,-0.65311056,0.0,3.0,1.0,-0.027801594
2005-03-08 00:00:00+00,SHORT,2041,0.509837479945875,0.27209812,0.0,3.0,1.0,-0.021005696
2005-03-09 00:00:00+00,SHORT,4107,0.0,0.8389538,0.0,2.0,1.0,-0.019895427
2005-03-09 00:00:00+00,SHORT,2090,0.42670023858070577,-0.57884216,0.0,2.0,1.0,-0.03831976
2005-03-09 00:00:00+00,SHORT,52,0.5356505385194106,0.67734003,0.0,3.0,1.0,-0.025211863
2005-03-09 00:00:00+00,SHORT,2119,0.3380607371394986,0.11465133,0.0,2.0,1.0,-0.035470784
2005-03-09 00:00:00+00,SHORT,131,0.17814967440301172,0.69300973,0.0,3.0,1.0,-0.023156302
2005-03-09 00:00:00+00,SHORT,157,0.0,0.8384552,0.0,2.0,1.0,-0.03570658
2005-03-09 00:00:00+00,SHORT,516,0.6356400946048764,-0.42259046,0.0,2.0,1.0,-0.029439405
2005-03-09 00:00:00+00,SHORT,588,0.75,0.7567978,0.0,3.0,1.0,-0.04547287
2005-03-09 00:00:00+00,SHORT,2665,0.2956011498279958,0.8900236,0.0,3.0,1.0,-0.015282751
2005-03-09 00:00:00+00,SHORT,869,0.522242106870567,0.79183394,0.0,2.0,1.0,-0.019716857
2005-03-09 00:00:00+00,SHORT,3046,0.5587288684459337,0.44816595,0.0,2.0,1.0,-0.00812021
2005-03-09 00:00:00+00,SHORT,3067,0.0,0.46846464,0.0,2.0,1.0,-0.03961258
2005-03-09 00:00:00+00,SHORT,3561,0.3896946350959575,0.45017564,0.0,3.0,1.0,-0.02181788
2005-03-09 00:00:00+00,SHORT,3855,0.14560214910554645,0.79399735,0.0,2.0,1.0,-0.040048983
2005-03-09 00:00:00+00,SHORT,4032,0.9285714285714286,0.88539374,0.0,2.0,1.0,-0.039352514
2005-03-10 00:00:00+00,SHORT,2090,0.4107048272873149,-0.58272034,0.0,3.0,1.0,-0.040069494
2005-03-10 00:00:00+00,SHORT,220,0.4997023668182719,-0.44458857,0.0,2.0,1.0,-0.044607375
2005-03-10 00:00:00+00,SHORT,869,0.43307402982902954,0.7950361,0.0,2.0,1.0,-0.025328256
2005-03-10 00:00:00+00,SHORT,3561,0.3155021175685669,0.795392,0.0,2.0,1.0,-0.026097424
2005-03-10 00:00:00+00,SHORT,3629,0.3444468030687476,0.87477267,0.0,2.0,1.0,-0.019580737
2005-03-10 00:00:00+00,SHORT,4032,0.8571428571428572,0.869057,0.0,3.0,1.0,-0.04753413
2005-03-11 00:00:00+00,SHORT,69,0.0,0.9008866,0.0,2.0,1.0,-0.038337875
2005-03-11 00:00:00+00,SHORT,2119,0.16686613204433037,-0.023105588,0.0,3.0,1.0,-0.04347908
2005-03-11 00:00:00+00,SHORT,220,0.4049530376631174,-0.46299475,0.0,3.0,1.0,-0.04844661
2005-03-11 00:00:00+00,SHORT,2343,0.541956378092684,0.6961145,0.0,2.0,1.0,-0.006928597
2005-03-11 00:00:00+00,SHORT,2430,0.3095352062878694,0.74501944,0.0,3.0,1.0,-0.012699894
2005-03-11 00:00:00+00,SHORT,516,0.49584332434403605,-0.47680148,0.0,3.0,1.0,-0.03564936
2005-03-11 00:00:00+00,SHORT,2961,0.0,0.45678085,0.0,2.0,1.0,-0.034541868
2005-03-11 00:00:00+00,SHORT,3561,0.0,0.83747816,0.0,2.0,1.0,-0.04308291
2005-03-11 00:00:00+00,SHORT,3754,0.4858824938773693,-0.027516678,0.0,3.0,1.0,-0.01466952
2005-03-11 00:00:00+00,SHORT,3855,0.11397618048230235,0.6951386,0.0,3.0,1.0,-0.040125173
2005-03-14 00:00:00+00,SHORT,2050,0.4410493722490113,0.75147295,0.0,2.0,1.0,-0.039660867
2005-03-14 00:00:00+00,SHORT,2285,0.2865994616199076,0.3664153,0.0,2.0,1.0,-0.024417719
2005-03-14 00:00:00+00,SHORT,440,0.33745040391796804,0.8383142,0.0,3.0,1.0,-0.018633757
2005-03-14 00:00:00+00,SHORT,475,0.5656672460614921,0.8381165,0.0,3.0,1.0,-0.034453657
2005-03-14 00:00:00+00,SHORT,1288,0.0785940485766159,0.37177873,0.0,3.0,1.0,-0.03150425
2005-03-14 00:00:00+00,SHORT,3629,0.0,0.83669615,0.0,3.0,1.0,-0.019843567
2005-03-15 00:00:00+00,SHORT,2050,0.3955527697192518,0.72686595,0.0,3.0,1.0,-0.036962833
2005-03-15 00:00:00+00,SHORT,2072,0.3850216660802293,-0.047031004,0.0,3.0,1.0,-0.007908891
2005-03-15 00:00:00+00,SHORT,69,0.0,0.85313606,0.0,3.0,1.0,-0.03943619
2005-03-15 00:00:00+00,SHORT,157,0.0,0.8941615,0.0,2.0,1.0,-0.038755514
2005-03-15 00:00:00+00,SHORT,2285,0.2723994239865888,0.23649453,0.0,3.0,1.0,-0.025037859
2005-03-15 00:00:00+00,SHORT,405,0.0,0.10627541,0.0,3.0,1.0,-0.022026112
2005-03-15 00:00:00+00,SHORT,440,0.3870999136420938,0.7937062,0.0,3.0,1.0,-0.028744955
2005-03-15 00:00:00+00,SHORT,2536,0.39631941903959467,0.45526767,0.0,2.0,1.0,-0.033006575
2005-03-15 00:00:00+00,SHORT,516,0.3959332610903215,-0.5093358,0.0,3.0,1.0,-0.034803934
2005-03-15 00:00:00+00,SHORT,2569,0.19355924439809366,0.91320956,0.0,3.0,1.0,-0.048661802
2005-03-15 00:00:00+00,SHORT,631,0.7024432168281379,0.8701124,0.0,2.0,1.0,-0.018457174
2005-03-15 00:00:00+00,SHORT,641,0.0,0.43408316,0.0,2.0,1.0,-0.018863402
2005-03-15 00:00:00+00,SHORT,799,0.95,0.8992633,0.0,3.0,1.0,-0.031683758
2005-03-15 00:00:00+00,SHORT,869,0.3532847857708112,0.8123609,0.0,2.0,1.0,-0.032174587
2005-03-15 00:00:00+00,SHORT,2961,0.0,0.49722007,0.0,3.0,1.0,-0.032126017
2005-03-15 00:00:00+00,SHORT,3067,0.0,-0.05137709,0.0,3.0,1.0,-0.045425583
2005-03-15 00:00:00+00,SHORT,1288,0.0,0.4390947,0.0,3.0,1.0,-0.04397739
2005-03-15 00:00:00+00,SHORT,1361,0.0,0.4197711,0.0,3.0,1.0,-0.022900095
2005-03-15 00:00:00+00,SHORT,3561,0.23157237690462837,0.8315423,0.0,2.0,1.0,-0.02880452
2005-03-15 00:00:00+00,SHORT,3760,0.501332942954797,-0.11025959,0.0,3.0,1.0,-0.012998591
2005-03-15 00:00:00+00,SHORT,3855,0.21579744340480933,0.5489417,0.0,3.0,1.0,-0.029810907
2005-03-16 00:00:00+00,SHORT,2072,0.25567627386274716,-0.0587415,0.0,3.0,1.0,-0.015637234
2005-03-16 00:00:00+00,SHORT,93,0.3962244646639875,0.5498439,0.0,3.0,1.0,-0.020783234
2005-03-16 00:00:00+00,SHORT,194,0.15778963982314062,0.864842,0.0,2.0,1.0,-0.028775068
2005-03-16 00:00:00+00,SHORT,2248,0.8333333333333334,0.74370116,0.0,2.0,1.0,-0.0390815
2005-03-16 00:00:00+00,SHORT,440,0.34755115507302775,0.73690397,0.0,2.0,1.0,-0.039041083
2005-03-16 00:00:00+00,SHORT,2536,0.3741484817028703,0.36630195,0.0,3.0,1.0,-0.04417655
2005-03-16 00:00:00+00,SHORT,516,0.3953349043148468,-0.5138204,0.0,3.0,1.0,-0.03687893
2005-03-16 00:00:00+00,SHORT,2569,0.11160868671281712,0.91820127,0.0,3.0,1.0,-0.045271825
2005-03-16 00:00:00+00,SHORT,641,0.0,0.35913005,0.0,3.0,1.0,-0.031211877
2005-03-16 00:00:00+00,SHORT,799,0.9,0.8558239,0.0,3.0,1.0,-0.038790487
2005-03-16 00:00:00+00,SHORT,853,0.29358436645001734,0.85695755,0.0,3.0,1.0,-0.032417238
2005-03-16 00:00:00+00,SHORT,869,0.3070169502459889,0.8111545,0.0,3.0,1.0,-0.044883963
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,0.84435296,0.0,3.0,1.0,-0.008401427
2005-03-16 00:00:00+00,SHORT,3760,0.43763079352631934,-0.2963505,0.0,2.0,1.0,-0.030281618
2005-03-16 00:00:00+00,SHORT,3825,0.394362510193754,0.83285767,0.0,2.0,1.0,-0.028434534
2005-03-16 00:00:00+00,SHORT,3855,0.20898816713346915,0.5475524,0.0,3.0,1.0,-0.028031789
2005-03-16 00:00:00+00,SHORT,1867,0.07883631009471759,0.89476323,0.0,2.0,1.0,-0.035691455
