time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,sessions_since_bearish_13_100_df059
2005-03-15 00:00:00+00,LONG,1280,0.1132075471698114,-0.75614315,4.0
2005-03-16 00:00:00+00,LONG,2247,0.8639843807191345,-0.604863,4.0
2005-03-17 00:00:00+00,LONG,2006,0.4386649767580602,-0.61520404,2.0
2005-03-18 00:00:00+00,LONG,4197,0.40929512334752716,-0.8305054,2.0
2005-03-18 00:00:00+00,LONG,2006,0.42646314673789204,-0.60261685,3.0
2005-03-21 00:00:00+00,LONG,4197,0.4061958573875883,-0.69946706,3.0
2005-03-21 00:00:00+00,LONG,2006,0.42865138639213674,-0.60320723,4.0
2005-03-22 00:00:00+00,LONG,2006,0.38498369111906305,-0.52699643,5.0
2005-03-23 00:00:00+00,LONG,1848,0.9782608695652174,-0.7741244,14.0
2005-03-24 00:00:00+00,LONG,3872,0.9777777777777777,-0.5249189,20.0
2005-03-24 00:00:00+00,LONG,1848,0.9565217391304348,-0.5569809,15.0
2005-03-28 00:00:00+00,LONG,3872,0.9555555555555556,-0.48984224,21.0
2005-03-29 00:00:00+00,LONG,4176,1.0,-0.7437317,19.0
2005-03-29 00:00:00+00,LONG,84,1.0,-0.7826878,2.0
2005-03-29 00:00:00+00,LONG,91,0.9166666666666666,-0.49959004,20.0
2005-03-29 00:00:00+00,LONG,2778,0.5686789512558637,-0.5516422,16.0
2005-03-30 00:00:00+00,LONG,3872,0.9111111111111111,-0.7853189,23.0
2005-03-31 00:00:00+00,LONG,3872,0.8888888888888888,-0.66663027,24.0
2005-04-01 00:00:00+00,LONG,2352,0.5059589702386874,-0.4706764,25.0
2005-04-01 00:00:00+00,LONG,505,0.9777777777777777,-0.4918431,21.0
2005-04-01 00:00:00+00,LONG,2686,0.009627749414894353,-0.54284,1.0
2005-04-01 00:00:00+00,LONG,2778,0.34519732884232185,-0.5214019,19.0
2005-04-01 00:00:00+00,LONG,3641,0.9655172413793104,-0.46873972,5.0
2005-04-01 00:00:00+00,LONG,3872,0.8666666666666667,-0.74936897,25.0
2005-04-04 00:00:00+00,LONG,4223,0.5477791937731813,-0.46580106,8.0
2005-04-04 00:00:00+00,LONG,370,1.0,-0.5425433,18.0
2005-04-04 00:00:00+00,LONG,505,0.9555555555555556,-0.5241396,22.0
2005-04-04 00:00:00+00,LONG,2686,0.0,-0.53633374,2.0
2005-04-04 00:00:00+00,LONG,2751,0.6468003636669314,-0.6375938,9.0
2005-04-04 00:00:00+00,LONG,3641,0.9310344827586207,-0.45992973,6.0
2005-04-04 00:00:00+00,LONG,3872,0.8444444444444444,-0.7251558,26.0
2005-04-04 00:00:00+00,LONG,4013,1.0,-0.5023747,8.0
2005-04-05 00:00:00+00,LONG,370,0.972972972972973,-0.48464817,19.0
2005-04-05 00:00:00+00,LONG,505,0.9333333333333333,-0.48806766,23.0
2005-04-05 00:00:00+00,LONG,3470,0.4017693502481407,-0.61226904,1.0
2005-04-05 00:00:00+00,LONG,3872,0.8222222222222222,-0.6964616,27.0
2005-04-08 00:00:00+00,LONG,984,0.0,-0.6426783,1.0
2005-04-11 00:00:00+00,LONG,984,0.0,-0.72364414,2.0
2005-04-12 00:00:00+00,LONG,984,0.0,-0.73722476,3.0
2005-04-13 00:00:00+00,LONG,4223,0.40923389834192264,-0.46901834,15.0
2005-04-13 00:00:00+00,LONG,984,0.0,-0.77544314,4.0
2005-04-15 00:00:00+00,LONG,1,1.0,-0.6131027,17.0
2005-04-15 00:00:00+00,LONG,2248,0.0,-0.4608277,10.0
2005-04-15 00:00:00+00,LONG,578,0.7099859272553554,-0.544826,20.0
2005-04-15 00:00:00+00,LONG,984,0.0,-0.71482944,6.0
2005-04-18 00:00:00+00,LONG,142,0.5412770767386312,-0.65764517,16.0
2005-04-18 00:00:00+00,LONG,540,0.6147053345084865,-0.78163487,13.0
2005-04-18 00:00:00+00,LONG,786,1.0,-0.5044989,16.0
2005-04-18 00:00:00+00,LONG,858,1.0,-0.7758327,14.0
2005-04-18 00:00:00+00,LONG,3127,1.0,-0.5729696,10.0
2005-04-18 00:00:00+00,LONG,1444,1.0,-0.48935,10.0
2005-04-18 00:00:00+00,LONG,3744,0.0,-0.46729502,18.0
2005-04-18 00:00:00+00,LONG,1719,1.0,-0.62978715,12.0
2005-04-18 00:00:00+00,LONG,3791,1.0,-0.55456316,27.0
2005-04-18 00:00:00+00,LONG,3794,0.9767441860465116,-0.47048253,3.0
2005-04-19 00:00:00+00,LONG,142,0.3710416513709797,-0.5700943,17.0
2005-04-19 00:00:00+00,LONG,858,0.9830508474576272,-0.49039972,15.0
2005-04-19 00:00:00+00,LONG,1719,0.9791666666666666,-0.5453106,13.0
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,-0.5961897,4.0
2005-04-20 00:00:00+00,LONG,1,0.94,-0.48561192,20.0
2005-04-20 00:00:00+00,LONG,142,0.6063125167000792,-0.6181457,18.0
2005-04-20 00:00:00+00,LONG,664,0.49589533854336926,-0.5284505,12.0
2005-04-20 00:00:00+00,LONG,858,0.9661016949152542,-0.47348705,16.0
2005-04-20 00:00:00+00,LONG,1719,0.9583333333333334,-0.59082246,14.0
2005-04-20 00:00:00+00,LONG,2018,1.0,-0.4614204,13.0
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,-0.76583666,23.0
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,-0.6915727,24.0
2005-04-22 00:00:00+00,LONG,3824,0.1753715737263738,-0.5029442,3.0
2005-04-22 00:00:00+00,LONG,3905,0.6433250533058478,-0.49775532,6.0
2005-04-25 00:00:00+00,LONG,4122,0.36062645334729243,-0.7065194,25.0
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,-0.79574114,26.0
