time,side,ticker_id,mv_up_composite_labels,price_drift_abs_1_df006,dist_lower_bb_50_2.0_df055
2006-06-14 00:00:00+00,LONG,1610,0.15695566400875247,0.02916074,0.032472
2006-06-14 00:00:00+00,LONG,3684,1.0,0.03515625,0.051390044
2006-06-14 00:00:00+00,LONG,1762,0.9565217391304348,0.02671156,0.028518375
2006-06-14 00:00:00+00,LONG,1888,0.22546008665660874,0.011235955,0.029420082
2006-06-15 00:00:00+00,LONG,3684,0.4720612973661733,0.009896536,0.03355586
2006-07-11 00:00:00+00,LONG,817,0.0,0.02037037,0.079895906
2006-07-14 00:00:00+00,LONG,858,1.0,0.020534862,0.05258233
2006-07-18 00:00:00+00,LONG,2095,1.0,0.035756852,0.02805771
2006-07-18 00:00:00+00,LONG,3782,1.0,0.024036627,0.03493091
2006-07-21 00:00:00+00,LONG,167,1.0,0.02190396,0.045204382
2006-07-21 00:00:00+00,LONG,2504,0.40309440387988704,0.016335683,0.044641666
2006-07-24 00:00:00+00,LONG,1740,0.0,0.035286285,0.027773054
2006-07-25 00:00:00+00,LONG,3631,0.9545454545454546,0.02948403,0.03820255
2006-07-27 00:00:00+00,LONG,3378,1.0,0.010583153,0.050321013
2006-07-28 00:00:00+00,LONG,1063,0.6546591590214399,0.014609422,0.034287974
2006-07-28 00:00:00+00,LONG,4062,0.9375,0.02627451,0.06694284
2006-07-31 00:00:00+00,LONG,4062,0.0,0.01490256,0.035653412
2006-08-01 00:00:00+00,LONG,4171,0.6434048428266436,0.036088113,0.038835205
2006-08-01 00:00:00+00,LONG,4062,0.875,0.022966867,0.039071593
2006-08-02 00:00:00+00,LONG,502,1.0,0.028425965,0.043606184
2006-08-02 00:00:00+00,LONG,1022,0.05513432577587969,0.021064902,0.070994146
2006-08-02 00:00:00+00,LONG,1650,1.0,0.010989011,0.028531855
2006-08-11 00:00:00+00,LONG,694,1.0,0.015296367,0.030233663
2006-08-14 00:00:00+00,LONG,68,1.0,0.03217359,0.060989503
2006-08-14 00:00:00+00,LONG,694,0.95,0.012621359,0.03679235
2006-08-18 00:00:00+00,LONG,2936,0.12132254824214743,0.017149687,0.058181584
2006-08-28 00:00:00+00,LONG,4150,0.27015457166552287,0.010850542,0.041412693
2006-08-28 00:00:00+00,LONG,974,0.5931220137366541,0.012125254,0.03237436
2006-09-13 00:00:00+00,LONG,4086,0.0,0.037037715,0.044603266
2006-09-22 00:00:00+00,LONG,158,1.0,0.03725347,0.07672766
2006-09-22 00:00:00+00,LONG,2661,0.012954808036752346,0.020194465,0.073147334
2006-09-25 00:00:00+00,LONG,158,0.3398379173032859,0.028072838,0.038101163
2006-09-25 00:00:00+00,LONG,2661,0.14427682121962843,0.017557252,0.04220341
2006-10-12 00:00:00+00,LONG,1087,0.638775244169629,0.023656776,0.048302107
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,0.017844314,0.029535726
2006-11-29 00:00:00+00,LONG,3595,0.0,0.032125983,0.080568306
2006-12-01 00:00:00+00,LONG,3595,0.12727272727272732,0.01568748,0.031121438
2006-12-07 00:00:00+00,LONG,192,0.08612228299379239,0.010229181,0.040689144
2007-01-05 00:00:00+00,LONG,3236,1.0,0.018554192,0.028378906
2007-01-10 00:00:00+00,LONG,2896,0.42747883681958226,0.012139243,0.035752837
2007-01-10 00:00:00+00,LONG,1298,1.0,0.018618122,0.031437617
2007-01-10 00:00:00+00,LONG,3466,1.0,0.019934697,0.028670955
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,0.012190875,0.03412032
2007-01-11 00:00:00+00,LONG,2261,1.0,0.022826616,0.040094066
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,0.013884697,0.033587035
