time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,joint_fall_flag_21_10_df042,velocity_price_vs_etf_diff_5_df050,dist_lower_bb_50_2.0_df055
2007-01-09 00:00:00+00,LONG,3049,0.7455579494777907,-23.58,0.0,-0.041656185,0.007235375
2007-01-10 00:00:00+00,LONG,93,0.0,-25.69,0.0,-0.05589714,0.012586675
2007-01-10 00:00:00+00,LONG,2619,0.0,8.5,0.0,-0.042605232,0.014884165
2007-01-10 00:00:00+00,LONG,845,1.0,14.01,0.0,-0.03181909,0.0018304298
2007-01-10 00:00:00+00,LONG,3049,0.7188600222196869,-23.2,0.0,0.0054537426,-0.002573841
2007-01-10 00:00:00+00,LONG,3466,1.0,-18.16,0.0,-0.06351755,0.028670955
2007-01-10 00:00:00+00,LONG,1667,0.5728648303721218,39.96,0.0,-0.043402005,0.002345551
2007-01-11 00:00:00+00,LONG,2619,0.0,7.34,0.0,-0.037095107,0.007802903
2007-01-11 00:00:00+00,LONG,870,0.8893062358324781,33.76,0.0,-0.035267495,0.033587035
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,-19.26,0.0,-0.050339013,0.028586706
2007-01-12 00:00:00+00,LONG,629,0.9090909090909091,-26.53,0.0,-0.051493894,-0.004114997
2007-01-12 00:00:00+00,LONG,3049,0.8211309841092451,-24.5,0.0,-0.019211613,-0.0036981406
2007-01-12 00:00:00+00,LONG,3466,0.9259259259259259,-18.75,0.0,-0.04133999,2.410898E-5
2007-01-16 00:00:00+00,LONG,3049,0.7342312794331085,-25.05,0.0,-0.016526071,-0.001176947
2007-01-17 00:00:00+00,LONG,3049,0.7583972463426134,-25.61,0.0,-0.015825134,-0.0033627567
2007-01-25 00:00:00+00,LONG,2327,0.002594265435638523,-3.69,0.0,-0.042858873,-0.0030100918
2007-01-26 00:00:00+00,LONG,2327,0.0,28.1,0.0,-0.047337193,-5.495358E-4
2007-01-26 00:00:00+00,LONG,3271,0.8102253667297964,-21.77,0.0,-0.06129106,0.007246186
2007-01-30 00:00:00+00,LONG,1149,0.92,-21.62,0.0,-0.013951398,-0.004416808
2007-01-30 00:00:00+00,LONG,3973,0.9130434782608696,40.53,0.0,-0.02451855,-0.0025191177
2007-02-28 00:00:00+00,LONG,3436,0.10168163429918614,14.82,0.0,0.004936303,-0.0034962278
2007-03-01 00:00:00+00,LONG,2437,1.0,-22.23,0.0,-0.06532102,0.042161863
2007-03-01 00:00:00+00,LONG,602,0.3267142218165945,35.95,0.0,-0.026403232,-0.0014547773
2007-03-01 00:00:00+00,LONG,3436,0.0,12.03,0.0,-0.0033393411,0.013460392
2007-03-01 00:00:00+00,LONG,3912,0.49828422465153055,-26.68,0.0,-0.007941602,0.017311389
2007-03-01 00:00:00+00,LONG,1922,1.0,-25.03,0.0,-0.0010528166,0.009960241
2007-03-02 00:00:00+00,LONG,2437,0.6444037442694004,-19.11,0.0,-0.04596092,0.03324071
2007-03-02 00:00:00+00,LONG,602,0.3584444252563882,41.01,0.0,-0.020003062,-0.0028580492
2007-03-02 00:00:00+00,LONG,3436,0.17819554048114108,13.98,0.0,-0.007873453,0.027454207
2007-03-02 00:00:00+00,LONG,3912,0.5363937201983853,-28.36,0.0,-0.0071381987,0.021978015
2007-03-02 00:00:00+00,LONG,1922,0.7898914264472432,-23.61,0.0,1.4968994E-5,0.021759935
2007-03-05 00:00:00+00,LONG,2437,0.9333333333333333,-19.04,0.0,-0.04810374,0.040076107
2007-03-05 00:00:00+00,LONG,602,0.36461821535181527,42.83,0.0,-0.011133459,-7.359836E-4
2007-03-05 00:00:00+00,LONG,1092,0.6489449462962722,-7.59,0.0,0.011246731,0.0017585481
2007-03-05 00:00:00+00,LONG,1262,1.0,-9.09,0.0,-0.0037189582,0.007971941
2007-03-05 00:00:00+00,LONG,3436,0.0,14.61,0.0,-0.014631064,0.032466024
2007-03-05 00:00:00+00,LONG,3912,0.5321845564283231,-27.26,0.0,0.011416993,0.015250849
2007-03-05 00:00:00+00,LONG,1922,0.903140921105748,-22.85,0.0,0.007631097,0.01754532
2007-03-06 00:00:00+00,LONG,135,0.0,-9.01,0.0,-0.0629482,0.024604294
2007-03-06 00:00:00+00,LONG,2437,0.9,-19.83,0.0,-0.033399593,0.01820795
2007-03-06 00:00:00+00,LONG,2932,0.7442889190650526,15.5,0.0,-0.02228561,-7.0080755E-4
2007-03-06 00:00:00+00,LONG,3436,0.17895278893629565,14.71,0.0,-0.014947205,0.002827094
2007-03-06 00:00:00+00,LONG,3912,0.5265457218568464,-21.48,0.0,-0.005990149,0.008853565
2007-03-06 00:00:00+00,LONG,1922,0.9491525423728814,-23.75,0.0,-0.0052773817,6.0867885E-4
2007-03-07 00:00:00+00,LONG,2151,0.9259259259259259,36.88,0.0,0.011220709,-0.004688004
2007-03-07 00:00:00+00,LONG,135,0.0,-8.89,0.0,-0.057566043,0.01816207
2007-03-07 00:00:00+00,LONG,356,0.0,-24.46,0.0,-0.026980603,0.0016637282
