time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_rev_growth_zscore_universe_df073,earnings_drift_10_df011,joint_fall_flag_5_5_df042
2005-11-07 00:00:00+00,SHORT,1090,0.22618464394137183,-0.004659894,-0.0829,0.09970675,0.0
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,0.0048919558,-0.0856,0.04775281,0.0
2005-11-10 00:00:00+00,SHORT,2247,0.0,-0.0028890925,-0.0776,0.032953367,0.0
2005-11-11 00:00:00+00,SHORT,2175,0.0,0.0014787838,-0.0784,0.0,0.0
2005-11-14 00:00:00+00,SHORT,687,0.6369181207223458,-0.0022667798,-0.0791,0.016897358,0.0
2005-11-21 00:00:00+00,SHORT,3255,0.7439308004958591,-0.0033796164,-0.0823,0.052475978,0.0
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,0.0054948367,-0.0765,0.0540362,0.0
2005-11-25 00:00:00+00,SHORT,121,0.2117068362444819,-0.0048897066,-0.0782,0.03284343,0.0
2005-11-25 00:00:00+00,SHORT,2440,0.42940468966429285,-0.0028378665,-0.0811,0.05083014,0.0
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,-5.145149E-4,-0.0811,0.0,0.0
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.0105724735,-0.0773,0.0,0.0
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,-0.0026773815,-0.0774,0.0,0.0
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,6.917133E-4,-0.0773,0.0,0.0
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,0.017188895,-0.0807,0.0,0.0
2005-12-06 00:00:00+00,SHORT,1867,0.0,8.223211E-4,-0.0827,0.0,0.0
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.020548824,-0.082,0.0,0.0
2005-12-07 00:00:00+00,SHORT,1615,0.0,0.020317914,-0.0842,0.0,0.0
2005-12-08 00:00:00+00,SHORT,1615,0.0,1.4653458E-4,-0.0841,0.0,0.0
2005-12-08 00:00:00+00,SHORT,3815,0.0,0.005223094,-0.0774,0.0,0.0
2005-12-14 00:00:00+00,SHORT,870,0.0,0.018599203,-0.0761,0.0,0.0
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,-0.0038577158,-0.0782,0.0,0.0
2005-12-15 00:00:00+00,SHORT,3773,0.6436342042453055,6.6379516E-4,-0.0825,0.06875,0.0
2005-12-16 00:00:00+00,SHORT,3052,0.25939308310238945,0.003976836,-0.08,0.0,0.0
2005-12-16 00:00:00+00,SHORT,1090,0.0,-0.004958889,-0.0834,0.0,0.0
2005-12-16 00:00:00+00,SHORT,1235,0.5676695915744582,-0.0031804123,-0.081,0.0,0.0
2006-01-03 00:00:00+00,SHORT,559,0.0,-9.5768645E-4,-0.0768,0.0,0.0
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,0.0027183378,-0.0817,0.0,0.0
2006-01-05 00:00:00+00,SHORT,3142,0.0,0.0028082982,-0.0919,0.0,0.0
2006-01-06 00:00:00+00,SHORT,4218,0.0,-0.0037498064,-0.0754,0.0,0.0
