time,side,ticker_id,mv_dn_composite_labels,vola_roc_1_5_df040,dist_upper_bb_20_2.5_df055
2005-04-13 00:00:00+00,SHORT,1922,0.6017389624105626,0.0039493707,-0.017200185
2005-04-14 00:00:00+00,SHORT,424,0.0,0.34437224,-0.0153841935
2005-04-15 00:00:00+00,SHORT,195,0.0,-0.10847812,-0.01752499
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,0.8586953,-0.015022749
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,1.0026209,-0.014410533
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,0.4521247,-0.011430401
2005-04-21 00:00:00+00,SHORT,2747,1.0,0.7768047,-0.01451479
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,1.0925252,-0.015283462
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.9063635,-0.009337649
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,-0.104000255,-0.015432437
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,-0.10414058,-0.015340322
2005-05-04 00:00:00+00,SHORT,4136,0.8333333333333334,-0.12095727,-0.017783245
2005-05-04 00:00:00+00,SHORT,2527,0.0,0.3355307,-0.012809364
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,0.73729205,-0.016680868
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,0.21677257,-0.012189317
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.26723155,-0.009427783
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,1.0035313,-0.011758759
2005-05-09 00:00:00+00,SHORT,874,0.0,0.17875347,-0.017867792
2005-05-09 00:00:00+00,SHORT,2932,0.0,0.38163388,-0.009996463
2005-05-09 00:00:00+00,SHORT,3994,0.3221684459665731,0.80178624,-0.01450533
2005-05-10 00:00:00+00,SHORT,1826,0.0,0.6608157,-0.017636504
2005-05-11 00:00:00+00,SHORT,610,0.0,0.9276103,-0.009304791
2005-05-20 00:00:00+00,SHORT,4059,0.0,0.8800916,-0.01661174
2005-05-26 00:00:00+00,SHORT,11,1.0,0.12272188,-0.017114058
2005-06-01 00:00:00+00,SHORT,505,1.0,0.24171965,-0.010720648
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,0.67338747,-0.0075628944
2005-06-02 00:00:00+00,SHORT,1817,0.0,0.030219246,-0.008714996
2005-06-03 00:00:00+00,SHORT,1139,0.16858466375796904,0.2128383,-0.015958551
2005-06-07 00:00:00+00,SHORT,2297,0.6058787381223188,0.32435533,-0.0012551395
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,0.6979487,-0.008281766
2005-06-09 00:00:00+00,SHORT,191,0.0,0.49236602,-0.0117378505
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,1.078103,0.0038674867
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,0.673929,-0.007834798
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.049290285,-0.0058594844
2005-06-16 00:00:00+00,SHORT,3641,0.0,0.51275223,-0.01002318
