time,side,ticker_id,mv_dn_composite_labels,price_to_sales_zscore_universe_df070,joint_fall_flag_1_20_df042,joint_fall_flag_5_5_df042,dist_upper_bb_20_2.0_df055
2005-09-30 00:00:00+00,SHORT,335,0.3430085424077395,-0.0834,0.0,0.0,-0.0039436966
2005-09-30 00:00:00+00,SHORT,1832,0.33074164277339796,-0.0859,0.0,0.0,-0.0022086357
2005-10-03 00:00:00+00,SHORT,4123,1.0,-0.1056,0.0,0.0,6.278983E-4
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,-0.0971,0.0,0.0,0.006918012
2005-10-03 00:00:00+00,SHORT,2248,1.0,-0.1017,0.0,0.0,-0.003872439
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,-0.0948,0.0,0.0,0.0078098443
2005-10-03 00:00:00+00,SHORT,2270,0.2189816046148284,-0.1018,0.0,0.0,-0.0062798173
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,-0.0988,0.0,0.0,0.012568555
2005-10-03 00:00:00+00,SHORT,562,0.35772387394192895,-0.0892,0.0,0.0,-0.005177302
2005-10-03 00:00:00+00,SHORT,2979,1.0,-0.0901,0.0,0.0,0.0048247105
2005-10-03 00:00:00+00,SHORT,975,0.12862745678252657,-0.0988,0.0,0.0,-0.011464854
2005-10-03 00:00:00+00,SHORT,3116,0.9375,-0.0865,0.0,0.0,-0.0048573627
2005-10-03 00:00:00+00,SHORT,4000,0.6666666666666667,-0.1094,0.0,0.0,-0.004981797
2005-10-03 00:00:00+00,SHORT,2041,0.4361334070509408,-0.1082,0.0,0.0,-6.7523425E-4
2005-10-04 00:00:00+00,SHORT,91,1.0,-0.1027,0.0,0.0,0.001301787
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,-0.105,0.0,0.0,0.0156597
2005-10-04 00:00:00+00,SHORT,245,0.0,-0.1028,0.0,0.0,-0.007998136
2005-10-04 00:00:00+00,SHORT,2396,0.21581443418102775,-0.1106,0.0,0.0,-0.0077326186
2005-10-04 00:00:00+00,SHORT,2742,0.0,-0.0952,0.0,0.0,-0.0063367016
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,-0.1056,0.0,0.0,0.0033299872
2005-10-04 00:00:00+00,SHORT,974,0.18621515052075316,-0.1038,0.0,0.0,-0.011389124
2005-10-04 00:00:00+00,SHORT,3179,0.6748973953658362,-0.1015,0.0,0.0,-0.0045165177
2005-10-04 00:00:00+00,SHORT,3357,0.24055465214302377,-0.0973,0.0,0.0,0.016597074
2005-10-04 00:00:00+00,SHORT,1840,0.0,-0.1063,0.0,0.0,-0.008385405
2005-10-04 00:00:00+00,SHORT,3903,0.15030394506542374,-0.1015,0.0,0.0,-0.0014091316
2005-10-04 00:00:00+00,SHORT,3907,0.34482545996275416,-0.1025,0.0,0.0,-0.012216104
2005-10-06 00:00:00+00,SHORT,2365,0.26651032852328016,-0.1031,0.0,0.0,-0.007927694
2005-10-06 00:00:00+00,SHORT,405,0.6358133519881053,-0.0896,0.0,0.0,-0.008013788
2005-10-07 00:00:00+00,SHORT,405,0.7379938386169536,-0.0895,0.0,0.0,-0.004484463
2005-10-07 00:00:00+00,SHORT,3244,0.09024175136588965,-0.0992,0.0,0.0,-0.007947188
2005-10-11 00:00:00+00,SHORT,3742,0.0,-0.1061,0.0,0.0,-0.011238756
2005-10-12 00:00:00+00,SHORT,487,0.46504912784170366,-0.1082,0.0,0.0,-0.00979127
2005-10-12 00:00:00+00,SHORT,1473,0.3742523090940432,-0.0888,0.0,0.0,0.0031720256
2005-10-14 00:00:00+00,SHORT,1473,0.4041815199241302,-0.0893,0.0,0.0,-0.0020125448
2005-10-17 00:00:00+00,SHORT,183,0.0,-0.0822,0.0,0.0,8.016053E-4
2005-10-17 00:00:00+00,SHORT,1803,0.5358972140818143,-0.1108,0.0,0.0,-0.003601607
2005-10-19 00:00:00+00,SHORT,2247,0.0,-0.1,0.0,0.0,0.0086165685
