time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055,dist_lower_bb_20_2.0_df055,price_vola_corr_50_df045
2007-05-07 00:00:00+00,SHORT,2066,0.7790470262353824,1.0,-0.03925247,-0.12290224,-0.39724162
2007-05-08 00:00:00+00,SHORT,2305,0.3556364904550911,1.0,-0.039179977,-0.07193547,-0.47721043
2007-05-09 00:00:00+00,SHORT,2066,0.40957956507730464,1.0,-0.031255636,-0.11120001,-0.46733686
2007-05-10 00:00:00+00,SHORT,853,0.07175168602786003,1.0,-0.034599524,-0.0019645188,-0.3823765
2007-05-23 00:00:00+00,SHORT,2742,0.0,1.0,-0.037489004,-0.06874646,-0.41094202
2007-06-11 00:00:00+00,SHORT,2365,0.21942685758662955,1.0,-0.040393185,-0.040442843,-0.48645684
2007-06-11 00:00:00+00,SHORT,3610,0.0,1.0,-0.03371801,-0.037289772,-0.444661
2007-06-14 00:00:00+00,SHORT,2365,0.08355609344511872,1.0,-0.034148075,-0.048322547,-0.44489405
2007-06-20 00:00:00+00,SHORT,694,0.0,1.0,-0.029011851,-0.081364565,-0.47165573
2007-06-22 00:00:00+00,SHORT,694,0.0,1.0,-0.04233646,-0.07085015,-0.38633648
2007-07-03 00:00:00+00,SHORT,4013,0.0,1.0,-0.04168457,-0.065754764,-0.4146755
2007-07-06 00:00:00+00,SHORT,4013,0.9444444444444444,1.0,-0.032335095,-0.07006006,-0.4433699
2007-07-10 00:00:00+00,SHORT,4013,0.8333333333333334,1.0,-0.042150825,-0.056039035,-0.3941415
2007-07-13 00:00:00+00,SHORT,4136,0.26569863497744595,1.0,-0.041513238,-0.09956478,-0.37856588
2007-07-16 00:00:00+00,SHORT,796,0.9166666666666666,1.0,-0.041056454,-0.043626975,-0.47359148
2007-07-16 00:00:00+00,SHORT,1816,0.4936987934941809,1.0,-0.020072915,-0.047744982,-0.43120387
2007-07-20 00:00:00+00,SHORT,2226,0.4781320442147402,1.0,-0.034822714,-0.015767787,-0.43133947
2007-07-20 00:00:00+00,SHORT,1250,0.22588422262250568,1.0,-0.022133024,-0.022848824,-0.38539216
2007-08-22 00:00:00+00,SHORT,2090,0.11036456945706488,1.0,-0.023652364,-0.08177683,-0.41162014
2007-08-23 00:00:00+00,SHORT,2064,0.5296647468639042,1.0,-0.017788395,-0.09027732,-0.3805702
2007-08-23 00:00:00+00,SHORT,2090,0.037264992399955246,1.0,-0.032339543,-0.07207345,-0.40372348
