time,side,ticker_id,mv_up_composite_labels,velocity_price_univ_zscore_5_df048,sessions_since_bearish_21_50_df059,price_drift_5_df005,sessions_since_bearish_8_50_df059,dist_upper_bb_50_2.5_df055
2007-06-27 00:00:00+00,LONG,2582,0.9166666666666666,1.2185552,2.0,0.008132485,11.0,-0.07858586
2007-08-01 00:00:00+00,LONG,1356,0.3895684509857908,2.8261912,6.0,-0.0049314857,6.0,-0.117428854
2007-08-06 00:00:00+00,LONG,1356,0.3744053660564362,1.2227161,9.0,0.008441558,9.0,-0.1161895
2007-08-09 00:00:00+00,LONG,1356,0.896551724137931,1.454224,12.0,0.00688739,12.0,-0.11115529
2007-08-14 00:00:00+00,LONG,2408,0.0,1.4373895,9.0,-0.002763279,11.0,-0.1386248
2007-08-14 00:00:00+00,LONG,3241,0.0,1.6120473,4.0,9.686794E-4,12.0,-0.0983474
2007-08-15 00:00:00+00,LONG,1144,0.0,2.3131442,6.0,0.002359882,6.0,-0.18415247
2007-08-16 00:00:00+00,LONG,1423,0.8909090909090909,1.6099689,2.0,0.006569552,7.0,-0.2828107
2007-08-17 00:00:00+00,LONG,2818,0.17677729098188297,1.2434506,5.0,0.010468266,11.0,-0.21087511
2007-08-20 00:00:00+00,LONG,897,0.0,1.203234,2.0,0.0083328085,10.0,-0.109248616
2007-08-20 00:00:00+00,LONG,3684,0.9487179487179487,1.2397927,4.0,0.009090909,8.0,-0.14252031
2007-08-20 00:00:00+00,LONG,2042,0.2547272186433868,1.2201121,2.0,0.0086828,6.0,-0.07440466
2007-11-05 00:00:00+00,LONG,2247,1.0,1.5848439,7.0,0.005586592,11.0,-0.19268255
2007-11-08 00:00:00+00,LONG,799,0.0,1.9558816,7.0,0.0104805725,11.0,-0.16224943
2007-11-08 00:00:00+00,LONG,3293,0.0,1.2741754,2.0,-2.6766595E-4,10.0,-0.10556535
2007-11-09 00:00:00+00,LONG,1012,0.0,1.4198991,2.0,-0.013788427,8.0,-0.094943985
2007-11-13 00:00:00+00,LONG,1444,0.0,2.1531615,2.0,-0.001142074,8.0,-0.112393685
2007-11-15 00:00:00+00,LONG,2863,0.0,1.5509938,2.0,0.0034398034,3.0,-0.1325184
2007-11-15 00:00:00+00,LONG,3695,0.0,1.2312335,2.0,-0.0012070006,12.0,-0.14167498
2007-11-19 00:00:00+00,LONG,397,1.0,1.3242762,3.0,0.0021887824,6.0,-0.12138594
2007-11-19 00:00:00+00,LONG,2816,0.0,1.606752,5.0,0.0048551294,8.0,-0.25287864
2007-11-20 00:00:00+00,LONG,220,0.0,3.1343265,8.0,0.006636614,12.0,-0.21008672
2007-11-20 00:00:00+00,LONG,397,0.0,2.410116,4.0,-0.003773585,7.0,-0.11302413
2007-11-20 00:00:00+00,LONG,838,0.0,3.053174,2.0,0.0054700854,9.0,-0.21561864
2007-11-20 00:00:00+00,LONG,1368,0.0,2.6010876,5.0,-0.0010284539,9.0,-0.20973238
2007-11-20 00:00:00+00,LONG,3586,0.0,1.5461384,2.0,-0.016192876,7.0,-0.07850826
2007-11-21 00:00:00+00,LONG,4172,1.0,2.0022416,4.0,-0.009885931,9.0,-0.23697953
2007-11-21 00:00:00+00,LONG,4187,0.0,2.9967296,6.0,0.008457884,11.0,-0.11031887
2007-11-21 00:00:00+00,LONG,397,0.0,1.7231693,5.0,-0.015033557,8.0,-0.11922431
2007-11-21 00:00:00+00,LONG,2863,0.0,2.6187909,6.0,0.0014866204,7.0,-0.14040169
2007-11-21 00:00:00+00,LONG,838,0.0,1.860294,3.0,-0.012504225,10.0,-0.21932758
2007-11-21 00:00:00+00,LONG,1368,0.0,2.8961046,6.0,0.0066018067,10.0,-0.21473266
2007-11-23 00:00:00+00,LONG,2188,1.0,1.3476883,5.0,0.007560596,11.0,-0.13549621
2007-11-23 00:00:00+00,LONG,1462,0.0,1.4109405,2.0,0.0087346025,8.0,-0.22794034
2007-11-23 00:00:00+00,LONG,3586,0.0,1.4183679,4.0,0.008872459,9.0,-0.08005425
2007-11-26 00:00:00+00,LONG,4172,0.9310344827586207,2.5696135,6.0,8.930565E-4,11.0,-0.24900825
2007-11-26 00:00:00+00,LONG,397,0.0,2.5645607,7.0,8.1366964E-4,10.0,-0.11454922
2007-11-26 00:00:00+00,LONG,2550,0.0,2.2069168,3.0,-0.0048054443,9.0,-0.17406589
2007-11-26 00:00:00+00,LONG,2703,0.0,2.7698052,2.0,0.0040383646,7.0,-0.184341
2007-11-26 00:00:00+00,LONG,2731,0.0,1.6877542,4.0,-0.012962257,10.0,-0.21212481
2007-11-26 00:00:00+00,LONG,2816,0.0,1.4328532,9.0,-0.016967127,12.0,-0.25085917
2007-11-26 00:00:00+00,LONG,817,0.8823529411764706,2.950953,4.0,0.006884466,10.0,-0.26176083
2007-11-26 00:00:00+00,LONG,2990,0.0,2.4819305,12.0,-4.8457223E-4,5.0,-0.109425
2007-12-13 00:00:00+00,LONG,3613,0.0,1.2304442,4.0,0.0065423297,11.0,-0.09351573
2007-12-14 00:00:00+00,LONG,3613,0.0,1.6064743,5.0,0.009976526,12.0,-0.090199016
2007-12-20 00:00:00+00,LONG,4137,0.0,1.7859124,5.0,0.008707301,3.0,-0.14704654
2008-01-10 00:00:00+00,LONG,3923,0.26577625920884196,1.1745129,2.0,-0.011869436,9.0,-0.13328473
2008-01-17 00:00:00+00,LONG,2064,0.8,2.463114,2.0,-0.0051730997,8.0,-0.15778504
2008-01-22 00:00:00+00,LONG,9,0.8611111111111112,3.0914638,2.0,0.010028204,7.0,-0.23150928
2008-01-22 00:00:00+00,LONG,2064,0.7333333333333334,2.9838285,4.0,0.007445141,10.0,-0.13280876
2008-02-08 00:00:00+00,LONG,773,0.2983417440056529,2.0004687,11.0,0.010315078,11.0,-0.07665844
2008-02-08 00:00:00+00,LONG,1108,0.0,1.7812061,10.0,0.0042909686,12.0,-0.11967889
2008-02-08 00:00:00+00,LONG,3233,0.31944373854698294,1.549584,4.0,-0.002072704,10.0,-0.18423393
2008-02-08 00:00:00+00,LONG,1840,0.0,1.5222867,8.0,-0.0028226841,11.0,-0.074930765
2008-02-11 00:00:00+00,LONG,2961,0.0,1.7380743,4.0,-0.0050317217,12.0,-0.07623058
2008-02-11 00:00:00+00,LONG,1840,0.0,1.821273,9.0,-0.0038471404,12.0,-0.075455956
2008-03-19 00:00:00+00,LONG,2291,0.0,2.8765063,2.0,0.008253095,6.0,-0.20090117
2008-03-19 00:00:00+00,LONG,2983,0.9473684210526316,1.3379915,12.0,-0.0075,10.0,-0.23167686
2008-03-20 00:00:00+00,LONG,411,0.0,2.152128,4.0,0.008358048,10.0,-0.16017053
2008-04-11 00:00:00+00,LONG,4194,0.2663013882404853,1.3521365,7.0,0.008805032,5.0,-0.09505712
2008-04-14 00:00:00+00,LONG,2175,0.0,1.4540137,12.0,-0.010772404,5.0,-0.111187674
