time,side,ticker_id,mv_up_composite_labels,price_eps_diff_pct_df082,dist_lower_bb_50_2.0_df055
2005-03-29 00:00:00+00,LONG,475,0.0,66.77,-0.032884203
2005-04-08 00:00:00+00,LONG,475,0.0,66.42,-0.03541755
2005-04-11 00:00:00+00,LONG,475,0.0,66.87,-0.026537402
2005-04-12 00:00:00+00,LONG,475,0.0,66.0,-0.026763612
2005-04-15 00:00:00+00,LONG,842,0.0,39.52,-0.03033677
2005-04-15 00:00:00+00,LONG,1667,0.3212271638866323,89.65,4.6430167E-4
2005-04-18 00:00:00+00,LONG,842,0.0,37.98,-0.020132236
2005-04-18 00:00:00+00,LONG,1667,0.428714138111044,78.18,-0.024432542
2005-04-19 00:00:00+00,LONG,248,1.0,85.26,-0.03049477
2005-04-19 00:00:00+00,LONG,842,0.0,26.3,-0.012204793
2005-04-19 00:00:00+00,LONG,1667,0.25992973148930776,85.44,-0.031391114
2005-04-19 00:00:00+00,LONG,3794,0.9534883720930233,85.66,0.031093832
2005-04-20 00:00:00+00,LONG,3794,0.24625740389617662,103.46,-0.036615036
2005-04-21 00:00:00+00,LONG,3355,0.28273120784372263,100.19,-0.005758718
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,110.58,0.0054242625
2005-04-27 00:00:00+00,LONG,39,0.6635925434878582,86.9,-0.02011241
2005-04-28 00:00:00+00,LONG,39,0.96,86.9,-0.015128047
2005-04-28 00:00:00+00,LONG,1471,1.0,59.54,-0.016885484
2005-04-28 00:00:00+00,LONG,4005,0.9743589743589743,114.86,-0.003686
2005-04-29 00:00:00+00,LONG,39,0.49992240868918586,103.91,-0.015391174
2005-04-29 00:00:00+00,LONG,4005,0.9487179487179487,114.83,-0.005633976
2005-05-02 00:00:00+00,LONG,39,0.48705021847631447,103.84,-0.027002167
2005-05-03 00:00:00+00,LONG,39,0.48796946252828577,102.03,-0.03141262
2005-05-04 00:00:00+00,LONG,39,0.5669365752295094,99.57,-0.02494438
2005-05-04 00:00:00+00,LONG,2816,0.7124576802995499,50.43,-0.012001736
2005-05-05 00:00:00+00,LONG,39,0.6065560975524668,104.18,-0.020554723
2005-05-05 00:00:00+00,LONG,2816,0.9642857142857143,63.47,-0.022605902
2005-05-05 00:00:00+00,LONG,3310,0.4624033846160355,34.18,-0.024437549
2005-05-06 00:00:00+00,LONG,39,0.5296511615616813,104.04,-0.023097819
