time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,dist_upper_bb_20_2.0_df055,dist_upper_bb_50_2.5_df055
2005-03-07 00:00:00+00,SHORT,1299,0.6707059601389428,-0.010431903,0.0028416528,-0.07184912
2005-03-07 00:00:00+00,SHORT,3355,1.0,-0.038545523,0.011042384,-0.16106012
2005-03-07 00:00:00+00,SHORT,3359,0.6503051574669447,-0.027860414,-0.0032933466,-0.09068001
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,0.010112586,-3.488091E-4,-0.02278726
2005-03-07 00:00:00+00,SHORT,4049,0.33122711480257017,0.011946453,-0.012906704,-0.032918528
2005-03-08 00:00:00+00,SHORT,4107,0.45146578723241276,-0.024117757,-0.007197425,-0.097761795
2005-03-08 00:00:00+00,SHORT,2119,0.41863213088442525,0.00986614,-0.015447943,-0.02939798
2005-03-08 00:00:00+00,SHORT,194,0.39933968732343317,0.01736645,-0.011790328,-0.040682584
2005-03-08 00:00:00+00,SHORT,440,0.6034642438997424,0.014110161,-0.0025804276,-0.02730034
2005-03-08 00:00:00+00,SHORT,2553,0.39549922347210165,-0.002396503,-0.009268634,-0.040832095
2005-03-08 00:00:00+00,SHORT,516,0.6811871210337171,-0.016134985,-0.013454327,-0.10852871
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.0072180177,-0.003362898,-0.036887717
2005-03-08 00:00:00+00,SHORT,641,0.18464301652050702,0.007088134,-0.010445149,-0.046986036
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,-0.010523586,-5.6967576E-4,-0.05915447
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,0.02487107,-0.008510188,-0.013177615
2005-03-08 00:00:00+00,SHORT,1288,0.28944911757402236,0.012368227,-0.015620141,-0.049873292
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,-0.0018349502,-0.0022559701,-0.06827325
2005-03-08 00:00:00+00,SHORT,3355,0.9333333333333333,-0.028647058,-0.008559086,-0.16602433
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,0.017087702,-0.005993986,-0.008955715
2005-03-08 00:00:00+00,SHORT,3629,0.454467840182215,-0.0051930775,-0.005548426,-0.03226437
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,0.020694878,4.7820073E-4,-0.014566043
2005-03-09 00:00:00+00,SHORT,2070,0.8171119053706654,-1.6143972E-4,-0.00551752,-0.043027204
2005-03-09 00:00:00+00,SHORT,440,0.5118023865855605,0.014698097,-0.009981578,-0.033717245
2005-03-09 00:00:00+00,SHORT,555,0.3883534476704609,-0.005207579,-0.00906218,-0.04416031
2005-03-09 00:00:00+00,SHORT,2665,0.2956011498279958,0.009068647,-0.015282751,-0.045743342
2005-03-09 00:00:00+00,SHORT,881,0.5061696707189116,-0.025660243,-0.0144202355,-0.086714655
2005-03-09 00:00:00+00,SHORT,3046,0.5587288684459337,-0.006234504,-0.00812021,-0.06252359
2005-03-10 00:00:00+00,SHORT,4107,0.21864409106015684,-0.016005645,-0.014245839,-0.09727406
2005-03-10 00:00:00+00,SHORT,2070,0.47768993264186443,0.008093796,-0.012950341,-0.043597974
2005-03-10 00:00:00+00,SHORT,440,0.5025932986543172,0.016228704,-0.0033349008,-0.026934743
2005-03-10 00:00:00+00,SHORT,555,0.3506749590456517,-1.6783162E-4,-0.012593018,-0.045481205
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,0.013371441,-0.0040949667,-0.029719366
2005-03-10 00:00:00+00,SHORT,881,0.49541249821470695,-0.02116444,-0.012710198,-0.07962986
2005-03-10 00:00:00+00,SHORT,3046,0.5080034990103095,-0.0015092497,-0.0134383375,-0.0618966
2005-03-10 00:00:00+00,SHORT,3359,0.6351463236331055,-0.00992006,-0.015223445,-0.081104934
2005-03-11 00:00:00+00,SHORT,440,0.3487683508151315,0.015982417,-0.012385092,-0.033571366
2005-03-11 00:00:00+00,SHORT,487,0.5718778406985143,-0.0123403445,-0.011162305,-0.06247647
2005-03-11 00:00:00+00,SHORT,3244,0.689398996745523,0.011139615,-0.0074008363,-0.04923703
2005-03-11 00:00:00+00,SHORT,3754,0.4858824938773693,-0.00478191,-0.01466952,-0.038475465
2005-03-11 00:00:00+00,SHORT,3825,0.0,-0.002783199,-0.014155823,-0.05771046
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,0.009486773,-0.014549835,-0.018418701
2005-03-14 00:00:00+00,SHORT,799,1.0,0.01920903,-0.007739772,-0.011882232
2005-03-14 00:00:00+00,SHORT,881,0.541200214744221,-0.012720314,-0.0107582575,-0.068335354
2005-03-14 00:00:00+00,SHORT,3179,0.1736519180507727,0.026132481,-0.012527454,-0.04880376
2005-03-14 00:00:00+00,SHORT,3244,0.5706484650577092,0.0135278655,-0.0057082963,-0.044382416
2005-03-14 00:00:00+00,SHORT,3760,1.0,-0.03004421,-0.008327107,-0.110352375
2005-03-14 00:00:00+00,SHORT,3825,0.7283732105541322,-0.0037592899,-0.013891186,-0.05205076
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,0.016627654,-0.0037526384,-0.038356766
2005-03-15 00:00:00+00,SHORT,3760,0.501332942954797,-0.026582614,-0.012998591,-0.11159396
2005-03-15 00:00:00+00,SHORT,2004,0.770362833876611,0.0015212934,-0.01405666,-0.074146606
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,0.019244721,-0.008401427,-0.038942233
2005-03-17 00:00:00+00,SHORT,1262,0.2619633267324718,0.028551646,-0.014007147,-0.03633289
2005-03-18 00:00:00+00,SHORT,429,0.8225193187954439,-0.023820324,0.024296172,-0.024661623
2005-03-18 00:00:00+00,SHORT,714,0.6869613040796966,-0.022749493,-0.012765612,-0.06994519
2005-03-18 00:00:00+00,SHORT,995,0.5203678159572529,-0.015746035,-0.012472207,-0.053774465
2005-03-18 00:00:00+00,SHORT,3179,0.0750478047647046,0.017651958,-0.00813907,-0.045068912
2005-03-18 00:00:00+00,SHORT,3244,0.517888914856769,0.022381468,-0.015440536,-0.041927192
2005-03-21 00:00:00+00,SHORT,4107,0.0,-0.009381647,-0.01176316,-0.076137975
2005-03-21 00:00:00+00,SHORT,429,0.7220681771332482,0.0063678836,-0.007888129,-0.042911798
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,0.014582236,-0.0022236304,-0.001976315
2005-03-21 00:00:00+00,SHORT,3905,0.5397076323069038,0.026769636,-0.013656721,-0.010935138
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,0.015161445,-0.012973054,-0.013331955
2005-03-22 00:00:00+00,SHORT,3794,1.0,0.027143642,0.0012354619,-0.045278188
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.024062661,0.016768496,0.01809365
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,0.02611643,-0.010957261,-0.009538239
2005-03-30 00:00:00+00,SHORT,4194,1.0,-0.030280562,0.0049861157,-0.12442089
2005-03-30 00:00:00+00,SHORT,3293,0.06517423979454019,0.01308715,-0.013299319,-0.014762864
2005-03-31 00:00:00+00,SHORT,2430,0.06610452502445582,0.022403175,-0.010850081,-0.040607158
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,-0.024696961,-8.349577E-4,-0.062291212
2005-03-31 00:00:00+00,SHORT,559,0.0,0.016860597,-0.012162837,-0.053750087
2005-04-05 00:00:00+00,SHORT,4107,0.3899437197105773,0.02458985,-0.0145968925,-0.038968306
2005-04-05 00:00:00+00,SHORT,220,0.41284420160409824,-0.054166444,-0.015476288,-0.17681994
2005-04-05 00:00:00+00,SHORT,862,0.5779865207533339,0.012333841,-0.015241341,-0.041016597
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.009514415,-0.0033822407,-0.009124447
2005-04-06 00:00:00+00,SHORT,4123,0.32686694992656024,0.02489661,-0.014313757,-0.06574259
2005-04-06 00:00:00+00,SHORT,2972,0.0,-0.020474358,-0.011862476,-0.06883092
2005-04-06 00:00:00+00,SHORT,1112,0.2377573722518458,0.01852485,-0.010308713,-0.019344475
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,0.0038348334,-0.007743764,-0.024459777
2005-04-06 00:00:00+00,SHORT,1770,0.5591253411490623,0.014289921,-0.0069386996,-0.07691381
2005-04-07 00:00:00+00,SHORT,4107,0.2703965970635967,0.029040365,-0.013753643,-0.033075117
2005-04-07 00:00:00+00,SHORT,13,0.4068319075322529,0.010546517,-0.012374006,-0.05070607
2005-04-07 00:00:00+00,SHORT,2230,0.22565222571863155,-0.0109754,-0.012941908,-0.07508413
2005-04-07 00:00:00+00,SHORT,444,1.0,0.016418004,0.009904617,0.006049077
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,-0.004261256,-0.006264409,-0.025200266
2005-04-07 00:00:00+00,SHORT,862,0.35168903220541436,0.0124730645,-0.014058236,-0.035762113
2005-04-07 00:00:00+00,SHORT,2972,0.0,-0.01813132,-0.0150495395,-0.07102041
2005-04-07 00:00:00+00,SHORT,1184,0.5253420189502549,0.017307779,-0.013883637,-0.04427822
2005-04-07 00:00:00+00,SHORT,1437,0.0508122650235312,0.006885895,-0.013702545,-0.027931891
2005-04-07 00:00:00+00,SHORT,1770,0.21871698499407777,0.01603431,-0.01352516,-0.080203004
2005-04-07 00:00:00+00,SHORT,1826,0.40539782864250584,0.009359551,-0.0015003406,-0.033370197
2005-04-08 00:00:00+00,SHORT,13,0.22863456916735694,0.012128367,-0.013089169,-0.046630774
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,0.026609441,-0.00623316,-0.0057664877
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,0.007987818,-0.008747363,-0.01943532
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0015120796,0.0031739385,-0.1314257
2005-04-08 00:00:00+00,SHORT,1650,0.0,0.0050024637,0.0019217972,-0.025332019
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,0.010405253,-0.0013873163,-0.015713707
2005-04-11 00:00:00+00,SHORT,1064,0.2080501076306608,0.015306936,-0.0071395924,-0.12153764
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.018024655,-0.0034011824,-0.111916676
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,0.011519067,-0.010940351,-0.02024718
2005-04-11 00:00:00+00,SHORT,1770,0.3290542406979669,0.0215309,-0.010099636,-0.06768087
2005-04-11 00:00:00+00,SHORT,1826,0.23691113531642288,0.019051768,-0.013037478,-0.033280704
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,0.020801332,-0.010667464,-0.0070747905
2005-04-12 00:00:00+00,SHORT,2055,0.429270346664699,-0.0066557624,-0.014719173,-0.050575722
2005-04-12 00:00:00+00,SHORT,4122,1.0,-0.0013575917,6.9783867E-4,-0.017373338
2005-04-12 00:00:00+00,SHORT,2196,0.25801080340307564,0.0070433584,-0.015257571,-0.059979964
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.006601305,-0.0020292338,-0.061659727
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.017162863,-0.005717211,-0.052867074
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.00949916,-0.0052305106,-0.042978533
2005-04-12 00:00:00+00,SHORT,2716,0.0,-0.047553517,-0.013805137,-0.161623
2005-04-12 00:00:00+00,SHORT,759,0.49871720866158376,-0.023469463,-0.013535713,-0.07213843
2005-04-12 00:00:00+00,SHORT,2972,0.09174562663849382,-0.015144542,-0.011602114,-0.0663939
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.015848272,0.021830844,-0.009738849
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.014280444,0.005210495,-0.0075285384
2005-04-12 00:00:00+00,SHORT,3310,0.34639637549767277,-0.015276464,-0.005503104,-0.109290875
2005-04-12 00:00:00+00,SHORT,1306,0.29191918112591086,-0.03332457,-0.013395837,-0.11242843
2005-04-12 00:00:00+00,SHORT,1308,0.09392814775842913,0.0117229605,-0.013984591,-0.017061196
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.02385635,-0.004371628,-0.111765824
2005-04-12 00:00:00+00,SHORT,1710,0.5279492928089448,0.012490212,-0.0152456155,-0.022072535
2005-04-12 00:00:00+00,SHORT,3773,0.0,-0.022770965,-0.008875938,-0.11470276
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.018398812,0.0030592477,-0.053114165
