time,side,ticker_id,mv_up_composite_labels,ev_ebitda_sector_relative_df085,accel_volume_5_df025,dist_lower_bb_50_2.0_df055
2006-06-20 00:00:00+00,LONG,3466,0.46566594864078603,0.0216,-0.3607306,0.012017003
2006-06-20 00:00:00+00,LONG,3613,0.5464192789749112,0.0251,-0.8767748,0.018314194
2006-07-14 00:00:00+00,LONG,406,1.0,0.435,0.021734748,0.009114767
2006-07-18 00:00:00+00,LONG,3782,1.0,0.8405,-0.33936495,0.03493091
2006-07-20 00:00:00+00,LONG,2095,0.9259259259259259,0.7782,-0.47548667,0.014626526
2006-07-21 00:00:00+00,LONG,2095,0.8888888888888888,0.7838,0.42978606,0.017733606
2006-07-21 00:00:00+00,LONG,2393,0.5805176775519807,1.0234,0.9386598,0.012528782
2006-07-21 00:00:00+00,LONG,2504,0.40309440387988704,1.1307,0.083291724,0.044641666
2006-07-21 00:00:00+00,LONG,3501,1.0,0.7382,0.2937513,0.027516661
2006-07-21 00:00:00+00,LONG,3853,1.0,0.5851,0.8332512,0.010959923
2006-07-24 00:00:00+00,LONG,191,0.47520306002107277,0.4087,0.64849263,0.039462738
2006-07-24 00:00:00+00,LONG,2305,0.9838709677419355,0.4125,-0.40438336,0.024760643
2006-07-24 00:00:00+00,LONG,1260,0.7566245877772009,0.7058,-0.25268877,0.0064762216
2006-07-25 00:00:00+00,LONG,2305,0.967741935483871,0.4124,-0.829526,0.014494647
2006-07-26 00:00:00+00,LONG,2305,0.9516129032258065,0.4056,-0.21660413,0.02300069
2006-07-26 00:00:00+00,LONG,862,1.0,0.5863,0.023918236,0.017383788
2006-07-27 00:00:00+00,LONG,64,0.9583333333333334,1.1543,-0.44625258,0.014870526
2006-07-27 00:00:00+00,LONG,862,0.0,0.6148,-0.05380433,0.0035998328
2006-07-27 00:00:00+00,LONG,3378,1.0,0.7082,0.35850102,0.050321013
2006-07-31 00:00:00+00,LONG,4062,0.0,0.7819,-0.46989802,0.035653412
2006-08-01 00:00:00+00,LONG,1063,0.5951208558426428,0.6174,0.34910667,0.015486997
2006-08-01 00:00:00+00,LONG,3378,0.9444444444444444,0.729,0.24816541,0.0022958627
2006-08-01 00:00:00+00,LONG,4062,0.875,0.7712,-0.85862035,0.039071593
2006-08-02 00:00:00+00,LONG,502,1.0,1.4845,-0.5304809,0.043606184
2006-08-02 00:00:00+00,LONG,1650,1.0,1.1555,-0.5684173,0.028531855
2006-08-02 00:00:00+00,LONG,4062,0.7173213923180749,0.7742,0.14572194,0.014954465
2006-08-03 00:00:00+00,LONG,1022,0.0,1.4767,0.3898346,0.007113939
2006-08-11 00:00:00+00,LONG,2196,0.8557459858539893,0.6723,-0.21641862,0.004093792
2006-08-11 00:00:00+00,LONG,1790,0.957345830002671,0.8058,0.11968058,0.025031712
2006-08-14 00:00:00+00,LONG,694,0.95,0.5218,0.14962204,0.03679235
2006-08-16 00:00:00+00,LONG,68,0.0,0.1947,-0.2049071,0.02912271
2006-08-21 00:00:00+00,LONG,68,0.8,0.1985,0.24739414,0.022992486
2006-08-21 00:00:00+00,LONG,2936,0.09519181770522943,0.6413,-0.80142623,0.04524118
2006-08-22 00:00:00+00,LONG,68,0.76,0.1973,0.2398571,0.0071008746
2006-08-22 00:00:00+00,LONG,2936,0.06695232253667402,0.6464,-0.06455298,0.025252288
2006-08-23 00:00:00+00,LONG,2936,0.0476166398874089,0.6426,-0.12898451,0.016642628
