time,side,ticker_id,mv_up_composite_labels,accel_volume_5_df025,dist_lower_bb_50_2.0_df055
2005-02-01 00:00:00+00,LONG,918,0.814507827807488,-0.49718478,-0.0026418667
2005-02-01 00:00:00+00,LONG,1144,0.962962962962963,-1.0326207,0.0025215915
2005-02-01 00:00:00+00,LONG,3216,0.21462690962747302,-0.007328388,0.0033899746
2005-02-01 00:00:00+00,LONG,3681,0.34754520267462075,0.39474893,-0.005642978
2005-02-02 00:00:00+00,LONG,2923,0.16739787029490608,-0.55575264,-0.0045369733
2005-02-02 00:00:00+00,LONG,918,0.8332596027227508,-0.0019977198,-0.0013599333
2005-02-02 00:00:00+00,LONG,1910,0.0,-0.29270452,0.005852618
2005-02-03 00:00:00+00,LONG,2866,0.4294727732749345,0.028098006,-0.0029406373
2005-02-03 00:00:00+00,LONG,3355,0.0,0.6716324,0.048287272
2005-02-03 00:00:00+00,LONG,3681,0.2920797803664424,-0.65583706,-0.005884332
2005-02-04 00:00:00+00,LONG,1191,0.0,0.58317554,0.0063250256
2005-02-04 00:00:00+00,LONG,3355,0.0,-0.34214523,0.018867608
2005-02-04 00:00:00+00,LONG,3681,0.3486722243879405,0.23796092,-2.3056206E-4
2005-02-07 00:00:00+00,LONG,3355,0.0,-0.13630034,0.0045679943
2005-02-07 00:00:00+00,LONG,3703,0.3282057969262716,-0.4412712,-0.003921668
2005-02-07 00:00:00+00,LONG,4050,0.8692014365546117,-0.59026927,-0.005504597
2005-02-08 00:00:00+00,LONG,2670,0.0,0.015592064,-6.286626E-4
2005-02-09 00:00:00+00,LONG,629,0.5652663225101038,0.011334343,-0.0048643528
2005-02-09 00:00:00+00,LONG,3355,0.0,-0.18625131,-6.671977E-4
2005-02-09 00:00:00+00,LONG,4050,0.9230769230769231,0.55067176,-0.0012638717
2005-02-10 00:00:00+00,LONG,2070,0.0,0.7922639,3.4204524E-4
2005-02-10 00:00:00+00,LONG,212,0.0,0.2872022,-0.0057699806
2005-02-10 00:00:00+00,LONG,3355,0.0,-0.76982325,-0.001495316
2005-02-10 00:00:00+00,LONG,1631,1.0,0.12989147,-0.0015147843
2005-02-14 00:00:00+00,LONG,3287,0.9545454545454546,-1.023883,0.019904237
