time,side,ticker_id,mv_dn_composite_labels,normalized_6m_df004,skew_weighted_10_df037,weighted_neg_sum_20_df036,dist_upper_bb_50_2.0_df055
2005-10-17 00:00:00+00,SHORT,1803,0.5358972140818143,0.47058824,0.20095637,0.11230592,0.013458774
2005-10-24 00:00:00+00,SHORT,3501,0.04337747849279204,0.48387095,0.7218796,0.030466849,0.0074849855
2005-11-02 00:00:00+00,SHORT,3310,0.0,0.36666667,0.5796698,0.052142225,0.03363611
2005-11-04 00:00:00+00,SHORT,1423,0.29184499300365213,0.28125,0.6590629,0.16785282,0.03058388
2005-11-04 00:00:00+00,SHORT,3825,1.0,0.12903225,0.3278288,0.08918103,0.006661921
2005-11-07 00:00:00+00,SHORT,694,0.07425511671472668,0.2631579,0.46705672,0.15793827,0.035130076
2005-11-07 00:00:00+00,SHORT,3199,1.0,0.09375,0.557406,0.17855634,0.042333517
2005-11-07 00:00:00+00,SHORT,1423,0.14558553310340624,0.33333334,0.6071271,0.15149346,0.017636424
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,0.125,0.26959684,0.08365616,0.010366051
2005-11-08 00:00:00+00,SHORT,522,0.44592015592320355,0.16666667,0.5633674,0.15538754,0.036040705
2005-11-08 00:00:00+00,SHORT,694,0.0,0.23809524,0.49409863,0.16990574,0.009504412
2005-11-08 00:00:00+00,SHORT,3825,0.42667160951620337,0.125,0.2825806,0.072351426,0.0024784782
2005-11-09 00:00:00+00,SHORT,522,0.39248133604949287,0.13333334,0.67384684,0.15654396,0.0076096053
2005-11-09 00:00:00+00,SHORT,1423,0.02467130217130824,0.34375,0.28396374,0.15967448,0.0011079876
2005-11-09 00:00:00+00,SHORT,3825,0.404195821177573,0.125,0.393188,0.072351426,0.00412613
2005-11-10 00:00:00+00,SHORT,2247,0.0,0.42222223,0.5277391,0.05490836,0.0057764747
2005-11-10 00:00:00+00,SHORT,1423,0.0,0.36363637,0.2886312,0.15967448,0.003978647
2005-11-10 00:00:00+00,SHORT,2018,0.5117900587837445,0.4,0.79062,0.039211698,0.035065807
2005-11-11 00:00:00+00,SHORT,2018,0.4699451176070959,0.4,0.62647784,0.053328272,0.011164963
2005-11-14 00:00:00+00,SHORT,3359,0.9,0.46341464,0.5869857,0.034363147,0.015790707
2005-11-14 00:00:00+00,SHORT,2018,0.5159579240151955,0.4,0.6561768,0.052760538,0.016942594
2005-11-23 00:00:00+00,SHORT,2064,0.44671087488980926,0.25,0.4421246,0.0812772,0.0018756542
2005-11-25 00:00:00+00,SHORT,907,0.5479394894283638,0.1875,0.62016016,0.025349902,0.016260365
2005-11-28 00:00:00+00,SHORT,907,0.5454407428831732,0.1875,0.5284863,0.031789053,0.007136393
2005-12-01 00:00:00+00,SHORT,1244,1.0,0.5,0.8557638,0.10167069,0.013427323
2005-12-02 00:00:00+00,SHORT,2835,0.0,0.45454547,0.42670596,0.13645639,0.025765764
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.33333334,0.78516555,0.032616135,0.013656998
2005-12-02 00:00:00+00,SHORT,3309,0.0,0.5060241,0.4553829,0.036816876,0.0010465416
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,0.33333334,0.641984,0.0357607,0.004382909
2005-12-05 00:00:00+00,SHORT,3309,0.0,0.5060241,0.5476632,0.036816876,0.0015561022
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,0.33333334,0.8237837,0.0357607,0.013559262
2005-12-06 00:00:00+00,SHORT,2999,0.5755412196318034,0.09677419,0.62063766,0.07161542,0.01733672
2005-12-07 00:00:00+00,SHORT,903,0.2289982512437618,0.33333334,0.678043,0.037970204,0.0011110295
2005-12-07 00:00:00+00,SHORT,2999,0.5221325146794409,0.10344828,0.61060166,0.05395584,0.019310627
2005-12-13 00:00:00+00,SHORT,243,0.2892270352918167,0.4864865,0.5885184,0.10197459,0.0032399842
2005-12-13 00:00:00+00,SHORT,1173,0.29797398907909656,0.3243243,0.7769727,0.06839147,0.003112992
2005-12-14 00:00:00+00,SHORT,243,0.23359293582537782,0.45945945,0.73932123,0.10197459,0.01713561
2005-12-14 00:00:00+00,SHORT,1173,0.2203135379287504,0.3243243,0.8264747,0.06839147,0.013497508
2005-12-15 00:00:00+00,SHORT,1280,0.0,0.4054054,0.6018613,0.11272183,0.010836905
2005-12-16 00:00:00+00,SHORT,4223,0.5588724385473045,0.42222223,0.22712572,0.08362991,0.011060976
2005-12-23 00:00:00+00,SHORT,3310,0.5797918570247561,0.15625,0.77291477,0.10374335,0.006143739
2006-01-04 00:00:00+00,SHORT,2971,0.0,0.27272728,0.104698196,0.09162081,0.011739045
2006-01-05 00:00:00+00,SHORT,3142,0.0,0.4,0.51789546,0.065773234,0.0030672695
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,0.4318182,0.608506,0.068063095,0.012457537
2006-01-06 00:00:00+00,SHORT,3142,0.0,0.34285715,0.55901504,0.065773234,0.0037556528
2006-01-09 00:00:00+00,SHORT,2327,0.3527959295276325,0.13636364,0.46805152,0.052429296,0.0042628604
