time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,velocity_eps_9m_univ_zscore_df051
2006-03-21 00:00:00+00,LONG,1888,0.8444444444444444,5.408208E-4,0.0056689773
2006-03-22 00:00:00+00,LONG,1888,0.8222222222222222,0.004618825,0.0044061667
2006-03-27 00:00:00+00,LONG,487,1.0,0.0034460553,-0.045174297
2006-03-30 00:00:00+00,LONG,3890,0.0,-0.008256209,-0.050913934
2006-04-03 00:00:00+00,LONG,3179,1.0,0.004113204,-0.05978435
2006-04-05 00:00:00+00,LONG,1262,0.9642857142857143,0.0011421813,-0.045902617
2006-04-06 00:00:00+00,LONG,1250,0.0,-0.0066125114,-0.040857494
2006-04-06 00:00:00+00,LONG,3890,0.0,-0.0071300655,-0.051257305
2006-04-07 00:00:00+00,LONG,101,0.1558359197094207,4.5064843E-4,-0.060684785
2006-04-07 00:00:00+00,LONG,3890,0.0,-0.0051307334,-0.051130526
2006-04-10 00:00:00+00,LONG,101,0.0,-0.0033631104,-0.06125262
2006-04-10 00:00:00+00,LONG,386,0.3689360861897811,-0.0066193705,-0.050875522
2006-04-10 00:00:00+00,LONG,3890,0.0,-0.005531885,-0.05174028
2006-04-11 00:00:00+00,LONG,93,0.7345890050656426,-0.0032117472,-0.042072378
2006-04-11 00:00:00+00,LONG,101,0.14433974548424108,-0.003612144,-0.061139375
2006-04-11 00:00:00+00,LONG,3890,0.0,-0.0021639094,-0.051605877
2006-04-12 00:00:00+00,LONG,101,0.0,-0.006364515,-0.06107382
2006-04-12 00:00:00+00,LONG,1063,0.0,0.0016176598,-0.04479241
2006-04-12 00:00:00+00,LONG,1236,0.10527415897472027,0.002663853,-0.05417126
2006-04-12 00:00:00+00,LONG,3890,0.0,-0.0013569562,-0.051582802
2006-04-13 00:00:00+00,LONG,93,0.7650774079359703,-0.0062118312,-0.041624162
2006-04-13 00:00:00+00,LONG,1220,0.0,0.0035864846,-0.055490915
2006-04-13 00:00:00+00,LONG,1236,0.12426683569463282,0.0019092148,-0.05375757
2006-04-13 00:00:00+00,LONG,3293,0.4768380398802977,-0.0065894886,-0.052024227
2006-04-13 00:00:00+00,LONG,3890,0.0,-0.003978381,-0.051157556
2006-04-17 00:00:00+00,LONG,2151,0.6768620761081234,-0.008355965,-0.059258156
2006-04-17 00:00:00+00,LONG,386,0.28482818214619116,-0.0077604777,-0.050629854
2006-04-17 00:00:00+00,LONG,780,0.0,-3.3363528E-4,-0.052355513
2006-04-17 00:00:00+00,LONG,799,1.0,0.0030535476,-0.044590045
2006-04-17 00:00:00+00,LONG,1220,0.0,-0.0021178047,-0.055806834
2006-04-17 00:00:00+00,LONG,1236,0.173170098106009,0.0022563555,-0.054081175
2006-04-17 00:00:00+00,LONG,3890,0.0,-0.0054649366,-0.051492684
2006-04-19 00:00:00+00,LONG,93,0.7593028023247845,-0.007535395,-0.042877026
2006-04-19 00:00:00+00,LONG,1236,0.12235545753113161,-0.005705846,-0.054752603
2006-04-20 00:00:00+00,LONG,1853,0.531921724894266,0.0012647945,-0.034394473
2006-04-25 00:00:00+00,LONG,2159,0.01754385964912286,-0.0018034669,-0.0610736
2006-04-26 00:00:00+00,LONG,93,0.7056148115294285,-0.0032516208,-0.0447393
2006-05-01 00:00:00+00,LONG,1615,0.0,0.002011427,-0.020286093
2006-05-03 00:00:00+00,LONG,1615,0.0,-0.0013477651,-0.0030236773
2006-05-03 00:00:00+00,LONG,3773,0.0,0.0013526004,-0.02978072
2006-05-04 00:00:00+00,LONG,1615,0.0,-0.004848643,-0.0050434447
2006-05-05 00:00:00+00,LONG,1615,0.0,-0.0011567576,-0.011392081
2006-05-08 00:00:00+00,LONG,559,0.0,-0.0017554712,-0.055146266
2006-05-18 00:00:00+00,LONG,1453,0.35920553997156984,-0.0025999518,-0.019714557
2006-05-26 00:00:00+00,LONG,397,0.682539297424445,0.0019491547,-0.01256813
2006-05-31 00:00:00+00,LONG,2527,1.0,-0.0011415542,0.0069801873
2006-06-01 00:00:00+00,LONG,397,0.6900876323166981,-0.00492316,-0.013604198
2006-06-05 00:00:00+00,LONG,2527,0.9,-0.0072993324,0.0075690993
2006-06-06 00:00:00+00,LONG,2979,1.0,4.8546641E-4,-0.055209
2006-06-07 00:00:00+00,LONG,900,0.0,0.0023915076,-0.051541787
2006-06-07 00:00:00+00,LONG,2979,0.962962962962963,-3.367861E-5,-0.044292476
2006-06-08 00:00:00+00,LONG,2716,0.0,-0.0025105046,-0.021183629
2006-06-12 00:00:00+00,LONG,739,0.0,-0.0062799626,-0.026518127
2006-06-12 00:00:00+00,LONG,900,0.0,-0.0024223262,-0.027680568
2006-06-12 00:00:00+00,LONG,1205,0.47657150286729316,-0.005634805,-0.06016527
2006-06-12 00:00:00+00,LONG,1988,1.0,0.0011772043,0.011301075
2006-06-13 00:00:00+00,LONG,212,1.0,-0.004273653,0.021965886
2006-06-13 00:00:00+00,LONG,817,1.0,0.0013010605,-0.016953176
2006-06-13 00:00:00+00,LONG,1205,0.5945945945945945,-0.002764171,-0.056002554
2006-06-14 00:00:00+00,LONG,2090,0.7935567381950375,0.0043260315,-0.034280363
2006-06-14 00:00:00+00,LONG,684,0.0,-0.008089337,0.011114283
2006-06-14 00:00:00+00,LONG,3283,0.411786528368737,8.8744186E-4,0.0053650453
2006-06-14 00:00:00+00,LONG,1288,1.0,0.001724573,-0.05373521
2006-06-16 00:00:00+00,LONG,2090,0.6902823472749113,-0.007076758,-0.035553575
2006-06-16 00:00:00+00,LONG,2119,0.4273059151000494,-0.004325351,-0.029082868
2006-06-19 00:00:00+00,LONG,2090,0.6915625831726259,-0.005858884,-0.03524416
2006-06-19 00:00:00+00,LONG,52,1.0,-0.00330858,-0.03524416
2006-06-19 00:00:00+00,LONG,2119,0.4327535453309286,-4.176799E-4,-0.028759137
2006-06-20 00:00:00+00,LONG,2119,0.4185880349484466,-0.004533769,-0.028661475
2006-06-21 00:00:00+00,LONG,914,0.9615384615384616,-0.0049299495,-0.055392325
2006-06-23 00:00:00+00,LONG,2119,0.36692426216009877,-0.005736262,-0.029855374
2006-06-23 00:00:00+00,LONG,2553,0.33496781663829356,-0.007129432,-0.016890088
2006-07-05 00:00:00+00,LONG,759,0.0,-0.0077541512,-0.037327822
2006-07-07 00:00:00+00,LONG,427,0.8,-0.006268926,-0.024017526
2006-07-12 00:00:00+00,LONG,817,0.0,-0.0050605605,-0.036920108
2006-07-14 00:00:00+00,LONG,4237,0.2967869056246477,-0.004126894,0.0060870233
2006-07-14 00:00:00+00,LONG,3241,0.0,-0.007934104,-0.04678059
2006-07-14 00:00:00+00,LONG,3539,1.0,-0.0020655568,-0.051885314
