time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,skew_weighted_20_df037
2005-08-09 00:00:00+00,SHORT,220,0.7616491673483725,0.6604,0.69049156
2005-08-09 00:00:00+00,SHORT,2747,0.7894314205451733,0.1214,0.5285517
2005-08-10 00:00:00+00,SHORT,220,0.5622345188919031,0.6606,0.5726972
2005-08-10 00:00:00+00,SHORT,2508,0.9024492543606908,0.0835,0.4977842
2005-08-10 00:00:00+00,SHORT,938,1.0,0.1907,0.4892335
2005-08-10 00:00:00+00,SHORT,1474,0.31839081931853963,0.4353,0.5732846
2005-08-11 00:00:00+00,SHORT,220,0.5578303812364551,0.6579,0.5628377
2005-08-11 00:00:00+00,SHORT,2391,1.0,0.4582,0.6205596
2005-08-11 00:00:00+00,SHORT,817,0.056125667481095015,0.2962,0.5059176
2005-08-11 00:00:00+00,SHORT,1474,0.3067952239265803,0.4343,0.55181766
2005-08-11 00:00:00+00,SHORT,3595,0.49652702776916774,0.3045,0.47462937
2005-08-12 00:00:00+00,SHORT,4107,0.43768717009466557,0.4584,0.5191757
2005-08-12 00:00:00+00,SHORT,220,0.36420349134181046,0.6534,0.47821945
2005-08-12 00:00:00+00,SHORT,2508,0.6732653409727407,0.0786,0.48001724
2005-08-12 00:00:00+00,SHORT,817,0.04538251312027543,0.2935,0.5204426
2005-08-12 00:00:00+00,SHORT,1474,0.28020775945645887,0.437,0.5248623
2005-08-12 00:00:00+00,SHORT,3595,0.3522253917150246,0.3015,0.47270125
2005-08-15 00:00:00+00,SHORT,220,0.4148282930708086,0.6551,0.5009978
2005-08-15 00:00:00+00,SHORT,817,0.0,0.2988,0.5150537
2005-08-15 00:00:00+00,SHORT,1474,0.3108815285558648,0.1405,0.54552335
2005-08-15 00:00:00+00,SHORT,3595,0.4281434778825237,0.307,0.50269896
2005-08-16 00:00:00+00,SHORT,2720,1.0,0.0633,0.64824665
2005-08-17 00:00:00+00,SHORT,2720,0.9090909090909091,0.0635,0.64841795
2005-08-18 00:00:00+00,SHORT,2720,0.8181818181818181,0.0635,0.5630278
2005-08-19 00:00:00+00,SHORT,2720,0.0,0.0629,0.49803808
2005-08-22 00:00:00+00,SHORT,2720,0.0,0.062,0.49692002
2005-08-22 00:00:00+00,SHORT,1474,0.0,0.137,0.53048515
2005-08-23 00:00:00+00,SHORT,2720,0.0,0.0613,0.4924251
2005-08-23 00:00:00+00,SHORT,2028,1.0,0.1544,0.5830528
2005-08-24 00:00:00+00,SHORT,3255,0.0,0.1378,0.54321814
2005-09-01 00:00:00+00,SHORT,710,0.4630715922002752,0.1076,0.47997817
2005-09-02 00:00:00+00,SHORT,69,0.0,0.1003,0.58102447
2005-09-06 00:00:00+00,SHORT,69,0.0,0.101,0.61809206
2005-09-06 00:00:00+00,SHORT,3255,0.0,0.1521,0.50657165
2005-09-07 00:00:00+00,SHORT,69,0.0,0.0986,0.5016391
2005-09-12 00:00:00+00,SHORT,69,0.0,0.1617,0.4841811
2005-09-12 00:00:00+00,SHORT,2582,0.0,0.1266,0.54999256
2005-09-13 00:00:00+00,SHORT,2582,0.0,0.1306,0.49784446
2005-09-14 00:00:00+00,SHORT,2582,0.0,0.1234,0.5463534
2005-09-15 00:00:00+00,SHORT,2546,0.5659716781397348,0.6488,0.5946503
2005-09-15 00:00:00+00,SHORT,2582,0.0,0.1274,0.5542264
2005-09-16 00:00:00+00,SHORT,2546,0.46256002250373573,0.6551,0.6295216
2005-09-16 00:00:00+00,SHORT,2582,0.0,0.1303,0.5859873
2005-09-16 00:00:00+00,SHORT,629,0.0,0.5107,0.46838176
2005-09-19 00:00:00+00,SHORT,2546,0.7142857142857143,0.6532,0.5511564
2005-09-19 00:00:00+00,SHORT,2582,0.0,0.1243,0.46993333
2005-09-21 00:00:00+00,SHORT,1,0.27642036435809325,0.0471,0.48718086
2005-09-22 00:00:00+00,SHORT,1,0.3960823397503006,0.049,0.51239944
2005-09-26 00:00:00+00,SHORT,3838,0.0,0.3383,0.48152348
2005-09-27 00:00:00+00,SHORT,1615,0.2743663471887594,0.2835,0.5701362
2005-09-27 00:00:00+00,SHORT,3838,0.5945690440645814,0.3377,0.5737422
2005-09-28 00:00:00+00,SHORT,1615,0.22516414142125896,0.2755,0.57646155
2005-09-29 00:00:00+00,SHORT,1615,0.22832041053711394,0.2714,0.53754413
2005-09-29 00:00:00+00,SHORT,3947,0.4622918184759482,0.3171,0.7175089
2005-09-30 00:00:00+00,SHORT,817,0.10093190211662127,0.2934,0.4721588
2005-09-30 00:00:00+00,SHORT,1615,0.1797403047802518,0.2762,0.5963471
2005-09-30 00:00:00+00,SHORT,3947,0.349417212626303,0.3211,0.6139354
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,0.6567,0.47343293
2005-10-03 00:00:00+00,SHORT,3804,0.36602399691666837,0.5157,0.47047132
2005-11-03 00:00:00+00,SHORT,1423,0.41900097425395916,0.2461,0.52845955
2005-11-04 00:00:00+00,SHORT,1423,0.29184499300365213,0.2418,0.47790435
2005-11-07 00:00:00+00,SHORT,522,0.6498322220409655,0.0839,0.5066581
2005-11-07 00:00:00+00,SHORT,1423,0.14558553310340624,0.3867,0.5164874
2005-11-09 00:00:00+00,SHORT,938,0.0,0.564,0.5529422
2005-11-09 00:00:00+00,SHORT,1423,0.02467130217130824,0.4139,0.50109136
2005-11-09 00:00:00+00,SHORT,1790,0.13087765072045132,0.5924,0.5349905
2005-11-10 00:00:00+00,SHORT,1144,0.10457296834424376,0.1252,0.59406114
2005-11-10 00:00:00+00,SHORT,4032,0.771929985662386,0.0941,0.6284012
2005-11-11 00:00:00+00,SHORT,4032,0.6922751305477366,0.0857,0.49374846
2005-11-14 00:00:00+00,SHORT,617,0.1930056438254726,0.3106,0.66540235
2005-11-15 00:00:00+00,SHORT,617,0.3905023275309097,0.3106,0.61331904
2005-11-17 00:00:00+00,SHORT,617,0.09883119915147966,0.3106,0.5056334
2005-11-18 00:00:00+00,SHORT,617,0.133088485301447,0.3106,0.48936358
2005-11-21 00:00:00+00,SHORT,1368,0.0,0.1236,0.47480816
2005-11-21 00:00:00+00,SHORT,1423,0.0,0.6326,0.46713403
2005-11-22 00:00:00+00,SHORT,1423,0.0,0.6319,0.5490192
2005-11-22 00:00:00+00,SHORT,1807,0.03989918301540451,0.076,0.4975424
2005-11-23 00:00:00+00,SHORT,2567,0.16321235059081057,0.0842,0.4772748
2005-11-23 00:00:00+00,SHORT,617,0.1090334583736834,0.3106,0.48726436
2005-11-23 00:00:00+00,SHORT,786,1.0,0.1968,0.5239093
2005-11-23 00:00:00+00,SHORT,2923,1.0,0.1214,0.6070079
2005-11-23 00:00:00+00,SHORT,1191,0.09721651659425966,0.6354,0.6639435
2005-11-23 00:00:00+00,SHORT,1816,0.37270736227917173,0.6119,0.5670971
2005-11-23 00:00:00+00,SHORT,3912,0.3911884576948535,0.2659,0.47885227
2005-11-25 00:00:00+00,SHORT,4128,1.0,0.5461,0.66254634
2005-11-25 00:00:00+00,SHORT,2142,0.048415840984096674,0.5205,0.57205164
2005-11-25 00:00:00+00,SHORT,2567,0.20193484306732412,0.0849,0.5459507
2005-11-25 00:00:00+00,SHORT,786,0.95,0.1968,0.60954297
2005-11-25 00:00:00+00,SHORT,2923,0.9473684210526316,0.1221,0.74972594
2005-11-25 00:00:00+00,SHORT,907,0.5479394894283638,0.4019,0.63759583
2005-11-25 00:00:00+00,SHORT,1191,0.13617461473374107,0.6308,0.73438436
2005-11-25 00:00:00+00,SHORT,1807,0.0,0.0778,0.48686472
2005-11-25 00:00:00+00,SHORT,1816,0.22384546443674272,0.6061,0.5475806
2005-11-25 00:00:00+00,SHORT,3912,0.4083782808717461,0.2666,0.5892668
2005-11-28 00:00:00+00,SHORT,4128,0.7212738029470167,0.5426,0.5393791
2005-11-28 00:00:00+00,SHORT,786,0.7165721945351928,0.1913,0.46939272
2005-11-28 00:00:00+00,SHORT,2923,0.8947368421052632,0.1253,0.46758848
2005-11-28 00:00:00+00,SHORT,907,0.5454407428831732,0.4003,0.48661947
2005-11-28 00:00:00+00,SHORT,1191,0.0,0.6315,0.55707175
2005-11-28 00:00:00+00,SHORT,1816,0.19530733674297213,0.6098,0.54554504
2005-11-28 00:00:00+00,SHORT,3912,0.36845880443727913,0.2601,0.46997678
2005-11-29 00:00:00+00,SHORT,2923,0.8421052631578947,0.1227,0.4780061
2005-11-29 00:00:00+00,SHORT,1816,0.18607574272731306,0.6135,0.5162061
2005-12-02 00:00:00+00,SHORT,1985,1.0,0.0856,0.68044096
2005-12-05 00:00:00+00,SHORT,1985,0.8333333333333334,0.0981,0.5272869
2005-12-07 00:00:00+00,SHORT,2999,0.5221325146794409,0.1146,0.57969975
2005-12-12 00:00:00+00,SHORT,713,0.6463299835264111,0.1993,0.605545
2005-12-12 00:00:00+00,SHORT,2932,0.0,0.1957,0.47319755
2005-12-13 00:00:00+00,SHORT,2497,0.0,0.4692,0.61606646
2005-12-13 00:00:00+00,SHORT,713,0.7038032207119067,0.4032,0.6586529
2005-12-13 00:00:00+00,SHORT,2816,0.0,0.248,0.5181848
2005-12-13 00:00:00+00,SHORT,2932,0.0,0.1989,0.502784
2005-12-13 00:00:00+00,SHORT,1072,0.0,0.1723,0.8193014
2005-12-13 00:00:00+00,SHORT,1173,0.29797398907909656,0.1801,0.6003396
2005-12-14 00:00:00+00,SHORT,2497,0.0,0.4503,0.54711986
2005-12-14 00:00:00+00,SHORT,2638,0.49819328624187564,0.2505,0.59229714
2005-12-14 00:00:00+00,SHORT,713,0.4720751993720365,0.4025,0.56632644
