time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.5_df055,ma_cloud_diff_21_50_df007
2005-06-09 00:00:00+00,LONG,3646,0.0,-0.02394198,-0.0028271878
2005-06-10 00:00:00+00,LONG,2018,1.0,-0.024714822,0.0022374806
2005-06-13 00:00:00+00,LONG,562,0.6491228070175439,-0.024271872,-0.006558452
2005-06-14 00:00:00+00,LONG,3754,1.0,-0.024010083,-0.011039687
2005-06-15 00:00:00+00,LONG,2617,0.15500768279517446,-0.02556286,-0.0015262906
2005-06-20 00:00:00+00,LONG,2751,0.0,-0.026288938,0.0064080646
2005-06-20 00:00:00+00,LONG,3754,0.9245283018867925,-0.025646247,-0.007719816
2005-06-23 00:00:00+00,LONG,2262,0.0,-0.026192667,-0.009538584
2005-06-27 00:00:00+00,LONG,1063,0.0,-0.024976308,-0.008680122
2005-06-29 00:00:00+00,LONG,73,0.5955288343816999,-0.025963813,-0.01794439
2005-06-30 00:00:00+00,LONG,1896,0.7561815140745739,-0.024545686,-9.807629E-5
2005-07-01 00:00:00+00,LONG,3754,0.7547169811320755,-0.025966275,-0.008163976
2005-07-01 00:00:00+00,LONG,3828,0.4368701838678638,-0.025926009,-0.032313928
2005-07-05 00:00:00+00,LONG,730,0.8333333333333334,-0.026072295,-0.0050999764
2005-07-05 00:00:00+00,LONG,2042,0.6949563053788913,-0.024092335,-0.015805492
2005-07-06 00:00:00+00,LONG,73,0.6164483555830716,-0.02561105,-0.022511588
2005-07-06 00:00:00+00,LONG,862,0.96875,-0.024317304,-0.006504955
2005-07-06 00:00:00+00,LONG,3791,0.37535843475304637,-0.024261773,-0.0037549983
2005-07-07 00:00:00+00,LONG,73,0.5586692261189253,-0.024836408,-0.023814185
2005-07-07 00:00:00+00,LONG,3046,0.0,-0.024216142,0.0025172804
2005-07-07 00:00:00+00,LONG,3330,0.4806561709380217,-0.025700709,-0.007453937
2005-07-07 00:00:00+00,LONG,3641,0.0,-0.024879329,-0.0016874828
2005-07-11 00:00:00+00,LONG,3702,0.9393939393939394,-0.024191955,-0.019847061
