time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_21_50_df007,skew_weighted_20_df037,velocity_eps_9m_univ_zscore_df051,price_drift_abs_1_df006
2006-09-08 00:00:00+00,LONG,843,0.8108108108108107,-0.026905332,-0.41122472,-0.025771197,0.006099635
2006-11-08 00:00:00+00,LONG,2877,0.4385704598901312,-0.017301543,-0.48808756,-0.021007182,0.006887358
2006-11-20 00:00:00+00,LONG,1361,1.0,0.0038075557,-0.49350524,-0.023194127,0.011778461
2006-11-22 00:00:00+00,LONG,1361,0.9333333333333333,-0.0020038378,-0.3772157,-0.022858785,0.009366485
2006-11-24 00:00:00+00,LONG,1361,0.9,-0.005275646,-0.3821277,-0.022173185,0.0064130253
2007-01-04 00:00:00+00,LONG,2816,0.7450881116706422,0.02418925,-0.4523402,-0.04621317,0.036033597
2007-01-05 00:00:00+00,LONG,2816,0.9696969696969697,0.016145121,-0.4165718,-0.04613964,0.023608768
2007-01-08 00:00:00+00,LONG,2703,0.96,0.034170087,-0.47491932,-0.0011757166,0.008071913
2007-01-08 00:00:00+00,LONG,4062,1.0,-0.008394817,-0.46222907,-0.0507427,0.011169285
2007-01-09 00:00:00+00,LONG,629,1.0,0.0020959785,-0.4969837,-0.047623187,0.028615033
2007-01-09 00:00:00+00,LONG,2877,0.6132925964373441,0.017270371,-0.40569553,-0.05014516,0.0061558057
2007-01-09 00:00:00+00,LONG,838,1.0,-0.012013779,-0.442945,-0.047983468,0.011462451
2007-01-09 00:00:00+00,LONG,1826,1.0,0.0039616385,-0.5014193,-0.03825586,0.005588994
2007-01-10 00:00:00+00,LONG,838,0.972972972972973,-0.018182274,-0.4136449,-0.047983468,0.011595362
2007-01-10 00:00:00+00,LONG,3309,1.0,0.007978033,-0.40322182,-0.047399994,0.008498584
2007-01-10 00:00:00+00,LONG,3466,1.0,-0.0134699885,-0.4897817,-0.010456378,0.019934697
2007-01-10 00:00:00+00,LONG,3621,0.0,-0.01588649,-0.40326807,-0.050458606,0.006564452
2007-01-10 00:00:00+00,LONG,4000,1.0,-0.010592205,-0.49689707,-0.03354614,0.014915883
2007-01-10 00:00:00+00,LONG,4062,0.9411764705882353,-0.017550997,-0.41555306,-0.050865725,0.007939247
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,-0.01896205,-0.4891538,-0.010601584,0.008942662
2007-01-11 00:00:00+00,LONG,1826,0.9459459459459459,-0.00878595,-0.48421505,-0.03841153,0.007321275
2007-01-12 00:00:00+00,LONG,3466,0.9259259259259259,-0.023778886,-0.38845623,-0.010147305,0.024239207
2007-01-12 00:00:00+00,LONG,3621,0.0,-0.020988582,-0.44456822,-0.050457213,0.008915873
2007-01-17 00:00:00+00,LONG,3621,0.0,-0.025567383,-0.38730556,-0.050369125,0.007344843
2007-01-18 00:00:00+00,LONG,3466,0.8148148148148149,-0.04053948,-0.51072377,-0.014917747,0.00991792
2007-01-22 00:00:00+00,LONG,684,1.0,-0.010834343,-0.4582215,-0.04891967,0.020212227
2007-02-01 00:00:00+00,LONG,1700,0.7037037037037037,-0.0052920696,-0.45247775,-0.048574567,0.010354441
2007-03-02 00:00:00+00,LONG,3436,0.17819554048114108,0.0029960363,-0.4149614,-0.05020614,0.02021978
2007-03-02 00:00:00+00,LONG,3794,0.9795918367346939,0.019039586,-0.38120225,-0.050691564,0.0075642965
2007-03-05 00:00:00+00,LONG,557,0.6247548122727209,0.03405235,-0.41565797,-0.0499616,0.01566416
2007-03-05 00:00:00+00,LONG,3436,0.0,-4.4921177E-4,-0.44936654,-0.05020614,0.011664423
2007-03-05 00:00:00+00,LONG,3471,1.0,0.06839409,-0.41003335,-0.04886666,0.01361948
2007-03-05 00:00:00+00,LONG,3621,0.1758163316109731,0.027811283,-0.47658634,-0.038647197,0.029540889
2007-03-05 00:00:00+00,LONG,3677,1.0,-0.028500833,-0.4671761,-0.050691564,0.03184493
2007-03-05 00:00:00+00,LONG,3794,0.6740693129042206,0.01411156,-0.3853175,-0.050691564,0.02019817
2007-03-05 00:00:00+00,LONG,1826,1.0,0.055906847,-0.43829665,-0.03901218,0.0056818184
2007-03-06 00:00:00+00,LONG,4194,0.3956710061141627,0.039522294,-0.39118853,-0.044851087,0.008099977
2007-03-06 00:00:00+00,LONG,135,0.0,0.0053798603,-0.39885202,-0.032069363,0.008102881
2007-03-06 00:00:00+00,LONG,2262,0.0,0.013832053,-0.4042808,-0.044848103,0.01162115
2007-03-06 00:00:00+00,LONG,2351,0.0,-0.0043495484,-0.45830512,-0.049598146,0.028582465
2007-03-06 00:00:00+00,LONG,3255,0.0,-0.023470016,-0.435051,-0.04976509,0.0312085
2007-03-07 00:00:00+00,LONG,2248,0.8688170750984902,0.019711122,-0.37722397,-0.026094116,0.009519868
2007-03-07 00:00:00+00,LONG,3621,0.17621329954567264,0.019380612,-0.44083804,-0.03946086,0.0070096483
2007-03-08 00:00:00+00,LONG,3621,0.1412782146263718,0.014910951,-0.42299402,-0.051192712,0.018584143
2007-03-13 00:00:00+00,LONG,3912,0.451354766338531,-0.016902499,-0.39505783,-0.01234726,0.01742797
2007-03-14 00:00:00+00,LONG,1474,0.5341216842316779,-0.01873525,-0.4086667,-0.014205786,0.013102537
2007-03-15 00:00:00+00,LONG,516,0.9830508474576272,0.0027596655,-0.46709225,-0.0087096095,0.012210964
2007-03-15 00:00:00+00,LONG,834,0.45261627088418366,-0.008457302,-0.40706024,-0.012780954,0.013612056
2007-03-15 00:00:00+00,LONG,1087,0.9545454545454546,-0.008137813,-0.37454847,-0.020923644,0.008413708
2007-03-16 00:00:00+00,LONG,2983,1.0,-0.021852156,-0.5120846,-0.04086724,0.008099095
