time,side,ticker_id,mv_dn_composite_labels,ev_ebitda_minmax_sector_df077,dist_upper_bb_20_2.5_df055
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,0.2127,-0.009931215
2005-06-21 00:00:00+00,SHORT,2006,0.3568095509434414,0.2743,0.0021820723
2005-06-22 00:00:00+00,SHORT,730,0.0,0.2654,-0.008301735
2005-06-22 00:00:00+00,SHORT,3686,0.3598438889752516,0.2488,-0.011281341
2005-06-22 00:00:00+00,SHORT,2006,0.9375,0.2711,-0.007364409
2005-06-23 00:00:00+00,SHORT,68,0.0,0.2775,-0.012720111
2005-06-23 00:00:00+00,SHORT,2393,0.0,0.2702,-0.016345097
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,0.7395,-0.008647035
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.269,-0.011068777
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.2973,-0.009584085
2005-06-30 00:00:00+00,SHORT,1966,0.7145465683532836,0.295,-0.014055936
2005-07-01 00:00:00+00,SHORT,787,1.0,0.5808,-0.0016431843
2005-07-05 00:00:00+00,SHORT,2393,0.0,0.2509,-0.010379939
2005-07-05 00:00:00+00,SHORT,787,0.9230769230769231,0.5808,-0.011486295
2005-07-06 00:00:00+00,SHORT,68,0.0,0.2607,-0.013449154
2005-07-11 00:00:00+00,SHORT,1454,0.0,0.2574,-0.0136885205
2005-07-15 00:00:00+00,SHORT,3825,0.5423765053031164,0.1823,0.011698051
2005-07-18 00:00:00+00,SHORT,3825,0.4144638524374719,0.1826,-0.016051117
2005-07-19 00:00:00+00,SHORT,1423,1.0,0.1597,-0.003431892
2005-07-20 00:00:00+00,SHORT,76,0.0,0.2698,-0.00745539
2005-07-20 00:00:00+00,SHORT,2305,1.0,0.2533,-0.0014676817
2005-07-20 00:00:00+00,SHORT,3531,0.6261112775088757,0.1449,-0.018682014
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,0.2818,-0.012406655
2005-07-21 00:00:00+00,SHORT,1454,0.6755778798696086,0.2672,-0.018005893
2005-07-21 00:00:00+00,SHORT,1678,1.0,0.7061,-0.0068634297
2005-07-22 00:00:00+00,SHORT,4218,0.8660797927945395,0.443,-0.017111205
2005-07-22 00:00:00+00,SHORT,3915,1.0,0.5122,-0.013340136
2005-07-25 00:00:00+00,SHORT,4218,0.7266560399116698,0.4432,-0.018929122
2005-07-26 00:00:00+00,SHORT,2640,0.0,0.6045,0.04285424
2005-07-27 00:00:00+00,SHORT,2196,0.7428505431346715,0.7824,-0.012500457
2005-07-27 00:00:00+00,SHORT,2640,0.0,0.6053,0.026226219
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,0.8404,-0.018157523
2005-07-29 00:00:00+00,SHORT,69,1.0,0.5493,-5.3532276E-4
2005-07-29 00:00:00+00,SHORT,730,0.058854377807013865,0.2851,0.0061282096
2005-07-29 00:00:00+00,SHORT,4013,0.41824211911162834,0.7766,-0.013001794
2005-08-01 00:00:00+00,SHORT,2196,0.3971986245609081,0.7736,-0.01892987
2005-08-02 00:00:00+00,SHORT,2196,0.3513816735502997,0.7669,-0.018291952
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,0.8085,-0.011284262
2005-08-03 00:00:00+00,SHORT,2196,0.26688739658286587,0.7682,-0.008452253
2005-08-03 00:00:00+00,SHORT,787,1.0,0.5808,-0.012749323
2005-08-03 00:00:00+00,SHORT,1299,0.5171893122132893,0.8092,-0.016180541
2005-08-03 00:00:00+00,SHORT,3538,0.5076889765440764,0.799,-0.015345075
2005-08-04 00:00:00+00,SHORT,2196,0.1311876700927067,0.7696,-0.01077384
2005-08-09 00:00:00+00,SHORT,1141,1.0,0.85,-0.01309737
2005-08-10 00:00:00+00,SHORT,938,1.0,0.1907,-0.017069453
2005-08-10 00:00:00+00,SHORT,1141,0.9375,0.6684,-0.018386448
2005-08-11 00:00:00+00,SHORT,2391,1.0,0.4582,0.02245059
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,0.3243,-0.004585233
2005-08-11 00:00:00+00,SHORT,1141,0.875,0.6667,-0.01628984
2005-08-11 00:00:00+00,SHORT,3244,0.633626173917877,0.4768,-0.009120025
2005-08-12 00:00:00+00,SHORT,1141,0.8125,0.6632,-0.017815648
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.6666,0.0031044674
2005-08-15 00:00:00+00,SHORT,1141,0.75,0.6679,-0.014951223
2005-08-16 00:00:00+00,SHORT,1610,0.0,0.2858,-0.015729014
2005-08-16 00:00:00+00,SHORT,3686,0.5541877500920666,0.2489,-0.015056881
2005-08-16 00:00:00+00,SHORT,1807,0.0,0.6538,-0.00916876
2005-08-17 00:00:00+00,SHORT,2305,0.0,0.6523,-0.018954946
2005-08-17 00:00:00+00,SHORT,2004,0.3423406901165068,0.4725,-0.017251324
2005-08-18 00:00:00+00,SHORT,1141,0.5625,0.6526,-0.018443739
2005-08-19 00:00:00+00,SHORT,1141,0.5,0.6511,-0.017898174
2005-08-23 00:00:00+00,SHORT,739,0.7420889505210222,0.3416,-0.011949782
2005-09-06 00:00:00+00,SHORT,1022,0.5856832572785654,0.3585,0.014861729
2005-09-07 00:00:00+00,SHORT,858,1.0,0.1522,-0.013026653
2005-09-07 00:00:00+00,SHORT,3686,0.0,0.2561,-0.015569158
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,0.5213,0.0027030997
2005-09-09 00:00:00+00,SHORT,191,0.0,0.6521,0.015663026
2005-09-09 00:00:00+00,SHORT,2440,0.46604191243343696,0.7545,-0.0075293467
2005-09-09 00:00:00+00,SHORT,3686,0.8001636388888144,0.2308,-0.009959566
2005-09-12 00:00:00+00,SHORT,2085,0.4031965818851957,0.6641,-0.017263127
2005-09-12 00:00:00+00,SHORT,2291,1.0,0.726,-0.0075655114
2005-09-12 00:00:00+00,SHORT,443,0.5,0.8138,-0.015472608
2005-09-12 00:00:00+00,SHORT,2640,0.0,0.3168,-9.2104287E-4
2005-09-12 00:00:00+00,SHORT,988,1.0,0.873,-0.0043248925
2005-09-12 00:00:00+00,SHORT,3244,0.13348951359437625,0.7003,-0.011601886
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.9129,0.0057499986
2005-09-13 00:00:00+00,SHORT,68,0.6462000406547748,0.6611,-0.012793843
2005-09-13 00:00:00+00,SHORT,1471,0.8448806846368153,0.3267,-0.01870354
2005-09-13 00:00:00+00,SHORT,1650,1.0,0.6696,-0.006636783
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,0.697,-0.011234805
2005-09-14 00:00:00+00,SHORT,2133,0.48161495761150347,0.6627,-0.017347919
2005-09-14 00:00:00+00,SHORT,1471,0.7750181811985469,0.3194,-0.018558502
2005-09-14 00:00:00+00,SHORT,3742,0.6426289231429544,0.7165,-0.017375741
2005-09-15 00:00:00+00,SHORT,2133,0.5253351022890129,0.6612,-0.01850958
2005-09-16 00:00:00+00,SHORT,1114,0.8764243747077475,0.168,-0.013056359
2005-09-16 00:00:00+00,SHORT,3973,0.6666666666666667,0.6995,-0.01333607
2005-09-19 00:00:00+00,SHORT,64,0.0,0.6652,-0.014576858
2005-09-19 00:00:00+00,SHORT,2659,0.2621443178413516,0.7213,0.01343773
2005-09-19 00:00:00+00,SHORT,1816,0.2997056958771856,0.7048,-0.011145163
2005-09-20 00:00:00+00,SHORT,2716,0.0,0.6591,-0.010780706
2005-09-22 00:00:00+00,SHORT,2716,0.0,0.6703,-0.015234066
2005-09-23 00:00:00+00,SHORT,2716,0.0,0.6704,-0.013485964
2005-09-26 00:00:00+00,SHORT,995,0.16881327757841985,0.7069,-0.018223325
2005-09-30 00:00:00+00,SHORT,2816,0.6082839007581399,0.5483,-0.011594372
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,0.7582,-0.014831836
2005-09-30 00:00:00+00,SHORT,1832,0.33074164277339796,0.6622,-0.011767045
2005-10-03 00:00:00+00,SHORT,2055,1.0,0.8545,-0.011851556
2005-10-03 00:00:00+00,SHORT,4123,1.0,0.1784,-0.016450418
2005-10-03 00:00:00+00,SHORT,142,1.0,0.7444,-0.0014852051
2005-10-03 00:00:00+00,SHORT,191,0.25422856674801236,0.6567,-0.01347549
2005-10-03 00:00:00+00,SHORT,2248,1.0,0.2686,-0.015855411
