time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_21_50_df059,weighted_neg_sum_10_df036,skew_weighted_20_df037,joint_fall_flag_1_10_df042
2006-06-14 00:00:00+00,LONG,897,0.0,13.0,0.11594035,-0.24948499,0.0
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,14.0,0.12865376,-0.5086139,0.0
2006-06-14 00:00:00+00,LONG,1112,1.0,18.0,0.103096515,-0.5049481,0.0
2006-06-14 00:00:00+00,LONG,1303,0.8710295775467821,26.0,0.10735426,-0.2975446,0.0
2006-06-14 00:00:00+00,LONG,3907,0.0,13.0,0.105165,-0.27182072,0.0
2006-06-14 00:00:00+00,LONG,1966,1.0,13.0,0.11724414,-0.3329638,0.0
2006-06-15 00:00:00+00,LONG,2568,0.0,13.0,0.13064978,-0.38001534,0.0
2006-06-15 00:00:00+00,LONG,3124,0.6152663391798914,15.0,0.1277489,-0.26965776,0.0
2006-06-15 00:00:00+00,LONG,1112,0.9743589743589743,19.0,0.09911255,-0.35404485,0.0
2006-06-19 00:00:00+00,LONG,2568,0.13338783865813125,15.0,0.124166936,-0.43328112,0.0
2006-06-19 00:00:00+00,LONG,2990,0.8571428571428572,18.0,0.12692584,-0.2739726,0.0
2006-06-19 00:00:00+00,LONG,3124,0.6007438028784905,17.0,0.1335102,-0.25181335,0.0
2006-06-20 00:00:00+00,LONG,2568,0.0,16.0,0.10570312,-0.25479496,0.0
2006-06-20 00:00:00+00,LONG,2990,0.8095238095238095,19.0,0.11258654,-0.24981903,0.0
2006-06-21 00:00:00+00,LONG,2731,0.33611319044449484,14.0,0.10842214,-0.4584378,0.0
2006-06-23 00:00:00+00,LONG,2731,0.0,16.0,0.12890667,-0.5098936,0.0
2006-07-14 00:00:00+00,LONG,2032,1.0,13.0,0.12123822,-0.3362852,0.0
2006-07-17 00:00:00+00,LONG,2686,0.5856059752653987,28.0,0.11608597,-0.25029597,0.0
2006-08-10 00:00:00+00,LONG,3825,1.0,30.0,0.11646381,-0.30562085,0.0
2006-08-16 00:00:00+00,LONG,1790,0.6426135907184729,24.0,0.13410024,-0.23642327,0.0
2006-08-30 00:00:00+00,LONG,1838,0.6261943857582233,19.0,0.107039176,-0.39543697,0.0
2006-08-31 00:00:00+00,LONG,1838,0.6396716290810175,20.0,0.107039176,-0.3648887,0.0
2006-09-01 00:00:00+00,LONG,1838,0.5920150471253375,21.0,0.105717584,-0.25809324,0.0
2006-09-05 00:00:00+00,LONG,1838,0.5774267224593378,22.0,0.10853053,-0.25003976,0.0
2006-09-08 00:00:00+00,LONG,1838,0.4948693731105907,25.0,0.11572881,-0.2421222,0.0
2006-09-11 00:00:00+00,LONG,2497,1.0,19.0,0.13734369,-0.25692457,0.0
2006-09-12 00:00:00+00,LONG,1700,0.972972972972973,25.0,0.1354389,-0.63650614,0.0
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,16.0,0.12754522,-0.23174986,0.0
2006-09-25 00:00:00+00,LONG,4086,0.0,26.0,0.108951114,-0.29077938,0.0
2006-09-27 00:00:00+00,LONG,796,0.50071780370018,18.0,0.118422136,-0.2340308,0.0
2006-09-28 00:00:00+00,LONG,2816,0.5226841373176493,28.0,0.118798316,-0.28958914,0.0
2006-10-04 00:00:00+00,LONG,356,0.6322654091550916,19.0,0.0986579,-0.5538131,0.0
2006-10-04 00:00:00+00,LONG,1298,0.37779774934286336,25.0,0.13572359,-0.34055173,0.0
2006-10-05 00:00:00+00,LONG,1298,0.0,26.0,0.13074847,-0.25534904,0.0
2006-10-11 00:00:00+00,LONG,3531,0.9696969696969697,18.0,0.10115214,-0.4664365,0.0
2006-11-20 00:00:00+00,LONG,3903,0.851063829787234,25.0,0.112718634,-0.24233137,0.0
2006-12-27 00:00:00+00,LONG,2066,0.0,22.0,0.12896533,-0.5710929,0.0
2006-12-28 00:00:00+00,LONG,2066,0.0,23.0,0.12937635,-0.65541494,0.0
2006-12-29 00:00:00+00,LONG,2066,0.0,24.0,0.12647465,-0.57771623,0.0
2007-01-03 00:00:00+00,LONG,2066,0.0,25.0,0.11956304,-0.53782606,0.0
2007-01-04 00:00:00+00,LONG,2066,0.0,26.0,0.11846414,-0.56957084,0.0
2007-01-05 00:00:00+00,LONG,2066,0.0,27.0,0.11795703,-0.59866375,0.0
2007-01-08 00:00:00+00,LONG,2066,0.0,28.0,0.100205556,-0.57176244,0.0
2007-01-08 00:00:00+00,LONG,2125,0.19823219472326375,24.0,0.13043022,-0.2517401,0.0
2007-01-17 00:00:00+00,LONG,2261,0.9090909090909091,19.0,0.13684766,-0.40421075,0.0
2007-01-18 00:00:00+00,LONG,2261,0.8787878787878788,20.0,0.11292421,-0.38427368,0.0
2007-01-19 00:00:00+00,LONG,2261,0.8484848484848485,21.0,0.10356592,-0.3389696,0.0
2007-03-01 00:00:00+00,LONG,2437,1.0,14.0,0.124394074,-0.35490727,0.0
2007-03-02 00:00:00+00,LONG,2437,0.6444037442694004,15.0,0.124394074,-0.3796866,0.0
2007-03-05 00:00:00+00,LONG,959,1.0,18.0,0.100851074,-0.26691708,0.0
2007-03-05 00:00:00+00,LONG,3515,0.582567639895145,13.0,0.10536204,-0.3554353,0.0
2007-03-06 00:00:00+00,LONG,2437,0.9,17.0,0.13571283,-0.39670575,0.0
2007-03-06 00:00:00+00,LONG,959,0.7774023411293723,19.0,0.100851074,-0.23448084,0.0
2007-03-07 00:00:00+00,LONG,2437,0.8666666666666667,18.0,0.13132788,-0.43994033,0.0
2007-03-08 00:00:00+00,LONG,2437,0.8333333333333334,19.0,0.13132788,-0.35903302,0.0
2007-03-08 00:00:00+00,LONG,3192,0.8846153846153846,18.0,0.11473964,-0.35985327,0.0
2007-03-09 00:00:00+00,LONG,2437,0.5681801335122802,20.0,0.12143057,-0.3063107,0.0
2007-03-09 00:00:00+00,LONG,3192,0.47028362773655863,19.0,0.11892809,-0.34742692,0.0
