time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,dist_upper_bb_50_2.5_df055,co_fall_count_1_5_df044
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.012579963,-0.03055913,1.0
2005-04-07 00:00:00+00,SHORT,602,0.33509846747500505,-0.017177166,-0.025200266,1.0
2005-04-07 00:00:00+00,SHORT,2818,0.3171132865082264,-0.0133109465,-0.035730984,1.0
2005-04-07 00:00:00+00,SHORT,862,0.35168903220541436,-0.020116247,-0.035762113,1.0
2005-04-07 00:00:00+00,SHORT,3116,0.48433962371159134,-0.021398747,-0.10487615,1.0
2005-04-07 00:00:00+00,SHORT,1184,0.5253420189502549,-0.021189896,-0.04427822,1.0
2005-04-07 00:00:00+00,SHORT,1437,0.0508122650235312,-0.021415804,-0.027931891,1.0
2005-04-07 00:00:00+00,SHORT,1770,0.21871698499407777,-0.021570055,-0.080203004,1.0
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.007948875,-0.015713707,1.0
2005-04-11 00:00:00+00,SHORT,4169,0.0,-0.021047104,-0.03622325,1.0
2005-04-11 00:00:00+00,SHORT,2253,1.0,-0.0048429347,-0.037107266,1.0
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,-0.01203428,-0.025228819,1.0
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.011998008,-0.111916676,1.0
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.017674975,-0.02024718,1.0
2005-04-12 00:00:00+00,SHORT,4169,0.42374998603786834,-0.018987827,-0.03141637,1.0
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.010152255,-0.060249038,1.0
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.00994062,-0.061659727,1.0
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.010194181,-0.040956616,1.0
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.010594586,-0.052867074,1.0
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.012723711,-0.042978533,1.0
2005-04-12 00:00:00+00,SHORT,2972,0.09174562663849382,-0.016880462,-0.0663939,1.0
2005-04-12 00:00:00+00,SHORT,3310,0.34639637549767277,-0.014696367,-0.109290875,1.0
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.014967898,-0.111765824,1.0
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.0050639417,0.028250221,1.0
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,-0.004181359,-0.053114165,1.0
2005-04-13 00:00:00+00,SHORT,780,1.0,-0.005547461,-0.07777124,1.0
2005-04-13 00:00:00+00,SHORT,2993,0.3070631266648398,-0.020243619,-0.077884436,1.0
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.009670642,-7.0726406E-4,1.0
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.009903523,-0.036419973,1.0
2005-04-13 00:00:00+00,SHORT,1922,0.6017389624105626,-0.017200185,-0.07029998,1.0
2005-04-14 00:00:00+00,SHORT,195,0.0,-0.01957257,-0.08881375,1.0
2005-04-14 00:00:00+00,SHORT,2285,0.41504939138786473,-0.020058146,-0.050513815,1.0
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,-0.004342285,-0.030454693,1.0
2005-04-21 00:00:00+00,SHORT,2747,1.0,-0.01451479,-0.0037472302,1.0
2005-04-25 00:00:00+00,SHORT,523,0.26504391757400475,-0.015283462,-0.048264842,1.0
2005-04-25 00:00:00+00,SHORT,1851,0.0,-0.020206172,-0.047179677,1.0
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,-0.009337649,-0.013670488,1.0
2005-04-26 00:00:00+00,SHORT,1851,0.0,-0.011791929,-0.038826056,1.0
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,-0.0021785533,0.009966945,1.0
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,-0.006140465,0.008124047,1.0
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.019430114,-0.0109784845,1.0
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,-0.0047884393,-0.0049779466,1.0
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.012189317,-0.012728494,1.0
2005-05-06 00:00:00+00,SHORT,3586,1.0,-0.015654912,-0.04430204,1.0
2005-05-09 00:00:00+00,SHORT,576,0.09574327242038387,-0.018540654,-0.07981232,1.0
2005-05-09 00:00:00+00,SHORT,2932,0.0,-0.009996463,-0.07226987,1.0
2005-05-09 00:00:00+00,SHORT,3613,0.0,-0.019921787,-0.05346381,1.0
2005-05-10 00:00:00+00,SHORT,576,0.07537075176754737,-0.021399647,-0.08478459,1.0
2005-05-10 00:00:00+00,SHORT,835,0.0,-0.006273194,-0.015927117,1.0
2005-05-10 00:00:00+00,SHORT,3994,0.32102641957605993,-0.018611506,-0.06421189,1.0
2005-05-11 00:00:00+00,SHORT,835,0.0,-0.018480867,-0.024508176,1.0
2005-05-11 00:00:00+00,SHORT,3573,0.0,-0.018925305,-0.053743776,1.0
2005-05-18 00:00:00+00,SHORT,610,0.8481145317105129,-0.01705896,-0.024402298,1.0
2005-05-19 00:00:00+00,SHORT,4059,0.037333657463484486,-0.018913398,-0.036416624,1.0
2005-05-27 00:00:00+00,SHORT,1817,0.0,-0.017946137,-0.06544222,1.0
2005-05-31 00:00:00+00,SHORT,862,0.48831110171343206,-0.009648018,-0.05359507,1.0
2005-05-31 00:00:00+00,SHORT,3561,0.0,-0.016929086,-0.03951928,1.0
2005-06-01 00:00:00+00,SHORT,1817,0.0,-0.019447614,-0.07197361,1.0
2005-06-02 00:00:00+00,SHORT,19,1.0,-0.0042795963,0.019921606,1.0
2005-06-03 00:00:00+00,SHORT,19,0.9,-0.01907025,0.00745632,1.0
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,-0.013450996,-0.017599646,1.0
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,-0.008281766,-0.0037366082,1.0
2005-06-07 00:00:00+00,SHORT,1139,0.07084897913242019,-0.01995404,-0.035931297,1.0
2005-06-07 00:00:00+00,SHORT,4083,1.0,-0.01475252,-0.008434089,1.0
2005-06-13 00:00:00+00,SHORT,4197,0.5150124414070505,-0.0178065,-0.02579396,1.0
2005-06-14 00:00:00+00,SHORT,4197,0.3860106158818413,-0.019016476,-0.026157197,1.0
2005-06-16 00:00:00+00,SHORT,4223,0.08725065644998635,-0.016927462,-0.027451053,1.0
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,-0.0058594844,-0.019580685,1.0
2005-06-17 00:00:00+00,SHORT,2055,0.0,-0.012063975,-0.03415528,1.0
2005-06-17 00:00:00+00,SHORT,4223,0.2313351026997672,-0.014876413,-0.022432156,1.0
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,-0.010127923,-0.032904625,1.0
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,-0.0029331923,-0.04632152,1.0
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,8.0710277E-4,-0.036965728,1.0
2005-06-17 00:00:00+00,SHORT,335,0.0,-0.0056228773,-0.107762165,1.0
2005-06-17 00:00:00+00,SHORT,498,0.0,-0.011662884,-0.0056573916,1.0
2005-06-17 00:00:00+00,SHORT,2710,0.0,-0.0023296853,-0.04815166,1.0
2005-06-17 00:00:00+00,SHORT,2731,0.12812976308016003,-0.018198669,-0.03728845,1.0
2005-06-17 00:00:00+00,SHORT,687,0.20099737471289936,-0.015982011,-0.03370454,1.0
2005-06-17 00:00:00+00,SHORT,817,0.0,0.0049443142,-0.08104214,1.0
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.017460912,0.005827508,1.0
2005-06-17 00:00:00+00,SHORT,1819,0.0,-0.0034228424,-4.6113597E-5,1.0
2005-06-17 00:00:00+00,SHORT,2028,0.0,-0.008185534,-0.07676776,1.0
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,-0.011725156,-0.03284905,1.0
2005-06-20 00:00:00+00,SHORT,2367,0.0,-0.0135885,-0.04706744,1.0
2005-06-20 00:00:00+00,SHORT,2710,0.0,-0.018692767,-0.055637103,1.0
2005-06-20 00:00:00+00,SHORT,2028,0.0,-0.013606312,-0.08035518,1.0
2005-06-21 00:00:00+00,SHORT,245,0.27489369070246966,-0.014075621,-0.032623764,1.0
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,-0.009377437,-0.010670143,1.0
2005-06-21 00:00:00+00,SHORT,2936,0.29628963757019317,-0.008046754,-0.032009948,1.0
2005-06-21 00:00:00+00,SHORT,934,0.0,-0.015046408,-0.033068947,1.0
2005-06-21 00:00:00+00,SHORT,3641,0.0,-0.020770403,-0.04390533,1.0
2005-06-21 00:00:00+00,SHORT,4062,0.0,-0.008704011,0.0083228275,1.0
2005-06-22 00:00:00+00,SHORT,2343,0.3165583379389359,-0.019021327,-0.043043558,1.0
2005-06-22 00:00:00+00,SHORT,907,0.48862718846638353,-0.01456832,-0.031878866,1.0
2005-06-22 00:00:00+00,SHORT,1330,0.0,-0.015549446,-0.022589585,1.0
2005-06-23 00:00:00+00,SHORT,2133,0.0,-0.019214213,-0.07311897,1.0
2005-06-23 00:00:00+00,SHORT,413,0.3394426264884169,-0.01582903,-0.0243522,1.0
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,-0.008647035,-9.263956E-4,1.0
2005-06-23 00:00:00+00,SHORT,2971,0.8795418168727182,-0.016067807,-0.019331357,1.0
2005-06-23 00:00:00+00,SHORT,3699,0.0,-0.020401904,-0.073899426,1.0
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.0045648576,-0.011003364,1.0
2005-06-23 00:00:00+00,SHORT,4070,0.0,-0.02133855,-0.07347915,1.0
2005-06-24 00:00:00+00,SHORT,2176,0.6288375113184342,-0.019780323,-0.023515332,1.0
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,1.593238E-4,-0.0020746163,1.0
2005-06-24 00:00:00+00,SHORT,413,0.33213536241523417,-0.012808988,-0.02182693,1.0
