time,side,ticker_id,mv_up_composite_labels,skew_weighted_20_df037,accel_volume_5_df025,ma_cloud_diff_21_50_df007
2005-08-26 00:00:00+00,LONG,2351,0.45247670736931567,-0.42562258,0.54891336,-0.018168787
2005-08-26 00:00:00+00,LONG,2778,0.20582938242014462,-0.33855495,0.30958536,-0.033696074
2005-08-26 00:00:00+00,LONG,3586,0.36491142061015974,-0.43914244,0.29830933,-0.013051488
2005-08-29 00:00:00+00,LONG,2176,0.37779791176011046,-0.36312306,0.24338236,-0.0195237
2005-08-30 00:00:00+00,LONG,2473,0.6394775361327191,-0.58642197,0.66600233,-0.008284451
2005-08-30 00:00:00+00,LONG,1631,0.9285714285714286,-0.33030647,0.42085338,-0.028527122
2005-08-31 00:00:00+00,LONG,91,0.0,-0.35546398,0.3079465,-0.008025057
2005-08-31 00:00:00+00,LONG,3586,0.0,-0.32037288,0.557201,-0.02589389
2005-09-01 00:00:00+00,LONG,2327,1.0,-0.5014354,0.39820758,-0.019742878
2005-09-01 00:00:00+00,LONG,1175,0.8518518518518519,-0.31810227,0.5342898,-0.008101063
2005-09-13 00:00:00+00,LONG,2830,0.0,-0.3702467,0.44320175,-0.008279391
2005-09-20 00:00:00+00,LONG,135,0.8,-0.35290346,0.52983695,-0.034784295
2005-09-21 00:00:00+00,LONG,900,1.0,-0.3353462,0.5463023,-0.022816582
2005-09-21 00:00:00+00,LONG,3912,0.6579636154456063,-0.3793319,0.662797,-0.023808388
2005-09-26 00:00:00+00,LONG,4128,0.9591836734693877,-0.36025566,0.27002636,-0.049422186
2005-10-04 00:00:00+00,LONG,3310,0.632372467310068,-0.36709088,0.52839416,-0.01335309
2005-10-04 00:00:00+00,LONG,1761,0.230759413577367,-0.5877162,0.3145332,-0.02538077
2005-10-06 00:00:00+00,LONG,1205,0.5857352281041248,-0.3710836,0.4036663,-0.0133695165
2005-10-06 00:00:00+00,LONG,1761,0.39849253336657275,-0.5663713,0.7029779,-0.029347016
2005-10-06 00:00:00+00,LONG,2042,0.5752462406729133,-0.32466474,0.30017498,-0.029774116
2005-10-10 00:00:00+00,LONG,1816,0.46224439497627384,-0.45030192,0.52086323,-0.02496944
2005-10-12 00:00:00+00,LONG,2543,0.443527615827008,-0.578059,0.46271986,-0.036627278
2005-10-13 00:00:00+00,LONG,84,0.2704183327161197,-0.5633319,0.33529603,-0.017021284
2005-10-13 00:00:00+00,LONG,3065,0.3092063183417378,-0.4055702,0.37646407,-0.0480241
2005-10-13 00:00:00+00,LONG,3216,0.5524923386598368,-0.4550415,0.36428335,-0.03308696
2005-10-13 00:00:00+00,LONG,1434,0.8001847714351011,-0.49564672,0.26544344,-0.043589078
2005-10-13 00:00:00+00,LONG,3614,1.0,-0.4673803,0.7140652,-0.03349977
2005-10-13 00:00:00+00,LONG,1745,0.7997096934128503,-0.43832782,0.45635214,-0.04211576
2005-10-14 00:00:00+00,LONG,84,0.22121423767557305,-0.56214315,0.24565072,-0.019688822
2005-10-14 00:00:00+00,LONG,386,0.7180828197823599,-0.35691035,0.68325967,-0.025712715
2005-10-14 00:00:00+00,LONG,413,0.35079344764333636,-0.42374068,0.4166287,-0.011938299
2005-10-14 00:00:00+00,LONG,2778,0.5033779716868467,-0.41843995,0.26742968,-0.012310291
2005-10-17 00:00:00+00,LONG,1745,0.7636761264239095,-0.41320184,0.628957,-0.04483569
2005-10-18 00:00:00+00,LONG,2546,0.2707878708955461,-0.37917435,0.26943088,-0.009893838
2005-10-19 00:00:00+00,LONG,3646,0.9622641509433962,-0.45530695,0.51163197,-0.022337101
2005-10-20 00:00:00+00,LONG,2557,0.18217222575539022,-0.33031645,0.7028151,-0.033871397
2005-10-21 00:00:00+00,LONG,2936,0.3992762993318415,-0.35282493,0.465124,-0.034391463
2005-10-21 00:00:00+00,LONG,4059,0.9722222222222222,-0.5002508,0.38770527,-0.0330308
2005-10-24 00:00:00+00,LONG,2643,0.0,-0.4070966,0.46742475,-0.025579197
2005-10-27 00:00:00+00,LONG,2072,0.8,-0.35134757,0.35626483,-0.0075560426
2005-10-27 00:00:00+00,LONG,2276,1.0,-0.4443446,0.27209055,-0.04069861
2005-10-27 00:00:00+00,LONG,2778,0.6881245573470907,-0.38512683,0.49353227,-0.036624063
2005-10-27 00:00:00+00,LONG,3586,1.0,-0.3890413,0.34931368,-0.048228044
2005-10-27 00:00:00+00,LONG,3610,1.0,-0.34050468,0.6542921,-0.040179323
