time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,dist_lower_bb_20_2.0_df055,dist_upper_bb_20_2.0_df055
2005-09-13 00:00:00+00,SHORT,3824,0.6215049087066531,0.0,-0.04958905,-0.0017888383
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,0.0,-0.05482519,-0.0043062717
2005-09-16 00:00:00+00,SHORT,4016,0.8451586911940777,0.0,-0.042960577,-0.0030251788
2005-09-20 00:00:00+00,SHORT,2716,0.0,0.0,-0.058706857,-0.0035136212
2005-09-20 00:00:00+00,SHORT,2818,0.0,0.0,-0.039452024,-0.005138315
2005-10-03 00:00:00+00,SHORT,370,0.11683446163033723,0.0,-0.041863374,1.6132543E-4
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,0.0,-0.029960757,3.4389968E-4
2005-10-04 00:00:00+00,SHORT,3067,0.5065484310807038,0.0,-0.041396007,-0.004057986
2005-10-04 00:00:00+00,SHORT,3470,0.29841712306906815,0.0,-0.044158045,-0.001911372
2005-10-07 00:00:00+00,SHORT,405,0.7379938386169536,0.0,-0.061296448,-0.004484463
2005-10-07 00:00:00+00,SHORT,934,0.37009309508065685,0.0,-0.047874607,-0.005184985
2005-10-11 00:00:00+00,SHORT,1966,0.3066955611748492,0.0,-0.065605275,-3.0905302E-4
2005-10-14 00:00:00+00,SHORT,183,0.0,0.0,-0.050783724,-0.0031377373
2005-10-17 00:00:00+00,SHORT,183,0.0,0.0,-0.052031484,8.016053E-4
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.0,-0.051115807,0.0024006257
2005-10-24 00:00:00+00,SHORT,2269,0.19354463365000457,0.0,-0.055360153,-0.0042742305
2005-10-24 00:00:00+00,SHORT,245,0.0,0.0,-0.04890147,-0.004538312
2005-10-24 00:00:00+00,SHORT,3273,0.0,0.0,-0.04629967,-0.003332901
2005-10-24 00:00:00+00,SHORT,3645,0.37426085532943426,0.0,-0.062795885,-0.0051773335
2005-11-10 00:00:00+00,SHORT,2247,0.0,0.0,-0.050489016,-0.0028890925
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,0.0,-0.033617705,-5.145149E-4
2005-12-15 00:00:00+00,SHORT,2659,0.6558218543365969,0.0,-0.06435425,-0.0038577158
2005-12-16 00:00:00+00,SHORT,2716,0.0,0.0,-0.041764814,-0.0050016725
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,0.0,-0.06407383,0.0027183378
2006-01-06 00:00:00+00,SHORT,4218,0.0,0.0,-0.051264867,-0.0037498064
2006-01-09 00:00:00+00,SHORT,4218,0.2958153101456757,0.0,-0.0616001,1.9278943E-4
2006-01-09 00:00:00+00,SHORT,2327,0.3527959295276325,0.0,-0.06669346,-4.1012745E-4
2006-01-10 00:00:00+00,SHORT,4218,0.21768581590631614,0.0,-0.062313918,-0.0044850367
2006-01-10 00:00:00+00,SHORT,1434,0.20371295850544438,0.0,-0.046074893,-0.0033527547
2006-01-10 00:00:00+00,SHORT,1745,0.18024598266275038,0.0,-0.038471527,-0.0021654333
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,0.0,-0.039484527,-7.3602033E-4
2006-01-11 00:00:00+00,SHORT,1745,0.16387850150870537,0.0,-0.03784018,-0.004836675
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,0.0,-0.061212823,-0.0039505605
2006-01-19 00:00:00+00,SHORT,4197,0.2623395823868459,0.0,-0.062551856,-0.0032211496
2006-01-19 00:00:00+00,SHORT,2410,0.7292106115284973,0.0,-0.043546557,-0.0010497487
2006-01-19 00:00:00+00,SHORT,427,1.0,0.0,-0.05880813,-8.3696994E-4
2006-01-20 00:00:00+00,SHORT,2617,0.35538644114050433,0.0,-0.04678439,-0.0049587144
2006-01-27 00:00:00+00,SHORT,131,0.16658603386740337,0.0,-0.058833104,-0.0016913968
2006-01-27 00:00:00+00,SHORT,1371,0.18415904660107585,0.0,-0.060200267,-2.1562466E-4
2006-01-30 00:00:00+00,SHORT,3378,0.1610626713367307,0.0,-0.046191487,-0.0035624143
2006-01-31 00:00:00+00,SHORT,3501,0.5712552954783446,0.0,-0.055018842,6.2923424E-4
2006-02-01 00:00:00+00,SHORT,487,0.643865190280732,0.013907734,-0.057966776,-8.255167E-4
2006-02-02 00:00:00+00,SHORT,4088,0.6776250224379782,0.0,-0.059036463,-0.004422289
2006-02-07 00:00:00+00,SHORT,487,0.6,0.0,-0.06653008,-0.001720146
2006-02-08 00:00:00+00,SHORT,1297,0.0,0.0,-0.06186525,7.5026194E-4
2006-02-15 00:00:00+00,SHORT,3203,0.21852283510270978,0.0,-0.04496179,-7.4573146E-4
2006-02-17 00:00:00+00,SHORT,869,0.0,0.0,-0.043011256,0.0014137304
2006-02-27 00:00:00+00,SHORT,2961,0.6179625988060418,0.0,-0.06456502,0.0012557901
2006-02-27 00:00:00+00,SHORT,1361,0.7129891044845204,0.0,-0.061609067,0.0010616702
2006-03-02 00:00:00+00,SHORT,562,0.4478522884617682,0.0,-0.05708545,-0.0039162617
2006-03-06 00:00:00+00,SHORT,1742,0.0,0.0,-0.026139522,-0.0033636552
2006-03-10 00:00:00+00,SHORT,881,0.3628925535095599,0.0,-0.057041105,-0.005170553
2006-03-14 00:00:00+00,SHORT,3782,0.7876279355899063,0.0,-0.05448561,2.0962449E-4
2006-03-21 00:00:00+00,SHORT,2269,0.21546738813497712,0.0,-0.06257632,-0.0024108565
2006-03-22 00:00:00+00,SHORT,2269,0.23877610789033685,0.0,-0.066807315,-0.0043432144
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,0.0,-0.05558289,4.930291E-4
2006-03-24 00:00:00+00,SHORT,2262,1.0,0.0,-0.06459548,0.0013542929
2006-03-28 00:00:00+00,SHORT,1444,0.6967554590503519,0.0,-0.026064152,0.002931624
2006-03-31 00:00:00+00,SHORT,1444,0.6704414196622354,0.0,-0.025457965,-1.4035474E-4
2006-04-18 00:00:00+00,SHORT,3539,0.561578028280057,0.0,-0.042250518,-0.0019008904
2006-04-26 00:00:00+00,SHORT,475,0.4995809835817001,0.0,-0.047494195,-0.004592824
2006-04-28 00:00:00+00,SHORT,562,0.34711746317194336,0.0,-0.06487488,0.0026380431
2006-05-05 00:00:00+00,SHORT,3137,1.0,0.0,-0.039900452,-0.003293919
2006-05-08 00:00:00+00,SHORT,3137,0.9444444444444444,0.0,-0.042904954,-0.003659642
2006-05-08 00:00:00+00,SHORT,3182,0.7274108621973556,0.0,-0.046735715,-3.8009268E-4
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,0.0,-0.061396327,-1.8482757E-4
2006-05-08 00:00:00+00,SHORT,1838,0.21510894858654292,0.0,-0.0668077,-0.004933676
2006-05-09 00:00:00+00,SHORT,4107,0.8005213825549394,0.0,-0.050932415,-0.005007733
2006-05-09 00:00:00+00,SHORT,2291,1.0,0.0,-0.058396105,-0.0012218672
2006-05-09 00:00:00+00,SHORT,2440,0.5139530305523916,0.0,-0.061801963,-7.595301E-5
2006-05-09 00:00:00+00,SHORT,3137,0.8888888888888888,0.0,-0.045175854,-0.0049543227
2006-05-09 00:00:00+00,SHORT,3436,0.42630403708326775,0.0,-0.048388325,-0.0018750916
2006-05-09 00:00:00+00,SHORT,1410,0.35443269015900913,0.0,-0.0664898,-1.8572365E-4
2006-05-11 00:00:00+00,SHORT,2253,1.0,0.0,-0.06016097,-0.0041552456
2006-05-18 00:00:00+00,SHORT,2527,0.08015604694307644,0.0,-0.034222104,0.0028420612
2006-06-02 00:00:00+00,SHORT,2983,1.0,0.0,-0.030593827,2.3434659E-4
2006-06-06 00:00:00+00,SHORT,2430,0.33699950760547276,0.0,-0.051604323,-0.0040450045
2006-06-12 00:00:00+00,SHORT,4097,0.0,0.0,-0.05967641,-0.0038373922
2006-06-29 00:00:00+00,SHORT,4197,0.0,0.0,-0.047555048,-0.004772691
2006-06-29 00:00:00+00,SHORT,370,0.0,0.0,-0.049533635,-0.0033386967
2006-07-03 00:00:00+00,SHORT,2352,0.0,0.0,-0.04849836,-0.004615416
2006-07-03 00:00:00+00,SHORT,1092,0.23530293791421888,0.0,-0.056302857,-0.0013431635
2006-07-06 00:00:00+00,SHORT,2070,0.3161396453224842,0.0,-0.05672272,-0.00161497
2006-07-10 00:00:00+00,SHORT,2971,0.0,0.0,-0.06339891,-0.004716796
2006-07-19 00:00:00+00,SHORT,1356,0.2930022492361964,0.0,-0.04358491,6.005854E-4
2006-07-20 00:00:00+00,SHORT,1356,0.09371010543168445,0.0,-0.041565854,-0.0033406217
2006-07-31 00:00:00+00,SHORT,3652,0.35408046705258867,0.0,-0.05626548,-0.00423699
2006-08-04 00:00:00+00,SHORT,918,0.20846929577738496,0.0,-0.063879386,-0.0028907398
2006-08-17 00:00:00+00,SHORT,631,0.4208789279492513,0.0,-0.04994954,-0.0011309265
2006-08-17 00:00:00+00,SHORT,3255,0.7142857142857143,0.0,-0.04503365,-0.0022064126
2006-09-01 00:00:00+00,SHORT,3067,0.19553812029412806,0.0,-0.024287887,-0.0037743235
2006-09-13 00:00:00+00,SHORT,1667,0.0,0.0,-0.062195558,-0.0034249448
2006-09-14 00:00:00+00,SHORT,2747,0.14060557313310226,0.0,-0.050705362,-4.3561964E-4
2006-09-15 00:00:00+00,SHORT,270,0.2695534942130554,0.0,-0.04344403,-0.0014597418
2006-09-25 00:00:00+00,SHORT,2430,0.14774224345854745,0.0,-0.04745153,-3.9822917E-4
2006-10-02 00:00:00+00,SHORT,3309,0.0,0.0,-0.054963004,-0.0016321916
2006-10-05 00:00:00+00,SHORT,3046,0.6592575820859664,0.0,-0.033011295,1.7587087E-4
2006-10-05 00:00:00+00,SHORT,1300,0.0,0.0,-0.06225419,0.0023751948
2006-10-06 00:00:00+00,SHORT,3046,0.6136175425691978,0.0,-0.028477542,-0.0039774906
2006-10-10 00:00:00+00,SHORT,1356,0.5913627776393886,0.0,-0.041946214,5.048082E-4
2006-10-11 00:00:00+00,SHORT,1356,0.5393740520459275,0.0,-0.04319372,-0.00209838
2006-10-23 00:00:00+00,SHORT,2870,0.5852716324866852,0.0,-0.05446586,1.13171656E-4
2006-10-24 00:00:00+00,SHORT,2870,0.5506730581862613,0.0,-0.054423623,-0.0038968562
2006-10-26 00:00:00+00,SHORT,2079,0.39685050209225253,0.0,-0.049070306,-0.0040338337
2006-10-26 00:00:00+00,SHORT,631,0.4191553667149618,0.0,-0.06295495,-0.0013199248
2006-10-26 00:00:00+00,SHORT,2018,0.0,0.0,-0.057247557,-4.592783E-4
2006-10-30 00:00:00+00,SHORT,2079,0.318597984704494,0.0,-0.044188082,-0.004282088
2006-11-02 00:00:00+00,SHORT,3612,0.0,0.0,-0.018639263,-0.0010742219
2006-11-13 00:00:00+00,SHORT,4107,0.5050640898770627,0.0,-0.055286635,-0.0028851663
2006-11-13 00:00:00+00,SHORT,522,0.1622294900144897,0.018222112,-0.047639012,-0.001528436
2006-12-14 00:00:00+00,SHORT,397,0.29008161654148823,0.0,-0.03655158,-0.005163513
2006-12-15 00:00:00+00,SHORT,1745,0.2565746274442436,0.0,-0.030452423,-0.0035263505
2006-12-27 00:00:00+00,SHORT,3573,0.5238965376485157,0.0,-0.06543614,-0.0049241884
2007-01-04 00:00:00+00,SHORT,4153,0.625,0.0,-0.066865414,-0.0040467717
2007-01-16 00:00:00+00,SHORT,3596,0.19175139724180348,0.0,-0.06588844,0.0022267946
2007-01-23 00:00:00+00,SHORT,3271,0.5027166205305689,0.0,-0.062038686,-2.241867E-4
2007-02-05 00:00:00+00,SHORT,131,0.34568677489153227,0.0,-0.037251357,-0.004428241
2007-02-06 00:00:00+00,SHORT,2548,0.0,0.0,-0.061602697,-0.003276792
2007-02-07 00:00:00+00,SHORT,1838,1.0,0.0,-0.025379475,-0.004960069
2007-02-15 00:00:00+00,SHORT,540,0.7777777777777778,0.0,-0.056282274,-7.172133E-4
2007-02-16 00:00:00+00,SHORT,309,0.38792699637721395,0.0,-0.056858208,-0.0012651549
2007-02-16 00:00:00+00,SHORT,602,0.19615408951369526,0.0,-0.056641903,-0.0030749966
2007-02-20 00:00:00+00,SHORT,2343,0.5048232246829696,0.0,-0.061851315,0.0023247676
2007-02-20 00:00:00+00,SHORT,900,1.0,0.0,-0.06417897,0.0016021552
2007-02-20 00:00:00+00,SHORT,3046,0.6529089485096747,0.0,-0.056075275,-0.0030556384
2007-02-20 00:00:00+00,SHORT,3330,0.540917233578778,0.0,-0.053108737,0.0014829204
2007-02-20 00:00:00+00,SHORT,3694,0.26057421049570284,0.0,-0.06601115,-8.35288E-4
2007-02-20 00:00:00+00,SHORT,3923,0.4919137904412779,0.0,-0.047340218,-1.6222602E-4
2007-02-21 00:00:00+00,SHORT,4218,0.5947861151200597,0.0,-0.05529004,-0.0033310852
2007-02-21 00:00:00+00,SHORT,212,0.2452696744917123,0.0,-0.032223612,-0.0021735234
2007-02-21 00:00:00+00,SHORT,900,0.5251284904995384,0.0,-0.063802645,-0.0043707164
2007-02-21 00:00:00+00,SHORT,3923,0.508517673635855,0.0,-0.045258876,-0.0042691585
2007-02-21 00:00:00+00,SHORT,4070,0.14965203688921094,0.0,-0.05580734,-0.0010040085
2007-02-22 00:00:00+00,SHORT,4128,0.4555963154663484,0.0,-0.06325479,-0.0047133393
2007-02-23 00:00:00+00,SHORT,555,0.37514095637326694,0.0,-0.05667413,-0.003405937
2007-02-26 00:00:00+00,SHORT,406,0.19032136769234242,0.0,-0.06464037,0.0023367107
2007-02-26 00:00:00+00,SHORT,835,0.26001427514329906,0.0,-0.064338915,-0.0047842795
2007-02-26 00:00:00+00,SHORT,3681,0.31404188793987314,0.0,-0.049245253,5.7248375E-4
2007-02-26 00:00:00+00,SHORT,3815,0.20365295918366946,0.0,-0.04604136,-0.0023908662
2007-02-26 00:00:00+00,SHORT,1770,0.0,0.0,-0.060504835,-0.003603343
2007-03-01 00:00:00+00,SHORT,1235,0.0,0.0,-0.05499724,-0.0035676374
2007-03-07 00:00:00+00,SHORT,1235,0.0,0.0,-0.06628936,-7.6127384E-4
2007-03-27 00:00:00+00,SHORT,3596,0.0,0.0,-0.053050283,-0.002245431
2007-04-05 00:00:00+00,SHORT,1853,0.8858718209670988,0.0,-0.06563732,6.792442E-4
2007-04-09 00:00:00+00,SHORT,517,0.19091741866602552,0.0,-0.056934442,5.809147E-4
2007-04-20 00:00:00+00,SHORT,440,0.19157291049120023,0.0,-0.04724689,0.0015121314
2007-04-20 00:00:00+00,SHORT,3519,0.20910524673524475,0.0,-0.03896996,-3.1094655E-4
2007-04-23 00:00:00+00,SHORT,370,0.3402839796177982,0.0,-0.056405086,-0.0035617105
2007-04-24 00:00:00+00,SHORT,664,0.42398238154449147,0.0,-0.045581643,-0.004441913
2007-04-27 00:00:00+00,SHORT,3645,0.2904444232503448,0.0,-0.03835849,-0.0037976226
2007-05-01 00:00:00+00,SHORT,2248,0.28880515167919674,0.0,-0.05465827,-0.00456282
2007-05-08 00:00:00+00,SHORT,3652,1.0,0.0,-0.044409774,7.962077E-4
2007-05-09 00:00:00+00,SHORT,4049,0.0,0.0,-0.049725,-0.0025105302
2007-05-16 00:00:00+00,SHORT,3513,0.3883097295595925,0.0,-0.029091064,-5.578393E-4
2007-05-18 00:00:00+00,SHORT,28,1.0,0.0,-0.05911754,-0.0040253107
2007-05-22 00:00:00+00,SHORT,2617,1.0,0.0,-0.047217626,-2.40655E-4
2007-05-22 00:00:00+00,SHORT,3596,0.3585768094488604,0.0,-0.057159293,-0.0015490816
2007-06-01 00:00:00+00,SHORT,2285,0.0,0.0,-0.057960838,-0.004468635
2007-06-01 00:00:00+00,SHORT,3804,0.47220783961002394,0.0,-0.045785975,-0.0012887698
2007-06-01 00:00:00+00,SHORT,3903,0.26032677204214283,0.0,-0.05410903,0.0013418865
2007-06-01 00:00:00+00,SHORT,4000,0.0,0.0,-0.0586993,-0.0043064943
2007-06-04 00:00:00+00,SHORT,475,0.08414486375664916,0.0,-0.029109867,-0.0012460323
2007-06-04 00:00:00+00,SHORT,1631,0.26112181395655903,0.0,-0.03298837,-0.004142531
2007-06-04 00:00:00+00,SHORT,3903,0.5090054676544623,0.0,-0.055081446,-0.0028318856
2007-06-04 00:00:00+00,SHORT,3907,0.15484235916576314,0.0,-0.057378303,-0.0013390818
2007-06-04 00:00:00+00,SHORT,4000,0.10724292754004247,0.0,-0.06519925,-0.0036974854
2007-06-05 00:00:00+00,SHORT,4122,0.5542907387892185,0.0,-0.05664445,-0.0023857055
2007-06-05 00:00:00+00,SHORT,1303,0.0,0.0,-0.0352626,-0.0050288453
2007-06-08 00:00:00+00,SHORT,9,0.42205517129851755,0.0,-0.04794821,-0.004299083
2007-06-18 00:00:00+00,SHORT,457,0.41713987053948803,0.0,-0.054023128,-0.0026499168
2007-06-18 00:00:00+00,SHORT,1149,1.0,0.0,-0.06409116,-0.0043482943
2007-06-19 00:00:00+00,SHORT,457,0.4703275901174588,0.0,-0.05949042,-0.0021377031
2007-07-06 00:00:00+00,SHORT,3743,0.429660755162556,0.0,-0.060046036,-0.0049075154
2007-07-06 00:00:00+00,SHORT,1748,0.0,0.0,-0.066585615,-0.0051819407
2007-07-13 00:00:00+00,SHORT,975,1.0,0.0,-0.04939253,3.4069372E-4
2007-07-13 00:00:00+00,SHORT,3275,0.6352015503501539,0.0,-0.05625404,-0.0021861026
2007-07-16 00:00:00+00,SHORT,2084,0.5727021441827973,0.0,-0.052380875,0.0011052765
2007-07-17 00:00:00+00,SHORT,2343,0.6786428513119522,0.0,-0.064660214,7.775699E-4
2007-07-17 00:00:00+00,SHORT,664,0.3871531993620612,0.0,-0.035641722,-0.0010232218
2007-07-17 00:00:00+00,SHORT,3109,1.0,0.0,-0.04164764,-0.0013748308
2007-07-17 00:00:00+00,SHORT,1715,0.9090909090909091,0.0,-0.035331827,-0.0029792562
2007-07-17 00:00:00+00,SHORT,1967,0.5413044482732244,0.0,-0.04836598,-0.0015733631
2007-07-18 00:00:00+00,SHORT,1767,0.0,0.0,-0.04608319,-0.0046356316
2007-07-18 00:00:00+00,SHORT,3903,1.0,0.0,-0.05629237,-3.0613175E-4
2007-07-19 00:00:00+00,SHORT,2546,0.6369546212102761,0.0,-0.03569507,4.969853E-4
2007-07-19 00:00:00+00,SHORT,907,1.0,0.0,-0.041993365,-0.004569368
2007-07-19 00:00:00+00,SHORT,1767,0.0,0.0,-0.052163865,-0.0030908375
2007-07-20 00:00:00+00,SHORT,2276,1.0,0.0,-0.06253618,-0.003570509
2007-07-20 00:00:00+00,SHORT,4088,1.0,0.0,-0.04394777,-0.002009331
2007-07-23 00:00:00+00,SHORT,2221,1.0,0.0,-0.04719091,-0.0050954185
2007-07-23 00:00:00+00,SHORT,4088,0.875,0.0,-0.048023142,-0.0026078143
2007-07-25 00:00:00+00,SHORT,195,1.0,0.0,-0.05729885,-7.1165746E-4
2007-08-07 00:00:00+00,SHORT,2830,1.0,0.0,-0.06543932,-0.0034033083
2007-10-02 00:00:00+00,SHORT,578,0.0,0.0,-0.06531249,-0.0025487829
2007-10-02 00:00:00+00,SHORT,3754,0.45741342448960165,0.0,-0.06355178,-0.0010962314
2007-10-12 00:00:00+00,SHORT,1160,0.25660319457265895,0.0,-0.05250054,5.2811386E-4
2007-10-15 00:00:00+00,SHORT,1184,1.0,0.0,-0.048994742,-2.7110393E-4
2007-10-16 00:00:00+00,SHORT,1,0.21878274383027238,0.0,-0.056368772,-0.0022843757
2007-10-16 00:00:00+00,SHORT,1184,0.5521853990250549,0.0,-0.049056076,-7.9575315E-5
2007-10-17 00:00:00+00,SHORT,1,0.9166666666666666,0.0,-0.05953185,-0.0044282544
2007-10-25 00:00:00+00,SHORT,1236,0.4529207479907467,0.0,-0.06550554,-0.0028832706
2007-10-31 00:00:00+00,SHORT,1742,0.5625,0.0,-0.055426285,-0.002592557
