time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.5_df055,joint_fall_flag_1_20_df042,dist_lower_bb_50_2.0_df055
2005-10-21 00:00:00+00,LONG,836,0.39922110125820914,22.0,-0.009860528,0.0,0.0075432267
2005-10-21 00:00:00+00,LONG,1092,1.0,25.0,0.0013547875,0.0,0.014468073
2005-10-21 00:00:00+00,LONG,1819,1.0,21.0,0.022576544,0.0,0.041919656
2005-10-24 00:00:00+00,LONG,1819,0.9666666666666667,22.0,-0.00654334,0.0,0.014688753
2005-10-25 00:00:00+00,LONG,1819,0.9333333333333333,23.0,-0.0091413995,0.0,0.013311073
2005-10-26 00:00:00+00,LONG,4070,1.0,25.0,-0.036403004,0.0,0.0107096825
2005-10-27 00:00:00+00,LONG,2276,1.0,21.0,-0.006729792,0.0,0.017979842
2005-10-27 00:00:00+00,LONG,1330,1.0,29.0,-0.0076489053,0.0,0.013654323
2005-10-27 00:00:00+00,LONG,3641,1.0,28.0,-0.041787,0.0,0.01619641
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,25.0,-0.01629095,0.0,0.00877224
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,25.0,0.0080098845,0.0,0.031186275
2005-10-27 00:00:00+00,LONG,4013,0.7163233659242741,21.0,-0.00401731,0.0,0.012387766
2005-10-28 00:00:00+00,LONG,558,0.5494093529312287,28.0,-0.022012575,0.0,0.0063147247
2005-10-28 00:00:00+00,LONG,1087,0.9777777777777777,16.0,-0.010232856,0.0,0.0053534145
2005-10-28 00:00:00+00,LONG,1454,0.3019928457555165,28.0,0.037699096,0.0,0.08292125
2005-10-28 00:00:00+00,LONG,1848,1.0,17.0,-2.9569288E-4,0.0,0.016475055
2005-10-28 00:00:00+00,LONG,3973,0.4210413907160842,26.0,-0.016986273,0.0,0.007977839
2005-11-01 00:00:00+00,LONG,427,0.4843336590283516,18.0,0.0031140144,0.0,0.016848212
2005-11-01 00:00:00+00,LONG,1454,0.30608135482045473,30.0,-0.002303066,0.0,0.054854628
2005-11-02 00:00:00+00,LONG,1454,0.32207548567166855,31.0,-0.033372805,0.0,0.02968551
2005-11-03 00:00:00+00,LONG,1454,0.33471913697972877,32.0,-0.031690553,0.0,0.036115553
2005-11-14 00:00:00+00,LONG,874,0.9661016949152542,17.0,-0.041975792,0.0,0.015109366
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,19.0,-0.0062530497,0.0,0.01893563
2005-11-17 00:00:00+00,LONG,3694,0.40253197339979074,20.0,-0.021030094,0.0,0.005645308
2005-12-28 00:00:00+00,LONG,1288,0.5707711100369738,16.0,-0.007855855,0.0,0.0058515845
2005-12-29 00:00:00+00,LONG,1288,0.6379238258619295,17.0,-0.008646915,0.0,0.0058372384
2006-01-20 00:00:00+00,LONG,2972,0.46831704782290007,19.0,-0.009476695,0.0,0.0059637167
2006-01-23 00:00:00+00,LONG,836,0.34898608536698494,28.0,0.010673284,0.0,0.020529857
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,25.0,0.014179355,0.0,0.028557934
2006-01-30 00:00:00+00,LONG,2085,0.0,35.0,0.019137848,0.0,0.053825475
2006-01-31 00:00:00+00,LONG,2085,0.0,36.0,0.009438186,0.0,0.04770968
2006-01-31 00:00:00+00,LONG,610,0.0,22.0,-0.0036975504,0.0,0.026639285
2006-01-31 00:00:00+00,LONG,2659,0.23080962449648249,16.0,0.008744518,0.0,0.019826395
2006-02-01 00:00:00+00,LONG,2085,0.0,37.0,-0.015404218,0.0,0.026391283
2006-02-01 00:00:00+00,LONG,610,0.9772727272727273,23.0,-0.016897036,0.0,0.015817767
2006-02-02 00:00:00+00,LONG,2085,0.0,38.0,-0.018924627,0.0,0.025710443
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,24.0,-0.022289462,0.0,0.012543243
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,22.0,0.059980005,0.0,0.08270573
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,23.0,0.04716701,0.0,0.07383532
2006-02-06 00:00:00+00,LONG,502,0.658658995715596,32.0,-0.09891713,0.0,0.016059035
2006-02-07 00:00:00+00,LONG,76,0.0,24.0,0.021459047,0.0,0.051786605
2006-02-08 00:00:00+00,LONG,76,0.0,25.0,-0.015063905,0.0,0.018423783
2006-02-21 00:00:00+00,LONG,3130,0.9787234042553191,25.0,-0.0057333396,0.0,0.010712587
2006-02-21 00:00:00+00,LONG,3447,1.0,20.0,0.051864836,0.0,0.070948996
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,21.0,0.012700481,0.0,0.034499075
2006-02-23 00:00:00+00,LONG,2830,1.0,24.0,-0.0037190288,0.0,0.010045179
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,22.0,-0.0021337743,0.0,0.021599544
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,20.0,-0.016913146,0.0,0.016213994
2006-03-08 00:00:00+00,LONG,3841,0.0,16.0,-0.0034130313,0.0,0.012524369
2006-03-09 00:00:00+00,LONG,4123,0.6857781721516761,21.0,-0.018039512,0.0,0.017280161
2006-03-31 00:00:00+00,LONG,64,0.0,17.0,-0.01047828,0.0,0.008743065
2006-04-04 00:00:00+00,LONG,1262,1.0,21.0,-0.009071172,0.0,0.008685783
2006-04-12 00:00:00+00,LONG,780,0.0,25.0,-0.012055738,0.0,0.014822719
2006-04-13 00:00:00+00,LONG,780,0.0,26.0,-0.02025411,0.0,0.008346102
2006-05-08 00:00:00+00,LONG,1867,1.0,21.0,-0.013576181,0.0,0.024932578
2006-05-10 00:00:00+00,LONG,791,1.0,16.0,-0.0510314,0.0,0.022531394
2006-05-15 00:00:00+00,LONG,1453,0.2941786770694011,21.0,-0.0015263547,0.0,0.011611265
2006-05-16 00:00:00+00,LONG,1453,0.3338936652139795,22.0,-0.008030405,0.0,0.005808402
2006-05-24 00:00:00+00,LONG,3199,0.0,33.0,-0.053828306,0.0,0.015474046
2006-05-24 00:00:00+00,LONG,3443,1.0,21.0,0.011617877,0.0,0.064642616
2006-06-12 00:00:00+00,LONG,2710,0.0,16.0,-0.0056660534,0.0,0.017992368
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,17.0,-0.013342608,0.0,0.01704998
2006-06-13 00:00:00+00,LONG,243,0.4859139490052772,16.0,-0.005023322,0.0,0.031709474
2006-06-13 00:00:00+00,LONG,356,0.0,16.0,-0.01265513,0.0,0.045566645
2006-06-13 00:00:00+00,LONG,433,1.0,18.0,0.0142306285,0.0,0.082172945
2006-06-13 00:00:00+00,LONG,2710,0.0,17.0,-0.018113298,0.0,0.007252767
2006-06-13 00:00:00+00,LONG,934,1.0,16.0,0.020259045,0.0,0.0534203
2006-06-13 00:00:00+00,LONG,984,1.0,16.0,-0.029450249,0.0,0.025303397
2006-06-13 00:00:00+00,LONG,1173,1.0,18.0,0.027175048,0.0,0.06007506
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,18.0,0.011892967,0.0,0.049341686
2006-06-13 00:00:00+00,LONG,3286,0.0,17.0,0.01918711,0.0,0.06960088
2006-06-13 00:00:00+00,LONG,1298,0.0,16.0,0.0034493287,0.0,0.047941644
2006-06-14 00:00:00+00,LONG,19,0.9523809523809523,17.0,0.0037431566,0.0,0.050962355
2006-06-14 00:00:00+00,LONG,2272,0.0,17.0,0.016725406,0.0,0.051657576
2006-06-14 00:00:00+00,LONG,356,0.0,17.0,-0.05229666,0.0,0.011883821
2006-06-14 00:00:00+00,LONG,433,0.8869622294182581,19.0,-0.046910517,0.0,0.030717298
2006-06-14 00:00:00+00,LONG,2536,1.0,18.0,-0.008455038,0.0,0.016554926
2006-06-14 00:00:00+00,LONG,2731,0.4171286619840483,16.0,-0.33791763,0.0,0.010502815
2006-06-14 00:00:00+00,LONG,2866,0.567509515326536,24.0,0.009533976,0.0,0.021639783
2006-06-14 00:00:00+00,LONG,934,0.7757553516126262,17.0,-0.013115671,0.0,0.023405457
2006-06-14 00:00:00+00,LONG,2990,1.0,19.0,-8.3487015E-4,0.0,0.03131072
2006-06-14 00:00:00+00,LONG,1022,0.49005842169147684,16.0,-0.042688724,0.0,0.023289226
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,16.0,-0.010177036,0.0,0.019981235
2006-06-14 00:00:00+00,LONG,3286,0.0,18.0,-0.028521013,0.0,0.027537076
2006-06-14 00:00:00+00,LONG,1298,0.0,17.0,-0.036595333,0.0,0.012449406
