time,side,ticker_id,mv_dn_composite_labels,earnings_price_gap_df010,joint_fall_flag_1_20_df042,dist_upper_bb_20_2.0_df055
2006-03-17 00:00:00+00,SHORT,3539,0.31764157948023436,0.0,1.0,-0.004045505
2006-03-21 00:00:00+00,SHORT,2269,0.21546738813497712,0.0,1.0,-0.0024108565
2006-03-23 00:00:00+00,SHORT,2527,0.5622029137746484,0.0,1.0,4.930291E-4
2006-03-23 00:00:00+00,SHORT,3192,0.0,0.0,1.0,-0.0058074133
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,0.0,1.0,0.008334884
2006-03-24 00:00:00+00,SHORT,3818,0.5956518973331731,0.0,1.0,-0.0022213135
2006-03-28 00:00:00+00,SHORT,1867,0.40998344479081994,0.0,1.0,0.0024020171
2006-03-29 00:00:00+00,SHORT,1444,0.630027948245218,0.0,1.0,-0.0060729315
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.0,1.0,0.0068911784
2006-04-19 00:00:00+00,SHORT,535,1.0,0.0,1.0,0.012277507
2006-04-20 00:00:00+00,SHORT,153,0.8888888888888888,0.0,1.0,-0.0061420463
2006-04-20 00:00:00+00,SHORT,4034,1.0,0.0,1.0,-0.0012812486
2006-04-24 00:00:00+00,SHORT,2055,0.9166666666666666,0.0,1.0,-0.0060461545
2006-04-28 00:00:00+00,SHORT,3861,0.40824390633364444,0.0,1.0,-0.0021977082
2006-05-08 00:00:00+00,SHORT,3359,1.0,0.0,1.0,-7.564401E-5
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,0.0,1.0,-1.8482757E-4
2006-05-08 00:00:00+00,SHORT,1832,0.23400862365275973,0.0,1.0,-0.0057893507
2006-05-08 00:00:00+00,SHORT,1838,0.21510894858654292,0.0,1.0,-0.004933676
2006-05-09 00:00:00+00,SHORT,2971,1.0,0.0,1.0,-0.006267149
2006-05-09 00:00:00+00,SHORT,3067,0.0,0.0,1.0,-0.003532728
2006-05-09 00:00:00+00,SHORT,1869,0.6824394182282987,0.0,1.0,-0.0046902415
2006-06-02 00:00:00+00,SHORT,2396,0.619252604174844,0.0,1.0,-0.006117885
2006-06-02 00:00:00+00,SHORT,2983,1.0,0.0,1.0,2.3434659E-4
2006-06-05 00:00:00+00,SHORT,3684,1.0,0.0,1.0,0.004845161
2006-06-07 00:00:00+00,SHORT,960,0.7997566450138588,0.0,1.0,-0.0041404353
2006-06-16 00:00:00+00,SHORT,3641,0.19713375026842075,0.0,1.0,-0.0065935072
2006-06-30 00:00:00+00,SHORT,4171,0.2969305865885681,0.0,1.0,0.0045225834
2006-06-30 00:00:00+00,SHORT,192,0.7678681855550415,0.0,1.0,-0.0055788746
2006-06-30 00:00:00+00,SHORT,3013,0.5970050532915765,0.0,1.0,-9.194743E-4
2006-06-30 00:00:00+00,SHORT,1144,0.1908408020364446,0.0,1.0,0.0025185295
2006-06-30 00:00:00+00,SHORT,3203,0.0,0.0,1.0,5.569296E-4
2006-07-03 00:00:00+00,SHORT,2365,0.43493709320874746,0.0,1.0,0.004593309
2006-07-03 00:00:00+00,SHORT,3124,0.5115998088570861,0.0,1.0,0.001086507
2006-07-03 00:00:00+00,SHORT,3127,0.437071285203562,0.0,1.0,-0.0015963443
2006-07-03 00:00:00+00,SHORT,3130,1.0,0.0,1.0,0.0034453245
2006-07-03 00:00:00+00,SHORT,3343,1.0,0.0,1.0,-0.0060298503
2006-07-03 00:00:00+00,SHORT,3918,1.0,0.0,1.0,-0.0045182807
2006-07-05 00:00:00+00,SHORT,2397,0.0,0.0,1.0,-0.0058083963
2006-07-05 00:00:00+00,SHORT,1462,0.4311733901129889,0.0,1.0,-0.0040895985
2006-07-31 00:00:00+00,SHORT,3811,0.12634545027558,0.0,1.0,-0.0052711456
2006-08-04 00:00:00+00,SHORT,988,0.0,0.0,1.0,-0.004608488
2006-08-17 00:00:00+00,SHORT,2095,0.0,0.0,1.0,-0.002344758
2006-08-18 00:00:00+00,SHORT,2582,0.5292158891306085,0.0,1.0,-0.0027891907
2006-08-29 00:00:00+00,SHORT,1171,0.498614417049679,0.0,1.0,0.002484705
2006-08-30 00:00:00+00,SHORT,1205,0.2516740393254977,0.0,1.0,-0.0058285412
2006-08-31 00:00:00+00,SHORT,3343,0.0,0.0,1.0,-0.0012664685
2006-09-05 00:00:00+00,SHORT,3352,0.0,0.0,1.0,0.0114045
2006-09-07 00:00:00+00,SHORT,3357,0.0,0.0,1.0,0.0021906209
2006-09-20 00:00:00+00,SHORT,2497,0.8410737388899899,0.0,1.0,-0.0048557105
2006-09-29 00:00:00+00,SHORT,2018,0.3847102894385995,0.0,1.0,-0.0051459786
2006-10-10 00:00:00+00,SHORT,1356,0.5913627776393886,0.0,1.0,5.048082E-4
2006-10-24 00:00:00+00,SHORT,2870,0.5506730581862613,0.0,1.0,-0.0038968562
2006-10-25 00:00:00+00,SHORT,4128,0.9333333333333333,0.0,1.0,-0.0055767847
2006-10-27 00:00:00+00,SHORT,69,0.8888888888888888,0.0,1.0,-0.001997207
2006-10-30 00:00:00+00,SHORT,1072,0.15026784136920962,0.0,1.0,0.014675514
2006-10-31 00:00:00+00,SHORT,1072,0.0,0.0,1.0,-0.0027105708
2006-11-07 00:00:00+00,SHORT,3433,0.34747694093999454,0.0,1.0,-0.0038901041
2006-11-07 00:00:00+00,SHORT,1615,0.1496310534773883,0.0,1.0,-0.0014507173
2006-11-07 00:00:00+00,SHORT,3744,1.0,0.0,1.0,-0.0064106574
2006-11-09 00:00:00+00,SHORT,3573,0.21756647141355082,0.0,1.0,-0.0027009659
2006-11-13 00:00:00+00,SHORT,4107,0.5050640898770627,0.0,1.0,-0.0028851663
2006-11-21 00:00:00+00,SHORT,844,0.6477733586772547,0.0,1.0,-0.0011938162
2006-11-22 00:00:00+00,SHORT,3286,0.0,0.0,1.0,0.019057307
2006-12-07 00:00:00+00,SHORT,610,0.0,0.0,1.0,6.781896E-4
2006-12-15 00:00:00+00,SHORT,1423,0.6735206629442289,0.0,1.0,-0.0039627673
2006-12-28 00:00:00+00,SHORT,4153,1.0,0.0,1.0,-0.0055094063
2006-12-29 00:00:00+00,SHORT,2365,0.0,0.0,1.0,-0.0052922983
2006-12-29 00:00:00+00,SHORT,3309,0.37016804972895745,0.0,1.0,-0.00627904
2007-01-11 00:00:00+00,SHORT,2534,0.4406460050815194,0.0,1.0,1.9101446E-4
2007-01-12 00:00:00+00,SHORT,5,0.5658448104038972,0.0,1.0,-0.0038154568
2007-01-16 00:00:00+00,SHORT,3199,0.9444444444444444,0.0,1.0,-0.0045187054
2007-01-22 00:00:00+00,SHORT,4194,0.0,0.0,1.0,-8.2148926E-4
2007-02-15 00:00:00+00,SHORT,629,0.2909627031298495,0.0,1.0,-0.0042612823
2007-02-21 00:00:00+00,SHORT,4128,0.5518713941888382,0.0,1.0,0.0045145783
2007-02-21 00:00:00+00,SHORT,212,0.2452696744917123,0.0,1.0,-0.0021735234
2007-02-21 00:00:00+00,SHORT,900,0.5251284904995384,0.0,1.0,-0.0043707164
2007-02-21 00:00:00+00,SHORT,4070,0.14965203688921094,0.0,1.0,-0.0010040085
2007-02-22 00:00:00+00,SHORT,4128,0.4555963154663484,0.0,1.0,-0.0047133393
2007-02-22 00:00:00+00,SHORT,394,0.3437072193983553,0.0,1.0,-0.001809247
2007-02-23 00:00:00+00,SHORT,2050,0.60038960810321,0.0,1.0,5.2935345E-4
2007-02-23 00:00:00+00,SHORT,11,0.0,0.0,1.0,-5.183714E-4
2007-02-23 00:00:00+00,SHORT,874,0.0,0.0,1.0,0.008884774
2007-02-23 00:00:00+00,SHORT,1423,0.6623181548035014,0.0,1.0,-0.0012869483
2007-02-26 00:00:00+00,SHORT,2393,0.1976275397958454,0.0,1.0,-0.0057471665
2007-02-26 00:00:00+00,SHORT,960,0.4972345076314099,0.0,1.0,-7.069123E-4
2007-03-07 00:00:00+00,SHORT,1235,0.0,0.0,1.0,-7.6127384E-4
2007-03-21 00:00:00+00,SHORT,2297,0.0,0.0,1.0,-6.7795E-5
