time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,normalized_6m_df004,ma_cloud_diff_8_50_df007
2005-09-14 00:00:00+00,LONG,135,0.9142857142857143,-0.44817418,0.4117647,-0.048652172
2005-09-15 00:00:00+00,LONG,135,0.8857142857142857,-0.10343175,0.44117647,-0.049825665
2005-09-15 00:00:00+00,LONG,3535,0.0,-0.120978124,0.16666667,-0.07855182
2005-09-19 00:00:00+00,LONG,1191,0.0,-0.56090826,0.4385965,-0.041332945
2005-09-20 00:00:00+00,LONG,2064,0.8387096774193549,-0.21120825,0.16129032,-0.037231017
2005-09-20 00:00:00+00,LONG,1410,1.0,-0.5510008,0.2,-0.041359123
2005-09-21 00:00:00+00,LONG,2064,0.8225806451612903,-0.31566662,0.16129032,-0.03651089
2005-09-21 00:00:00+00,LONG,135,0.7714285714285715,-0.26221198,0.3529412,-0.04736115
2005-09-21 00:00:00+00,LONG,3912,0.6579636154456063,-0.33139202,0.39534885,-0.04411744
2005-09-21 00:00:00+00,LONG,3915,0.0,-0.42366713,0.7627119,-0.055018324
2005-09-22 00:00:00+00,LONG,2064,0.8064516129032258,-0.10429587,0.16666667,-0.035675697
2005-09-22 00:00:00+00,LONG,4128,1.0,-0.5930831,0.4375,-0.07176876
2005-09-22 00:00:00+00,LONG,1063,0.23853540870599282,-0.5352417,0.30769232,-0.067749895
2005-09-22 00:00:00+00,LONG,1149,1.0,-0.46556258,0.22033899,-0.07712659
2005-09-22 00:00:00+00,LONG,1191,0.9565217391304348,-0.30140433,0.46551725,-0.060268167
2005-09-22 00:00:00+00,LONG,3915,0.0,-0.30976647,0.7586207,-0.0592164
2005-09-23 00:00:00+00,LONG,4128,0.9795918367346939,-0.599888,0.42424244,-0.073849946
2005-09-23 00:00:00+00,LONG,1063,0.18111527743410596,-0.48736405,0.34615386,-0.07221262
2005-09-23 00:00:00+00,LONG,1149,0.9795918367346939,-0.36383832,0.23333333,-0.07884411
2005-09-23 00:00:00+00,LONG,3915,0.0,-0.17180015,0.76666665,-0.058126267
2005-09-23 00:00:00+00,LONG,2042,0.5437213971424069,-0.6116051,0.44444445,-0.045132726
2005-09-26 00:00:00+00,LONG,4128,0.9591836734693877,-0.6080952,0.45454547,-0.075265974
2005-09-26 00:00:00+00,LONG,1063,0.12815318205486176,-0.45197266,0.34615386,-0.07606627
2005-09-26 00:00:00+00,LONG,1149,0.0,-0.12884034,0.69491524,-0.07469313
2005-09-26 00:00:00+00,LONG,2042,0.962962962962963,-0.63519806,0.42222223,-0.048896957
2005-09-27 00:00:00+00,LONG,4128,0.9387755102040817,-0.52570224,0.45454547,-0.07580099
2005-09-27 00:00:00+00,LONG,1063,0.1323540627447223,-0.42374063,0.34615386,-0.07897273
2005-09-27 00:00:00+00,LONG,1149,0.9387755102040817,-0.06422948,0.7,-0.07185127
2005-09-27 00:00:00+00,LONG,2042,0.41776124792805974,-0.38298365,0.46666667,-0.051423375
2005-09-28 00:00:00+00,LONG,4128,0.9183673469387755,-0.46085978,0.4375,-0.07515686
2005-09-28 00:00:00+00,LONG,1063,0.12437246176754174,-0.44200945,0.34615386,-0.082790546
2005-09-28 00:00:00+00,LONG,1149,0.9183673469387755,-0.07813069,0.68333334,-0.07356874
2005-09-28 00:00:00+00,LONG,2042,0.37714701951951135,-0.28257066,0.44444445,-0.05270789
2005-09-29 00:00:00+00,LONG,4118,1.0,-0.21014094,0.36363637,-0.091440976
2005-09-29 00:00:00+00,LONG,4128,0.8979591836734694,-0.2223229,0.46875,-0.073852494
2005-09-29 00:00:00+00,LONG,516,0.6879909449217477,-0.10263716,0.32142857,-0.035013027
2005-09-29 00:00:00+00,LONG,1063,0.14530966134327264,-0.42227978,0.30769232,-0.08558947
2005-09-29 00:00:00+00,LONG,1149,0.8979591836734694,-0.10664828,0.68333334,-0.07400174
2005-09-29 00:00:00+00,LONG,3275,1.0,-0.3710339,0.6166667,-0.078385875
2005-09-29 00:00:00+00,LONG,1761,0.2368861250870261,-0.6432635,0.26666668,-0.060264282
2005-09-29 00:00:00+00,LONG,2042,0.4214888572583089,-0.07748649,0.4888889,-0.050856497
2005-09-30 00:00:00+00,LONG,4118,0.8987712703698754,-0.10023142,0.36363637,-0.08713014
2005-09-30 00:00:00+00,LONG,516,0.6450519247129277,-0.27410755,0.3253012,-0.03579242
2005-09-30 00:00:00+00,LONG,1063,0.14472233122666736,-0.3234201,0.3846154,-0.08449164
2005-09-30 00:00:00+00,LONG,3275,0.9642857142857143,-0.11581792,0.6166667,-0.07358177
2005-09-30 00:00:00+00,LONG,1761,0.3663066002022156,-0.5523321,0.28333333,-0.059609607
2005-10-03 00:00:00+00,LONG,4118,0.8197325139412713,-0.11510224,0.4117647,-0.08124187
2005-10-03 00:00:00+00,LONG,4128,0.8571428571428572,-0.07212787,0.53125,-0.06424207
2005-10-03 00:00:00+00,LONG,516,0.712999549719481,-0.21433431,0.34146342,-0.034242656
2005-10-03 00:00:00+00,LONG,1063,0.1484664520719779,-0.14458895,0.33333334,-0.077618435
2005-10-03 00:00:00+00,LONG,1761,0.3695346608907869,-0.497956,0.26415095,-0.057840735
2005-10-04 00:00:00+00,LONG,516,0.7829749713593191,-0.22853372,0.34146342,-0.034515694
2005-10-04 00:00:00+00,LONG,3310,0.632372467310068,-0.37469396,0.28125,-0.03248071
2005-10-04 00:00:00+00,LONG,1761,0.230759413577367,-0.2199958,0.26415095,-0.057172813
2005-10-05 00:00:00+00,LONG,386,0.9247381023165638,-0.63907534,0.5,-0.04288436
2005-10-05 00:00:00+00,LONG,1761,0.5150054343094421,-0.2897343,0.28846154,-0.056997683
2005-10-06 00:00:00+00,LONG,386,0.8130368869600019,-0.43862352,0.5,-0.043540932
