time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,skew_weighted_10_df037,ma_cloud_diff_8_50_df007,volume_spike_10_df057,ev_ebitda_sector_relative_df085
2006-09-27 00:00:00+00,LONG,3433,0.48758434608221773,1.0,-0.07695976,-0.08511595,0.6312855,0.8256
2006-09-28 00:00:00+00,LONG,498,0.0,1.0,0.06932757,-0.08735034,-0.074070126,0.2502
2006-09-28 00:00:00+00,LONG,3433,0.472803652627161,1.0,0.004532936,-0.08709905,-0.059523743,0.8273
2006-09-29 00:00:00+00,LONG,3433,0.4531219679273825,1.0,-0.022620106,-0.08531342,0.37614283,0.8307
2006-10-03 00:00:00+00,LONG,838,0.9032258064516129,1.0,-0.15839033,-0.08356742,0.27745155,0.3985
2006-10-04 00:00:00+00,LONG,88,1.0,1.0,-0.053348444,-0.109266415,0.36281517,0.6857
2006-10-04 00:00:00+00,LONG,3116,0.23762443136055914,1.0,0.019718098,-0.10551468,0.07666179,0.3091
2006-10-04 00:00:00+00,LONG,1826,1.0,1.0,-0.022125632,-0.084891446,0.030061593,0.4047
2006-10-05 00:00:00+00,LONG,88,0.6307528080600319,1.0,0.04381622,-0.107485786,-0.07462935,0.7044
2006-10-05 00:00:00+00,LONG,1740,0.36322260241650695,1.0,-0.07891566,-0.111927524,0.05963957,0.7331
2006-10-12 00:00:00+00,LONG,1298,0.2974701307476034,1.0,-0.29239202,-0.11656464,0.41009393,0.2848
2006-10-13 00:00:00+00,LONG,3116,0.19243964587481416,1.0,-0.13611715,-0.1120298,0.2513607,0.3064
2006-11-17 00:00:00+00,LONG,450,0.8846153846153846,1.0,-0.42563558,-0.09973503,0.07017544,0.4584
2006-11-21 00:00:00+00,LONG,450,0.8571428571428572,1.0,-0.58240193,-0.10283151,0.1321408,0.4571
2006-12-29 00:00:00+00,LONG,2801,1.0,1.0,-0.58401936,-0.094211146,-9.0936647E-4,-0.0279
2007-01-10 00:00:00+00,LONG,1404,0.6086612087319042,1.0,-0.030486345,-0.0965104,0.27132306,0.2943
2007-01-12 00:00:00+00,LONG,1404,0.5204256048700721,1.0,-0.07246061,-0.09978399,0.29446757,0.2955
2007-01-17 00:00:00+00,LONG,2066,0.0,1.0,0.11651822,-0.09311342,0.031838045,0.598
2007-01-22 00:00:00+00,LONG,2261,0.47636867195103466,1.0,-0.28161934,-0.102106504,0.12500705,0.9738
2007-01-23 00:00:00+00,LONG,2066,0.0,1.0,-0.34089413,-0.091361515,0.07668157,0.6041
2007-01-23 00:00:00+00,LONG,2261,0.7878787878787878,1.0,0.019830754,-0.097391576,0.52626616,0.9923
2007-01-24 00:00:00+00,LONG,2066,0.0,1.0,-0.15171447,-0.08863664,0.15111871,0.5866
2007-01-31 00:00:00+00,LONG,2066,0.0,1.0,-0.33171222,-0.08189137,0.07221262,0.594
2007-02-02 00:00:00+00,LONG,1790,0.17628045260865413,1.0,0.13772441,-0.10613967,0.32759002,0.8206
2007-03-12 00:00:00+00,LONG,505,0.9767441860465116,1.0,-0.4533752,-0.09136396,-0.050833996,0.9855
2007-03-14 00:00:00+00,LONG,505,0.9302325581395349,1.0,-0.15615185,-0.089610144,0.039184123,0.9457
2007-03-14 00:00:00+00,LONG,3862,0.0,1.0,-0.28966498,-0.12320174,0.47196028,0.0611
2007-03-16 00:00:00+00,LONG,505,0.8837209302325582,1.0,-0.011831565,-0.0853058,0.08102314,0.9363
2007-03-19 00:00:00+00,LONG,1838,0.21596498365841169,1.0,0.09286731,-0.10191233,0.013088426,0.2395
2007-03-21 00:00:00+00,LONG,1838,0.09291498407981723,1.0,-0.003613946,-0.100102566,0.47819173,0.239
2007-03-23 00:00:00+00,LONG,3862,0.0,1.0,0.11022532,-0.08611549,0.5625926,0.026
2007-03-26 00:00:00+00,LONG,1904,1.0,1.0,-0.5086584,-0.087840416,0.036084957,0.0
2007-03-27 00:00:00+00,LONG,1904,0.96,1.0,-0.2550177,-0.09094023,0.04322778,0.0
2007-03-29 00:00:00+00,LONG,1816,0.10465151646714327,1.0,-0.59005964,-0.09006493,0.26231927,0.9216
2007-04-02 00:00:00+00,LONG,1904,0.0,1.0,0.007590999,-0.10503183,0.080585055,0.0
2007-04-10 00:00:00+00,LONG,975,0.9142857142857143,1.0,0.09205107,-0.08703945,0.12414516,0.0077
2007-04-11 00:00:00+00,LONG,975,0.8857142857142857,1.0,0.1152316,-0.08200989,-0.07372349,0.0077
2007-05-22 00:00:00+00,LONG,3862,0.22268019214611515,1.0,0.16233726,-0.082507834,0.12158138,0.0165
2007-06-28 00:00:00+00,LONG,4136,0.0,1.0,0.11590303,-0.080171235,0.071428575,0.0628
2007-08-07 00:00:00+00,LONG,131,0.0,1.0,-0.10456687,-0.11083233,0.5621097,0.0
2007-08-07 00:00:00+00,LONG,836,0.0,1.0,0.005978053,-0.10621952,0.19397864,0.0
2007-08-07 00:00:00+00,LONG,1371,0.0,1.0,-0.010976946,-0.11815563,0.24725161,0.1989
2007-08-08 00:00:00+00,LONG,270,0.0,1.0,0.11686737,-0.0926553,0.21940929,0.2831
2007-08-08 00:00:00+00,LONG,836,0.0,1.0,0.086064704,-0.09778231,0.6184998,0.0
2007-08-08 00:00:00+00,LONG,1371,0.0,1.0,0.15515254,-0.10471204,0.34423128,0.1962
2007-08-09 00:00:00+00,LONG,131,0.0,1.0,-0.32346234,-0.11379155,0.51601106,0.0
2007-08-09 00:00:00+00,LONG,3872,0.0,1.0,-0.009577418,-0.12593009,0.38286316,0.2829
2007-08-10 00:00:00+00,LONG,836,0.0,1.0,0.067624524,-0.09090909,-0.03157068,0.0
2007-08-10 00:00:00+00,LONG,3519,0.0,1.0,-0.15914674,-0.09259145,0.19257937,0.0
