time,side,ticker_id,mv_dn_composite_labels,accel_eps_qoq_df017,dist_upper_bb_20_2.0_df055,joint_fall_flag_1_20_df042
2006-07-03 00:00:00+00,SHORT,3918,1.0,-0.52,-0.0045182807,1.0
2006-07-05 00:00:00+00,SHORT,1462,0.4311733901129889,-0.26,-0.0040895985,1.0
2006-08-04 00:00:00+00,SHORT,988,0.0,0.0,-0.004608488,1.0
2006-08-17 00:00:00+00,SHORT,2095,0.0,0.09,-0.002344758,1.0
2006-08-18 00:00:00+00,SHORT,2582,0.5292158891306085,0.03,-0.0027891907,1.0
2006-08-29 00:00:00+00,SHORT,1171,0.498614417049679,0.04,0.002484705,1.0
2006-08-31 00:00:00+00,SHORT,3343,0.0,-0.2,-0.0012664685,1.0
2006-09-05 00:00:00+00,SHORT,3352,0.0,0.0,0.0114045,1.0
2006-09-07 00:00:00+00,SHORT,3357,0.0,-0.04,0.0021906209,1.0
2006-09-20 00:00:00+00,SHORT,2497,0.8410737388899899,0.02,-0.0048557105,1.0
2006-10-10 00:00:00+00,SHORT,1356,0.5913627776393886,0.01,5.048082E-4,1.0
2006-10-24 00:00:00+00,SHORT,2870,0.5506730581862613,0.1,-0.0038968562,1.0
2006-10-27 00:00:00+00,SHORT,69,0.8888888888888888,0.08,-0.001997207,1.0
2006-10-30 00:00:00+00,SHORT,1072,0.15026784136920962,0.29,0.014675514,1.0
2006-10-31 00:00:00+00,SHORT,1072,0.0,0.29,-0.0027105708,1.0
2006-11-07 00:00:00+00,SHORT,3433,0.34747694093999454,-0.01,-0.0038901041,1.0
2006-11-07 00:00:00+00,SHORT,1615,0.1496310534773883,0.31,-0.0014507173,1.0
2006-11-13 00:00:00+00,SHORT,4107,0.5050640898770627,0.11,-0.0028851663,1.0
2006-11-21 00:00:00+00,SHORT,844,0.6477733586772547,0.0,-0.0011938162,1.0
2006-11-22 00:00:00+00,SHORT,3286,0.0,0.18,0.019057307,1.0
2006-12-07 00:00:00+00,SHORT,610,0.0,-0.35,6.781896E-4,1.0
2006-12-15 00:00:00+00,SHORT,1423,0.6735206629442289,0.1328,-0.0039627673,1.0
2007-01-11 00:00:00+00,SHORT,2534,0.4406460050815194,-0.2004,1.9101446E-4,1.0
2007-01-16 00:00:00+00,SHORT,3199,0.9444444444444444,-0.02,-0.0045187054,1.0
2007-01-22 00:00:00+00,SHORT,4194,0.0,0.0463,-8.2148926E-4,1.0
2007-02-15 00:00:00+00,SHORT,629,0.2909627031298495,-0.28,-0.0042612823,1.0
2007-02-21 00:00:00+00,SHORT,4128,0.5518713941888382,0.4,0.0045145783,1.0
2007-02-21 00:00:00+00,SHORT,212,0.2452696744917123,0.0224,-0.0021735234,1.0
2007-02-21 00:00:00+00,SHORT,900,0.5251284904995384,0.02,-0.0043707164,1.0
2007-02-21 00:00:00+00,SHORT,4070,0.14965203688921094,0.32,-0.0010040085,1.0
2007-02-22 00:00:00+00,SHORT,4128,0.4555963154663484,0.4,-0.0047133393,1.0
2007-02-22 00:00:00+00,SHORT,394,0.3437072193983553,-0.02,-0.001809247,1.0
2007-02-23 00:00:00+00,SHORT,2050,0.60038960810321,0.2763,5.2935345E-4,1.0
2007-02-23 00:00:00+00,SHORT,11,0.0,0.02,-5.183714E-4,1.0
2007-02-23 00:00:00+00,SHORT,874,0.0,0.22,0.008884774,1.0
2007-02-23 00:00:00+00,SHORT,1423,0.6623181548035014,0.1464,-0.0012869483,1.0
2007-02-26 00:00:00+00,SHORT,960,0.4972345076314099,-0.03,-7.069123E-4,1.0
2007-03-21 00:00:00+00,SHORT,2297,0.0,0.1,-6.7795E-5,1.0
2007-03-22 00:00:00+00,SHORT,2936,0.0,-0.11,-0.0036767896,1.0
2007-04-18 00:00:00+00,SHORT,4194,0.34149643858615447,0.089,-0.0010967831,1.0
2007-04-26 00:00:00+00,SHORT,3137,0.7838517217848191,0.06,0.0057249907,1.0
2007-04-26 00:00:00+00,SHORT,3192,1.0,-0.0549,-0.00458478,1.0
2007-04-26 00:00:00+00,SHORT,1650,0.0,-0.06,0.005171703,1.0
2007-04-27 00:00:00+00,SHORT,3645,0.2904444232503448,-0.14,-0.0037976226,1.0
2007-05-03 00:00:00+00,SHORT,1817,0.5080182320072609,0.03,0.004267931,1.0
2007-05-07 00:00:00+00,SHORT,2050,0.33451968820704786,0.2524,0.007492947,1.0
2007-06-01 00:00:00+00,SHORT,3782,0.48314062547839315,-0.52,-0.0018942107,1.0
2007-06-04 00:00:00+00,SHORT,3907,0.15484235916576314,-0.07,-0.0013390818,1.0
2007-06-05 00:00:00+00,SHORT,4122,0.5542907387892185,-0.12,-0.0023857055,1.0
2007-06-05 00:00:00+00,SHORT,2365,0.45390053921428675,0.06,-0.0017559417,1.0
2007-06-05 00:00:00+00,SHORT,712,0.7685443222517595,0.13,0.0013642476,1.0
2007-06-05 00:00:00+00,SHORT,2028,0.14684040318519054,0.02,-0.0035491986,1.0
2007-06-15 00:00:00+00,SHORT,4074,0.0,0.33,-0.0046849125,1.0
2007-06-18 00:00:00+00,SHORT,694,0.491686495858086,-0.13,0.0071659205,1.0
2007-06-18 00:00:00+00,SHORT,1423,0.0,-0.2564,-0.0015487964,1.0
2007-07-13 00:00:00+00,SHORT,2686,0.14399683567087046,0.05,-0.0011175135,1.0
2007-07-17 00:00:00+00,SHORT,1715,0.9090909090909091,0.096,-0.0029792562,1.0
2007-07-18 00:00:00+00,SHORT,1767,0.0,0.02,-0.0046356316,1.0
2007-07-19 00:00:00+00,SHORT,1173,0.5195741498464739,-0.39,0.0017260063,1.0
2007-07-20 00:00:00+00,SHORT,2276,1.0,-0.1,-0.003570509,1.0
2007-07-20 00:00:00+00,SHORT,4088,1.0,0.13,-0.002009331,1.0
2007-07-23 00:00:00+00,SHORT,2272,0.9285714285714286,-0.02,-0.0035597533,1.0
2007-07-24 00:00:00+00,SHORT,2527,0.5473020826836799,-0.35,-0.0036316537,1.0
2007-07-24 00:00:00+00,SHORT,3882,1.0,-0.03,0.0031493264,1.0
2007-07-25 00:00:00+00,SHORT,4164,1.0,0.04,0.00462014,1.0
2007-08-03 00:00:00+00,SHORT,1108,1.0,-0.01,0.004236673,1.0
2007-08-09 00:00:00+00,SHORT,959,1.0,0.03,0.0069391057,1.0
2007-08-10 00:00:00+00,SHORT,959,0.17904777711629052,0.03,-0.0011389494,1.0
