time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,dist_lower_bb_50_2.0_df055
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,19.0,0.022225356
2006-09-26 00:00:00+00,LONG,2661,0.0,11.0,0.028637033
2006-10-04 00:00:00+00,LONG,2690,0.8914659069735822,16.0,0.02595372
2006-10-13 00:00:00+00,LONG,1087,0.48313044769145147,10.0,0.021169947
2006-11-03 00:00:00+00,LONG,2004,0.31889557230563065,10.0,0.029535726
2006-11-09 00:00:00+00,LONG,3903,1.0,19.0,0.031462494
2006-12-26 00:00:00+00,LONG,2066,0.0,20.0,0.05717906
2006-12-27 00:00:00+00,LONG,2066,0.0,21.0,0.043622516
2006-12-28 00:00:00+00,LONG,2066,0.0,22.0,0.032636717
2007-01-08 00:00:00+00,LONG,874,0.9714285714285714,10.0,0.019515803
2007-01-10 00:00:00+00,LONG,4137,0.5811566555403496,13.0,0.022696333
2007-03-01 00:00:00+00,LONG,3515,0.397737054903723,12.0,0.027922593
2007-03-02 00:00:00+00,LONG,3515,0.4545668765977397,13.0,0.031804744
2007-03-02 00:00:00+00,LONG,1922,0.7898914264472432,15.0,0.021759935
2007-03-05 00:00:00+00,LONG,2116,0.8069144567836084,11.0,0.028964918
2007-03-05 00:00:00+00,LONG,2932,0.9368385782270046,12.0,0.042165805
2007-03-05 00:00:00+00,LONG,3192,0.7879245332169827,22.0,0.039240893
2007-03-05 00:00:00+00,LONG,3255,0.0,12.0,0.024087153
2007-03-05 00:00:00+00,LONG,3515,0.582567639895145,14.0,0.034927256
2007-03-05 00:00:00+00,LONG,3748,0.9008257648256276,31.0,0.021830225
2007-03-05 00:00:00+00,LONG,3861,0.5050909046594043,19.0,0.022271495
2007-03-07 00:00:00+00,LONG,2116,0.9333333333333333,13.0,0.025625022
2007-03-14 00:00:00+00,LONG,3815,0.45477327095100883,31.0,0.020234004
2007-03-28 00:00:00+00,LONG,2226,0.0,16.0,0.022752108
2007-04-09 00:00:00+00,LONG,2142,0.010098372268940066,27.0,0.04751258
2007-04-13 00:00:00+00,LONG,248,0.0,27.0,0.030094061
2007-06-07 00:00:00+00,LONG,516,0.0,10.0,0.025150845
2007-06-12 00:00:00+00,LONG,1807,0.0,14.0,0.044384025
2007-06-13 00:00:00+00,LONG,1807,0.0,15.0,0.019119957
2007-06-18 00:00:00+00,LONG,796,0.0,27.0,0.01990939
2007-06-19 00:00:00+00,LONG,142,0.0,25.0,0.038512386
2007-06-20 00:00:00+00,LONG,142,0.0,26.0,0.034088023
2007-08-01 00:00:00+00,LONG,121,0.0,23.0,0.021146337
2007-08-02 00:00:00+00,LONG,121,0.0,24.0,0.02513779
2007-08-03 00:00:00+00,LONG,4097,0.0,29.0,0.026270133
2007-08-03 00:00:00+00,LONG,121,0.0,25.0,0.047255177
2007-08-08 00:00:00+00,LONG,3885,0.4042320875548007,18.0,0.023175908
2007-08-09 00:00:00+00,LONG,3905,0.21537974421121384,31.0,0.025723398
2007-08-10 00:00:00+00,LONG,194,0.0,12.0,0.03537882
2007-08-13 00:00:00+00,LONG,194,0.0,13.0,0.026345842
2007-08-14 00:00:00+00,LONG,194,0.0,14.0,0.04591091
2007-08-14 00:00:00+00,LONG,555,0.1714893080358053,10.0,0.046374947
2007-08-15 00:00:00+00,LONG,194,0.0,15.0,0.04317773
2007-08-15 00:00:00+00,LONG,304,0.875,10.0,0.02231673
2007-08-15 00:00:00+00,LONG,555,0.22862709495248767,11.0,0.043973166
2007-08-16 00:00:00+00,LONG,4169,0.6315081206261992,14.0,0.024149131
2007-08-16 00:00:00+00,LONG,4172,1.0,18.0,0.038341366
2007-08-16 00:00:00+00,LONG,2176,1.0,11.0,0.020197175
2007-08-16 00:00:00+00,LONG,191,0.0,11.0,0.03734235
2007-08-16 00:00:00+00,LONG,194,0.9230769230769231,16.0,0.027343223
2007-08-16 00:00:00+00,LONG,243,1.0,11.0,0.020031806
2007-08-16 00:00:00+00,LONG,405,0.11531192227869337,11.0,0.03360074
2007-08-16 00:00:00+00,LONG,517,0.0,27.0,0.04770881
2007-08-16 00:00:00+00,LONG,2567,0.0,12.0,0.03587396
2007-08-16 00:00:00+00,LONG,643,0.0,15.0,0.034769464
2007-08-16 00:00:00+00,LONG,2720,1.0,16.0,0.054037254
2007-08-16 00:00:00+00,LONG,739,1.0,13.0,0.025587682
2007-08-16 00:00:00+00,LONG,817,1.0,13.0,0.025366697
2007-08-16 00:00:00+00,LONG,2877,0.0,17.0,0.047746178
2007-08-16 00:00:00+00,LONG,838,1.0,14.0,0.054895706
2007-08-16 00:00:00+00,LONG,2986,1.0,10.0,0.021737954
2007-08-16 00:00:00+00,LONG,1043,1.0,11.0,0.03459515
2007-08-16 00:00:00+00,LONG,1063,0.18986883443045796,13.0,0.030265292
2007-08-16 00:00:00+00,LONG,3124,1.0,16.0,0.04854127
2007-08-16 00:00:00+00,LONG,3130,1.0,13.0,0.025820721
2007-08-16 00:00:00+00,LONG,3137,0.573731592578791,15.0,0.029037261
2007-08-16 00:00:00+00,LONG,3203,0.773625109176122,15.0,0.027320918
2007-08-16 00:00:00+00,LONG,1184,0.478929831649701,12.0,0.020380015
2007-08-16 00:00:00+00,LONG,1306,0.39150285531669465,17.0,0.024114521
2007-08-16 00:00:00+00,LONG,1453,0.0,16.0,0.039903395
2007-08-16 00:00:00+00,LONG,3513,1.0,13.0,0.041532535
2007-08-16 00:00:00+00,LONG,1474,0.0,22.0,0.031106863
2007-08-16 00:00:00+00,LONG,3556,1.0,18.0,0.037713002
2007-08-16 00:00:00+00,LONG,3815,0.20579282930030404,12.0,0.053471815
2007-08-16 00:00:00+00,LONG,3824,0.3982109358976512,14.0,0.024624614
2007-08-16 00:00:00+00,LONG,3837,1.0,13.0,0.046230055
2007-08-16 00:00:00+00,LONG,3838,1.0,15.0,0.027721634
2007-08-16 00:00:00+00,LONG,3841,0.34593708413738283,16.0,0.019587282
2007-08-16 00:00:00+00,LONG,1817,1.0,15.0,0.031854328
2007-08-16 00:00:00+00,LONG,1826,1.0,14.0,0.026741046
2007-08-16 00:00:00+00,LONG,3897,1.0,14.0,0.027989844
2007-08-16 00:00:00+00,LONG,1897,1.0,13.0,0.05034194
2007-08-16 00:00:00+00,LONG,1967,0.0,14.0,0.02566867
2007-08-16 00:00:00+00,LONG,2004,0.140278197786581,12.0,0.019777328
2007-08-17 00:00:00+00,LONG,1,0.0,13.0,0.02992894
2007-08-17 00:00:00+00,LONG,335,0.0,14.0,0.019554438
2007-08-17 00:00:00+00,LONG,3837,0.9830508474576272,14.0,0.060624674
2007-08-17 00:00:00+00,LONG,1803,0.35303760616087887,10.0,0.031044733
2007-08-20 00:00:00+00,LONG,1,0.41281753941121546,14.0,0.02752609
2007-08-20 00:00:00+00,LONG,1803,0.27827135324172414,11.0,0.02629837
2007-08-21 00:00:00+00,LONG,1306,0.38589798054583335,20.0,0.035860833
2007-08-21 00:00:00+00,LONG,1966,0.0,14.0,0.039048336
2007-08-30 00:00:00+00,LONG,3607,1.0,12.0,0.024033451
2007-11-12 00:00:00+00,LONG,2213,0.19302053323627208,19.0,0.057333253
2007-11-12 00:00:00+00,LONG,2482,0.0,13.0,0.021880869
2007-11-12 00:00:00+00,LONG,3841,0.0,12.0,0.032222662
2007-11-13 00:00:00+00,LONG,2211,0.0,14.0,0.026800986
2007-11-13 00:00:00+00,LONG,2213,0.0,20.0,0.025846504
2007-11-13 00:00:00+00,LONG,1790,0.7997376675834,10.0,0.041019596
2007-11-14 00:00:00+00,LONG,2211,0.0,15.0,0.020096632
2007-11-14 00:00:00+00,LONG,2213,0.1300357347741183,21.0,0.027441036
2007-11-15 00:00:00+00,LONG,2070,0.0,18.0,0.028415276
2007-11-20 00:00:00+00,LONG,517,0.0,18.0,0.030178254
2007-11-21 00:00:00+00,LONG,2085,0.0,16.0,0.028022802
2007-11-21 00:00:00+00,LONG,2105,0.0,21.0,0.061254073
2007-11-21 00:00:00+00,LONG,4050,1.0,22.0,0.026363155
2007-11-26 00:00:00+00,LONG,2085,0.9310344827586207,18.0,0.019483829
2007-11-26 00:00:00+00,LONG,3241,0.9310344827586207,10.0,0.030383786
2007-11-27 00:00:00+00,LONG,3686,0.0,10.0,0.031779326
2007-12-03 00:00:00+00,LONG,3436,0.0,14.0,0.05674409
2007-12-04 00:00:00+00,LONG,870,0.0,10.0,0.02310735
2007-12-04 00:00:00+00,LONG,3436,0.0,15.0,0.038397
2007-12-05 00:00:00+00,LONG,3436,0.0,16.0,0.03653825
2008-01-09 00:00:00+00,LONG,3773,1.0,14.0,0.035587642
2008-01-11 00:00:00+00,LONG,3773,0.9444444444444444,16.0,0.024192337
2008-01-14 00:00:00+00,LONG,2870,0.0,18.0,0.060085703
2008-01-15 00:00:00+00,LONG,2870,0.0,19.0,0.046013847
2008-01-16 00:00:00+00,LONG,2870,0.0,20.0,0.030652449
2008-01-17 00:00:00+00,LONG,2870,0.8571428571428572,21.0,0.043219652
2008-01-17 00:00:00+00,LONG,3631,1.0,19.0,0.030473184
2008-01-18 00:00:00+00,LONG,588,0.0,21.0,0.019443158
2008-01-18 00:00:00+00,LONG,2870,0.8285714285714285,22.0,0.02301611
2008-01-22 00:00:00+00,LONG,4136,1.0,20.0,0.053599987
2008-01-22 00:00:00+00,LONG,2686,0.0,22.0,0.04387283
2008-01-22 00:00:00+00,LONG,1139,0.0,12.0,0.024139449
2008-01-22 00:00:00+00,LONG,3501,1.0,27.0,0.03392032
2008-01-22 00:00:00+00,LONG,1585,1.0,17.0,0.04319668
2008-01-22 00:00:00+00,LONG,3754,0.0,22.0,0.024112491
2008-01-22 00:00:00+00,LONG,3760,0.7141428206780499,11.0,0.057951
2008-01-23 00:00:00+00,LONG,93,0.0,12.0,0.052812826
2008-01-23 00:00:00+00,LONG,2248,1.0,11.0,0.053615708
2008-01-23 00:00:00+00,LONG,838,0.9655172413793104,24.0,0.051839486
2008-01-23 00:00:00+00,LONG,3236,0.975609756097561,11.0,0.027114559
2008-01-23 00:00:00+00,LONG,3343,1.0,25.0,0.038533665
2008-01-23 00:00:00+00,LONG,1454,0.0,14.0,0.043134414
2008-01-23 00:00:00+00,LONG,1471,1.0,10.0,0.029879376
2008-01-23 00:00:00+00,LONG,1585,0.9642857142857143,18.0,0.031960454
2008-01-23 00:00:00+00,LONG,3760,0.6588689988718728,12.0,0.051258147
2008-01-23 00:00:00+00,LONG,3905,0.6211050071659114,22.0,0.03556122
2008-01-23 00:00:00+00,LONG,3947,1.0,24.0,0.0623093
2008-01-24 00:00:00+00,LONG,93,0.0,13.0,0.039158527
2008-01-24 00:00:00+00,LONG,576,0.0,23.0,0.021215105
2008-01-24 00:00:00+00,LONG,3330,0.0,12.0,0.027814098
2008-01-24 00:00:00+00,LONG,3760,0.7612928506813715,13.0,0.04605359
2008-01-24 00:00:00+00,LONG,3855,0.49258127824257003,11.0,0.059337325
2008-01-25 00:00:00+00,LONG,93,0.0,14.0,0.02477233
2008-01-25 00:00:00+00,LONG,2979,0.26983481497208656,10.0,0.026885796
2008-01-25 00:00:00+00,LONG,3330,0.0,13.0,0.03260786
2008-01-25 00:00:00+00,LONG,1916,0.0,23.0,0.034266688
2008-01-28 00:00:00+00,LONG,2979,0.2785221749306268,11.0,0.020109775
2008-01-28 00:00:00+00,LONG,1916,0.0,24.0,0.02017499
2008-01-29 00:00:00+00,LONG,2979,0.20157377134155385,12.0,0.021599106
2008-01-31 00:00:00+00,LONG,3466,1.0,10.0,0.019301835
2008-02-05 00:00:00+00,LONG,3330,0.6785714285714286,20.0,0.021344662
2008-02-07 00:00:00+00,LONG,1462,1.0,16.0,0.029440148
2008-02-07 00:00:00+00,LONG,1532,1.0,12.0,0.019017946
2008-03-07 00:00:00+00,LONG,4050,1.0,18.0,0.0414464
2008-03-10 00:00:00+00,LONG,4050,0.9772727272727273,19.0,0.045582354
2008-03-11 00:00:00+00,LONG,1960,0.0,10.0,0.035994958
2008-03-20 00:00:00+00,LONG,1288,1.0,18.0,0.028145425
2008-03-26 00:00:00+00,LONG,2961,1.0,17.0,0.053513546
2008-03-27 00:00:00+00,LONG,2961,0.9655172413793104,18.0,0.035373494
2008-03-28 00:00:00+00,LONG,2961,0.9310344827586207,19.0,0.028721254
2008-04-15 00:00:00+00,LONG,4237,1.0,14.0,0.021559797
2008-04-23 00:00:00+00,LONG,2681,0.0,27.0,0.030344162
2008-04-25 00:00:00+00,LONG,3355,0.0,10.0,0.041145172
2008-04-28 00:00:00+00,LONG,3355,0.0,11.0,0.042647008
2008-06-09 00:00:00+00,LONG,85,0.0,10.0,0.028024584
2008-07-01 00:00:00+00,LONG,663,0.0,23.0,0.048862413
2008-07-02 00:00:00+00,LONG,663,0.0,24.0,0.054604206
2008-07-02 00:00:00+00,LONG,1299,0.98,15.0,0.028794914
2008-07-03 00:00:00+00,LONG,2345,0.0,15.0,0.036421455
2008-07-03 00:00:00+00,LONG,663,0.0,25.0,0.0426209
2008-07-03 00:00:00+00,LONG,4073,1.0,12.0,0.038553085
2008-07-07 00:00:00+00,LONG,663,0.0,26.0,0.02213733
2008-07-07 00:00:00+00,LONG,1437,1.0,19.0,0.051357854
2008-07-07 00:00:00+00,LONG,4073,0.9772727272727273,13.0,0.02302628
2008-07-09 00:00:00+00,LONG,1437,0.935483870967742,21.0,0.018433966
2008-07-11 00:00:00+00,LONG,2554,0.0,21.0,0.029799031
2008-07-11 00:00:00+00,LONG,3127,1.0,14.0,0.04137895
2008-07-11 00:00:00+00,LONG,3287,0.9787234042553191,13.0,0.018559134
2008-07-14 00:00:00+00,LONG,535,0.9818181818181818,23.0,0.055242907
2008-07-14 00:00:00+00,LONG,3127,0.9655172413793104,15.0,0.025984032
2008-07-14 00:00:00+00,LONG,3782,0.0,19.0,0.020784853
2008-07-15 00:00:00+00,LONG,2050,0.0,14.0,0.061086453
2008-07-15 00:00:00+00,LONG,4112,0.0,14.0,0.04278914
2008-07-15 00:00:00+00,LONG,2270,1.0,23.0,0.033878926
2008-07-15 00:00:00+00,LONG,475,1.0,11.0,0.04680345
2008-07-15 00:00:00+00,LONG,502,0.0,23.0,0.037734766
2008-07-15 00:00:00+00,LONG,535,0.9636363636363636,24.0,0.02221799
2008-07-15 00:00:00+00,LONG,759,1.0,26.0,0.020579115
2008-07-15 00:00:00+00,LONG,1144,1.0,23.0,0.021608315
2008-07-15 00:00:00+00,LONG,3241,1.0,12.0,0.050935652
2008-07-15 00:00:00+00,LONG,1236,1.0,12.0,0.037437655
2008-07-15 00:00:00+00,LONG,3309,1.0,20.0,0.051403012
2008-07-15 00:00:00+00,LONG,3355,1.0,11.0,0.039106216
2008-07-15 00:00:00+00,LONG,3716,1.0,22.0,0.02296648
2008-07-15 00:00:00+00,LONG,2006,1.0,17.0,0.044987876
2008-07-15 00:00:00+00,LONG,2018,1.0,10.0,0.02455759
2008-07-16 00:00:00+00,LONG,687,1.0,18.0,0.060459875
2008-07-17 00:00:00+00,LONG,2898,0.0,18.0,0.024422586
2008-07-24 00:00:00+00,LONG,2896,0.0,21.0,0.024312038
2008-07-25 00:00:00+00,LONG,1690,0.0,11.0,0.02508258
2008-07-28 00:00:00+00,LONG,11,0.0,24.0,0.03101152
2008-07-31 00:00:00+00,LONG,730,0.0,28.0,0.041864734
2008-08-01 00:00:00+00,LONG,730,0.0,29.0,0.05106766
2008-08-04 00:00:00+00,LONG,730,0.0,30.0,0.022266472
2008-08-04 00:00:00+00,LONG,1803,0.0,15.0,0.030239724
2008-10-10 00:00:00+00,LONG,2067,1.0,11.0,0.04668588
2008-10-10 00:00:00+00,LONG,1631,1.0,30.0,0.04582477
2008-10-13 00:00:00+00,LONG,1308,0.0,20.0,0.037172068
2008-10-14 00:00:00+00,LONG,2365,0.0,15.0,0.052960828
2008-10-14 00:00:00+00,LONG,1308,0.0,21.0,0.042089622
2008-10-14 00:00:00+00,LONG,4088,0.0,21.0,0.03526051
2008-10-15 00:00:00+00,LONG,2391,0.9,10.0,0.05630252
2008-10-15 00:00:00+00,LONG,397,0.0,10.0,0.038345654
2008-10-15 00:00:00+00,LONG,405,0.0,25.0,0.045051027
2008-10-15 00:00:00+00,LONG,2482,0.0,25.0,0.055540416
2008-10-15 00:00:00+00,LONG,2665,0.0,11.0,0.019353267
2008-10-15 00:00:00+00,LONG,2979,0.0,12.0,0.050430182
2008-10-16 00:00:00+00,LONG,73,0.35452897508170833,17.0,0.052735433
2008-10-16 00:00:00+00,LONG,2365,0.0,17.0,0.032058172
2008-10-16 00:00:00+00,LONG,397,0.8260869565217391,11.0,0.01872588
2008-10-16 00:00:00+00,LONG,1012,0.260700610804265,10.0,0.04598658
