time,side,ticker_id,mv_up_composite_labels,weighted_pos_sum_60_df035,dist_lower_bb_50_2.5_df055
2005-04-20 00:00:00+00,LONG,3853,0.95,0.55623657,-0.051591843
2005-04-21 00:00:00+00,LONG,64,0.0,0.52645046,-0.046991874
2005-04-21 00:00:00+00,LONG,1719,0.9375,0.48368895,-0.0560422
2005-04-22 00:00:00+00,LONG,2396,1.0,0.49706602,-0.006071432
2005-04-22 00:00:00+00,LONG,3127,0.9166666666666666,0.5374261,-0.046423476
2005-04-22 00:00:00+00,LONG,3773,1.0,0.50783604,-0.051097512
2005-04-25 00:00:00+00,LONG,2396,0.9777777777777777,0.5133146,-0.023719024
2005-04-26 00:00:00+00,LONG,64,0.0,0.52845377,-0.05101038
2005-04-27 00:00:00+00,LONG,64,0.0,0.50285894,-0.04542248
2005-04-27 00:00:00+00,LONG,3443,1.0,0.49035367,0.010430708
2005-04-27 00:00:00+00,LONG,1423,0.0,0.60477924,-0.027189992
2005-04-28 00:00:00+00,LONG,64,0.0,0.48562646,-0.052204583
2005-04-28 00:00:00+00,LONG,3127,0.0,0.5065875,-0.056803185
2005-04-28 00:00:00+00,LONG,3443,0.9666666666666667,0.50320166,-0.0115073975
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,0.60477924,-0.022912111
2005-04-28 00:00:00+00,LONG,3815,0.5714285714285714,0.6532738,-0.05037494
2005-04-28 00:00:00+00,LONG,1807,1.0,0.51272166,-0.022682052
2005-04-29 00:00:00+00,LONG,2305,1.0,0.507542,-0.05439492
2005-04-29 00:00:00+00,LONG,2534,0.8579474620230262,0.5036533,-0.031955928
2005-04-29 00:00:00+00,LONG,2548,1.0,0.57043487,-0.012555301
2005-04-29 00:00:00+00,LONG,3127,0.4594838358576721,0.5112459,-0.059690565
2005-04-29 00:00:00+00,LONG,3443,0.9333333333333333,0.49841535,-0.02399791
2005-04-29 00:00:00+00,LONG,3699,1.0,0.48538566,-0.042651996
2005-04-29 00:00:00+00,LONG,1807,0.962962962962963,0.52564573,-0.05764295
2005-05-02 00:00:00+00,LONG,2534,0.975609756097561,0.51651984,-0.04974148
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,0.58363605,-0.013658948
2005-05-05 00:00:00+00,LONG,3610,0.0,0.54238486,-0.03881641
2005-05-06 00:00:00+00,LONG,2106,0.0,0.48994827,0.01856811
2005-05-09 00:00:00+00,LONG,2106,0.0,0.4862152,-0.05455539
2005-05-09 00:00:00+00,LONG,1064,0.5584800795836248,0.62187487,-0.036624607
2005-05-13 00:00:00+00,LONG,1280,1.0,0.6081868,-0.052617222
2005-05-13 00:00:00+00,LONG,4062,0.0,0.5510861,-0.019749202
2005-05-16 00:00:00+00,LONG,629,1.0,0.49854806,-0.034052208
2005-05-16 00:00:00+00,LONG,2896,1.0,0.5571988,-0.012923354
2005-05-16 00:00:00+00,LONG,3116,1.0,0.67260367,-0.036871396
2005-05-16 00:00:00+00,LONG,1173,1.0,0.56118715,-0.015538342
2005-05-16 00:00:00+00,LONG,3283,1.0,0.5599628,0.018789649
2005-05-16 00:00:00+00,LONG,1280,0.9777777777777777,0.6081868,-0.051711824
2005-05-16 00:00:00+00,LONG,1740,1.0,0.53302324,-0.030535607
2005-05-17 00:00:00+00,LONG,4123,0.9666666666666667,0.49998176,-0.038637985
2005-05-17 00:00:00+00,LONG,629,0.9761904761904762,0.50351083,-0.046269946
2005-05-17 00:00:00+00,LONG,2896,0.9615384615384616,0.5449118,-0.03349315
2005-05-17 00:00:00+00,LONG,1173,0.975609756097561,0.5612441,-0.043100093
2005-05-17 00:00:00+00,LONG,3283,0.9772727272727273,0.60909134,-0.041725777
2005-05-17 00:00:00+00,LONG,1740,0.96875,0.53617454,-0.05237104
2005-05-18 00:00:00+00,LONG,4123,0.9333333333333333,0.5184341,-0.059741426
2005-05-18 00:00:00+00,LONG,2896,0.4367418300204392,0.54225916,-0.03513653
2005-05-18 00:00:00+00,LONG,3116,0.8219940746331059,0.6381888,-0.04747063
2005-05-18 00:00:00+00,LONG,1173,0.9512195121951219,0.5513862,-0.04159353
2005-05-18 00:00:00+00,LONG,3283,0.9545454545454546,0.5950501,-0.04918661
2005-05-18 00:00:00+00,LONG,1740,0.9375,0.53617454,-0.03672667
2005-05-19 00:00:00+00,LONG,2896,0.7513752374317012,0.5516275,-0.054103754
2005-05-19 00:00:00+00,LONG,1740,0.90625,0.5259019,-0.051156156
2005-05-20 00:00:00+00,LONG,629,0.9047619047619048,0.5035865,-0.05490714
2005-05-20 00:00:00+00,LONG,2896,0.8461538461538461,0.53149563,-0.05450352
2005-05-20 00:00:00+00,LONG,3116,0.84,0.6058291,-0.053483307
2005-05-20 00:00:00+00,LONG,1173,0.9024390243902439,0.5319694,-0.046815548
2005-05-20 00:00:00+00,LONG,3283,0.9090909090909091,0.5896672,-0.053407766
2005-06-21 00:00:00+00,LONG,2731,0.0,0.5332261,-0.055753246
2005-06-22 00:00:00+00,LONG,2731,0.0,0.5332261,-0.039306927
2005-06-23 00:00:00+00,LONG,3273,0.0,0.4867129,-0.056685828
2005-06-24 00:00:00+00,LONG,2550,1.0,0.5700306,-0.03834389
2005-06-24 00:00:00+00,LONG,3595,1.0,0.5612902,-0.033493813
2005-06-27 00:00:00+00,LONG,4172,0.4404481180943399,0.5033771,-0.0083794985
2005-06-27 00:00:00+00,LONG,3595,0.975609756097561,0.5612902,-0.03223324
2005-06-28 00:00:00+00,LONG,4172,0.3391626780860033,0.5297701,-0.044594165
2005-06-29 00:00:00+00,LONG,4172,0.31413747183333446,0.5207701,-0.04947009
2005-06-30 00:00:00+00,LONG,4172,0.34508466532178816,0.5207701,-0.040528335
2005-06-30 00:00:00+00,LONG,2731,1.0,0.52001053,0.0042696134
2005-06-30 00:00:00+00,LONG,838,0.96,0.5851495,-0.054549918
2005-07-01 00:00:00+00,LONG,4172,0.28476904241448137,0.53228694,-0.05701672
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.5375467,-0.021032728
2005-07-05 00:00:00+00,LONG,2731,0.8601851223162422,0.5597354,-0.048819963
2005-07-14 00:00:00+00,LONG,3773,0.0,0.70694566,0.03217973
2005-07-25 00:00:00+00,LONG,2742,1.0,0.60563946,-0.03719687
2005-07-26 00:00:00+00,LONG,2742,0.9807692307692307,0.6159197,-0.053920306
2005-07-28 00:00:00+00,LONG,2504,0.0,0.5138628,0.04537072
2005-07-29 00:00:00+00,LONG,2504,0.0,0.50323915,-0.021520987
2005-08-02 00:00:00+00,LONG,1064,0.0,0.7037816,-0.02269058
2005-08-04 00:00:00+00,LONG,1064,0.0,0.6977135,-0.059735805
2005-08-10 00:00:00+00,LONG,1677,0.0,0.56506985,-0.05215629
2005-08-10 00:00:00+00,LONG,1678,0.0,0.56459624,-0.052312955
2005-08-18 00:00:00+00,LONG,3233,0.5356203890165743,0.5692646,-0.060193345
2005-08-24 00:00:00+00,LONG,1244,0.8529411764705882,0.71249163,-0.0479781
2005-08-30 00:00:00+00,LONG,1807,1.0,0.51188827,0.026437648
2005-08-31 00:00:00+00,LONG,1807,0.9714285714285714,0.5603647,-0.0278937
2005-09-01 00:00:00+00,LONG,1807,0.9428571428571428,0.5881058,-0.06005105
2005-09-21 00:00:00+00,LONG,3343,0.0,0.6549197,-0.05318821
2005-09-21 00:00:00+00,LONG,3915,0.0,0.4821175,-0.029686544
2005-09-22 00:00:00+00,LONG,2801,1.0,0.5729147,-0.039502494
2005-09-23 00:00:00+00,LONG,2801,0.9791666666666666,0.5828024,-0.05116712
2005-09-29 00:00:00+00,LONG,1919,0.0,0.66101587,-0.05649244
2005-09-30 00:00:00+00,LONG,2550,0.0,0.534113,-0.05689684
2005-10-03 00:00:00+00,LONG,3915,0.0,0.4857812,0.012965992
2005-10-05 00:00:00+00,LONG,2731,0.03571428571428581,0.51558954,-0.037296686
2005-10-05 00:00:00+00,LONG,3233,0.0,0.50324804,-0.038396325
2005-10-06 00:00:00+00,LONG,2731,0.0,0.50881535,-0.041346993
2005-10-06 00:00:00+00,LONG,1919,0.0,0.6059582,-0.05134237
2005-10-11 00:00:00+00,LONG,1650,0.0,0.5343736,-0.017745372
2005-10-12 00:00:00+00,LONG,1650,0.9795918367346939,0.49551642,-0.012388284
2005-10-12 00:00:00+00,LONG,1790,0.5731167926624297,0.64855987,0.030962508
2005-10-13 00:00:00+00,LONG,2801,0.6875,0.5189902,-0.056595493
2005-10-13 00:00:00+00,LONG,1650,0.9591836734693877,0.5040884,-0.02875737
2005-10-14 00:00:00+00,LONG,1650,0.9387755102040817,0.53064203,-0.06026946
2005-10-19 00:00:00+00,LONG,1790,0.387537269035586,0.70629406,-0.048065882
2005-10-25 00:00:00+00,LONG,1790,0.2835044755813716,0.7116225,-0.04711692
2005-10-26 00:00:00+00,LONG,1790,0.29585870268511116,0.5043575,-0.041003786
2005-10-27 00:00:00+00,LONG,2095,0.5952850547170708,0.5494622,-0.053213928
