time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_20_2.5_df055,price_drift_21_df005,accel_price_1_df021,price_eps_diff_pct_df082
2006-02-07 00:00:00+00,LONG,1667,0.0,0.17202729,-0.158299,-0.17202729,-0.032581832,65.41
2006-02-17 00:00:00+00,LONG,1667,0.0,0.16526887,-0.1557719,-0.16526887,-0.010054019,21.33
2006-02-21 00:00:00+00,LONG,1667,0.0,0.1505102,-0.124057785,-0.1505102,-0.012423878,20.46
2006-02-22 00:00:00+00,LONG,1667,0.0,0.14293006,-0.10176148,-0.14293006,0.024365855,52.66
2006-02-23 00:00:00+00,LONG,1667,0.0,0.15400101,-0.03492793,-0.15400101,-0.0072172233,-31.52
2006-02-24 00:00:00+00,LONG,3430,0.9836065573770492,0.16366214,0.001972382,-0.16366214,0.008546649,95.48
2006-02-24 00:00:00+00,LONG,1667,0.0,0.1556225,-0.022314997,-0.1556225,-5.963012E-4,-32.76
2006-03-07 00:00:00+00,LONG,2569,0.5397026721817731,0.1502439,-0.018914782,-0.1502439,0.022085056,-56.98
2006-03-07 00:00:00+00,LONG,1280,0.0,0.17519909,-0.01654915,-0.17519909,0.032456215,-48.71
2006-03-08 00:00:00+00,LONG,870,0.0,0.14889659,-0.09578678,-0.14889659,-0.018575657,-10.14
2006-03-08 00:00:00+00,LONG,3357,0.0,0.14250986,-0.04916368,-0.14250986,0.013150547,42.98
2006-03-08 00:00:00+00,LONG,1740,0.3866194767406811,0.13582957,-0.026653023,-0.13582957,0.03920457,0.6
2006-03-09 00:00:00+00,LONG,1610,0.9791666666666666,0.13699111,-0.050611872,-0.13699111,0.016323414,88.58
2006-03-10 00:00:00+00,LONG,2690,0.2844353938486449,0.15896194,-0.03849923,-0.15896194,0.031565066,39.57
2006-03-10 00:00:00+00,LONG,1610,0.0,0.13636301,-0.08962566,-0.13636301,0.014963161,84.96
2006-03-10 00:00:00+00,LONG,1826,1.0,0.17162658,-0.032722387,-0.17162658,0.019890063,1.15
2006-03-13 00:00:00+00,LONG,2619,0.20515144081334535,0.13709535,-0.073318176,-0.13709535,-0.013661179,22.45
2006-03-13 00:00:00+00,LONG,1610,0.0,0.15747777,-0.12203045,-0.15747777,-0.0018111502,87.91
