time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_5_df042,skew_weighted_10_df037
2005-06-16 00:00:00+00,SHORT,4118,0.0,0.0,0.6366857
2005-06-16 00:00:00+00,SHORT,2518,0.0,0.0,0.6787251
2005-06-16 00:00:00+00,SHORT,2640,0.0,0.0,0.6251116
2005-06-16 00:00:00+00,SHORT,1063,0.19937735181705368,0.0,0.5753063
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.0,0.57143843
2005-06-16 00:00:00+00,SHORT,1869,0.0,0.0,0.6638208
2005-06-17 00:00:00+00,SHORT,234,1.0,0.0,0.57573235
2005-06-17 00:00:00+00,SHORT,838,0.0,0.0,0.58333796
2005-06-17 00:00:00+00,SHORT,2993,0.0,0.0,0.6707052
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.0,0.6638556
2005-06-17 00:00:00+00,SHORT,1330,0.0,0.0,0.57023764
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.0,0.61561763
2005-06-17 00:00:00+00,SHORT,1908,0.03170587893812579,0.0,0.6593215
2005-06-20 00:00:00+00,SHORT,234,0.875,0.0,0.63095266
2005-06-20 00:00:00+00,SHORT,2343,0.3613206811227334,0.0,0.6062907
2005-06-20 00:00:00+00,SHORT,498,0.0,0.0,0.58578545
2005-06-20 00:00:00+00,SHORT,1144,0.0,0.0,0.5982919
2005-06-20 00:00:00+00,SHORT,1297,0.22841790891231653,0.0,0.6577827
2005-06-20 00:00:00+00,SHORT,3748,0.0,0.0,0.6372709
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.0,0.668145
2005-06-21 00:00:00+00,SHORT,234,0.0,0.0,0.6128851
2005-06-21 00:00:00+00,SHORT,1377,0.29228780537181864,0.0,0.6403261
2005-06-21 00:00:00+00,SHORT,1939,1.0,0.0,0.6181511
2005-06-22 00:00:00+00,SHORT,234,0.625,0.0,0.6550931
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,0.0,0.62437063
2005-06-22 00:00:00+00,SHORT,730,0.0,0.0,0.5796648
2005-06-22 00:00:00+00,SHORT,2877,0.0,0.0,0.5654286
2005-06-22 00:00:00+00,SHORT,1927,0.6885107414441294,0.0,0.6013662
2005-06-23 00:00:00+00,SHORT,3631,0.0,0.0,0.631321
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,0.0,0.6440384
2005-06-23 00:00:00+00,SHORT,4086,0.05775644112124776,0.0,0.63423043
2005-06-24 00:00:00+00,SHORT,4070,0.0,0.0,0.6190948
2005-06-24 00:00:00+00,SHORT,4086,0.0,0.0,0.6407091
2005-06-27 00:00:00+00,SHORT,1297,0.059913696490536815,0.0,0.5693348
2005-06-27 00:00:00+00,SHORT,4086,0.05308767872837773,0.0,0.6002132
2005-06-28 00:00:00+00,SHORT,1297,0.0,0.0,0.60489863
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,0.0,0.5880106
2005-07-11 00:00:00+00,SHORT,4172,0.0,0.0,0.6186894
2005-07-11 00:00:00+00,SHORT,710,0.0,0.0,0.59272075
2005-07-11 00:00:00+00,SHORT,1250,0.11673948630413597,0.0,0.57455117
2005-07-12 00:00:00+00,SHORT,710,0.0,0.0,0.6156479
2005-07-12 00:00:00+00,SHORT,984,0.0,0.0,0.60919785
2005-07-12 00:00:00+00,SHORT,3837,0.0,0.0,0.5845115
2005-07-13 00:00:00+00,SHORT,1112,0.0,0.0,0.6035101
2005-07-13 00:00:00+00,SHORT,3631,0.5610351239292233,0.0,0.6314905
