time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_10_df044,dist_upper_bb_20_2.0_df055,earnings_price_gap_df010,joint_fall_flag_1_20_df042
2007-07-25 00:00:00+00,SHORT,3882,0.9523809523809523,1.0,-0.008746256,0.0,1.0
2007-09-27 00:00:00+00,SHORT,3352,0.72607049833193,1.0,-0.009669061,0.0,1.0
2007-10-08 00:00:00+00,SHORT,759,0.0,1.0,-0.008704889,0.0,1.0
2007-10-08 00:00:00+00,SHORT,903,0.9425308004026044,1.0,0.002608675,0.0,1.0
2007-10-11 00:00:00+00,SHORT,3521,0.0,1.0,-0.0038961172,0.0,1.0
2007-10-12 00:00:00+00,SHORT,88,0.0,1.0,-0.008299338,0.0,1.0
2007-10-29 00:00:00+00,SHORT,4032,0.0,1.0,-0.0095944,0.0,1.0
2007-11-05 00:00:00+00,SHORT,4083,0.0,1.0,-0.004398844,0.0,1.0
2007-12-06 00:00:00+00,SHORT,3142,0.9090909090909091,1.0,-0.0044535645,0.0,1.0
2007-12-10 00:00:00+00,SHORT,3275,0.9,1.0,-0.005907843,0.0,1.0
2007-12-11 00:00:00+00,SHORT,3049,1.0,1.0,-0.0092152795,0.0,1.0
2008-01-10 00:00:00+00,SHORT,3067,0.0,1.0,-0.009639542,0.0,1.0
2008-02-26 00:00:00+00,SHORT,245,1.0,1.0,-0.0027106355,0.0,1.0
2008-03-19 00:00:00+00,SHORT,3586,0.09342985945048884,1.0,0.0013731892,0.0,1.0
2008-04-04 00:00:00+00,SHORT,50,0.0,1.0,-0.009204632,0.0,1.0
2008-05-12 00:00:00+00,SHORT,3890,1.0,1.0,-0.0036187647,0.0,1.0
2008-05-19 00:00:00+00,SHORT,3897,1.0,1.0,-0.008481685,0.0,1.0
2008-05-20 00:00:00+00,SHORT,3763,0.95,1.0,-0.008464773,0.0,1.0
2008-06-16 00:00:00+00,SHORT,4153,0.9375,1.0,-0.0071086367,0.0,1.0
2008-07-02 00:00:00+00,SHORT,345,0.39842336952932733,1.0,-0.007502177,0.0,1.0
2008-07-22 00:00:00+00,SHORT,3352,1.0,1.0,-0.006855883,0.0,1.0
2008-09-22 00:00:00+00,SHORT,3694,1.0,1.0,3.152679E-4,0.0,1.0
2008-09-23 00:00:00+00,SHORT,3614,0.0,1.0,-0.0071199466,0.0,1.0
2009-01-05 00:00:00+00,SHORT,2370,0.9,1.0,-0.0071128774,0.0,1.0
2009-01-06 00:00:00+00,SHORT,3116,1.0,1.0,-0.0069619156,0.0,1.0
2009-01-06 00:00:00+00,SHORT,1300,0.6461447455716826,1.0,-0.0017206984,0.0,1.0
2009-01-06 00:00:00+00,SHORT,1308,0.7429849628691324,1.0,-5.497862E-4,0.0,1.0
2009-01-07 00:00:00+00,SHORT,1532,0.0,1.0,-3.0967034E-4,0.0,1.0
2009-01-07 00:00:00+00,SHORT,1740,1.0,1.0,0.003505896,0.0,1.0
2009-02-05 00:00:00+00,SHORT,2617,0.29089401072270277,1.0,-0.009633763,0.0,1.0
2009-04-27 00:00:00+00,SHORT,220,0.14855205075946795,1.0,-0.009114879,0.0,1.0
2009-05-11 00:00:00+00,SHORT,2541,1.0,1.0,-0.0056381105,0.0,1.0
2009-06-02 00:00:00+00,SHORT,2159,0.5477462618066791,1.0,-0.0067498083,-0.014957265,1.0
2009-06-02 00:00:00+00,SHORT,142,1.0,1.0,-0.00367148,0.0,1.0
2009-06-02 00:00:00+00,SHORT,1826,0.8333333333333334,1.0,4.8623022E-4,0.0,1.0
2009-06-05 00:00:00+00,SHORT,3470,1.0,1.0,-0.0064879875,0.0,1.0
2009-06-08 00:00:00+00,SHORT,2269,0.8888888888888888,1.0,-0.0043747113,0.0,1.0
2009-08-28 00:00:00+00,SHORT,4164,0.0,1.0,-0.008451283,0.0,1.0
2009-08-28 00:00:00+00,SHORT,2543,0.0,1.0,-0.009292138,0.0,1.0
2009-08-28 00:00:00+00,SHORT,4083,0.0,1.0,-0.004403544,0.0,1.0
2009-09-17 00:00:00+00,SHORT,2866,1.0,1.0,-0.0022595397,0.0,1.0
2009-09-17 00:00:00+00,SHORT,3142,1.0,1.0,0.0070597385,0.0,1.0
2009-09-17 00:00:00+00,SHORT,1949,0.0,1.0,-0.008728982,0.0,1.0
2009-10-15 00:00:00+00,SHORT,2064,0.5645216186831709,1.0,-0.009727682,0.0,1.0
2009-10-15 00:00:00+00,SHORT,1454,0.9375,1.0,-0.0061263666,0.0,1.0
2009-10-15 00:00:00+00,SHORT,3613,0.5570806464854736,1.0,-0.004514325,0.0,1.0
2009-10-15 00:00:00+00,SHORT,1700,0.9523809523809523,1.0,-0.007947108,0.0,1.0
2009-10-15 00:00:00+00,SHORT,3994,0.5307618868114954,1.0,-2.5563446E-4,0.0,1.0
2009-10-23 00:00:00+00,SHORT,11,0.6104252561056633,1.0,-0.0041882424,0.0,1.0
2009-11-10 00:00:00+00,SHORT,2720,0.9375,1.0,-0.006661221,0.0,1.0
2009-11-12 00:00:00+00,SHORT,2352,0.0,1.0,-0.0076542855,0.0,1.0
2009-11-17 00:00:00+00,SHORT,2042,0.6041849337444402,1.0,-0.0078058606,0.0,1.0
2009-12-21 00:00:00+00,SHORT,535,0.0,1.0,7.083291E-4,0.0,1.0
2010-01-07 00:00:00+00,SHORT,1807,0.9444444444444444,1.0,-0.008656565,0.0,1.0
2010-01-08 00:00:00+00,SHORT,1523,0.6783775478074572,1.0,-0.0094503155,0.0,1.0
2010-01-14 00:00:00+00,SHORT,4079,0.0,1.0,-6.428308E-4,0.0,1.0
2010-01-15 00:00:00+00,SHORT,2365,0.6572658162021431,1.0,0.0063755633,0.0,1.0
2010-02-03 00:00:00+00,SHORT,1300,0.5904889955040544,1.0,-0.004731891,0.0,1.0
2010-03-29 00:00:00+00,SHORT,2230,0.0,1.0,-0.0024579202,0.0,1.0
2010-04-06 00:00:00+00,SHORT,739,0.0,1.0,-0.008759648,0.0,1.0
2010-04-14 00:00:00+00,SHORT,1966,0.8355716083938918,1.0,-0.005153212,0.0,1.0
2010-04-15 00:00:00+00,SHORT,2546,1.0,1.0,-0.0034448851,0.0,1.0
2010-04-15 00:00:00+00,SHORT,638,0.9444444444444444,1.0,-0.009655641,0.0,1.0
2010-05-12 00:00:00+00,SHORT,88,0.46740069628311653,1.0,-0.008254439,0.0,1.0
2010-05-12 00:00:00+00,SHORT,356,0.1912155452774263,1.0,-0.0077398997,0.0,1.0
2010-06-18 00:00:00+00,SHORT,69,0.0,1.0,-0.0019656136,0.0,1.0
2010-06-18 00:00:00+00,SHORT,2221,0.4862575003659413,1.0,-0.0057699434,0.0,1.0
2010-06-21 00:00:00+00,SHORT,869,0.2100432346854297,1.0,-0.0072855134,0.0,1.0
2010-07-14 00:00:00+00,SHORT,3531,0.0,1.0,-0.007485037,0.0,1.0
2010-07-27 00:00:00+00,SHORT,2079,1.0,1.0,-0.007199065,0.0,1.0
2010-08-10 00:00:00+00,SHORT,3310,0.19047282504596771,1.0,-0.009840546,0.0,1.0
2010-09-13 00:00:00+00,SHORT,1867,0.0,1.0,-0.003192064,0.0,1.0
2010-09-27 00:00:00+00,SHORT,2269,0.10773467034951252,1.0,-0.007223811,0.0,1.0
2010-10-25 00:00:00+00,SHORT,1303,0.5711335580191469,1.0,-0.00818453,0.0,1.0
2010-10-29 00:00:00+00,SHORT,4074,0.2542970192724136,1.0,-0.009203389,0.0,1.0
2010-11-05 00:00:00+00,SHORT,3137,0.31957046911666037,1.0,0.017288325,-2.0686802E-4,1.0
2010-11-05 00:00:00+00,SHORT,3646,0.9473684210526316,1.0,1.7325874E-4,0.0,1.0
2010-11-08 00:00:00+00,SHORT,194,0.0,1.0,-0.006163444,0.0,1.0
2010-11-10 00:00:00+00,SHORT,3815,0.0,1.0,-0.0041389437,0.0,1.0
2010-11-22 00:00:00+00,SHORT,1076,0.31288194735931707,1.0,-0.006984603,0.0,1.0
2011-01-11 00:00:00+00,SHORT,2527,0.9333333333333333,1.0,-0.009255032,0.0,1.0
2011-01-13 00:00:00+00,SHORT,3148,0.5558019048845787,1.0,-0.0053248536,0.0,1.0
2011-01-18 00:00:00+00,SHORT,1710,0.4603533052064443,1.0,-0.0055446853,0.0,1.0
2011-01-19 00:00:00+00,SHORT,234,1.0,1.0,-0.007896507,0.0,1.0
2011-01-19 00:00:00+00,SHORT,2816,0.0,1.0,-0.00878536,0.0,1.0
2011-02-08 00:00:00+00,SHORT,2425,0.5710512997518615,1.0,0.0040137838,0.0,1.0
2011-02-09 00:00:00+00,SHORT,3021,0.0,1.0,-0.009586244,0.0,1.0
2011-02-10 00:00:00+00,SHORT,1832,0.4901940782928811,1.0,-0.0071066553,0.0,1.0
2011-02-18 00:00:00+00,SHORT,535,0.0,1.0,0.020090966,0.0,1.0
2011-02-18 00:00:00+00,SHORT,1454,1.0,1.0,-0.0070156488,0.0,1.0
2011-03-04 00:00:00+00,SHORT,309,0.9333333333333333,1.0,-0.0023333533,0.0,1.0
2011-03-09 00:00:00+00,SHORT,3100,0.28942078527232573,1.0,-0.0045773378,0.0,1.0
2011-04-06 00:00:00+00,SHORT,1377,0.4143442040311065,1.0,-0.003320078,0.0,1.0
2011-04-07 00:00:00+00,SHORT,304,0.0,1.0,-0.007856897,0.0,1.0
2011-04-29 00:00:00+00,SHORT,580,0.0,1.0,-0.006409354,0.0,1.0
2011-05-31 00:00:00+00,SHORT,629,0.875,1.0,-0.0033520847,0.0,1.0
2011-06-02 00:00:00+00,SHORT,2554,0.0,1.0,-0.0059128394,0.0,1.0
2011-07-08 00:00:00+00,SHORT,4122,0.9,1.0,-0.008542487,0.0,1.0
2011-07-08 00:00:00+00,SHORT,76,0.9090909090909091,1.0,-0.008229874,0.0,1.0
2011-07-08 00:00:00+00,SHORT,1651,0.9090909090909091,1.0,-0.009899797,0.0,1.0
2011-07-08 00:00:00+00,SHORT,3915,0.9090909090909091,1.0,0.01342384,0.0,1.0
2011-07-22 00:00:00+00,SHORT,4194,1.0,1.0,0.01691271,0.0,1.0
2011-07-22 00:00:00+00,SHORT,1160,0.9333333333333333,1.0,-0.003931304,0.0,1.0
2011-07-25 00:00:00+00,SHORT,4049,0.32704768357331354,1.0,-0.0073600793,0.0,1.0
2011-07-26 00:00:00+00,SHORT,1160,0.8,1.0,-0.009333314,0.0,1.0
2011-08-31 00:00:00+00,SHORT,13,0.6290357216087674,1.0,-0.0024335212,0.0,1.0
2011-09-19 00:00:00+00,SHORT,505,0.0,1.0,-0.0070378617,0.0,1.0
2011-09-21 00:00:00+00,SHORT,11,0.9285714285714286,1.0,-0.001576709,0.0,1.0
2011-09-28 00:00:00+00,SHORT,3683,0.0,1.0,-0.007510096,0.0,1.0
2011-10-28 00:00:00+00,SHORT,2285,0.8,1.0,0.021938782,0.0,1.0
