time,side,ticker_id,mv_up_composite_labels,price_drift_abs_21_df006,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-04-29 00:00:00+00,LONG,1807,0.962962962962963,0.19615385,0.008184661,0.0
2005-05-02 00:00:00+00,LONG,64,0.0,0.14394847,-0.009265285,0.0
2005-05-02 00:00:00+00,LONG,3271,0.5828714840929035,0.15983027,0.020091338,0.0
2005-05-02 00:00:00+00,LONG,1423,0.9285714285714286,0.16010343,-0.0089115985,0.0
2005-05-02 00:00:00+00,LONG,3748,1.0,0.1429298,0.035468306,0.0
2005-05-03 00:00:00+00,LONG,2070,0.0,0.13757032,0.05405838,0.0
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,0.1626178,0.037566103,0.0
2005-05-03 00:00:00+00,LONG,2534,0.9375,0.110008046,-0.009861701,0.0
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,0.16743772,0.021457985,0.0
2005-05-03 00:00:00+00,LONG,3748,0.9743589743589743,0.10714286,-0.0054657874,0.0
2005-05-03 00:00:00+00,LONG,1807,0.6538751313046827,0.1881579,-0.008174023,0.0
2005-05-04 00:00:00+00,LONG,2070,0.0,0.11765274,0.024635613,0.0
2005-05-05 00:00:00+00,LONG,2070,0.0,0.121658154,0.01570043,0.0
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,0.18626483,0.020802343,0.0
2005-05-05 00:00:00+00,LONG,3918,0.3531514993413711,0.10870659,-0.010681825,0.0
2005-05-06 00:00:00+00,LONG,2070,0.0,0.14831576,0.008867658,0.0
2005-05-09 00:00:00+00,LONG,2070,0.0,0.13248707,-0.0069965906,0.0
2005-05-11 00:00:00+00,LONG,2070,0.0,0.15708478,-0.010689814,0.0
2005-05-11 00:00:00+00,LONG,1108,0.9473684210526316,0.17398869,-0.0067531583,0.0
2005-05-12 00:00:00+00,LONG,2070,0.22472924521704488,0.1519025,-0.0029979735,0.0
2005-05-12 00:00:00+00,LONG,1108,0.9298245614035088,0.15147392,-0.003269015,0.0
2005-05-13 00:00:00+00,LONG,1236,0.1478034454134671,0.1668543,-0.0073646507,0.0
2005-05-13 00:00:00+00,LONG,1297,0.6474551902287213,0.17242268,0.022976622,0.0
2005-05-13 00:00:00+00,LONG,1453,0.0,0.13955119,0.021654146,0.0
