time,side,ticker_id,mv_up_composite_labels,price_drift_21_df005,dist_lower_bb_20_2.5_df055
2006-05-19 00:00:00+00,LONG,3116,0.0,-0.14628437,-0.02967572
2006-05-22 00:00:00+00,LONG,1904,0.0,-0.1357971,0.002343456
2006-05-22 00:00:00+00,LONG,1966,0.0,-0.13896479,-0.009906222
2006-05-26 00:00:00+00,LONG,3652,0.5614086089587003,-0.13270977,-0.041621167
2006-05-30 00:00:00+00,LONG,3652,0.3042443768585214,-0.13349581,-0.03199465
2006-06-08 00:00:00+00,LONG,3127,0.0,-0.13241206,-0.03936474
2006-06-09 00:00:00+00,LONG,2710,0.0,-0.15361813,-0.016276428
2006-06-12 00:00:00+00,LONG,2710,0.0,-0.13801107,-0.020433819
2006-06-12 00:00:00+00,LONG,739,0.0,-0.13370474,-0.028313488
2006-06-13 00:00:00+00,LONG,5,0.0,-0.13473552,0.0058107134
2006-06-13 00:00:00+00,LONG,69,0.2932394741731442,-0.13356009,-0.012562476
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,-0.13359864,-0.019121805
2006-06-13 00:00:00+00,LONG,212,1.0,-0.14895523,-0.029565662
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,-0.15715215,-0.008494056
2006-06-13 00:00:00+00,LONG,2497,1.0,-0.13324131,-0.008440669
2006-06-13 00:00:00+00,LONG,2619,0.0,-0.15254839,-0.0091316765
2006-06-13 00:00:00+00,LONG,974,0.0,-0.13589026,-0.02953044
2006-06-13 00:00:00+00,LONG,3330,1.0,-0.13818082,-0.0060465257
2006-06-13 00:00:00+00,LONG,3343,1.0,-0.13531353,-0.042254556
2006-06-13 00:00:00+00,LONG,1303,1.0,-0.13400534,-0.01930168
2006-06-13 00:00:00+00,LONG,1462,0.17414144502447965,-0.14270833,-0.0027800554
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,-0.14488548,-0.0044711703
2006-06-13 00:00:00+00,LONG,1967,0.7517904901567231,-0.15597668,-4.0054522E-4
2006-06-14 00:00:00+00,LONG,5,0.0,-0.14592965,-0.028968813
2006-06-14 00:00:00+00,LONG,2055,0.24596872356377533,-0.15175316,-0.037198495
2006-06-14 00:00:00+00,LONG,498,0.0,-0.15558004,-0.05032587
2006-06-14 00:00:00+00,LONG,2990,1.0,-0.13141367,-0.022144506
2006-06-14 00:00:00+00,LONG,974,0.0,-0.12969041,-0.044041753
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,-0.1513526,-0.03215793
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,-0.15050524,-0.043467455
2006-06-14 00:00:00+00,LONG,1298,0.0,-0.15653342,-0.03783757
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,-0.15807799,-0.02862996
2006-06-14 00:00:00+00,LONG,1673,1.0,-0.15632755,-0.036666866
2006-06-14 00:00:00+00,LONG,1966,1.0,-0.13412073,-0.030693205
