time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,interest_coverage_normalized_df080,weighted_neg_sum_20_df036
2009-08-04 00:00:00+00,SHORT,834,0.35611946868446454,0.33283073,0.0597,0.043153
2009-08-06 00:00:00+00,SHORT,1262,0.2482004100698973,0.5913106,0.1638,0.04258137
2009-08-06 00:00:00+00,SHORT,1731,0.16492332678214505,0.60424304,0.4233,0.04274404
2009-08-13 00:00:00+00,SHORT,2070,0.0,0.594718,0.3539,0.041857228
2009-08-25 00:00:00+00,SHORT,869,0.6731418561789463,0.53410697,0.4959,0.03332871
2009-08-26 00:00:00+00,SHORT,2247,0.3271914018360694,0.32922542,0.2672,0.04255521
2009-08-27 00:00:00+00,SHORT,2247,0.9444444444444444,0.40766373,0.2672,0.035484947
2009-08-27 00:00:00+00,SHORT,558,0.31756005342341875,0.4752307,0.6242,0.030723728
2009-08-27 00:00:00+00,SHORT,869,0.20855456690905944,0.4856309,0.4959,0.031962745
2009-08-28 00:00:00+00,SHORT,2247,0.4776932255276183,0.3979012,0.2672,0.03632169
2009-09-16 00:00:00+00,SHORT,1160,0.0,0.45635659,0.5241,0.04116636
2009-09-16 00:00:00+00,SHORT,3652,0.0,0.5469956,0.0362,0.03171163
2009-09-16 00:00:00+00,SHORT,3912,0.6110771096151136,0.62023705,0.2879,0.036868703
2009-09-17 00:00:00+00,SHORT,4176,0.6745034653501326,0.33670783,0.5741,0.038426515
2009-09-17 00:00:00+00,SHORT,3652,0.0,0.44371885,0.0362,0.04105173
2009-09-17 00:00:00+00,SHORT,3912,0.5061192567086853,0.56315255,0.2879,0.042949785
2009-09-18 00:00:00+00,SHORT,192,0.0,0.6267434,0.2886,0.037928257
2009-09-18 00:00:00+00,SHORT,3641,0.3307948065611446,0.6255938,0.6767,0.042281643
2009-09-21 00:00:00+00,SHORT,192,0.0,0.5669011,0.2886,0.040747967
2009-09-22 00:00:00+00,SHORT,192,0.0,0.59352595,0.2886,0.04012669
2009-09-22 00:00:00+00,SHORT,3420,0.0,0.49025553,0.1419,0.04303674
2009-09-23 00:00:00+00,SHORT,3293,0.26987160343868544,0.36700347,0.2913,0.04324322
2009-09-29 00:00:00+00,SHORT,2681,0.08816310102596463,0.48893672,0.2925,0.041177765
2009-10-21 00:00:00+00,SHORT,853,0.0,0.34285602,0.0127,0.0356684
