time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,revenue_growth_yoy_df063,dist_upper_bb_50_2.0_df055,price_to_sales_zscore_universe_df070
2005-12-19 00:00:00+00,SHORT,3052,0.24604797595777084,-0.015636357,7.76,-0.007922616,-0.1007
2005-12-21 00:00:00+00,SHORT,2971,0.0,-0.028619556,-5.0,-0.013297606,-0.0867
2005-12-21 00:00:00+00,SHORT,3052,0.21381308815935593,-0.021127988,7.76,-0.010234382,-0.1011
2005-12-22 00:00:00+00,SHORT,2971,0.0,-0.04129726,-5.0,-0.009106436,-0.0867
2005-12-22 00:00:00+00,SHORT,3052,0.16185919541863433,-0.023274884,7.76,-0.012714094,-0.1011
2005-12-23 00:00:00+00,SHORT,2971,0.0,-0.055762798,-5.0,-0.011007764,-0.0869
2005-12-23 00:00:00+00,SHORT,3052,0.13833339215887352,-0.022683429,7.76,-0.012461601,-0.1013
2005-12-29 00:00:00+00,SHORT,559,0.0,-0.010780888,10.92,-0.009731814,-0.0948
2006-01-04 00:00:00+00,SHORT,1410,0.24156040499581788,-0.028791428,10.31,-0.008387343,-0.0861
2006-01-09 00:00:00+00,SHORT,323,0.6511488241208354,-0.065211475,9.97,-0.010634972,-0.0951
2006-01-09 00:00:00+00,SHORT,3841,0.4986192329407974,-0.0063245534,14.05,-0.008003666,-0.0931
2006-01-10 00:00:00+00,SHORT,3841,0.3990853032257504,-0.017311832,14.05,-0.014573055,-0.0936
2006-01-11 00:00:00+00,SHORT,687,0.2779313046765221,-0.008527502,13.72,-0.005859024,-0.0831
2006-01-11 00:00:00+00,SHORT,3841,0.2789565676049628,-0.020970387,14.05,-0.014325501,-0.0926
2006-01-13 00:00:00+00,SHORT,121,0.3534352797053964,-0.04179526,4.46,-0.008520525,-0.0822
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,-0.011537583,3.55,-0.006693368,-0.0848
2006-01-17 00:00:00+00,SHORT,845,0.0,-0.059794884,12.44,-0.012934829,-0.0932
2006-01-19 00:00:00+00,SHORT,427,1.0,-0.007823419,3.36,-0.0057604485,-0.085
2006-01-19 00:00:00+00,SHORT,845,0.0,-0.056384917,12.44,-0.012785501,-0.0947
2006-01-25 00:00:00+00,SHORT,2761,0.042119760462310744,-0.0095674945,-4.4,-0.014646856,-0.0896
2006-01-25 00:00:00+00,SHORT,1361,0.5816257392361301,-0.040251095,15.73,-0.007109943,-0.0846
2006-01-25 00:00:00+00,SHORT,1377,0.06600650123816111,-0.059277114,4.77,-0.014332066,-0.0989
2006-01-26 00:00:00+00,SHORT,1377,0.0,-0.057580385,4.77,-0.011616777,-0.0987
2006-01-27 00:00:00+00,SHORT,1361,0.39865719361446783,-0.04803536,15.73,-0.014507816,-0.0846
2006-01-27 00:00:00+00,SHORT,3841,0.5201476046007282,-0.03268714,14.05,-0.014354908,-0.0965
2006-01-30 00:00:00+00,SHORT,1474,0.14464829390362258,-0.020299118,9.78,-0.009714331,-0.0959
2006-01-30 00:00:00+00,SHORT,1719,1.0,-0.018581267,6.71,-0.010901958,-0.085
2006-01-31 00:00:00+00,SHORT,2568,0.0,-0.027410684,1.4,-0.010713648,-0.0994
2006-02-01 00:00:00+00,SHORT,131,0.10081535263157156,-0.02228661,2.5,-0.005622914,-0.0922
2006-02-01 00:00:00+00,SHORT,450,0.2679225701685926,-0.01222137,3.55,-0.0072759436,-0.0877
2006-02-01 00:00:00+00,SHORT,576,0.28873055450316876,-0.03557968,-23.97,-0.013792685,-0.0942
2006-02-01 00:00:00+00,SHORT,1303,0.35108325996988476,-0.039697353,13.43,-0.010896592,-0.0968
2006-02-01 00:00:00+00,SHORT,3531,0.3199365704521268,-0.07191621,10.74,-0.010989869,-0.0998
2006-02-01 00:00:00+00,SHORT,3841,0.45149265686676987,-0.029485267,14.05,-0.013944046,-0.0969
2006-02-02 00:00:00+00,SHORT,2142,0.0,-0.017835272,17.13,-0.009534238,-0.0811
2006-02-02 00:00:00+00,SHORT,1298,0.2237742209429783,-0.05458589,-17.23,-0.014239743,-0.0898
2006-02-03 00:00:00+00,SHORT,4088,0.5550383482205103,-0.024404468,14.46,-0.013722043,-0.0844
2006-02-06 00:00:00+00,SHORT,1298,0.7692307692307692,-0.04534426,-17.23,-0.010487814,-0.0898
2006-02-06 00:00:00+00,SHORT,4088,0.6179145205933058,-0.017536787,14.46,-0.0066540116,-0.0847
2006-02-07 00:00:00+00,SHORT,487,0.6,-0.009642115,-4.76,-0.011536803,-0.0973
2006-02-07 00:00:00+00,SHORT,602,0.3367292661433291,-0.08015903,12.88,-0.01190291,-0.1001
2006-02-07 00:00:00+00,SHORT,4088,0.441385832644827,-0.024360206,14.46,-0.014101941,-0.0849
2006-02-08 00:00:00+00,SHORT,131,0.050079004982956504,-0.02276709,2.5,-0.00687415,-0.0927
2006-02-08 00:00:00+00,SHORT,3430,0.7647058823529411,-0.0662904,17.86,-0.012313572,-0.0916
2006-02-15 00:00:00+00,SHORT,664,0.0,-0.029387062,7.35,-0.013471624,-0.0949
2006-02-16 00:00:00+00,SHORT,664,0.0,-0.030199653,7.35,-0.013822044,-0.0948
2006-02-21 00:00:00+00,SHORT,443,0.0,-0.03985405,10.37,-0.008092043,-0.0895
2006-02-21 00:00:00+00,SHORT,3433,0.1152061618176633,-0.054522503,-2.0,-0.010667037,-0.0831
2006-02-21 00:00:00+00,SHORT,2041,0.28208128916863295,-0.048796546,2.78,-0.014590592,-0.0894
2006-02-22 00:00:00+00,SHORT,4176,0.0,-0.033376023,13.82,-0.012221355,-0.0901
2006-02-22 00:00:00+00,SHORT,664,0.0,-0.023359433,7.35,-0.010290095,-0.0954
2006-02-23 00:00:00+00,SHORT,443,0.0,-0.04976555,10.37,-0.014292522,-0.0892
2006-02-27 00:00:00+00,SHORT,1069,0.0,-0.03247253,6.8,-0.009459935,-0.0879
2006-02-27 00:00:00+00,SHORT,1361,0.7129891044845204,-0.006024581,13.62,-0.01221622,-0.0814
2006-02-28 00:00:00+00,SHORT,200,0.28616173445147136,-0.049449716,9.4,-0.0136738205,-0.0837
2006-02-28 00:00:00+00,SHORT,2270,0.2723961109692992,-0.049584854,0.5,-0.008342331,-0.0817
2006-03-01 00:00:00+00,SHORT,200,0.1574586865371692,-0.039873514,9.4,-0.007837264,-0.0837
2006-03-02 00:00:00+00,SHORT,663,1.0,-0.020306611,-7.43,-0.008336374,-0.0926
2006-03-03 00:00:00+00,SHORT,663,0.9230769230769231,-0.019865863,-7.43,-0.00708817,-0.0924
2006-03-03 00:00:00+00,SHORT,1069,0.0,-0.023769734,6.8,-0.010799653,-0.0875
2006-03-13 00:00:00+00,SHORT,663,0.46153846153846145,-0.024502963,-7.43,-0.013909199,-0.0908
2006-03-14 00:00:00+00,SHORT,3612,0.43264612415021736,-0.033685453,16.71,-0.00805454,-0.0895
2006-03-15 00:00:00+00,SHORT,3612,0.3766130980494733,-0.036852416,16.71,-0.012431005,-0.0899
2006-03-17 00:00:00+00,SHORT,200,0.0,-0.040966604,-9.32,-0.012415692,-0.0844
2006-03-20 00:00:00+00,SHORT,687,1.0,-0.014905326,-3.3,-0.011443467,-0.0849
2006-03-20 00:00:00+00,SHORT,1853,0.31319988836353463,-0.0030137342,6.7,-0.014966681,-0.0818
2006-03-22 00:00:00+00,SHORT,417,0.9473684210526316,-0.0145451855,2.25,-0.013455635,-0.0902
2006-03-27 00:00:00+00,SHORT,2226,0.0,-0.029456928,4.48,-0.006367118,-0.0911
2006-03-28 00:00:00+00,SHORT,2761,0.0,-0.01728342,-4.55,-0.0076233833,-0.0901
2006-03-28 00:00:00+00,SHORT,1303,0.6282519573676749,-0.07744903,13.43,-0.011529992,-0.0967
2006-03-29 00:00:00+00,SHORT,2226,0.0,-0.038220726,4.48,-0.013904703,-0.0912
2006-03-29 00:00:00+00,SHORT,2761,0.0,-0.017350499,-4.55,-0.007836296,-0.0897
2006-03-29 00:00:00+00,SHORT,1303,0.5630650875136365,-0.07586646,13.43,-0.00945476,-0.0962
2006-04-03 00:00:00+00,SHORT,898,1.0,-0.01414834,15.38,-0.009319906,-0.0932
2006-04-05 00:00:00+00,SHORT,898,0.8,-0.018416509,15.38,-0.013822024,-0.094
2006-04-20 00:00:00+00,SHORT,153,0.8888888888888888,-0.01773768,17.2,-0.006042156,-0.1022
2006-04-21 00:00:00+00,SHORT,3273,0.7537655381478169,-0.019870555,6.91,-0.011493465,-0.1118
2006-04-27 00:00:00+00,SHORT,4062,0.8333333333333334,-0.088157356,20.05,-0.00810679,-0.1105
2006-05-04 00:00:00+00,SHORT,4062,0.0,-0.0769792,20.05,-0.012497401,-0.1066
2006-05-05 00:00:00+00,SHORT,3436,0.5775228184083582,0.0028819346,1.86,-0.012857975,-0.114
2006-05-08 00:00:00+00,SHORT,3142,0.9285714285714286,-0.028607057,9.23,-0.007977977,-0.0901
