time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,accel_price_5_df021,ma_cloud_diff_8_50_df007
2005-10-25 00:00:00+00,LONG,1819,0.9333333333333333,0.013311073,0.0061286674,-0.070805915
2005-10-26 00:00:00+00,LONG,1819,0.9,0.004173229,0.054457836,-0.076403126
2005-10-27 00:00:00+00,LONG,2276,1.0,0.017979842,-0.00437489,-0.07916742
2005-10-27 00:00:00+00,LONG,684,0.9,0.008730848,0.011599952,-0.07394049
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,0.036454555,-0.0021383464,-0.07612766
2005-10-27 00:00:00+00,LONG,1454,0.36076777994691583,0.1351791,0.020261323,-0.100132585
2005-10-27 00:00:00+00,LONG,3853,1.0,0.03763218,-0.01606843,-0.07580351
2005-10-27 00:00:00+00,LONG,1819,0.8666666666666667,0.00877224,0.008550707,-0.08386563
2005-10-27 00:00:00+00,LONG,3897,0.3221303231114796,0.068480745,-0.024188926,-0.09457303
2005-10-28 00:00:00+00,LONG,558,0.5494093529312287,0.0063147247,-0.014452214,-0.08507172
2005-10-28 00:00:00+00,LONG,3049,0.9302325581395349,0.015576738,-0.011918354,-0.08638835
2005-10-28 00:00:00+00,LONG,1454,0.3019928457555165,0.08292125,0.03671961,-0.11475269
2005-10-28 00:00:00+00,LONG,3699,0.5351289360100635,0.0075088954,-0.018984688,-0.10323612
2005-10-28 00:00:00+00,LONG,3853,1.0,0.010607237,-0.0053098216,-0.08083373
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,0.039408784,0.0102042,-0.1040145
2005-10-28 00:00:00+00,LONG,3973,0.4210413907160842,0.007977839,0.043290854,-0.0733711
2005-10-31 00:00:00+00,LONG,3897,0.0,0.0062126857,0.02548015,-0.11001655
2005-11-01 00:00:00+00,LONG,3897,0.5848430268571965,0.021980755,-0.0046960833,-0.1158551
2005-11-15 00:00:00+00,LONG,984,1.0,0.010789182,-0.0065116277,-0.07967493
2005-11-16 00:00:00+00,LONG,3677,1.0,0.039065372,0.004721115,-0.07902534
2005-11-16 00:00:00+00,LONG,3694,0.4336090761880416,0.01893563,-0.004914348,-0.08655442
2005-11-17 00:00:00+00,LONG,3694,0.40253197339979074,0.005645308,0.0049573146,-0.08875439
2005-11-30 00:00:00+00,LONG,28,0.609750221962903,0.033893004,0.013796475,-0.0693952
2005-12-01 00:00:00+00,LONG,28,0.6022810208498633,0.027356658,0.0060650944,-0.0767062
2005-12-05 00:00:00+00,LONG,28,0.4643267694154682,0.002403415,-0.008738467,-0.08047477
2005-12-06 00:00:00+00,LONG,28,0.4971471041208017,0.0041379365,0.011912606,-0.08172079
2005-12-06 00:00:00+00,LONG,1817,0.07142857142857151,0.08727194,-0.031188477,-0.07691752
2005-12-07 00:00:00+00,LONG,433,0.0,0.10628112,-0.030963058,-0.07661023
2005-12-08 00:00:00+00,LONG,3283,0.0,0.0473758,0.004748334,-0.08429127
2005-12-09 00:00:00+00,LONG,3283,0.0,0.049791884,-0.007927122,-0.11362891
2005-12-27 00:00:00+00,LONG,424,1.0,0.0530898,0.021326488,-0.08980865
2005-12-28 00:00:00+00,LONG,424,0.9615384615384616,0.021073109,0.038418666,-0.103445865
2005-12-29 00:00:00+00,LONG,424,0.9230769230769231,0.0065789684,0.018967269,-0.11334162
2005-12-30 00:00:00+00,LONG,424,0.8846153846153846,0.026802845,-0.008196837,-0.1202115
2006-01-11 00:00:00+00,LONG,234,0.9545454545454546,0.004886323,0.047902096,-0.0710002
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,0.040759884,0.007292782,-0.08638159
2006-01-23 00:00:00+00,LONG,157,0.6241627460736752,0.017350957,0.030223243,-0.10298002
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,0.00567919,-0.0017213181,-0.070117734
2006-01-27 00:00:00+00,LONG,2085,0.0,0.110339254,0.04659702,-0.07047816
2006-01-30 00:00:00+00,LONG,2085,0.0,0.053825475,0.054730136,-0.0890398
2006-01-31 00:00:00+00,LONG,2085,0.0,0.04770968,-0.014434584,-0.10921368
2006-01-31 00:00:00+00,LONG,610,0.0,0.026639285,0.01579156,-0.09658527
2006-02-01 00:00:00+00,LONG,2085,0.0,0.026391283,7.2673534E-4,-0.12403708
2006-02-01 00:00:00+00,LONG,610,0.9772727272727273,0.015817767,0.018656543,-0.102135114
2006-02-01 00:00:00+00,LONG,3853,1.0,0.006149033,0.043557778,-0.06916778
2006-02-02 00:00:00+00,LONG,610,0.9545454545454546,0.012543243,0.00918633,-0.1070001
2006-02-03 00:00:00+00,LONG,2070,0.46278692151921635,0.010067586,0.012893198,-0.07970523
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,0.07383532,0.0014944859,-0.08370335
2006-02-07 00:00:00+00,LONG,76,0.0,0.051786605,0.010152829,-0.09734605
2006-02-08 00:00:00+00,LONG,76,0.0,0.018423783,0.050120585,-0.108675204
2006-02-10 00:00:00+00,LONG,3837,0.0,0.0041421317,0.052256823,-0.12582901
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,0.034499075,0.009437877,-0.07125283
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,0.021599544,0.0014288203,-0.076425284
2006-02-24 00:00:00+00,LONG,3447,0.8349130915199976,0.0024424628,0.013083723,-0.079956956
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,0.016213994,0.0145126665,-0.08358161
2006-03-09 00:00:00+00,LONG,4123,0.6857781721516761,0.017280161,-0.013880723,-0.09295373
2006-03-10 00:00:00+00,LONG,2619,0.5222650583543641,0.022079581,0.029972643,-0.09600582
2006-03-13 00:00:00+00,LONG,2619,0.20515144081334535,0.011075479,0.04714837,-0.103840746
2006-03-16 00:00:00+00,LONG,2518,0.9090909090909091,0.002540907,0.010086677,-0.07424006
2006-03-17 00:00:00+00,LONG,2518,0.9302325581395349,0.014947347,0.053550296,-0.09619413
2006-03-22 00:00:00+00,LONG,1888,0.8222222222222222,0.004618825,0.0052645174,-0.07075866
2006-03-27 00:00:00+00,LONG,3241,0.0,0.14512883,0.011776649,-0.08266986
2006-03-28 00:00:00+00,LONG,3241,0.0,0.13332023,-0.004955191,-0.12451129
2006-04-12 00:00:00+00,LONG,780,0.0,0.014822719,-6.111609E-4,-0.0942615
2006-04-13 00:00:00+00,LONG,780,0.0,0.008346102,-1.8180874E-5,-0.100389265
2006-04-27 00:00:00+00,LONG,1615,0.0,0.082077116,5.349643E-4,-0.11083128
2006-05-03 00:00:00+00,LONG,559,0.0,0.07701466,-0.013784126,-0.07337482
2006-05-04 00:00:00+00,LONG,559,0.0,0.059127994,0.0012772529,-0.110566214
2006-05-08 00:00:00+00,LONG,1867,1.0,0.024932578,7.8767574E-5,-0.12131669
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,0.05067926,-0.008372033,-0.08931489
2006-05-25 00:00:00+00,LONG,397,0.9722222222222222,0.011936873,0.052102026,-0.07357772
2006-05-25 00:00:00+00,LONG,1306,0.5527017284030714,0.00948092,0.031086193,-0.08952512
2006-05-30 00:00:00+00,LONG,397,0.7465390616379117,0.010498656,-0.007155635,-0.08174725
2006-05-31 00:00:00+00,LONG,397,0.7567361469093817,0.011245873,0.010062912,-0.08247439
2006-06-09 00:00:00+00,LONG,2105,0.47157046705045197,0.012678078,-0.022561086,-0.093749754
2006-06-09 00:00:00+00,LONG,684,0.0,0.011922427,0.014669473,-0.07289814
2006-06-12 00:00:00+00,LONG,2105,0.5433551827301658,0.02102105,0.032681227,-0.103125274
2006-06-12 00:00:00+00,LONG,684,0.0,0.021927847,0.029239306,-0.08243049
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,0.01704998,0.0061434037,-0.0841175
2006-06-13 00:00:00+00,LONG,88,1.0,0.05467739,-0.004451953,-0.116462715
2006-06-13 00:00:00+00,LONG,684,0.0,0.014989137,0.012019521,-0.092688985
2006-06-13 00:00:00+00,LONG,934,1.0,0.0534203,0.010491742,-0.10135778
2006-06-13 00:00:00+00,LONG,3013,0.8151647870962435,0.019857215,-0.0040012496,-0.10330157
2006-06-13 00:00:00+00,LONG,984,1.0,0.025303397,-0.008675614,-0.13026494
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,0.035416447,-0.009551763,-0.074043185
2006-06-13 00:00:00+00,LONG,3124,1.0,0.046145413,0.0018581664,-0.08808971
2006-06-13 00:00:00+00,LONG,1171,1.0,0.0053650257,0.016460204,-0.072133034
2006-06-13 00:00:00+00,LONG,3236,0.5295738825796439,0.038767237,-0.019256664,-0.08997949
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,0.049341686,-0.013866445,-0.088285536
2006-06-13 00:00:00+00,LONG,3573,1.0,0.053999025,-0.027657546,-0.11667302
2006-06-13 00:00:00+00,LONG,1762,1.0,0.06794798,-0.003230594,-0.13161613
2006-06-13 00:00:00+00,LONG,3851,0.6304670022178555,0.014711818,-0.0059882454,-0.114772655
2006-06-13 00:00:00+00,LONG,4062,0.0,0.009581363,0.0225579,-0.07067217
2006-06-14 00:00:00+00,LONG,19,0.9523809523809523,0.050962355,0.026708351,-0.12349947
2006-06-14 00:00:00+00,LONG,2125,1.0,0.02769251,0.039854567,-0.117700584
2006-06-14 00:00:00+00,LONG,219,1.0,0.0352102,0.013071614,-0.12723596
2006-06-14 00:00:00+00,LONG,2272,0.0,0.051657576,0.012629701,-0.09197135
2006-06-14 00:00:00+00,LONG,440,0.8074724160952986,0.0060414746,0.030989569,-0.07036356
