time,side,ticker_id,mv_up_composite_labels,delta_pe_qoq_df028,joint_fall_flag_1_20_df042,ma_cloud_diff_13_100_df007,skew_weighted_20_df037
2005-07-13 00:00:00+00,LONG,3702,0.8787878787878788,3.5789473,0.0,-0.02292816,-0.4272241
2005-07-14 00:00:00+00,LONG,465,0.6723856628333704,-1.2181027,0.0,-0.08775219,-0.350137
2005-07-14 00:00:00+00,LONG,3702,0.8484848484848485,3.5789473,0.0,-0.026386013,-0.35402402
2005-07-15 00:00:00+00,LONG,3702,0.8181818181818181,3.5789473,0.0,-0.029647755,-0.38943738
2005-07-18 00:00:00+00,LONG,3702,0.7878787878787878,3.5789473,0.0,-0.034419183,-0.37833077
2005-07-25 00:00:00+00,LONG,2686,0.648012469920028,14.755622,0.0,0.03835045,-0.34722292
2005-07-25 00:00:00+00,LONG,1633,0.21740209374976893,9.434966,0.0,-0.057112116,-0.41104466
2005-07-26 00:00:00+00,LONG,1633,0.26683213986754295,9.434966,0.0,-0.054537285,-0.3948972
2005-07-27 00:00:00+00,LONG,1633,0.2388479988618809,9.434966,0.0,-0.05238332,-0.41621414
2005-07-27 00:00:00+00,LONG,1715,0.9814814814814815,5.451818,0.0,-0.01862747,-0.37043267
2005-08-08 00:00:00+00,LONG,2778,0.0,-6.4228573,0.0,0.012899239,-0.42464286
2005-08-08 00:00:00+00,LONG,3100,0.869998553947048,9.574468,0.0,0.0632874,-0.4030129
2005-08-09 00:00:00+00,LONG,2778,0.26583515347507436,-6.4228573,0.0,0.008429063,-0.36331904
2005-08-09 00:00:00+00,LONG,3100,0.7593907985916503,9.574468,0.0,0.05800048,-0.35565358
2005-08-16 00:00:00+00,LONG,2686,0.5619232659221518,14.755622,0.0,-0.024162356,-0.35601398
2005-08-19 00:00:00+00,LONG,2778,0.19317339074045858,-6.4228573,0.0,-0.033041675,-0.36742488
2005-08-23 00:00:00+00,LONG,2778,0.13014563752172503,-6.4228573,0.0,-0.044282004,-0.35299188
2005-08-25 00:00:00+00,LONG,835,0.6452404679928396,17.136919,0.0,-0.032456513,-0.4192113
2005-08-26 00:00:00+00,LONG,835,0.6112358719012622,17.136919,0.0,-0.031915545,-0.41223472
2005-08-26 00:00:00+00,LONG,3470,0.2786274382288596,28.449625,0.0,0.036387336,-0.3858629
2005-08-29 00:00:00+00,LONG,3470,0.42133022349012483,28.449625,0.0,0.03515835,-0.3502409
2005-08-31 00:00:00+00,LONG,91,0.0,18.763227,0.0,0.013505897,-0.35546398
2005-08-31 00:00:00+00,LONG,2253,0.15016089798563553,-2.9212122,0.0,0.036550958,-0.43524206
2005-09-01 00:00:00+00,LONG,2253,0.14721609741457126,-2.9212122,0.0,0.03121236,-0.40804943
2005-09-02 00:00:00+00,LONG,2253,0.1328658908999803,-2.9212122,0.0,0.026797645,-0.40301225
2005-09-06 00:00:00+00,LONG,2253,0.0,-2.9212122,0.0,0.022844564,-0.34703153
2005-09-06 00:00:00+00,LONG,1191,0.0,-9.69875,0.0,0.06914558,-0.3586332
2005-09-07 00:00:00+00,LONG,2253,0.10822007177937852,-2.9212122,0.0,0.018681403,-0.40777588
2005-09-09 00:00:00+00,LONG,2253,0.0,-2.9212122,0.0,0.011398541,-0.34306753
2005-09-13 00:00:00+00,LONG,2830,0.0,1.6743952,0.0,-0.017870393,-0.3702467
2005-09-20 00:00:00+00,LONG,135,0.8,-0.7,0.0,0.0019374745,-0.35290346
2005-09-21 00:00:00+00,LONG,1633,0.6244816552148627,9.434966,0.0,-0.042015586,-0.43697977
2005-09-21 00:00:00+00,LONG,3912,0.6579636154456063,-5.6363635,0.0,-0.040982053,-0.3793319
2005-09-22 00:00:00+00,LONG,1063,0.23853540870599282,-1.6912841,0.0,-0.05398419,-0.38086116
2005-10-05 00:00:00+00,LONG,386,0.9247381023165638,-1.5685158,0.0,-0.029802373,-0.3623982
2005-10-07 00:00:00+00,LONG,1205,1.0,-8.484848,0.0,-0.025085317,-0.3969888
2005-10-10 00:00:00+00,LONG,2527,0.9772727272727273,-17.914194,0.0,-0.099138126,-0.3916294
2005-10-12 00:00:00+00,LONG,2085,0.0,3.6222222,0.0,-0.067742884,-0.34660003
2005-10-12 00:00:00+00,LONG,386,0.7406749327202289,-1.5685158,0.0,-0.043227233,-0.4390066
2005-10-12 00:00:00+00,LONG,2527,0.9318181818181819,-17.914194,0.0,-0.099902436,-0.35499445
2005-10-13 00:00:00+00,LONG,158,0.9761904761904762,7.3333335,0.0,0.07227788,-0.35241225
2005-10-13 00:00:00+00,LONG,2396,1.0,7.48423,0.0,0.02817625,-0.3606077
2005-10-13 00:00:00+00,LONG,386,0.8666666666666667,-1.5685158,0.0,-0.044151455,-0.40792325
2005-10-13 00:00:00+00,LONG,2527,0.9090909090909091,-17.914194,0.0,-0.10077148,-0.36195067
2005-10-13 00:00:00+00,LONG,3359,1.0,-7.8809524,0.0,0.06133068,-0.4027944
2005-10-13 00:00:00+00,LONG,1745,0.7997096934128503,-2.8017094,0.0,-0.08118579,-0.43832782
2005-10-14 00:00:00+00,LONG,158,0.9523809523809523,7.3333335,0.0,0.063995056,-0.34452438
2005-10-14 00:00:00+00,LONG,270,0.41900990068707583,14.860289,0.0,0.027837971,-0.40115598
2005-10-14 00:00:00+00,LONG,2425,0.5630988689249222,-2.6663306,0.0,0.023151943,-0.43496418
2005-10-14 00:00:00+00,LONG,386,0.7180828197823599,-1.5685158,0.0,-0.044148657,-0.35691035
2005-10-14 00:00:00+00,LONG,413,0.35079344764333636,-5.606383,0.0,-0.048561633,-0.42374068
2005-10-14 00:00:00+00,LONG,2543,0.3461937690759184,8.85,0.0,-0.036079533,-0.38254753
2005-10-14 00:00:00+00,LONG,2778,0.5033779716868467,-6.4228573,0.0,-0.0640055,-0.41843995
2005-10-14 00:00:00+00,LONG,3359,0.9565217391304348,-7.8809524,0.0,0.05460242,-0.4191054
2005-10-14 00:00:00+00,LONG,1745,0.700220996682724,-2.8017094,0.0,-0.08428887,-0.43344274
2005-10-17 00:00:00+00,LONG,68,0.9361702127659575,-5.236607,0.0,-0.077149495,-0.43208674
2005-10-17 00:00:00+00,LONG,158,0.0,7.3333335,0.0,0.055774517,-0.36753118
2005-10-17 00:00:00+00,LONG,413,0.35595974669786923,-5.606383,0.0,-0.046808373,-0.37719738
2005-10-17 00:00:00+00,LONG,2543,0.42426188014953,8.85,0.0,-0.03903036,-0.39525402
2005-10-17 00:00:00+00,LONG,2778,0.0,-6.4228573,0.0,-0.067754366,-0.4165064
2005-10-17 00:00:00+00,LONG,1745,0.7636761264239095,-2.8017094,0.0,-0.08720449,-0.41320184
2005-10-18 00:00:00+00,LONG,68,0.9148936170212766,-5.236607,0.0,-0.083211295,-0.40980843
2005-10-18 00:00:00+00,LONG,158,0.9047619047619048,7.3333335,0.0,0.045170322,-0.40451232
2005-10-18 00:00:00+00,LONG,2543,0.3806105474131439,8.85,0.0,-0.042612705,-0.35265273
2005-10-18 00:00:00+00,LONG,2546,0.2707878708955461,-2.6268399,0.0,0.026856894,-0.37917435
2005-10-18 00:00:00+00,LONG,2778,0.47197288714724805,-6.4228573,0.0,-0.072467625,-0.43911007
2005-10-18 00:00:00+00,LONG,1745,0.7652342834622916,-2.8017094,0.0,-0.09194295,-0.43478438
2005-10-19 00:00:00+00,LONG,68,0.8936170212765957,-5.236607,0.0,-0.09047137,-0.34128124
2005-10-19 00:00:00+00,LONG,3743,0.27572462351213717,15.480472,0.0,-0.098401085,-0.4286863
2005-10-20 00:00:00+00,LONG,4122,0.9090909090909091,1.8974359,0.0,-0.02133205,-0.36393166
2005-10-20 00:00:00+00,LONG,2079,1.0,-9.285714,0.0,-0.032658428,-0.39673758
2005-10-20 00:00:00+00,LONG,881,0.0,0.29842582,0.0,-0.06595337,-0.41926673
2005-10-20 00:00:00+00,LONG,2932,0.8379050895752502,16.51462,0.0,0.089852296,-0.3690438
2005-10-20 00:00:00+00,LONG,3646,0.9433962264150944,-15.909149,0.0,-0.048042774,-0.3793991
2005-10-21 00:00:00+00,LONG,836,0.39922110125820914,-12.96888,0.0,-0.044646993,-0.41585594
2005-10-21 00:00:00+00,LONG,2936,0.3992762993318415,-16.442343,0.0,-0.0722435,-0.35282493
2005-10-24 00:00:00+00,LONG,243,0.272778622458458,0.8899522,0.0,-0.06234867,-0.36879987
2005-10-24 00:00:00+00,LONG,559,1.0,0.42083332,0.0,0.09603642,-0.38357565
2005-10-24 00:00:00+00,LONG,836,0.33169967637110476,-12.96888,0.0,-0.047567017,-0.35990873
2005-10-25 00:00:00+00,LONG,2070,0.9482758620689655,-4.3301525,0.0,-0.07706342,-0.425146
2005-10-25 00:00:00+00,LONG,559,0.9811320754716981,0.42083332,0.0,0.09085453,-0.37173897
2005-10-26 00:00:00+00,LONG,2070,0.9310344827586207,-4.3301525,0.0,-0.079316966,-0.42166278
2005-10-26 00:00:00+00,LONG,243,0.20393345784787067,0.8899522,0.0,-0.0687965,-0.3593801
2005-10-26 00:00:00+00,LONG,2396,0.8085106382978724,7.48423,0.0,-0.022317536,-0.3998969
2005-10-26 00:00:00+00,LONG,3681,0.676447333629287,15.093023,0.0,0.029296052,-0.41962373
2005-10-27 00:00:00+00,LONG,2079,0.8717948717948718,-9.285714,0.0,-0.049215384,-0.35120916
2005-10-27 00:00:00+00,LONG,243,0.24395993763206442,-11.492508,0.0,-0.07494186,-0.41242266
2005-10-27 00:00:00+00,LONG,2557,0.4114283028431693,3.281106,0.0,-0.085905924,-0.4210333
2005-10-27 00:00:00+00,LONG,2778,0.6881245573470907,-8.162963,0.0,-0.08790948,-0.38512683
2005-10-27 00:00:00+00,LONG,1141,1.0,-6.2869635,0.0,-0.06874749,-0.4195401
