time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,earnings_drift_10_df011
2005-03-15 00:00:00+00,SHORT,3244,0.5301757312030042,-0.010653704,0.0
2005-03-16 00:00:00+00,SHORT,2747,1.0,-0.0049933842,0.0
2005-03-17 00:00:00+00,SHORT,2747,0.9285714285714286,-0.008603645,0.0
2005-03-18 00:00:00+00,SHORT,712,1.0,-0.007972884,0.0
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.009127955,0.0
2005-03-22 00:00:00+00,SHORT,3794,1.0,-0.009218474,0.0
2005-03-23 00:00:00+00,SHORT,2923,1.0,0.006315365,0.0
2005-03-28 00:00:00+00,SHORT,4218,1.0,-0.0013289801,0.0
2005-03-30 00:00:00+00,SHORT,4218,0.9047619047619048,-0.01160858,0.0
2005-03-31 00:00:00+00,SHORT,443,0.5583644958462168,-0.008473088,0.0
2005-04-01 00:00:00+00,SHORT,730,0.4511181226669267,-0.012453307,0.0
2005-04-01 00:00:00+00,SHORT,3613,0.7390763237054241,-0.009464974,0.0
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,-0.012688286,0.0
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.009412141,0.0
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.008374957,0.0
2005-04-06 00:00:00+00,SHORT,2297,0.0,-0.004162621,0.0
2005-04-06 00:00:00+00,SHORT,2818,0.33126203427535694,-0.0066170506,0.0
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.012579963,0.0
2005-04-07 00:00:00+00,SHORT,2261,0.0,-0.010945626,0.0
2005-04-07 00:00:00+00,SHORT,444,1.0,-0.0019263288,0.0
2005-04-07 00:00:00+00,SHORT,1826,0.40539782864250584,-0.012173554,0.0
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.007948875,0.0
2005-04-11 00:00:00+00,SHORT,2253,1.0,-0.0048429347,0.0
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.012527466,0.0
2005-04-11 00:00:00+00,SHORT,3124,0.6282250945177908,-0.01203428,0.0
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.011998008,0.0
2005-04-12 00:00:00+00,SHORT,4122,1.0,-0.0041005528,0.0
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.010152255,0.0
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.00994062,0.029285463
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.010194181,0.0
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.010594586,0.0
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.012723711,0.0
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.00832698,0.0
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,-0.003121222,0.0
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.0050639417,0.13353509
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,-0.004181359,0.0
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,-0.0046317084,0.0
2005-04-13 00:00:00+00,SHORT,424,0.0,-5.986993E-4,0.0
2005-04-13 00:00:00+00,SHORT,780,1.0,-0.005547461,0.0
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.009670642,0.0
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.009903523,0.0
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,-0.004342285,0.0
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.011430401,0.0
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,-0.009337649,0.0
2005-04-26 00:00:00+00,SHORT,1851,0.0,-0.011791929,0.0
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,-0.0021785533,0.0
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,-0.006140465,0.03963095
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.012809364,0.04299791
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,-0.0047884393,0.0
2005-05-04 00:00:00+00,SHORT,3513,0.5124445080982103,3.192602E-5,0.017432904
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.012189317,0.013070812
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,-0.009427783,0.08392269
2005-05-09 00:00:00+00,SHORT,522,0.7658702973282816,-0.011758759,0.0
2005-05-09 00:00:00+00,SHORT,2932,0.0,-0.009996463,0.07404812
2005-05-10 00:00:00+00,SHORT,835,0.0,-0.006273194,0.0
2005-05-11 00:00:00+00,SHORT,610,0.0,-0.009304791,0.022521008
2005-05-18 00:00:00+00,SHORT,3049,0.6737077460851749,-0.0065133725,0.12104288
2005-05-31 00:00:00+00,SHORT,862,0.48831110171343206,-0.009648018,0.0
2005-06-01 00:00:00+00,SHORT,505,1.0,-0.010720648,0.0
2005-06-02 00:00:00+00,SHORT,19,1.0,-0.0042795963,0.0
2005-06-02 00:00:00+00,SHORT,796,1.0,0.0013096635,0.0
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,-0.0075628944,0.0
2005-06-02 00:00:00+00,SHORT,1817,0.0,-0.008714996,0.0
2005-06-03 00:00:00+00,SHORT,4171,0.2044844262964278,0.012483922,0.0
2005-06-03 00:00:00+00,SHORT,2041,0.146530409091677,-0.008939215,0.0
2005-06-07 00:00:00+00,SHORT,2297,0.6058787381223188,-0.0012551395,0.0
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,-0.008281766,0.0
2005-06-09 00:00:00+00,SHORT,191,0.0,-0.0117378505,0.0
2005-06-10 00:00:00+00,SHORT,2640,0.0,0.006762379,0.0
2005-06-13 00:00:00+00,SHORT,3837,0.8112702773646968,0.0038674867,0.0
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,-0.001829168,0.0
2005-06-14 00:00:00+00,SHORT,3645,0.6292241096707004,-0.007834798,0.0
2005-06-14 00:00:00+00,SHORT,3837,0.624959555785825,-0.01210688,0.0
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.003646286,0.044418603
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,-0.011644363,0.03394092
2005-06-16 00:00:00+00,SHORT,1063,0.19937735181705368,0.004293914,0.0
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,-0.0058594844,0.04969291
2005-06-16 00:00:00+00,SHORT,3595,0.0,0.0049316064,0.0
2005-06-16 00:00:00+00,SHORT,3641,0.0,-0.01002318,0.0
2005-06-16 00:00:00+00,SHORT,1869,0.0,0.003783342,0.0
2005-06-16 00:00:00+00,SHORT,2004,0.5333408473562933,-0.0020587693,0.0
2005-06-17 00:00:00+00,SHORT,2055,0.0,-0.012063975,0.0
2005-06-17 00:00:00+00,SHORT,245,0.4036541124299408,-0.010127923,0.0
2005-06-17 00:00:00+00,SHORT,2343,0.4046572580384719,-0.0029331923,0.0
2005-06-17 00:00:00+00,SHORT,2367,0.2372412825140687,8.0710277E-4,0.0
2005-06-17 00:00:00+00,SHORT,335,0.0,-0.0056228773,0.0
2005-06-17 00:00:00+00,SHORT,498,0.0,-0.011662884,0.0
2005-06-17 00:00:00+00,SHORT,2550,0.0,-0.009548111,0.0
2005-06-17 00:00:00+00,SHORT,2710,0.0,-0.0023296853,0.0
2005-06-17 00:00:00+00,SHORT,817,0.0,0.0049443142,0.0
2005-06-17 00:00:00+00,SHORT,838,0.0,-0.009972896,0.0
2005-06-17 00:00:00+00,SHORT,907,0.5469040794819283,-0.012499017,0.019193234
2005-06-17 00:00:00+00,SHORT,2993,0.0,0.0085847555,0.0
2005-06-17 00:00:00+00,SHORT,3013,0.0,-0.012473863,0.0
2005-06-17 00:00:00+00,SHORT,988,0.4045858058783273,-1.5306695E-4,0.0
2005-06-17 00:00:00+00,SHORT,3049,1.0,-0.0075982595,0.0
2005-06-17 00:00:00+00,SHORT,3286,0.0,-0.0065864166,0.0
2005-06-17 00:00:00+00,SHORT,1330,0.0,-0.008093752,0.0
2005-06-17 00:00:00+00,SHORT,3573,0.0,-0.0011866931,0.0
2005-06-17 00:00:00+00,SHORT,3641,0.0,-0.010959378,0.0
2005-06-17 00:00:00+00,SHORT,1819,0.0,-0.0034228424,0.0
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,-0.006491663,0.0
2005-06-17 00:00:00+00,SHORT,3947,0.1344109708135434,-0.010806487,0.0
2005-06-17 00:00:00+00,SHORT,2028,0.0,-0.008185534,0.0
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,-0.011725156,0.0
2005-06-20 00:00:00+00,SHORT,907,0.5434883358259087,-0.008218817,0.023096941
2005-06-20 00:00:00+00,SHORT,3641,0.0,-0.009122179,0.0
2005-06-20 00:00:00+00,SHORT,3748,0.0,0.0072010243,0.0
2005-06-20 00:00:00+00,SHORT,1719,0.0,0.003269365,0.0
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,-0.009931215,0.0
