time,side,ticker_id,mv_dn_composite_labels,accel_price_21_df021,joint_fall_flag_1_10_df042,dist_upper_bb_20_2.0_df055,delta_volume_21_df024
2005-05-06 00:00:00+00,SHORT,3065,0.4843891750145713,-0.0031095876,1.0,-0.01950432,1079400.0
2005-05-06 00:00:00+00,SHORT,1167,0.09554073349765636,-0.0066802865,1.0,-0.010500201,109218.0
2005-05-06 00:00:00+00,SHORT,1280,0.0,0.014013904,1.0,-0.019168554,-92800.0
2005-05-09 00:00:00+00,SHORT,405,0.38790455152396797,-0.007520038,1.0,-0.02321642,1506800.0
2005-05-24 00:00:00+00,SHORT,835,0.0,-0.011697717,1.0,-0.026192712,-2800.0
2005-05-25 00:00:00+00,SHORT,1840,1.0,-0.0113847,1.0,-0.020990837,141600.0
2005-06-07 00:00:00+00,SHORT,862,0.0,-0.010986023,1.0,-0.025678119,259200.0
2005-06-07 00:00:00+00,SHORT,1410,0.4976445512136884,-3.6214644E-4,1.0,-0.025326217,651400.0
2005-06-08 00:00:00+00,SHORT,2067,0.55775785304733,-0.016150385,1.0,-0.018009655,1194314.0
2005-06-08 00:00:00+00,SHORT,4197,0.8257972924271684,-0.015903767,1.0,-0.017813671,137992.0
2005-06-16 00:00:00+00,SHORT,4197,0.23143534016671075,0.0015800539,1.0,-0.02615908,-10324.0
2005-06-20 00:00:00+00,SHORT,245,0.34415895296479115,0.0010247214,1.0,-0.0068395403,12215.0
2005-06-22 00:00:00+00,SHORT,245,0.2766931282513203,-0.016371395,1.0,-0.01104357,-73184.0
2005-06-22 00:00:00+00,SHORT,687,0.0,-0.0071064304,1.0,-0.025131762,100800.0
2005-06-23 00:00:00+00,SHORT,1454,0.0,-0.011559294,1.0,-0.021167891,1630698.0
2005-06-24 00:00:00+00,SHORT,68,0.0,-0.0025571184,1.0,-0.022910215,1336300.0
2005-06-27 00:00:00+00,SHORT,907,0.3615405392475686,-6.374408E-4,1.0,-0.018900119,556500.0
2005-06-29 00:00:00+00,SHORT,2462,0.0,-0.008636802,1.0,-0.019548707,271600.0
2005-06-29 00:00:00+00,SHORT,934,0.0,0.014903884,1.0,-0.022606302,-5100.0
2005-06-30 00:00:00+00,SHORT,93,0.48509755370600116,0.0060947286,1.0,-0.016952785,-2800.0
2005-07-06 00:00:00+00,SHORT,787,0.0,-0.015622455,1.0,-0.013905195,35548.0
2005-07-06 00:00:00+00,SHORT,3420,0.42821436515258887,-0.0022225287,1.0,-0.019147562,1135900.0
2005-07-12 00:00:00+00,SHORT,1250,0.08499620943130327,0.0033809256,1.0,-0.01599397,1127300.0
2005-07-19 00:00:00+00,SHORT,2175,0.32566662009729713,0.006907627,1.0,-0.01711377,1081600.0
2005-07-21 00:00:00+00,SHORT,2226,1.0,-0.007924528,1.0,-0.019310694,-105800.0
2005-07-25 00:00:00+00,SHORT,13,0.3551102640963113,-0.005164584,1.0,-0.007190481,-91100.0
2005-07-26 00:00:00+00,SHORT,13,0.3185004256560223,-0.0015423351,1.0,-0.008381365,-25900.0
2005-07-26 00:00:00+00,SHORT,2006,0.25740427753885486,0.008660494,1.0,-0.020947494,495800.0
2005-07-29 00:00:00+00,SHORT,2351,1.0,-2.0661381E-4,1.0,-0.009145572,-3100.0
2005-07-29 00:00:00+00,SHORT,2462,1.0,0.017600786,1.0,-0.020113945,-107600.0
2005-07-29 00:00:00+00,SHORT,2006,0.6190476190476191,0.004314556,1.0,-0.025078373,803900.0
2005-08-02 00:00:00+00,SHORT,2196,0.3513816735502997,0.0068042916,1.0,-0.012959997,741617.0
2005-08-02 00:00:00+00,SHORT,2351,0.1724781702635038,-0.001140801,1.0,-0.010323155,48200.0
2005-08-04 00:00:00+00,SHORT,2938,0.01909844305322394,0.008317377,1.0,-0.017176501,318200.0
2005-08-04 00:00:00+00,SHORT,1308,0.5923893182626797,0.0010310677,1.0,-0.026000028,176700.0
2005-08-04 00:00:00+00,SHORT,1967,0.34178449235430247,-0.011590725,1.0,-0.020839453,149000.0
2005-08-10 00:00:00+00,SHORT,1144,0.35566799284903816,-0.014595603,1.0,-0.024409197,122400.0
2005-08-11 00:00:00+00,SHORT,2055,0.0,-0.004406667,1.0,-0.02174549,203490.0
2005-08-11 00:00:00+00,SHORT,934,0.5817051256969874,0.0041546463,1.0,-0.023310112,1400.0
2005-08-11 00:00:00+00,SHORT,1967,0.3351194694341358,-0.0012810444,1.0,-0.019224836,-66800.0
2005-08-12 00:00:00+00,SHORT,440,0.2792954861535997,-0.0075594382,1.0,-0.006244424,-75702.0
2005-08-12 00:00:00+00,SHORT,1141,0.8125,0.0065323673,1.0,-0.011857921,-29700.0
2005-08-12 00:00:00+00,SHORT,3804,0.0,0.011465727,1.0,-0.018630974,-62700.0
2005-08-12 00:00:00+00,SHORT,1967,0.23387467971231496,-0.016130103,1.0,-0.026198873,547200.0
2005-08-15 00:00:00+00,SHORT,2055,0.0,-0.017987872,1.0,-0.022331841,-113715.0
2005-08-15 00:00:00+00,SHORT,440,0.22740254279006095,-0.0050313454,1.0,-0.011481752,101309.0
2005-08-15 00:00:00+00,SHORT,3804,0.0,-0.0017939332,1.0,-0.025297198,-55500.0
2005-08-16 00:00:00+00,SHORT,540,0.1412660223845527,-0.008563178,1.0,-0.01749059,19500.0
2005-08-22 00:00:00+00,SHORT,540,0.0,-6.9180486E-4,1.0,-0.013816697,-45300.0
2005-08-23 00:00:00+00,SHORT,540,0.04735472126511753,-0.010397166,1.0,-0.015965035,-7600.0
2005-08-23 00:00:00+00,SHORT,3811,0.240371300594535,0.0064665475,1.0,-0.016464423,784100.0
2005-08-24 00:00:00+00,SHORT,3811,0.19829243064618995,-0.016838612,1.0,-0.019183874,434700.0
2005-08-25 00:00:00+00,SHORT,540,0.0,-0.018218702,1.0,-0.024066867,-41300.0
2005-08-26 00:00:00+00,SHORT,2381,0.297466268178743,-0.013473677,1.0,-0.02042363,454800.0
2005-08-30 00:00:00+00,SHORT,1360,0.8333333333333334,-3.456719E-4,1.0,-0.01926141,-29935.0
2005-09-01 00:00:00+00,SHORT,2818,0.0,0.010859975,1.0,-0.004915219,-130000.0
2005-09-01 00:00:00+00,SHORT,1514,0.6369221369915268,1.1702062E-4,1.0,-0.007985997,123900.0
2005-09-12 00:00:00+00,SHORT,713,0.37904371092256345,-0.014631224,1.0,-0.02421245,38300.0
2005-09-12 00:00:00+00,SHORT,3124,0.6553188647409242,-0.015080457,1.0,-0.02577561,-1300.0
2005-09-12 00:00:00+00,SHORT,3430,0.251250631386217,-0.0016840347,1.0,-0.02425698,318001.0
2005-09-13 00:00:00+00,SHORT,2276,0.736842105263158,-0.006248198,1.0,-0.019629344,327600.0
2005-09-13 00:00:00+00,SHORT,444,0.5808225021199277,-0.0021709872,1.0,-0.025133329,274700.0
2005-09-13 00:00:00+00,SHORT,3430,0.4550973536925357,-0.007541536,1.0,-0.025118466,1066501.0
2005-09-14 00:00:00+00,SHORT,1471,0.7750181811985469,0.0053494154,1.0,-0.010403919,-65600.0
2005-09-14 00:00:00+00,SHORT,1514,0.29121199256380975,-0.012520315,1.0,-0.023680907,-50500.0
2005-09-15 00:00:00+00,SHORT,3287,0.3690906571915809,0.0081023285,1.0,-0.015331195,-37950.0
2005-09-15 00:00:00+00,SHORT,3621,0.5214234186453999,-2.0005649E-4,1.0,-0.015547637,21000.0
2005-09-16 00:00:00+00,SHORT,3287,0.2484094195979078,-0.0025243012,1.0,-0.016687023,307950.0
2005-09-19 00:00:00+00,SHORT,84,1.0,-0.0131720025,1.0,-0.010633985,-84700.0
2005-09-19 00:00:00+00,SHORT,641,0.5036219508363523,-0.004551446,1.0,-0.011171162,330500.0
2005-09-19 00:00:00+00,SHORT,1324,0.26874280776243786,-0.005957568,1.0,-0.02592617,-69500.0
2005-09-19 00:00:00+00,SHORT,1361,1.0,-0.004365634,1.0,-0.015025656,1627161.0
2005-09-19 00:00:00+00,SHORT,3621,0.37078316677249745,-0.010141208,1.0,-0.026353592,-21600.0
2005-09-19 00:00:00+00,SHORT,3973,0.4619585704871062,-0.01237406,1.0,-0.02190005,11200.0
2005-09-20 00:00:00+00,SHORT,84,0.875,-0.014493223,1.0,-0.01586615,249600.0
2005-09-20 00:00:00+00,SHORT,2276,0.4736842105263158,0.0017999087,1.0,-0.021293754,174800.0
2005-09-20 00:00:00+00,SHORT,641,0.5264266445021363,-0.005274926,1.0,-0.016835028,607400.0
2005-09-20 00:00:00+00,SHORT,3381,0.0,-0.009571618,1.0,-0.020899622,604606.0
2005-09-20 00:00:00+00,SHORT,3621,0.3270735402668358,0.0072793895,1.0,-0.026052691,30100.0
2005-09-21 00:00:00+00,SHORT,2818,0.0,-0.009720081,1.0,-0.012191017,427000.0
2005-09-27 00:00:00+00,SHORT,641,0.14157048936010633,0.007887152,1.0,-0.02112719,90100.0
2005-10-03 00:00:00+00,SHORT,4169,0.37564875811329174,-0.01751853,1.0,-0.014964269,-95987.0
2005-10-03 00:00:00+00,SHORT,2270,0.2189816046148284,-0.0060816384,1.0,-0.0062798173,13400.0
2005-10-03 00:00:00+00,SHORT,995,0.0,-9.441215E-4,1.0,-0.025888672,-69900.0
2005-10-04 00:00:00+00,SHORT,4169,0.30656574523583724,-0.005366732,1.0,-0.024097111,46094.0
2005-10-04 00:00:00+00,SHORT,3841,0.20550308391413832,-0.016516032,1.0,-0.01539693,1076400.0
2005-10-10 00:00:00+00,SHORT,3244,0.0,-0.017438365,1.0,-0.023973234,226500.0
2005-10-18 00:00:00+00,SHORT,1236,1.0,-5.6480925E-4,1.0,-0.018647945,795400.0
2005-10-18 00:00:00+00,SHORT,1803,0.4081478455229577,-0.012813417,1.0,-0.024481773,27300.0
2005-10-20 00:00:00+00,SHORT,3907,0.0,0.0028543756,1.0,-0.02498742,1354000.0
2005-11-01 00:00:00+00,SHORT,1300,0.3607791991589362,-0.015679352,1.0,-0.019216621,357600.0
2005-11-04 00:00:00+00,SHORT,3831,0.2336317224154893,-0.017486123,1.0,-0.021531723,393800.0
2005-11-15 00:00:00+00,SHORT,3203,0.2087956782667271,0.006649594,1.0,-0.02092758,41899.0
2005-11-18 00:00:00+00,SHORT,4215,0.8333333333333334,-0.0036661022,1.0,-0.009680452,1400.0
2005-12-01 00:00:00+00,SHORT,131,0.20426635887101158,-0.006864304,1.0,-0.02003071,115600.0
2005-12-07 00:00:00+00,SHORT,862,0.25673420799890445,-0.014228987,1.0,-0.018248564,158000.0
2005-12-07 00:00:00+00,SHORT,3607,0.2110171274290171,-0.005214223,1.0,-0.01329098,364100.0
2005-12-08 00:00:00+00,SHORT,131,0.08611828385900382,0.0026853222,1.0,-0.026362209,65000.0
2005-12-08 00:00:00+00,SHORT,3607,0.3760238275018503,4.754214E-4,1.0,-0.014004159,548300.0
2005-12-13 00:00:00+00,SHORT,131,0.021288411522062838,6.3757856E-5,1.0,-0.018166397,525800.0
2005-12-13 00:00:00+00,SHORT,2816,0.0,-0.00256068,1.0,-0.019549098,-4000.0
2005-12-13 00:00:00+00,SHORT,937,0.0887105236169226,-0.013945406,1.0,-0.022878727,561700.0
2005-12-14 00:00:00+00,SHORT,2912,0.2231696146587095,-0.0041168407,1.0,-0.020287257,-66350.0
2005-12-14 00:00:00+00,SHORT,4032,0.40980648426593713,0.003228288,1.0,-0.009447005,-88215.0
2005-12-15 00:00:00+00,SHORT,2557,0.0,0.0032890143,1.0,-0.0216622,-60600.0
2005-12-15 00:00:00+00,SHORT,1650,0.0,-0.008504909,1.0,-0.02354477,1281100.0
2005-12-15 00:00:00+00,SHORT,1869,0.0,-0.01504021,1.0,-0.022497626,432500.0
2005-12-16 00:00:00+00,SHORT,2557,0.0,0.0073407902,1.0,-0.024045337,366600.0
2005-12-23 00:00:00+00,SHORT,2557,0.0,-0.0015245748,1.0,-0.012220736,-127900.0
2005-12-27 00:00:00+00,SHORT,3052,0.09830544158144336,-0.009410354,1.0,-0.021499014,124300.0
2005-12-27 00:00:00+00,SHORT,1112,0.0,-0.0047036074,1.0,-0.02507845,134800.0
2006-01-04 00:00:00+00,SHORT,195,0.6428571428571429,0.0057751476,1.0,-0.019622734,1193700.0
2006-01-05 00:00:00+00,SHORT,602,0.0,-0.0049042124,1.0,-0.01575913,-33507.0
2006-01-09 00:00:00+00,SHORT,2990,0.19186843397228567,0.00539194,1.0,-0.008896312,265206.0
2006-01-09 00:00:00+00,SHORT,1063,0.2747442376384684,-0.0020250333,1.0,-0.017123342,1737689.0
2006-01-10 00:00:00+00,SHORT,3130,0.5043975398471745,-0.0035315459,1.0,-0.025868021,-15900.0
2006-01-10 00:00:00+00,SHORT,1668,0.2286480943507726,0.0070117656,1.0,-0.02080527,-14300.0
2006-01-11 00:00:00+00,SHORT,1063,0.270190241565829,-0.010306667,1.0,-0.024641853,1425099.0
2006-01-12 00:00:00+00,SHORT,121,0.3615647849446456,-0.0047509028,1.0,-0.024611404,43060.0
2006-01-12 00:00:00+00,SHORT,397,0.15273486867600136,-0.012683969,1.0,-0.022772117,380200.0
2006-01-20 00:00:00+00,SHORT,1173,0.646221371162219,0.0020607898,1.0,-0.013958218,1420800.0
2006-01-24 00:00:00+00,SHORT,1173,0.4838316848436613,0.0066217403,1.0,-0.025158644,348700.0
2006-01-26 00:00:00+00,SHORT,4218,0.0,0.0016811535,1.0,-0.018766657,1301200.0
2006-01-27 00:00:00+00,SHORT,3802,0.3176804289685995,-0.0014732088,1.0,-0.013706876,457208.0
2006-01-30 00:00:00+00,SHORT,475,0.21993173602625957,-0.014228609,1.0,-0.012785864,111000.0
2006-01-30 00:00:00+00,SHORT,1474,0.14464829390362258,6.7718705E-4,1.0,-0.009563431,260101.0
2006-01-30 00:00:00+00,SHORT,1816,0.39576757497298815,-0.015559448,1.0,-0.01858049,662400.0
2006-02-01 00:00:00+00,SHORT,2116,0.4937703789231454,-0.015806055,1.0,-0.013638624,-73200.0
2006-02-01 00:00:00+00,SHORT,4089,0.0,-0.009439528,1.0,-0.022445817,-15700.0
2006-02-06 00:00:00+00,SHORT,487,0.42915118612024494,-0.01410081,1.0,-0.025508894,265900.0
2006-02-08 00:00:00+00,SHORT,487,0.3935233535559777,0.004092401,1.0,-0.017569104,1553200.0
2006-02-09 00:00:00+00,SHORT,1297,0.0,-0.012368947,1.0,-0.012866762,477854.0
2006-02-21 00:00:00+00,SHORT,4163,0.21731662817465763,0.011126842,1.0,-0.025648467,151265.0
2006-02-22 00:00:00+00,SHORT,853,0.5591315625250856,-0.006666667,1.0,-0.019831369,186800.0
2006-02-27 00:00:00+00,SHORT,2343,0.44214803735689934,-0.013582506,1.0,-0.008313613,-6867.0
2006-02-27 00:00:00+00,SHORT,4089,0.37673262657043655,-0.007688089,1.0,-0.023159469,-40900.0
2006-02-28 00:00:00+00,SHORT,2343,0.40626111322755,-0.014284516,1.0,-0.019872757,4100.0
2006-03-01 00:00:00+00,SHORT,212,0.0,-0.017736103,1.0,-0.023760898,1523200.0
2006-03-01 00:00:00+00,SHORT,2343,0.3799582768137576,0.007921521,1.0,-0.021837275,-22550.0
2006-03-01 00:00:00+00,SHORT,2961,0.0,0.006420841,1.0,-0.024668703,149800.0
2006-03-01 00:00:00+00,SHORT,1816,0.2650913267690126,-7.453606E-4,1.0,-0.021714557,284700.0
2006-03-02 00:00:00+00,SHORT,2067,0.7481918808418871,-0.0044279294,1.0,-0.012502444,1171080.0
2006-03-02 00:00:00+00,SHORT,3699,0.5510056168214934,-0.008568996,1.0,-0.016511055,747200.0
