time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_8_50_df059,skew_weighted_10_df037,joint_fall_flag_5_10_df042
2005-05-05 00:00:00+00,LONG,3918,0.3531514993413711,13.0,-0.2878383,1.0
2005-05-06 00:00:00+00,LONG,64,0.0,14.0,-0.3584983,1.0
2005-05-09 00:00:00+00,LONG,3378,0.10442275806570196,11.0,-0.45973974,1.0
2005-05-11 00:00:00+00,LONG,2365,0.06951227772585375,15.0,-0.4475787,1.0
2005-05-12 00:00:00+00,LONG,2365,0.07112801391809824,16.0,-0.30220106,1.0
2005-05-13 00:00:00+00,LONG,2365,0.07587420289511376,17.0,-0.29353395,1.0
2005-05-16 00:00:00+00,LONG,602,0.9393939393939394,19.0,-0.4127821,1.0
2005-05-16 00:00:00+00,LONG,2896,1.0,19.0,-0.34279916,1.0
2005-05-16 00:00:00+00,LONG,1740,1.0,11.0,-0.3378357,1.0
2005-05-17 00:00:00+00,LONG,3561,0.9661016949152542,21.0,-0.3848608,1.0
2005-05-17 00:00:00+00,LONG,4086,1.0,10.0,-0.3987193,1.0
2005-05-18 00:00:00+00,LONG,4169,0.307644543243585,19.0,-0.37408283,1.0
2005-05-31 00:00:00+00,LONG,4223,0.0,11.0,-0.29793912,1.0
2005-05-31 00:00:00+00,LONG,3652,0.5574293118870428,21.0,-0.3497169,1.0
2005-06-01 00:00:00+00,LONG,4223,0.0,12.0,-0.34652585,1.0
2005-06-01 00:00:00+00,LONG,1167,0.7547169811320755,10.0,-0.46095183,1.0
2005-06-17 00:00:00+00,LONG,2548,1.0,5.0,-0.2834399,1.0
2005-06-20 00:00:00+00,LONG,2548,0.962962962962963,6.0,-0.2672841,1.0
2005-06-23 00:00:00+00,LONG,1260,0.0,6.0,-0.3504593,1.0
2005-06-24 00:00:00+00,LONG,1260,0.0547129870586301,7.0,-0.40151086,1.0
2005-06-27 00:00:00+00,LONG,3293,2.495981133658829E-17,10.0,-0.32879728,1.0
2005-06-28 00:00:00+00,LONG,2751,0.0,6.0,-0.28659368,1.0
2005-07-01 00:00:00+00,LONG,1715,0.0,8.0,-0.2644109,1.0
2005-07-05 00:00:00+00,LONG,862,1.0,14.0,-0.3327463,1.0
2005-07-05 00:00:00+00,LONG,903,1.0,6.0,-0.46471608,1.0
2005-07-06 00:00:00+00,LONG,3515,0.6403176855408705,6.0,-0.4378482,1.0
2005-07-07 00:00:00+00,LONG,903,0.9375,8.0,-0.26969668,1.0
2005-07-07 00:00:00+00,LONG,3286,1.0,6.0,-0.34727088,1.0
2005-07-07 00:00:00+00,LONG,3515,0.6269984845509984,7.0,-0.29334098,1.0
2005-07-07 00:00:00+00,LONG,3521,0.0,17.0,-0.32946372,1.0
2005-07-07 00:00:00+00,LONG,1684,0.5895359515366136,9.0,-0.32016188,1.0
2005-07-08 00:00:00+00,LONG,1099,0.0,13.0,-0.43651968,1.0
2005-07-15 00:00:00+00,LONG,3702,0.8181818181818181,16.0,-0.28487882,1.0
2005-07-18 00:00:00+00,LONG,3702,0.7878787878787878,17.0,-0.27811494,1.0
2005-07-21 00:00:00+00,LONG,1076,0.6076339662925423,12.0,-0.33082423,1.0
2005-07-25 00:00:00+00,LONG,664,0.4480448074124995,6.0,-0.38644007,1.0
2005-07-27 00:00:00+00,LONG,1076,0.8162235864595702,16.0,-0.29317784,1.0
2005-08-02 00:00:00+00,LONG,4050,0.8152426468696852,5.0,-0.4233346,1.0
2005-08-04 00:00:00+00,LONG,4074,0.40157420532249605,21.0,-0.46235874,1.0
2005-08-10 00:00:00+00,LONG,3218,0.7611481289564002,11.0,-0.3261707,1.0
2005-08-17 00:00:00+00,LONG,69,0.7931034482758621,5.0,-0.4094323,1.0
2005-08-17 00:00:00+00,LONG,2686,0.5840728602679314,17.0,-0.28401268,1.0
2005-08-18 00:00:00+00,LONG,192,0.4266347439618794,8.0,-0.29923424,1.0
2005-08-18 00:00:00+00,LONG,2686,0.5786877454145596,18.0,-0.25952858,1.0
2005-08-18 00:00:00+00,LONG,835,0.7326059839639817,6.0,-0.35750496,1.0
2005-08-18 00:00:00+00,LONG,1160,0.0,12.0,-0.43355134,1.0
2005-08-19 00:00:00+00,LONG,2617,0.17248913983982328,5.0,-0.3929453,1.0
2005-08-19 00:00:00+00,LONG,1160,0.0,13.0,-0.3085102,1.0
2005-08-19 00:00:00+00,LONG,1444,0.9767441860465116,19.0,-0.29348248,1.0
2005-08-23 00:00:00+00,LONG,91,0.22903366187214333,4.0,-0.40271366,1.0
2005-08-24 00:00:00+00,LONG,835,0.6777494274870861,10.0,-0.35276654,1.0
2005-08-24 00:00:00+00,LONG,3903,0.603448275862069,6.0,-0.2982928,1.0
2005-08-26 00:00:00+00,LONG,3114,0.0,12.0,-0.29684556,1.0
2005-08-26 00:00:00+00,LONG,1631,1.0,12.0,-0.3168543,1.0
2005-08-29 00:00:00+00,LONG,4187,0.0,4.0,-0.432353,1.0
2005-08-29 00:00:00+00,LONG,1454,0.0,16.0,-0.2836525,1.0
2005-08-29 00:00:00+00,LONG,3903,0.5517241379310345,9.0,-0.43820995,1.0
2005-08-30 00:00:00+00,LONG,2116,0.962962962962963,5.0,-0.466634,1.0
2005-08-30 00:00:00+00,LONG,1220,0.5484022022411339,14.0,-0.40860572,1.0
2005-08-30 00:00:00+00,LONG,1324,0.33235274609318305,11.0,-0.4131799,1.0
2005-08-30 00:00:00+00,LONG,3470,0.2701429215625284,11.0,-0.4695365,1.0
2005-08-30 00:00:00+00,LONG,3903,0.5344827586206897,10.0,-0.2933155,1.0
2005-08-31 00:00:00+00,LONG,1220,0.5628068331854841,15.0,-0.37303352,1.0
2005-09-01 00:00:00+00,LONG,1220,0.5650850569367648,16.0,-0.3223649,1.0
2005-09-02 00:00:00+00,LONG,1454,0.0,20.0,-0.3251521,1.0
2005-09-06 00:00:00+00,LONG,1762,0.0,7.0,-0.33247986,1.0
2005-09-07 00:00:00+00,LONG,3535,0.0,5.0,-0.28982565,1.0
2005-09-08 00:00:00+00,LONG,2196,0.4619403294310726,17.0,-0.30036482,1.0
2005-09-08 00:00:00+00,LONG,3535,0.0,6.0,-0.298058,1.0
2005-09-09 00:00:00+00,LONG,3535,0.0,7.0,-0.35113403,1.0
2005-09-12 00:00:00+00,LONG,3535,0.0,8.0,-0.45493937,1.0
2005-09-14 00:00:00+00,LONG,135,0.9142857142857143,10.0,-0.44817418,1.0
2005-09-19 00:00:00+00,LONG,3828,0.0048423275808376865,10.0,-0.27670008,1.0
2005-09-21 00:00:00+00,LONG,411,0.4561996231001974,9.0,-0.3358637,1.0
2005-09-21 00:00:00+00,LONG,3912,0.6579636154456063,13.0,-0.33139202,1.0
2005-09-22 00:00:00+00,LONG,411,0.44387025885063996,10.0,-0.33299646,1.0
2005-09-23 00:00:00+00,LONG,411,0.3961750409824899,11.0,-0.35409507,1.0
2005-09-28 00:00:00+00,LONG,3535,0.0,20.0,-0.2791943,1.0
2005-09-30 00:00:00+00,LONG,516,0.6450519247129277,10.0,-0.27410755,1.0
2005-10-10 00:00:00+00,LONG,631,0.3768402354158683,20.0,-0.3526373,1.0
2005-10-11 00:00:00+00,LONG,516,0.7714285714285715,17.0,-0.31146672,1.0
2005-10-12 00:00:00+00,LONG,1684,0.5425248703523488,15.0,-0.42970622,1.0
2005-10-13 00:00:00+00,LONG,158,0.9761904761904762,9.0,-0.3249391,1.0
2005-10-13 00:00:00+00,LONG,1650,0.9591836734693877,11.0,-0.33855706,1.0
2005-10-13 00:00:00+00,LONG,1684,0.4694305484242921,16.0,-0.421782,1.0
2005-10-14 00:00:00+00,LONG,1650,0.9387755102040817,12.0,-0.40247113,1.0
2005-10-17 00:00:00+00,LONG,1205,0.8983050847457628,19.0,-0.2630786,1.0
2005-10-17 00:00:00+00,LONG,3539,0.8020677139911058,9.0,-0.29513735,1.0
2005-10-17 00:00:00+00,LONG,1650,0.9183673469387755,13.0,-0.45988527,1.0
2005-10-18 00:00:00+00,LONG,3802,0.9361702127659575,5.0,-0.4748559,1.0
2005-10-20 00:00:00+00,LONG,84,0.1559494552752722,19.0,-0.37467116,1.0
2005-10-20 00:00:00+00,LONG,3433,1.0,5.0,-0.44826838,1.0
2005-10-21 00:00:00+00,LONG,84,0.16109007683677817,20.0,-0.33838916,1.0
2005-10-21 00:00:00+00,LONG,195,0.3059118770439473,14.0,-0.31880414,1.0
2005-10-21 00:00:00+00,LONG,2396,0.8723404255319149,7.0,-0.41994795,1.0
2005-10-21 00:00:00+00,LONG,1262,0.5811305396644366,5.0,-0.35320166,1.0
2005-10-24 00:00:00+00,LONG,3433,0.9512195121951219,7.0,-0.39282462,1.0
2005-10-25 00:00:00+00,LONG,869,0.6341905741962258,9.0,-0.31603023,1.0
2005-10-25 00:00:00+00,LONG,3433,0.9268292682926829,8.0,-0.42952576,1.0
2005-10-26 00:00:00+00,LONG,2643,0.9090909090909091,15.0,-0.29775646,1.0
2005-10-26 00:00:00+00,LONG,869,0.6266884407312735,10.0,-0.2669605,1.0
2005-10-27 00:00:00+00,LONG,2276,1.0,21.0,-0.39156508,1.0
2005-10-27 00:00:00+00,LONG,401,1.0,10.0,-0.30275217,1.0
2005-10-27 00:00:00+00,LONG,869,0.5993003894345594,11.0,-0.28496626,1.0
2005-10-27 00:00:00+00,LONG,1897,1.0,10.0,-0.28213963,1.0
2005-10-28 00:00:00+00,LONG,3699,0.5351289360100635,13.0,-0.292379,1.0
2005-10-28 00:00:00+00,LONG,3853,1.0,15.0,-0.31573534,1.0
2005-10-28 00:00:00+00,LONG,4005,1.0,11.0,-0.37253067,1.0
2005-10-31 00:00:00+00,LONG,167,0.9696969696969697,12.0,-0.47209528,1.0
2005-10-31 00:00:00+00,LONG,3699,0.4826435711493837,14.0,-0.28839788,1.0
2005-10-31 00:00:00+00,LONG,1790,0.28953584596148024,13.0,-0.45405814,1.0
2005-11-01 00:00:00+00,LONG,167,0.9393939393939394,13.0,-0.3704147,1.0
2005-11-01 00:00:00+00,LONG,1790,0.3010916501982296,14.0,-0.30725884,1.0
2005-11-04 00:00:00+00,LONG,1673,0.36136635499028114,12.0,-0.2571408,1.0
2005-11-07 00:00:00+00,LONG,1039,0.0,15.0,-0.34681246,1.0
2005-11-08 00:00:00+00,LONG,4176,0.4659349036652937,21.0,-0.44855416,1.0
2005-11-08 00:00:00+00,LONG,93,0.3468889608397573,8.0,-0.3816087,1.0
2005-11-08 00:00:00+00,LONG,3838,0.6671058282245578,10.0,-0.3938989,1.0
2005-11-09 00:00:00+00,LONG,3838,0.650573981656906,11.0,-0.37875816,1.0
2005-11-11 00:00:00+00,LONG,1235,0.3717524194581142,19.0,-0.3674635,1.0
2005-11-14 00:00:00+00,LONG,3748,0.38983050847457623,5.0,-0.28924498,1.0
2005-11-16 00:00:00+00,LONG,405,0.7497485866772744,19.0,-0.31222,1.0
2005-11-17 00:00:00+00,LONG,3335,1.0,10.0,-0.34009176,1.0
2005-11-18 00:00:00+00,LONG,3694,0.3542831159734324,21.0,-0.365411,1.0
2005-11-21 00:00:00+00,LONG,739,0.78125,4.0,-0.3032429,1.0
2005-11-29 00:00:00+00,LONG,3352,0.9230769230769231,6.0,-0.2581526,1.0
2005-11-30 00:00:00+00,LONG,3352,0.9038461538461539,7.0,-0.2938113,1.0
2005-12-06 00:00:00+00,LONG,429,0.5254237288135593,4.0,-0.380296,1.0
2005-12-07 00:00:00+00,LONG,2499,0.0,10.0,-0.3705682,1.0
2005-12-09 00:00:00+00,LONG,2499,0.0,12.0,-0.40122604,1.0
2005-12-16 00:00:00+00,LONG,1869,0.0,16.0,-0.30112937,1.0
2005-12-19 00:00:00+00,LONG,2778,0.003536285340501435,4.0,-0.31394306,1.0
2005-12-19 00:00:00+00,LONG,1840,0.33283878245111564,7.0,-0.34078488,1.0
2005-12-20 00:00:00+00,LONG,2778,0.0,5.0,-0.30466926,1.0
2005-12-23 00:00:00+00,LONG,914,0.98,7.0,-0.32813427,1.0
2005-12-23 00:00:00+00,LONG,3947,0.8709677419354839,4.0,-0.26280376,1.0
2005-12-28 00:00:00+00,LONG,3283,0.0,15.0,-0.34857896,1.0
2005-12-28 00:00:00+00,LONG,1244,0.7857142857142857,7.0,-0.32237217,1.0
2005-12-30 00:00:00+00,LONG,3283,0.0,17.0,-0.38779303,1.0
2006-01-05 00:00:00+00,LONG,3915,0.0,14.0,-0.31958324,1.0
2006-01-10 00:00:00+00,LONG,76,0.0,5.0,-0.30950242,1.0
2006-01-25 00:00:00+00,LONG,1092,0.96,5.0,-0.3229064,1.0
2006-01-26 00:00:00+00,LONG,157,0.7272727272727273,9.0,-0.37644345,1.0
2006-01-31 00:00:00+00,LONG,2965,0.5301510553345743,10.0,-0.28066927,1.0
2006-02-01 00:00:00+00,LONG,2327,0.12286070387571664,8.0,-0.38909638,1.0
2006-02-01 00:00:00+00,LONG,3182,0.0,11.0,-0.31546932,1.0
2006-02-03 00:00:00+00,LONG,3853,0.9333333333333333,9.0,-0.40065205,1.0
2006-02-06 00:00:00+00,LONG,652,0.36220387748745914,12.0,-0.26690963,1.0
2006-02-07 00:00:00+00,LONG,192,0.8260869565217391,8.0,-0.3920145,1.0
2006-02-07 00:00:00+00,LONG,652,0.3435556707757586,13.0,-0.29923543,1.0
2006-02-07 00:00:00+00,LONG,2965,0.47703457603479615,15.0,-0.33371004,1.0
2006-02-07 00:00:00+00,LONG,1761,0.0,11.0,-0.46933526,1.0
2006-02-08 00:00:00+00,LONG,2070,0.38773336077615594,13.0,-0.38236356,1.0
2006-02-08 00:00:00+00,LONG,2557,0.28345152506936866,10.0,-0.39181662,1.0
2006-02-08 00:00:00+00,LONG,652,0.2829442428992803,14.0,-0.26074132,1.0
2006-02-09 00:00:00+00,LONG,2291,0.0,19.0,-0.4699839,1.0
2006-02-09 00:00:00+00,LONG,1761,0.0,13.0,-0.37653664,1.0
2006-02-09 00:00:00+00,LONG,4049,0.3977277106929753,10.0,-0.47383532,1.0
2006-02-10 00:00:00+00,LONG,167,1.0,6.0,-0.33807725,1.0
2006-02-10 00:00:00+00,LONG,2291,0.0,20.0,-0.43103704,1.0
2006-02-13 00:00:00+00,LONG,808,0.7543859649122807,5.0,-0.43710056,1.0
2006-02-13 00:00:00+00,LONG,3828,0.4545454545454546,15.0,-0.29261208,1.0
2006-02-13 00:00:00+00,LONG,4049,0.40823551572901756,12.0,-0.33207348,1.0
2006-02-15 00:00:00+00,LONG,2640,0.22444646050467804,4.0,-0.41749594,1.0
2006-02-17 00:00:00+00,LONG,3773,0.0,17.0,-0.3401022,1.0
2006-02-21 00:00:00+00,LONG,405,0.96,18.0,-0.33226338,1.0
2006-02-21 00:00:00+00,LONG,1667,0.0,16.0,-0.37933847,1.0
2006-02-22 00:00:00+00,LONG,450,0.1538659498598459,6.0,-0.28966478,1.0
2006-02-22 00:00:00+00,LONG,2670,0.9649122807017544,5.0,-0.4065947,1.0
2006-02-23 00:00:00+00,LONG,450,0.21408927353182947,7.0,-0.42150596,1.0
2006-02-23 00:00:00+00,LONG,1667,0.0,18.0,-0.3467411,1.0
2006-02-24 00:00:00+00,LONG,450,0.12510147046642867,8.0,-0.40938196,1.0
2006-03-01 00:00:00+00,LONG,3114,0.0,4.0,-0.32312253,1.0
2006-03-02 00:00:00+00,LONG,3114,0.0,5.0,-0.4655115,1.0
2006-03-02 00:00:00+00,LONG,1908,0.0,5.0,-0.32142857,1.0
2006-03-03 00:00:00+00,LONG,3114,0.0,6.0,-0.45629755,1.0
2006-03-06 00:00:00+00,LONG,221,0.15140845150206714,15.0,-0.29940316,1.0
2006-03-06 00:00:00+00,LONG,3114,0.0,7.0,-0.43128484,1.0
2006-03-07 00:00:00+00,LONG,2569,0.5397026721817731,18.0,-0.45870388,1.0
2006-03-07 00:00:00+00,LONG,3521,0.7627007604274467,13.0,-0.31667978,1.0
2006-03-07 00:00:00+00,LONG,3824,0.0,11.0,-0.409153,1.0
2006-03-08 00:00:00+00,LONG,2703,0.39884036084540225,15.0,-0.34419003,1.0
2006-03-08 00:00:00+00,LONG,3273,0.4276219932262804,9.0,-0.41580573,1.0
2006-03-08 00:00:00+00,LONG,1280,0.0,17.0,-0.2719911,1.0
2006-03-08 00:00:00+00,LONG,1356,0.7272727272727273,8.0,-0.28114885,1.0
2006-03-08 00:00:00+00,LONG,1949,1.0,14.0,-0.2917728,1.0
2006-03-08 00:00:00+00,LONG,2028,1.0,19.0,-0.28933376,1.0
