time,side,ticker_id,mv_dn_composite_labels,price_to_sales_rev_growth_zscore_universe_df073,dist_upper_bb_50_2.0_df055
2008-04-21 00:00:00+00,SHORT,1069,0.6261353486462924,-0.0661,0.016412767
2008-04-21 00:00:00+00,SHORT,3233,0.4496316353015566,-0.0661,0.031750448
2008-04-21 00:00:00+00,SHORT,3433,0.0,-0.0609,0.030083932
2008-04-24 00:00:00+00,SHORT,1112,0.2971967153148074,-0.0646,0.024776392
2008-04-24 00:00:00+00,SHORT,1908,0.0,-0.0608,0.033929452
2008-04-25 00:00:00+00,SHORT,1908,0.0,-0.0609,0.018040108
2008-05-02 00:00:00+00,SHORT,1710,1.0,-0.063,0.022757782
2008-05-27 00:00:00+00,SHORT,2582,0.0,-0.0599,0.044923395
2008-05-29 00:00:00+00,SHORT,3335,0.6437736722458337,-0.0617,0.018362837
2008-08-11 00:00:00+00,SHORT,4089,0.6987171497515123,-0.0645,0.029593904
2008-09-08 00:00:00+00,SHORT,1081,1.0,-0.0648,0.02072639
2008-09-11 00:00:00+00,SHORT,516,0.7777777777777778,-0.0632,0.019915706
2008-09-12 00:00:00+00,SHORT,516,0.6666666666666667,-0.0634,0.016557217
2008-09-22 00:00:00+00,SHORT,3704,0.9411764705882353,-0.0571,0.038520142
2008-09-26 00:00:00+00,SHORT,4097,0.0,-0.0582,0.023695404
2008-12-31 00:00:00+00,SHORT,2815,1.0,-0.0603,0.029655352
2009-01-06 00:00:00+00,SHORT,2350,1.0,-0.0646,0.016866341
2009-01-06 00:00:00+00,SHORT,1650,1.0,-0.0659,0.017830385
2009-01-16 00:00:00+00,SHORT,557,1.0,-0.057,0.040485073
2009-01-16 00:00:00+00,SHORT,1939,1.0,-0.0594,0.037278354
2009-01-28 00:00:00+00,SHORT,2728,0.0,-0.0625,0.035033405
2009-02-06 00:00:00+00,SHORT,2534,1.0,-0.0598,0.026828595
2009-02-09 00:00:00+00,SHORT,1650,1.0,-0.0653,0.032203086
2009-02-09 00:00:00+00,SHORT,1678,1.0,-0.0586,0.049755845
2009-02-17 00:00:00+00,SHORT,1610,1.0,-0.0661,0.019441422
2009-02-18 00:00:00+00,SHORT,1610,0.9230769230769231,-0.0662,0.017386531
2009-02-20 00:00:00+00,SHORT,3702,0.49795922649526203,-0.0615,0.026890062
2009-02-27 00:00:00+00,SHORT,522,0.95,-0.0651,0.015560832
2009-03-26 00:00:00+00,SHORT,3283,0.0949349536882168,-0.0583,0.02164667
2009-04-09 00:00:00+00,SHORT,191,0.0,-0.0643,0.033480395
2009-04-09 00:00:00+00,SHORT,588,0.0,-0.0647,0.016928434
2009-04-09 00:00:00+00,SHORT,710,0.0,-0.0637,0.03811996
2009-04-14 00:00:00+00,SHORT,578,0.0,-0.0648,0.04016508
2009-04-14 00:00:00+00,SHORT,643,0.0,-0.0649,0.055544063
2009-04-14 00:00:00+00,SHORT,1745,0.0,-0.0664,0.032570504
2009-04-16 00:00:00+00,SHORT,2211,1.0,-0.0643,0.019832835
2009-04-16 00:00:00+00,SHORT,2213,1.0,-0.0643,0.021912543
2009-04-16 00:00:00+00,SHORT,3693,0.75,-0.064,0.04862178
2009-04-17 00:00:00+00,SHORT,4237,1.0,-0.0641,0.03973867
2009-04-17 00:00:00+00,SHORT,578,0.75,-0.0644,0.030265287
2009-04-17 00:00:00+00,SHORT,3198,0.27323245047314854,-0.0618,0.045015883
2009-04-17 00:00:00+00,SHORT,1514,1.0,-0.0616,0.04432881
2009-04-17 00:00:00+00,SHORT,1869,0.0,-0.0647,0.048762854
2009-04-20 00:00:00+00,SHORT,2640,1.0,-0.0634,0.016242066
2009-04-22 00:00:00+00,SHORT,3486,0.0,-0.0647,0.028178655
2009-04-22 00:00:00+00,SHORT,3693,0.0,-0.0645,0.03084745
2009-04-23 00:00:00+00,SHORT,2345,0.0,-0.0648,0.01579316
2009-04-23 00:00:00+00,SHORT,1745,0.0,-0.0667,0.046414524
2009-04-24 00:00:00+00,SHORT,5,0.0,-0.0648,0.032794308
2009-04-24 00:00:00+00,SHORT,2345,0.0,-0.0647,0.033850644
2009-04-24 00:00:00+00,SHORT,3335,0.0,-0.0613,0.017852563
2009-04-24 00:00:00+00,SHORT,1371,1.0,-0.0635,0.046776615
2009-04-30 00:00:00+00,SHORT,3861,0.0,-0.0641,0.024723552
2009-04-30 00:00:00+00,SHORT,4062,0.5931400206300381,-0.0644,0.03479117
2009-05-01 00:00:00+00,SHORT,133,0.21004193214575723,-0.0645,0.038425095
