time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,dist_high52_vol_norm_20_df015,dist_lower_bb_20_2.5_df055,dist_lower_bb_20_2.0_df055,earnings_price_gap_df010
2023-03-30 00:00:00+00,LONG,835,0.10342933979750688,-0.084731,-0.39932808,-0.09847653,-0.07502719,0.0
2023-03-30 00:00:00+00,LONG,1840,0.0,-0.10472279,-0.39324024,-0.0492469,-0.03907379,0.0
2023-04-05 00:00:00+00,LONG,413,0.2410788093009696,-0.16242424,-0.367676,-0.054803804,-0.037477557,0.0
2023-04-05 00:00:00+00,LONG,3487,0.2596497081240773,-0.08690745,-0.411067,-0.10958034,-0.088062316,0.0
2023-04-06 00:00:00+00,LONG,413,0.18203691928974008,-0.14496315,-0.43111047,-0.052386884,-0.038235728,0.0
2023-04-06 00:00:00+00,LONG,1175,0.0,-0.0974097,-0.3734758,-0.115756094,-0.09507578,0.0
2023-04-11 00:00:00+00,LONG,3704,0.0,-0.1323378,-0.38039276,-0.113640584,-0.09537969,0.0
2023-04-25 00:00:00+00,LONG,2582,0.0,-0.099072516,-0.35653183,-0.017620228,-0.0014583471,0.0
2023-05-02 00:00:00+00,LONG,323,1.0,-0.15432873,-0.4213148,-0.06869736,-0.03853765,-0.014619883
2023-05-02 00:00:00+00,LONG,3897,0.0,-0.08675799,-0.43365803,-0.06317341,-0.043839414,0.0012515645
2023-05-03 00:00:00+00,LONG,323,0.975609756097561,-0.13762626,-0.40799275,-0.084465064,-0.055098575,0.0
2023-05-03 00:00:00+00,LONG,4086,0.3468703423071082,-0.093072675,-0.39391652,-0.0024841619,0.009772142,0.0
2023-05-04 00:00:00+00,LONG,323,0.38489730718773585,-0.10269576,-0.3727103,-0.10702451,-0.07884045,0.0
2023-05-04 00:00:00+00,LONG,1175,1.0,-0.10610932,-0.39144263,-0.016574772,0.0056162043,0.0
2023-05-05 00:00:00+00,LONG,1004,0.9428571428571428,-0.13384113,-0.36189434,-0.09639047,-0.05999072,0.0
2023-05-05 00:00:00+00,LONG,3216,0.0,-0.0956807,-0.33972213,-0.059217338,-0.028188614,0.0
2023-05-05 00:00:00+00,LONG,1175,0.9705882352941176,-0.089120835,-0.35698804,-0.049160153,-0.02462636,0.0
2023-05-08 00:00:00+00,LONG,323,0.0,-0.09114249,-0.42178687,-0.10355647,-0.08124672,0.0
2023-05-08 00:00:00+00,LONG,1175,0.9411764705882353,-0.09013743,-0.34640652,-0.05267358,-0.026704468,0.0
2023-05-10 00:00:00+00,LONG,4083,0.6163479031458028,-0.14308053,-0.3765708,-0.069999926,-0.04834322,0.0
2023-05-11 00:00:00+00,LONG,1004,0.8285714285714285,-0.12126246,-0.39661536,-0.10361779,-0.06958844,0.0
2023-05-11 00:00:00+00,LONG,1175,0.6903122611050825,-0.08749501,-0.34816748,-0.08284187,-0.05654571,0.0
2023-05-12 00:00:00+00,LONG,1004,0.8,-0.111484595,-0.40021545,-0.10800244,-0.073948145,0.0
2023-05-12 00:00:00+00,LONG,1175,0.8235294117647058,-0.103488825,-0.37486768,-0.081239,-0.056930605,0.0
2023-05-15 00:00:00+00,LONG,1175,0.7941176470588236,-0.08653093,-0.41801018,-0.09209449,-0.07098936,0.0
2023-05-15 00:00:00+00,LONG,3443,0.9375,-0.09343434,-0.33799225,-0.07365186,-0.05205086,0.0
2023-05-16 00:00:00+00,LONG,3443,0.9166666666666666,-0.11278196,-0.35392073,-0.06078557,-0.040038675,0.0
