time,side,ticker_id,mv_dn_composite_labels,price_roc_5_df020,accel_price_5_df021,dist_upper_bb_20_2.0_df055
2005-06-02 00:00:00+00,SHORT,220,1.0,0.032907803,0.0019567604,-0.007705698
2005-06-02 00:00:00+00,SHORT,1139,0.16522914517889173,0.038565904,0.0036686445,-0.0010066835
2005-06-16 00:00:00+00,SHORT,4118,0.0,0.041886944,-0.0035860545,-0.005920141
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,0.03199498,-0.015934285,-0.0036992265
2005-06-16 00:00:00+00,SHORT,631,0.0,0.039318647,0.019514462,-0.0066114976
2005-06-17 00:00:00+00,SHORT,4118,0.0,0.043230016,0.0013430704,-0.009602924
2005-06-17 00:00:00+00,SHORT,3013,0.0,0.03961504,-0.014506336,-0.0045962953
2005-06-17 00:00:00+00,SHORT,3049,1.0,0.052778143,0.02338861,-0.001321915
2005-06-17 00:00:00+00,SHORT,1063,0.16517651069942135,0.037216473,-0.02074813,-0.0062729227
2005-06-17 00:00:00+00,SHORT,3286,0.0,0.03435211,-0.006837822,0.001984355
2005-06-17 00:00:00+00,SHORT,1383,0.0,0.05109983,-0.015680118,-0.011886133
2005-06-17 00:00:00+00,SHORT,3456,0.3643693885308772,0.039009877,0.010156351,-0.012906544
2005-06-17 00:00:00+00,SHORT,2004,0.45848122353404924,0.037013095,-0.012753198,-0.006098706
2005-06-17 00:00:00+00,SHORT,2028,0.0,0.0462922,0.01843998,4.8514418E-4
2005-06-20 00:00:00+00,SHORT,4118,0.0,0.043866776,6.367587E-4,-0.008737453
2005-06-20 00:00:00+00,SHORT,234,0.875,0.04900817,-0.007883328,-0.011291509
2005-06-20 00:00:00+00,SHORT,2330,0.10776286243321531,0.053333335,-0.021169087,-0.014358587
2005-06-20 00:00:00+00,SHORT,2343,0.3613206811227334,0.038966462,-0.002145665,-0.0058937846
2005-06-20 00:00:00+00,SHORT,335,0.0,0.040742416,-0.014132866,-0.010874109
2005-06-20 00:00:00+00,SHORT,838,0.0,0.045472063,-0.013328712,-0.0076311813
2005-06-20 00:00:00+00,SHORT,988,0.22704381806650292,0.039431844,-0.02461906,-0.013272838
2005-06-20 00:00:00+00,SHORT,1383,0.07571356505231681,0.040704437,-0.010395395,-0.010538044
2005-06-20 00:00:00+00,SHORT,1819,0.0,0.047919042,6.6721375E-4,-0.0062775095
2005-06-20 00:00:00+00,SHORT,2028,0.0,0.031868897,-0.014423304,-0.0053991345
2005-06-21 00:00:00+00,SHORT,1719,0.0,0.047685836,-0.018325401,-0.008149759
2005-06-22 00:00:00+00,SHORT,730,0.0,0.03163192,-0.0022053735,-0.002655073
2005-06-22 00:00:00+00,SHORT,3882,0.8,0.048618786,-0.008460118,-0.0138511155
2005-06-23 00:00:00+00,SHORT,2116,0.22247572651856534,0.04520124,0.028054882,-0.00281056
2005-06-24 00:00:00+00,SHORT,773,0.593942479368369,0.04436956,-0.008527166,-0.012640517
2005-06-30 00:00:00+00,SHORT,1966,0.7145465683532836,0.05291723,0.030466096,-0.0020211698
2005-07-01 00:00:00+00,SHORT,2041,0.0,0.046706926,-0.008019753,-0.003963332
2005-07-05 00:00:00+00,SHORT,687,0.0,0.035406265,0.0023314466,-0.013595133
2005-07-08 00:00:00+00,SHORT,2175,0.4041525816177399,0.04149526,-0.0068165213,-0.0020386868
2005-07-11 00:00:00+00,SHORT,2175,0.32102923959718344,0.03442711,-0.007068149,-0.013355
2005-07-12 00:00:00+00,SHORT,3613,0.0,0.04643284,-0.0023873372,-0.0024403483
