time,side,ticker_id,mv_up_composite_labels,price_roc_21_df020,normalized_3m_df003,pe_ratio_sector_relative_df083
2006-10-12 00:00:00+00,LONG,2272,0.4580341211724859,-0.17290026,0.2806324,-0.7786
2006-10-17 00:00:00+00,LONG,2272,0.2360610348557298,-0.13752456,0.2874016,-0.8017
2006-10-25 00:00:00+00,LONG,1650,0.0,-0.13240132,0.31904763,0.2522
2006-10-26 00:00:00+00,LONG,2272,0.38737534343797797,-0.12060302,0.24034335,-0.7924
2006-10-27 00:00:00+00,LONG,2272,0.3328011260240418,-0.12055071,0.2398374,-0.7348
2006-11-16 00:00:00+00,LONG,450,0.9230769230769231,-0.13693693,0.5969163,0.1451
2006-11-17 00:00:00+00,LONG,450,0.8846153846153846,-0.13695653,0.58605665,0.1433
2006-11-20 00:00:00+00,LONG,450,0.8461538461538461,-0.14156735,0.5947136,0.1426
2006-11-21 00:00:00+00,LONG,450,0.8571428571428572,-0.1424973,0.5820569,0.1389
2006-11-22 00:00:00+00,LONG,450,0.7692307692307692,-0.15031983,0.57236844,0.1402
2006-11-24 00:00:00+00,LONG,450,0.5662163762408277,-0.1315508,0.58515286,0.1434
2006-11-29 00:00:00+00,LONG,450,0.6153846153846154,-0.118191525,0.5969499,0.1491
2006-11-30 00:00:00+00,LONG,450,0.6857142857142857,-0.1304809,0.58643323,0.1472
2007-01-16 00:00:00+00,LONG,2896,0.6844111144128577,-0.1180181,0.35099337,0.2622
2007-01-17 00:00:00+00,LONG,2896,0.6883334325820948,-0.12120569,0.33484164,0.2455
2007-01-18 00:00:00+00,LONG,2896,0.6474245654228029,-0.1600551,0.38392857,0.2437
2007-01-19 00:00:00+00,LONG,2896,0.6081101466580269,-0.13809706,0.4368071,0.2448
2007-01-22 00:00:00+00,LONG,2896,0.78125,-0.118509896,0.29801324,0.2434
2007-01-25 00:00:00+00,LONG,3851,0.3275881887522553,-0.15762712,0.5046948,0.1935
2007-01-26 00:00:00+00,LONG,3851,0.3021659587284855,-0.13130252,0.49115044,0.1921
2007-01-29 00:00:00+00,LONG,3851,0.31022440413761143,-0.12801418,0.389755,0.184
2007-01-30 00:00:00+00,LONG,3851,0.2314021897279739,-0.15866667,0.45348838,0.19
2007-01-31 00:00:00+00,LONG,3851,0.17446562744710484,-0.12648758,0.5578704,0.1892
2007-02-01 00:00:00+00,LONG,3851,0.11425811900330493,-0.11916046,0.5720824,0.188
2007-03-02 00:00:00+00,LONG,1960,1.0,-0.1884253,0.39615384,-0.1562
2007-03-06 00:00:00+00,LONG,1960,0.16498753393964766,-0.16886544,0.36328125,-0.1596
2007-03-07 00:00:00+00,LONG,1960,0.06010079829915766,-0.16212533,0.3372093,-0.1557
2007-03-08 00:00:00+00,LONG,1960,0.05878803565784056,-0.1537415,0.3385214,-0.1591
2007-03-09 00:00:00+00,LONG,1960,0.12619755590669143,-0.121045396,0.35135135,-0.1635
2007-03-12 00:00:00+00,LONG,1960,0.0,-0.130854,0.33590734,-0.1613
2007-03-13 00:00:00+00,LONG,1960,0.07559091563122103,-0.16343491,0.29501915,-0.154
2007-03-14 00:00:00+00,LONG,1960,0.8409090909090909,-0.12270804,0.32945737,-0.1594
2007-03-15 00:00:00+00,LONG,3199,0.8461538461538461,-0.14265928,0.35658914,-0.2228
2007-03-15 00:00:00+00,LONG,1960,0.8181818181818181,-0.13128492,0.3255814,-0.1586
2007-03-16 00:00:00+00,LONG,3199,0.8269230769230769,-0.16003658,0.35797665,-0.2197
2007-03-16 00:00:00+00,LONG,1960,0.0,-0.14783822,0.3307393,-0.1552
2007-03-19 00:00:00+00,LONG,3199,0.8076923076923077,-0.15639167,0.36153847,-0.2224
2007-03-20 00:00:00+00,LONG,3199,0.7884615384615384,-0.13454546,0.3653846,-0.2257
2007-03-21 00:00:00+00,LONG,3199,0.7692307692307692,-0.14310955,0.35907337,-0.2271
2007-03-22 00:00:00+00,LONG,3199,0.75,-0.13339262,0.35907337,-0.2269
2007-03-23 00:00:00+00,LONG,3199,0.7307692307692307,-0.1239297,0.35907337,-0.2264
2007-03-29 00:00:00+00,LONG,4169,0.0,-0.13129842,0.4553377,0.185
2007-03-30 00:00:00+00,LONG,4169,0.0,-0.13093106,0.4650655,0.1841
2007-04-02 00:00:00+00,LONG,4169,0.0,-0.13030817,0.45217392,0.1835
2007-05-15 00:00:00+00,LONG,3851,0.5325408323731559,-0.12738214,0.33039647,0.1766
2007-05-31 00:00:00+00,LONG,1176,1.0,-0.15025906,0.25283018,-0.3813
2007-06-04 00:00:00+00,LONG,1176,0.9459459459459459,-0.121820614,0.30827066,-0.3721
2007-06-06 00:00:00+00,LONG,1176,0.8918918918918919,-0.1263298,0.36603773,-0.388
2007-06-08 00:00:00+00,LONG,1176,1.0,-0.13147411,0.26792452,-0.384
2007-06-11 00:00:00+00,LONG,1176,0.967741935483871,-0.15135835,0.29699248,-0.3902
2007-06-12 00:00:00+00,LONG,1176,0.935483870967742,-0.13237222,0.30451128,-0.3986
2007-06-13 00:00:00+00,LONG,1176,0.9032258064516129,-0.123159304,0.29433963,-0.3926
2007-08-01 00:00:00+00,LONG,270,0.5649020867951713,-0.12193413,0.5903614,0.2616
2007-08-01 00:00:00+00,LONG,1371,0.0,-0.14225942,0.30350193,0.2423
2007-08-03 00:00:00+00,LONG,121,0.0,-0.12281201,0.29359823,0.0155
2007-08-10 00:00:00+00,LONG,160,0.0,-0.15204297,0.54545456,0.2556
2007-08-10 00:00:00+00,LONG,3519,0.0,-0.13934983,0.37362638,0.0689
2007-08-13 00:00:00+00,LONG,160,0.0,-0.14332515,0.54923415,0.2575
2007-08-13 00:00:00+00,LONG,3199,0.9696969696969697,-0.12737127,0.27306274,-0.2641
2007-08-13 00:00:00+00,LONG,3519,0.0,-0.13444494,0.38007382,0.0693
2007-08-14 00:00:00+00,LONG,397,0.3334202391316582,-0.121527776,0.4065934,0.2064
2007-08-14 00:00:00+00,LONG,3519,0.0,-0.14631142,0.39259258,0.0703
2007-08-15 00:00:00+00,LONG,397,0.39836585502647764,-0.12211055,0.41304347,0.2133
2007-08-15 00:00:00+00,LONG,3519,0.0,-0.14636771,0.40441176,0.0735
2007-08-16 00:00:00+00,LONG,2536,0.0,-0.16767819,0.24235807,0.2464
2007-08-16 00:00:00+00,LONG,1063,0.18986883443045796,-0.15500425,0.41266376,0.1416
2007-08-16 00:00:00+00,LONG,3137,0.573731592578791,-0.181153,0.34279475,0.2525
2007-08-16 00:00:00+00,LONG,1650,0.0,-0.1597456,0.39082968,0.2484
2007-08-17 00:00:00+00,LONG,1063,0.0,-0.13677365,0.41684666,0.1404
2007-08-17 00:00:00+00,LONG,3137,0.5002919763942817,-0.13402538,0.31101513,0.2506
2007-08-17 00:00:00+00,LONG,1650,0.0,-0.14466344,0.36717063,0.2484
2007-08-17 00:00:00+00,LONG,4050,0.0,-0.15445322,0.2804428,0.1972
2007-08-20 00:00:00+00,LONG,3137,0.0,-0.12976745,0.31601733,0.2516
2007-08-20 00:00:00+00,LONG,2004,0.16280686029645297,-0.18759094,0.2792208,0.1537
2007-08-21 00:00:00+00,LONG,3137,0.48123180299235147,-0.1368421,0.30652174,0.2455
2007-08-21 00:00:00+00,LONG,1650,0.0,-0.1254212,0.38913044,0.2514
2007-08-21 00:00:00+00,LONG,4050,0.0,-0.15454033,0.28413284,0.1833
2007-08-22 00:00:00+00,LONG,3137,0.4186588861013165,-0.13486537,0.2838428,0.2395
2007-08-22 00:00:00+00,LONG,4050,0.0,-0.1322361,0.28195488,0.1946
2007-08-22 00:00:00+00,LONG,2004,0.0,-0.15954293,0.30567685,0.1489
2007-08-23 00:00:00+00,LONG,643,0.0,-0.13280918,0.58455884,0.2376
2007-08-23 00:00:00+00,LONG,4050,0.0,-0.16183035,0.2867647,0.1903
2007-08-23 00:00:00+00,LONG,2004,0.0,-0.12929815,0.3152174,0.1619
2007-08-24 00:00:00+00,LONG,191,0.0,-0.17651053,0.2900433,-0.0486
2007-08-27 00:00:00+00,LONG,191,0.0,-0.13626532,0.32467532,-0.0484
2007-08-28 00:00:00+00,LONG,191,0.0,-0.15445976,0.318872,-0.0483
2007-09-24 00:00:00+00,LONG,3436,0.0,-0.1746507,0.3018182,0.0833
2007-09-25 00:00:00+00,LONG,3436,0.0,-0.13652393,0.3188406,0.0855
2007-09-26 00:00:00+00,LONG,3436,0.0,-0.15725806,0.31636363,0.0845
2007-11-07 00:00:00+00,LONG,2142,0.0,-0.13789955,0.354717,0.1795
2007-11-07 00:00:00+00,LONG,3837,0.0,-0.12267788,0.27169812,-0.0578
2007-11-08 00:00:00+00,LONG,3837,0.0,-0.14301018,0.26153848,-0.0541
2007-11-13 00:00:00+00,LONG,1368,0.0,-0.15839584,0.4,0.1164
2007-11-14 00:00:00+00,LONG,1368,0.0,-0.152033,0.36363637,0.1125
2007-11-15 00:00:00+00,LONG,1368,0.0,-0.14251852,0.3956044,0.113
2007-11-21 00:00:00+00,LONG,1368,0.0,-0.12025508,0.4673913,0.1288
2007-11-27 00:00:00+00,LONG,2550,0.0,-0.15679686,0.5735931,0.1066
2007-11-27 00:00:00+00,LONG,694,0.0,-0.18329467,0.27489176,-0.5266
2007-11-28 00:00:00+00,LONG,323,0.0,-0.14040808,0.53333336,0.2324
2007-12-28 00:00:00+00,LONG,694,0.0,-0.12062577,0.3892473,-0.4372
2007-12-31 00:00:00+00,LONG,3486,0.1513678594183114,-0.118390806,0.299639,0.1833
2008-01-04 00:00:00+00,LONG,406,0.0,-0.14145963,0.5117773,0.1121
2008-01-04 00:00:00+00,LONG,694,0.0,-0.12612613,0.4765343,-0.4226
2008-01-09 00:00:00+00,LONG,3378,1.0,-0.13746287,0.41516244,0.1737
2008-01-09 00:00:00+00,LONG,3621,0.28138122963839374,-0.17716186,0.4259928,-0.7577
2008-01-10 00:00:00+00,LONG,3378,0.27212433069368935,-0.11819728,0.44927537,0.1742
2008-01-10 00:00:00+00,LONG,3621,0.23138137772177655,-0.18799043,0.4311594,-0.7744
