time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.0_df055,price_to_sales_zscore_universe_df070
2005-04-06 00:00:00+00,SHORT,1437,0.18319507350690487,-0.007743764,-0.0089
2005-04-06 00:00:00+00,SHORT,1770,0.5591253411490623,-0.0069386996,0.0381
2005-04-06 00:00:00+00,SHORT,3915,0.0,-0.010055923,0.0453
2005-04-07 00:00:00+00,SHORT,2095,0.03139758072845619,-0.0018252461,0.0394
2005-04-07 00:00:00+00,SHORT,2261,0.0,0.0012920075,-0.0123
2005-04-07 00:00:00+00,SHORT,2269,0.0,-0.010771034,0.0385
2005-04-07 00:00:00+00,SHORT,2396,0.1433696552725832,-0.01229506,0.0375
2005-04-07 00:00:00+00,SHORT,444,1.0,0.009904617,0.0388
2005-04-07 00:00:00+00,SHORT,2818,0.3171132865082264,-0.0069653504,-0.0135
2005-04-07 00:00:00+00,SHORT,3116,0.48433962371159134,-0.0097245695,0.044
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.0013422265,0.0399
2005-04-08 00:00:00+00,SHORT,4169,0.44749147929464067,-0.0056361672,0.0399
2005-04-08 00:00:00+00,SHORT,2261,0.0,-0.0072018253,-0.0124
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,-0.00623316,0.0382
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.008747363,-0.0077
2005-04-08 00:00:00+00,SHORT,1064,0.34950530185589707,0.0031739385,-0.0105
2005-04-08 00:00:00+00,SHORT,1650,0.0,0.0019217972,0.0441
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.0013873163,0.0404
2005-04-11 00:00:00+00,SHORT,4169,0.0,-0.011581437,0.0397
2005-04-11 00:00:00+00,SHORT,2253,1.0,3.6429532E-4,0.0403
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.0054605,0.0377
2005-04-11 00:00:00+00,SHORT,1064,0.2080501076306608,-0.0071395924,-0.0107
2005-04-11 00:00:00+00,SHORT,3310,0.31437550715959905,-0.0034011824,-0.0105
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.010940351,0.0402
2005-04-11 00:00:00+00,SHORT,1770,0.3290542406979669,-0.010099636,0.0374
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,-0.010667464,0.0398
2005-04-11 00:00:00+00,SHORT,1939,1.0,-0.0055895587,-0.0033
2005-04-11 00:00:00+00,SHORT,4083,0.0,-0.008337924,-0.0133
2005-04-12 00:00:00+00,SHORT,4122,1.0,6.9783867E-4,0.0393
2005-04-12 00:00:00+00,SHORT,4169,0.42374998603786834,-0.008845101,0.0402
2005-04-12 00:00:00+00,SHORT,2175,0.5317124982564736,-0.0030956252,0.0389
2005-04-12 00:00:00+00,SHORT,2230,0.17357833447077853,-0.0020292338,0.0386
2005-04-12 00:00:00+00,SHORT,2253,0.9285714285714286,-0.004762747,0.0408
2005-04-12 00:00:00+00,SHORT,2261,0.0,-0.007319341,-0.0126
2005-04-12 00:00:00+00,SHORT,2269,0.0,-0.0100320345,0.0382
2005-04-12 00:00:00+00,SHORT,345,0.0,-0.005717211,-0.0136
2005-04-12 00:00:00+00,SHORT,2425,0.0,-0.0052305106,0.0381
2005-04-12 00:00:00+00,SHORT,2972,0.09174562663849382,-0.011602114,0.0392
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.021830844,-0.0133
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.005210495,0.0401
2005-04-12 00:00:00+00,SHORT,3310,0.34639637549767277,-0.005503104,-0.0105
2005-04-12 00:00:00+00,SHORT,1462,0.323336414355305,-0.004371628,0.0378
2005-04-12 00:00:00+00,SHORT,3612,1.0,0.02768142,0.0393
2005-04-12 00:00:00+00,SHORT,3773,0.0,-0.008875938,0.0397
2005-04-12 00:00:00+00,SHORT,3818,0.4331873989822198,0.0030592477,-0.0126
2005-04-12 00:00:00+00,SHORT,1851,0.15458684672865483,6.3293945E-4,0.0394
2005-04-13 00:00:00+00,SHORT,191,0.4215227413376627,-0.011160707,0.0396
2005-04-13 00:00:00+00,SHORT,424,0.0,0.008418363,-0.0131
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.0022610065,0.0398
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-3.1545834E-4,0.0427
2005-04-13 00:00:00+00,SHORT,1851,0.07763901811820971,-0.0047648503,0.0396
2005-04-14 00:00:00+00,SHORT,424,0.0,-0.0059108036,-0.0135
2005-04-14 00:00:00+00,SHORT,3430,0.31083816676877124,0.0033066913,0.0389
2005-04-15 00:00:00+00,SHORT,2527,0.6744540660605712,-9.878785E-4,0.0426
2005-04-18 00:00:00+00,SHORT,3430,0.23329269728423696,-0.0067642527,0.038
2005-04-19 00:00:00+00,SHORT,3430,0.17946247419289027,-0.0032469828,0.0377
2005-04-21 00:00:00+00,SHORT,2747,1.0,-0.0035217481,0.0353
2005-04-21 00:00:00+00,SHORT,3702,0.3260084711459656,-0.01107053,0.0423
2005-04-22 00:00:00+00,SHORT,2720,1.0,-1.9738277E-4,-0.0147
2005-04-26 00:00:00+00,SHORT,2548,0.5663916510483348,-0.006375746,-0.0105
2005-04-26 00:00:00+00,SHORT,3641,0.2294078894245929,-0.012136237,0.0443
2005-04-26 00:00:00+00,SHORT,1851,0.0,-0.0070305998,0.0385
2005-04-27 00:00:00+00,SHORT,3641,0.2429791286103717,-0.008312516,0.0443
2005-04-28 00:00:00+00,SHORT,2548,1.0,-0.011079864,-0.0108
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,0.008931247,0.0355
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,0.0055803997,0.0364
