time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,vola_roc_5_20_df040
2005-10-12 00:00:00+00,LONG,68,1.0,0.02760659,0.8012902
2005-10-12 00:00:00+00,LONG,505,1.0,0.023965571,0.4616278
2005-10-12 00:00:00+00,LONG,2778,0.6965025661319603,0.03723377,0.7775637
2005-10-12 00:00:00+00,LONG,1790,0.5731167926624297,0.048640866,0.89827836
2005-10-13 00:00:00+00,LONG,68,0.9787234042553191,0.019435737,0.7723196
2005-10-13 00:00:00+00,LONG,84,0.2704183327161197,0.025176218,1.6227152
2005-10-13 00:00:00+00,LONG,2778,0.6163102683063338,0.020902742,0.8504683
2005-10-13 00:00:00+00,LONG,3187,0.3918219750180463,0.018382028,0.88481814
2005-10-13 00:00:00+00,LONG,3614,1.0,0.02501369,0.8441784
2005-10-13 00:00:00+00,LONG,1667,0.342850559134223,0.032795887,1.1609719
2005-10-19 00:00:00+00,LONG,2050,1.0,0.03219071,0.58413637
2005-10-19 00:00:00+00,LONG,3621,0.8338523723251293,0.020171214,1.408587
2005-10-20 00:00:00+00,LONG,2050,0.9795918367346939,0.03701929,0.54179543
2005-10-20 00:00:00+00,LONG,2070,1.0,0.020688958,0.2957087
2005-10-20 00:00:00+00,LONG,2079,1.0,0.031324655,0.8187118
2005-10-20 00:00:00+00,LONG,3621,0.47435532157765087,0.018242994,1.466975
2005-10-20 00:00:00+00,LONG,3743,0.3508521145564711,0.017692456,0.9358241
2005-10-20 00:00:00+00,LONG,3824,0.962962962962963,0.01857257,0.64900047
2005-10-21 00:00:00+00,LONG,2050,0.9591836734693877,0.024205437,0.51950514
2005-10-21 00:00:00+00,LONG,684,1.0,0.052310314,0.27761543
2005-10-21 00:00:00+00,LONG,3794,1.0,0.04613081,0.15976523
2005-10-21 00:00:00+00,LONG,1819,1.0,0.041919656,0.9271871
2005-10-24 00:00:00+00,LONG,684,0.0,0.018385194,0.59818274
2005-10-25 00:00:00+00,LONG,3049,1.0,0.06572371,0.20185994
2005-10-26 00:00:00+00,LONG,3049,0.9767441860465116,0.0266117,0.23648782
2005-10-27 00:00:00+00,LONG,2276,1.0,0.017979842,1.1180938
2005-10-27 00:00:00+00,LONG,3049,0.9534883720930233,0.036454555,0.33680582
2005-10-27 00:00:00+00,LONG,3641,1.0,0.01619641,0.37409776
2005-10-27 00:00:00+00,LONG,3897,0.3221303231114796,0.068480745,1.0867225
2005-10-27 00:00:00+00,LONG,3973,0.43195951332426696,0.031186275,0.4249047
2005-10-28 00:00:00+00,LONG,220,1.0,0.026713545,1.1896367
2005-10-28 00:00:00+00,LONG,858,1.0,0.01928028,0.19518714
2005-10-28 00:00:00+00,LONG,1454,0.3019928457555165,0.08292125,1.106799
2005-10-28 00:00:00+00,LONG,1848,1.0,0.016475055,1.2069561
2005-10-28 00:00:00+00,LONG,3897,0.46959549071098394,0.039408784,1.0094291
2005-10-31 00:00:00+00,LONG,1454,0.34146339567958783,0.09214456,1.2748507
2005-11-01 00:00:00+00,LONG,427,0.4843336590283516,0.016848212,1.2858444
2005-11-01 00:00:00+00,LONG,1454,0.30608135482045473,0.054854628,1.3233669
2005-11-01 00:00:00+00,LONG,3897,0.5848430268571965,0.021980755,0.65138745
2005-11-02 00:00:00+00,LONG,1454,0.32207548567166855,0.02968551,1.3217808
2005-11-03 00:00:00+00,LONG,1454,0.33471913697972877,0.036115553,1.4317058
2005-11-10 00:00:00+00,LONG,874,1.0,0.06562578,1.1985519
2005-11-16 00:00:00+00,LONG,3179,0.22009031842722598,0.019605134,0.32446212
2005-11-16 00:00:00+00,LONG,3677,1.0,0.039065372,-0.04148299
2005-11-18 00:00:00+00,LONG,76,0.0,0.042411827,0.37387338
2005-11-21 00:00:00+00,LONG,3179,0.04638397180434345,0.016002286,0.5447418
2005-11-29 00:00:00+00,LONG,1360,1.0,0.081628345,0.90320843
2005-12-06 00:00:00+00,LONG,3283,0.0,0.11955245,1.5934938
2005-12-19 00:00:00+00,LONG,1195,1.0,0.02382155,0.53111637
2006-01-18 00:00:00+00,LONG,157,0.6104018359654962,0.032003075,0.89604425
2006-01-19 00:00:00+00,LONG,157,0.5181099795165645,0.02476856,1.105127
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,0.040759884,1.3787612
2006-01-20 00:00:00+00,LONG,2728,1.0,0.02311804,0.2443381
2006-01-23 00:00:00+00,LONG,2728,0.9787234042553191,0.017446026,0.5327048
2006-01-23 00:00:00+00,LONG,836,0.34898608536698494,0.020529857,0.46355957
2006-01-23 00:00:00+00,LONG,1250,0.0,0.02265001,1.0518554
2006-01-25 00:00:00+00,LONG,160,0.5375530812586115,0.028557934,0.768326
2006-01-31 00:00:00+00,LONG,610,0.0,0.026639285,1.3742859
2006-01-31 00:00:00+00,LONG,2659,0.23080962449648249,0.019826395,0.27624547
2006-01-31 00:00:00+00,LONG,1667,0.0,0.016877929,1.3648003
2006-02-01 00:00:00+00,LONG,2042,1.0,0.018444529,0.90426904
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,0.08270573,1.157866
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,0.07383532,1.4827826
2006-02-06 00:00:00+00,LONG,237,1.0,0.022297088,1.612961
2006-02-06 00:00:00+00,LONG,502,0.658658995715596,0.016059035,0.5861788
2006-02-21 00:00:00+00,LONG,643,0.0,0.020550467,-0.27344465
2006-02-21 00:00:00+00,LONG,3447,1.0,0.070948996,1.6224236
2006-02-28 00:00:00+00,LONG,4016,1.0,0.021621179,-0.19265601
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,0.016213994,0.15642422
2006-03-09 00:00:00+00,LONG,4123,0.6857781721516761,0.017280161,0.13543575
2006-03-10 00:00:00+00,LONG,2619,0.5222650583543641,0.022079581,0.5795938
2006-03-16 00:00:00+00,LONG,663,0.5883581038764415,0.029323902,0.7434657
2006-03-17 00:00:00+00,LONG,663,0.513660129180017,0.018038224,1.055017
2006-05-04 00:00:00+00,LONG,3773,0.0,0.023740757,0.15304261
2006-05-05 00:00:00+00,LONG,237,0.0,0.03202071,1.2937974
2006-05-08 00:00:00+00,LONG,1867,1.0,0.024932578,0.8569636
2006-05-18 00:00:00+00,LONG,4059,1.0,0.021963634,-0.13261092
2006-05-24 00:00:00+00,LONG,3443,1.0,0.064642616,1.2167022
2006-06-06 00:00:00+00,LONG,1114,1.0,0.020740464,0.6108646
2006-06-08 00:00:00+00,LONG,684,0.0,0.027884921,0.8787938
2006-06-09 00:00:00+00,LONG,2710,0.0,0.020519853,0.5687631
2006-06-12 00:00:00+00,LONG,2105,0.5433551827301658,0.02102105,0.024558743
2006-06-12 00:00:00+00,LONG,2710,0.0,0.017992368,0.69318193
2006-06-12 00:00:00+00,LONG,684,0.0,0.021927847,0.8307043
2006-06-13 00:00:00+00,LONG,2055,0.48739224337542114,0.031565674,-0.14957811
2006-06-13 00:00:00+00,LONG,19,1.0,0.09839931,1.1818993
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,0.01704998,0.5333436
2006-06-13 00:00:00+00,LONG,88,1.0,0.05467739,0.21882705
2006-06-13 00:00:00+00,LONG,135,1.0,0.03062543,0.39980808
2006-06-13 00:00:00+00,LONG,243,0.4859139490052772,0.031709474,0.22499041
2006-06-13 00:00:00+00,LONG,356,0.0,0.045566645,0.6854624
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,0.030134333,0.36889252
2006-06-13 00:00:00+00,LONG,498,0.0,0.055313632,0.5573348
2006-06-13 00:00:00+00,LONG,712,0.0,0.037540033,0.67138636
2006-06-13 00:00:00+00,LONG,874,0.0,0.031382795,0.2559727
2006-06-13 00:00:00+00,LONG,2932,0.3679530852162476,0.07207493,0.75347364
2006-06-13 00:00:00+00,LONG,897,0.2862953356635994,0.018635098,-0.20708847
