time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_13_50_df007,accel_price_5_df021,weighted_neg_sum_10_df036,dist_lower_bb_50_2.0_df055
2005-11-15 00:00:00+00,LONG,2690,0.92,-0.023366338,3.9532266E-4,0.15986943,-0.047308933
2005-11-15 00:00:00+00,LONG,984,1.0,-0.046992615,-0.0065116277,0.14811677,0.010789182
2005-11-15 00:00:00+00,LONG,1740,0.9655172413793104,-0.048766863,0.0026355977,0.1410681,-0.051236082
2005-11-16 00:00:00+00,LONG,3677,1.0,-0.053556997,0.004721115,0.15854913,0.039065372
2006-01-04 00:00:00+00,LONG,2640,0.0,-0.02325426,-0.012803489,0.13155688,-0.021788798
2006-01-13 00:00:00+00,LONG,3539,1.0,-0.020682221,0.0018348685,0.12698951,0.02461831
2006-01-23 00:00:00+00,LONG,2640,0.10990177676966349,-0.0670359,-0.0017213181,0.15035988,0.00567919
2006-01-23 00:00:00+00,LONG,3539,0.24869295118375542,-0.036748096,-0.013412292,0.13163307,-0.014997186
2006-02-13 00:00:00+00,LONG,167,0.975,-0.049762238,0.0032939566,0.15223482,-0.016459797
2006-02-21 00:00:00+00,LONG,3447,1.0,-0.04572682,-0.007775199,0.15198402,0.070948996
2006-02-22 00:00:00+00,LONG,3447,0.8217464756081061,-0.05173431,0.009437877,0.14875077,0.034499075
2006-02-23 00:00:00+00,LONG,3447,0.7858613851265602,-0.056933958,0.0014288203,0.13948292,0.021599544
2006-03-03 00:00:00+00,LONG,3447,0.6922150515178574,-0.071158074,-0.018350165,0.12776923,-0.0348357
2006-03-03 00:00:00+00,LONG,1988,1.0,-0.03629815,0.0030883262,0.15267648,-0.0061500175
2006-03-06 00:00:00+00,LONG,3273,0.3137840935873111,-0.02849607,-0.021983368,0.13469504,-0.0036405511
2006-03-07 00:00:00+00,LONG,1790,0.23523605727799807,-0.021688893,-0.020706456,0.16083582,-0.047316797
2006-03-08 00:00:00+00,LONG,4123,0.6209388642679364,-0.06501185,0.0145126665,0.15872912,0.016213994
2006-03-09 00:00:00+00,LONG,3573,0.9787234042553191,-0.06676508,-0.0137809245,0.13348156,-0.015208258
2006-03-10 00:00:00+00,LONG,1826,1.0,-0.05378939,7.1061705E-4,0.14433196,-0.026240278
2006-03-17 00:00:00+00,LONG,1888,0.1405760957441287,-0.037052073,-0.024121534,0.1306969,-0.008208026
2006-03-17 00:00:00+00,LONG,3947,0.1804261579033794,-0.038600795,-0.025720302,0.12703113,-0.043472596
2006-03-20 00:00:00+00,LONG,3699,0.0,-0.04878078,0.009982885,0.13225028,0.0019318463
2006-03-29 00:00:00+00,LONG,796,0.0,-0.051786534,0.013162001,0.14415042,-0.023661837
2006-03-31 00:00:00+00,LONG,796,0.0,-0.04816687,4.0657606E-4,0.12773252,-0.070080146
2006-05-03 00:00:00+00,LONG,3773,0.0,-0.020085542,0.001012548,0.13921264,0.0013526004
2006-05-23 00:00:00+00,LONG,220,0.0,-0.05042675,-0.032013103,0.1282542,-0.035852153
2006-05-24 00:00:00+00,LONG,397,1.0,-0.03688997,0.002203826,0.14085548,0.042951245
2006-05-26 00:00:00+00,LONG,397,0.682539297424445,-0.048134275,-0.004996483,0.13041073,0.0019491547
2006-05-30 00:00:00+00,LONG,397,0.7465390616379117,-0.05328858,-0.007155635,0.13444063,0.010498656
2006-05-30 00:00:00+00,LONG,1306,0.5384257054604672,-0.06912356,0.0055808937,0.13409102,-0.015116911
2006-06-09 00:00:00+00,LONG,2710,0.0,-0.04322451,-0.035935625,0.12761492,0.020519853
2006-06-12 00:00:00+00,LONG,3127,0.0,-0.057247747,0.011959962,0.13430738,-0.017076407
2006-06-13 00:00:00+00,LONG,1051,0.7587482002164414,-0.051108208,-0.009551763,0.1300092,0.035416447
2006-06-13 00:00:00+00,LONG,3124,1.0,-0.06672919,0.0018581664,0.12865376,0.046145413
2006-06-13 00:00:00+00,LONG,3343,1.0,-0.032491468,-0.03598589,0.15833995,-0.011064325
2006-06-13 00:00:00+00,LONG,1462,0.17414144502447965,-0.02914393,-0.0141729945,0.14241514,-0.0019473671
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,-0.024259435,-0.011530393,0.15372309,0.037139814
