time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,dist_upper_bb_50_2.5_df055,price_roc_5_df020
2005-08-12 00:00:00+00,SHORT,3613,0.0,0.85780656,-0.021607773,0.07596101
2005-08-15 00:00:00+00,SHORT,1012,0.0,0.8002179,-0.012710177,0.014201763
2005-08-15 00:00:00+00,SHORT,4000,0.0,0.8546833,-0.018896187,0.06261387
2005-08-31 00:00:00+00,SHORT,1462,0.0,0.7661747,-0.055371277,0.070181504
2005-09-02 00:00:00+00,SHORT,69,0.0,0.78886724,0.013558404,0.055184692
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,0.75048727,-0.01973875,0.053474225
2005-09-09 00:00:00+00,SHORT,4000,1.0,0.9215164,0.018748643,0.04995449
2005-09-12 00:00:00+00,SHORT,3443,0.7421731434340275,0.7874548,0.0029510122,0.069869
2005-09-13 00:00:00+00,SHORT,3471,0.0,0.8403394,0.006901753,0.05131319
2005-09-13 00:00:00+00,SHORT,1650,1.0,0.8593343,-0.01118259,0.08374875
2005-09-14 00:00:00+00,SHORT,191,0.0,0.7658791,0.001993832,0.04789357
2005-09-15 00:00:00+00,SHORT,3471,0.0,0.8244523,-0.011678735,0.019633895
2005-09-16 00:00:00+00,SHORT,869,1.0,0.8028476,-0.005396148,0.033469945
2005-09-16 00:00:00+00,SHORT,3471,0.0,0.7727979,-0.019614214,0.018280996
2005-09-19 00:00:00+00,SHORT,1816,0.2997056958771856,0.8427674,-0.06040152,0.02062058
2005-09-27 00:00:00+00,SHORT,3804,0.42802263075547786,0.7978587,-0.0040477687,0.028543307
2005-09-28 00:00:00+00,SHORT,2105,0.0,0.8547482,-0.0136944,0.030580658
2005-09-28 00:00:00+00,SHORT,2670,0.0,0.77843505,-0.014946593,0.056149732
2005-09-29 00:00:00+00,SHORT,3947,0.4622918184759482,0.77864665,-6.0879637E-4,0.06975633
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,0.7536376,-0.028416796,0.06697924
2005-09-30 00:00:00+00,SHORT,1404,0.10594864679475416,0.7574201,-7.26406E-4,0.061844405
2005-10-03 00:00:00+00,SHORT,602,1.0,0.90640444,-0.021193096,0.04618311
2005-10-03 00:00:00+00,SHORT,2979,1.0,0.81116045,0.007597526,0.04806503
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,0.85457337,-0.012184438,0.058383234
2005-10-04 00:00:00+00,SHORT,91,1.0,0.8477332,-0.0042185853,0.03470437
2005-10-04 00:00:00+00,SHORT,602,0.9523809523809523,0.8165816,-0.033359863,0.03547206
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,0.8227717,-0.01666927,0.038295038
2005-10-04 00:00:00+00,SHORT,1250,0.2101552158800214,0.8244755,-0.029411044,0.011731769
2005-10-04 00:00:00+00,SHORT,3903,0.15030394506542374,0.92950606,4.8084825E-5,0.03257329
2005-10-05 00:00:00+00,SHORT,424,1.0,0.8266406,-0.013076506,0.07173606
2005-10-26 00:00:00+00,SHORT,2548,0.26832861514549694,0.9495863,-0.072751895,0.07077756
2005-10-27 00:00:00+00,SHORT,2548,0.1611070372647728,0.8034114,-0.07791683,0.05817253
2005-11-03 00:00:00+00,SHORT,3357,0.0,0.7697895,-0.02938542,0.038215343
2005-11-10 00:00:00+00,SHORT,3825,0.36823772751439543,0.8863057,-0.0035341538,0.025219299
2005-11-10 00:00:00+00,SHORT,2018,0.5117900587837445,0.79062,0.004896345,0.04397433
